tradingsymbol,datetime,open,high,low,close,volume
CAMPUS,2026-03-02 09:15:00,240.4,251.85,240.0,250.55,8971
CAMPUS,2026-03-02 09:16:00,250.6,250.75,248.45,249.65,5918
CAMPUS,2026-03-02 09:17:00,249.65,251.0,249.15,251.0,1520
CAMPUS,2026-03-02 09:18:00,250.65,251.25,250.25,251.25,3838
CAMPUS,2026-03-02 09:19:00,251.25,252.5,251.25,252.2,2074
CAMPUS,2026-03-02 09:20:00,252.2,253.15,252.2,252.7,836
CAMPUS,2026-03-02 09:21:00,252.2,252.2,251.3,251.3,2230
CAMPUS,2026-03-02 09:22:00,251.6,252.3,251.25,252.3,755
CAMPUS,2026-03-02 09:23:00,252.0,252.45,251.9,252.0,1318
CAMPUS,2026-03-02 09:24:00,252.0,252.2,251.8,251.9,1241
CAMPUS,2026-03-02 09:25:00,252.45,252.45,251.5,252.05,989
CAMPUS,2026-03-02 09:26:00,252.0,252.3,251.75,252.3,321
CAMPUS,2026-03-02 09:27:00,252.1,253.05,252.1,253.0,995
CAMPUS,2026-03-02 09:28:00,253.15,253.15,252.35,252.7,336
CAMPUS,2026-03-02 09:29:00,252.8,252.8,251.95,251.95,368
CAMPUS,2026-03-02 09:30:00,251.95,252.8,251.95,252.8,377
CAMPUS,2026-03-02 09:31:00,252.8,253.0,252.2,252.7,408
CAMPUS,2026-03-02 09:32:00,252.25,252.6,252.1,252.2,239
CAMPUS,2026-03-02 09:33:00,252.2,252.65,252.2,252.4,421
CAMPUS,2026-03-02 09:34:00,252.6,252.6,252.4,252.4,72
CAMPUS,2026-03-02 09:35:00,252.4,252.45,251.45,252.05,2232
CAMPUS,2026-03-02 09:36:00,252.15,252.7,252.15,252.65,465
CAMPUS,2026-03-02 09:37:00,252.4,252.4,252.05,252.15,410
CAMPUS,2026-03-02 09:38:00,252.15,252.2,252.15,252.15,93
CAMPUS,2026-03-02 09:39:00,252.1,252.45,252.1,252.15,142
CAMPUS,2026-03-02 09:40:00,252.15,252.65,251.7,251.7,2744
CAMPUS,2026-03-02 09:41:00,251.6,252.05,251.6,252.0,237
CAMPUS,2026-03-02 09:42:00,252.25,252.7,252.0,252.7,1186
CAMPUS,2026-03-02 09:43:00,252.45,253.0,252.45,252.65,541
CAMPUS,2026-03-02 09:44:00,253.0,253.0,252.6,252.65,408
CAMPUS,2026-03-02 09:45:00,252.65,252.65,252.25,252.3,557
CAMPUS,2026-03-02 09:46:00,252.3,253.5,252.3,253.1,4144
CAMPUS,2026-03-02 09:47:00,253.1,253.5,253.1,253.25,672
CAMPUS,2026-03-02 09:48:00,253.25,253.55,253.25,253.5,90
CAMPUS,2026-03-02 09:49:00,253.3,253.8,253.25,253.25,1973
CAMPUS,2026-03-02 09:50:00,253.05,253.05,252.75,252.75,174
CAMPUS,2026-03-02 09:51:00,252.75,252.95,252.7,252.9,272
CAMPUS,2026-03-02 09:52:00,252.9,252.9,252.6,252.6,524
CAMPUS,2026-03-02 09:53:00,252.55,252.7,252.3,252.3,230
CAMPUS,2026-03-02 09:54:00,252.85,252.85,252.5,252.55,342
CAMPUS,2026-03-02 09:55:00,252.55,252.8,252.55,252.55,136
CAMPUS,2026-03-02 09:56:00,252.55,252.8,252.35,252.75,580
CAMPUS,2026-03-02 09:57:00,252.75,252.9,252.45,252.75,94
CAMPUS,2026-03-02 09:58:00,253.0,253.25,253.0,253.0,162
CAMPUS,2026-03-02 09:59:00,253.2,253.35,253.0,253.0,185
CAMPUS,2026-03-02 10:00:00,253.3,253.4,253.0,253.4,1119
CAMPUS,2026-03-02 10:01:00,253.35,253.45,253.1,253.45,103
CAMPUS,2026-03-02 10:02:00,253.45,253.65,253.35,253.35,259
CAMPUS,2026-03-02 10:03:00,253.5,253.5,253.2,253.2,179
CAMPUS,2026-03-02 10:04:00,253.5,253.5,252.85,252.85,153
CAMPUS,2026-03-02 10:05:00,252.85,253.2,252.6,252.6,1392
CAMPUS,2026-03-02 10:06:00,252.6,252.65,252.3,252.6,266
CAMPUS,2026-03-02 10:07:00,252.6,252.6,252.4,252.4,170
CAMPUS,2026-03-02 10:08:00,252.45,252.55,252.25,252.3,176
CAMPUS,2026-03-02 10:09:00,252.15,252.55,252.15,252.5,539
CAMPUS,2026-03-02 10:10:00,252.5,252.8,252.4,252.4,105
CAMPUS,2026-03-02 10:11:00,252.4,252.75,252.35,252.35,97
CAMPUS,2026-03-02 10:12:00,252.35,252.7,252.3,252.3,41
CAMPUS,2026-03-02 10:13:00,252.3,252.65,252.3,252.3,42
CAMPUS,2026-03-02 10:14:00,252.25,252.65,252.2,252.65,351
CAMPUS,2026-03-02 10:15:00,252.65,252.9,252.65,252.9,167
CAMPUS,2026-03-02 10:16:00,252.9,252.9,252.9,252.9,74
CAMPUS,2026-03-02 10:17:00,252.9,252.9,252.45,252.45,79
CAMPUS,2026-03-02 10:18:00,252.45,252.85,252.4,252.75,254
CAMPUS,2026-03-02 10:19:00,252.75,252.8,252.65,252.8,93
CAMPUS,2026-03-02 10:20:00,252.8,252.8,252.45,252.45,63
CAMPUS,2026-03-02 10:21:00,252.45,252.75,252.45,252.45,484
CAMPUS,2026-03-02 10:22:00,252.45,252.85,252.3,252.55,978
CAMPUS,2026-03-02 10:23:00,252.55,252.8,252.55,252.55,72
CAMPUS,2026-03-02 10:24:00,252.55,252.55,252.45,252.5,82
CAMPUS,2026-03-02 10:25:00,252.8,253.15,252.45,252.75,944
CAMPUS,2026-03-02 10:26:00,252.75,252.75,252.75,252.75,91
CAMPUS,2026-03-02 10:27:00,252.75,252.75,252.7,252.7,50
CAMPUS,2026-03-02 10:28:00,252.7,252.7,252.65,252.7,57
CAMPUS,2026-03-02 10:29:00,252.7,252.9,252.45,252.45,51
CAMPUS,2026-03-02 10:30:00,252.45,252.45,252.45,252.45,42
CAMPUS,2026-03-02 10:31:00,252.45,252.65,252.15,252.5,925
CAMPUS,2026-03-02 10:32:00,252.5,252.5,252.5,252.5,116
CAMPUS,2026-03-02 10:33:00,252.5,252.8,252.4,252.45,65
CAMPUS,2026-03-02 10:34:00,252.45,252.75,252.45,252.55,2117
CAMPUS,2026-03-02 10:35:00,252.55,252.55,252.2,252.2,94
CAMPUS,2026-03-02 10:36:00,252.2,252.45,252.2,252.45,79
CAMPUS,2026-03-02 10:37:00,252.45,252.45,252.2,252.2,152
CAMPUS,2026-03-02 10:38:00,252.2,252.45,252.15,252.15,162
CAMPUS,2026-03-02 10:39:00,252.15,252.2,252.15,252.15,45
CAMPUS,2026-03-02 10:40:00,252.15,252.45,252.1,252.1,95
CAMPUS,2026-03-02 10:41:00,252.1,252.4,252.1,252.4,113
CAMPUS,2026-03-02 10:42:00,252.4,252.4,252.1,252.1,52
CAMPUS,2026-03-02 10:43:00,252.1,252.1,251.65,251.65,1030
CAMPUS,2026-03-02 10:44:00,251.65,251.85,251.45,251.85,984
CAMPUS,2026-03-02 10:45:00,251.85,251.85,251.45,251.45,48
CAMPUS,2026-03-02 10:46:00,251.45,251.7,251.45,251.5,54
CAMPUS,2026-03-02 10:47:00,251.5,251.5,251.25,251.35,416
CAMPUS,2026-03-02 10:48:00,251.4,251.4,251.0,251.0,564
CAMPUS,2026-03-02 10:49:00,251.0,251.2,251.0,251.05,192
CAMPUS,2026-03-02 10:50:00,251.05,251.15,250.4,250.75,5327
CAMPUS,2026-03-02 10:51:00,250.75,250.75,250.3,250.3,1565
CAMPUS,2026-03-02 10:52:00,250.3,250.6,250.3,250.6,186
CAMPUS,2026-03-02 10:53:00,250.6,250.6,250.3,250.35,166
CAMPUS,2026-03-02 10:54:00,250.35,250.6,250.35,250.35,192
CAMPUS,2026-03-02 10:55:00,250.6,250.85,250.35,250.6,272
CAMPUS,2026-03-02 10:56:00,250.6,250.95,250.6,250.7,256
CAMPUS,2026-03-02 10:57:00,250.7,250.95,250.7,250.7,170
CAMPUS,2026-03-02 10:58:00,250.7,251.0,250.7,250.8,355
CAMPUS,2026-03-02 10:59:00,250.8,251.2,250.8,251.2,158
CAMPUS,2026-03-02 11:00:00,251.2,251.2,251.1,251.1,45
CAMPUS,2026-03-02 11:01:00,251.1,251.1,251.0,251.0,245
CAMPUS,2026-03-02 11:02:00,251.0,251.0,251.0,251.0,45
CAMPUS,2026-03-02 11:03:00,251.0,251.0,251.0,251.0,131
CAMPUS,2026-03-02 11:04:00,251.0,251.1,251.0,251.0,61
CAMPUS,2026-03-02 11:05:00,251.0,251.0,251.0,251.0,44
CAMPUS,2026-03-02 11:06:00,251.0,251.1,251.0,251.1,104
CAMPUS,2026-03-02 11:07:00,251.1,251.1,251.0,251.0,375
CAMPUS,2026-03-02 11:08:00,251.0,251.0,250.75,250.75,822
CAMPUS,2026-03-02 11:09:00,250.7,251.1,250.7,251.1,1365
CAMPUS,2026-03-02 11:10:00,251.1,251.1,250.7,250.75,194
CAMPUS,2026-03-02 11:11:00,250.75,251.1,250.75,250.8,232
CAMPUS,2026-03-02 11:12:00,250.8,251.0,250.8,250.85,164
CAMPUS,2026-03-02 11:13:00,250.85,250.85,250.8,250.8,141
CAMPUS,2026-03-02 11:14:00,250.8,250.95,250.7,250.7,278
CAMPUS,2026-03-02 11:15:00,250.7,251.2,250.7,251.2,927
CAMPUS,2026-03-02 11:16:00,251.2,251.2,251.1,251.1,153
CAMPUS,2026-03-02 11:17:00,251.1,251.35,251.1,251.35,41
CAMPUS,2026-03-02 11:18:00,251.35,251.35,251.35,251.35,21
CAMPUS,2026-03-02 11:19:00,251.15,251.35,251.0,251.0,179
CAMPUS,2026-03-02 11:20:00,251.0,251.0,251.0,251.0,129
CAMPUS,2026-03-02 11:21:00,250.75,251.0,250.75,251.0,105
CAMPUS,2026-03-02 11:22:00,251.0,251.0,250.65,250.65,400
CAMPUS,2026-03-02 11:23:00,250.65,251.0,250.65,251.0,101
CAMPUS,2026-03-02 11:24:00,251.0,251.0,250.75,250.75,126
CAMPUS,2026-03-02 11:25:00,250.75,251.0,250.75,251.0,100
CAMPUS,2026-03-02 11:26:00,251.0,251.0,251.0,251.0,100
CAMPUS,2026-03-02 11:27:00,251.0,251.0,251.0,251.0,119
CAMPUS,2026-03-02 11:28:00,251.0,251.0,251.0,251.0,100
CAMPUS,2026-03-02 11:29:00,251.0,251.0,250.6,250.9,249
CAMPUS,2026-03-02 11:30:00,250.9,251.0,250.9,251.0,200
CAMPUS,2026-03-02 11:31:00,250.65,250.7,250.55,250.55,525
CAMPUS,2026-03-02 11:32:00,250.55,251.0,250.55,251.0,114
CAMPUS,2026-03-02 11:33:00,251.0,251.0,251.0,251.0,119
CAMPUS,2026-03-02 11:34:00,251.0,251.0,250.7,250.7,125
CAMPUS,2026-03-02 11:35:00,250.7,251.0,250.7,251.0,100
CAMPUS,2026-03-02 11:36:00,251.0,251.0,250.65,250.65,370
CAMPUS,2026-03-02 11:37:00,250.85,251.15,250.85,251.15,220
CAMPUS,2026-03-02 11:38:00,251.2,251.2,251.2,251.2,447
CAMPUS,2026-03-02 11:39:00,251.2,251.2,250.95,251.05,326
CAMPUS,2026-03-02 11:40:00,251.05,251.05,251.0,251.0,16
CAMPUS,2026-03-02 11:41:00,251.0,251.05,250.9,250.9,300
CAMPUS,2026-03-02 11:42:00,250.9,251.0,250.55,250.6,1164
CAMPUS,2026-03-02 11:43:00,250.95,250.95,250.75,250.75,151
CAMPUS,2026-03-02 11:44:00,250.75,251.85,250.75,251.55,1453
CAMPUS,2026-03-02 11:45:00,251.55,251.55,251.2,251.2,411
CAMPUS,2026-03-02 11:46:00,251.2,251.2,251.2,251.2,55
CAMPUS,2026-03-02 11:47:00,251.2,251.2,251.2,251.2,0
CAMPUS,2026-03-02 11:48:00,251.45,251.45,251.1,251.3,202
CAMPUS,2026-03-02 11:49:00,251.3,251.3,251.3,251.3,48
CAMPUS,2026-03-02 11:50:00,251.3,251.3,251.3,251.3,3
CAMPUS,2026-03-02 11:51:00,251.3,251.3,251.3,251.3,30
CAMPUS,2026-03-02 11:52:00,251.2,251.2,251.2,251.2,1
CAMPUS,2026-03-02 11:53:00,251.15,251.3,251.1,251.1,174
CAMPUS,2026-03-02 11:54:00,251.1,251.1,251.1,251.1,0
CAMPUS,2026-03-02 11:55:00,251.3,251.3,251.3,251.3,3
CAMPUS,2026-03-02 11:56:00,251.3,251.3,251.3,251.3,13
CAMPUS,2026-03-02 11:57:00,251.3,251.3,250.7,251.1,1241
CAMPUS,2026-03-02 11:58:00,251.1,251.1,250.8,250.8,20
CAMPUS,2026-03-02 11:59:00,250.8,251.0,250.8,251.0,224
CAMPUS,2026-03-02 12:00:00,250.85,250.85,250.7,250.7,321
CAMPUS,2026-03-02 12:01:00,250.7,250.7,250.7,250.7,158
CAMPUS,2026-03-02 12:02:00,250.7,250.8,250.2,250.7,5684
CAMPUS,2026-03-02 12:03:00,250.7,250.9,250.7,250.9,110
CAMPUS,2026-03-02 12:04:00,250.9,250.95,250.9,250.95,100
CAMPUS,2026-03-02 12:05:00,250.95,250.95,250.9,250.9,150
CAMPUS,2026-03-02 12:06:00,250.95,251.0,250.9,251.0,420
CAMPUS,2026-03-02 12:07:00,251.0,251.0,250.7,251.0,135
CAMPUS,2026-03-02 12:08:00,251.0,251.0,251.0,251.0,1638
CAMPUS,2026-03-02 12:09:00,251.0,251.3,251.0,251.3,278
CAMPUS,2026-03-02 12:10:00,251.3,251.3,250.9,250.9,117
CAMPUS,2026-03-02 12:11:00,250.9,250.9,250.55,250.55,641
CAMPUS,2026-03-02 12:12:00,250.55,250.85,250.55,250.85,137
CAMPUS,2026-03-02 12:13:00,250.85,250.85,250.85,250.85,320
CAMPUS,2026-03-02 12:14:00,250.85,250.85,250.6,250.6,16
CAMPUS,2026-03-02 12:15:00,250.6,250.7,250.6,250.6,206
CAMPUS,2026-03-02 12:16:00,250.6,250.6,250.6,250.6,740
CAMPUS,2026-03-02 12:17:00,250.6,250.8,250.5,250.5,457
CAMPUS,2026-03-02 12:18:00,250.5,250.85,250.5,250.65,151
CAMPUS,2026-03-02 12:19:00,250.65,250.85,250.65,250.8,101
CAMPUS,2026-03-02 12:20:00,250.85,250.95,250.85,250.95,550
CAMPUS,2026-03-02 12:21:00,250.95,250.95,250.7,250.7,359
CAMPUS,2026-03-02 12:22:00,250.7,250.7,250.7,250.7,1
CAMPUS,2026-03-02 12:23:00,250.7,250.7,250.65,250.65,815
CAMPUS,2026-03-02 12:24:00,250.7,250.7,250.3,250.55,186
CAMPUS,2026-03-02 12:25:00,250.55,250.6,250.55,250.6,14
CAMPUS,2026-03-02 12:26:00,250.6,250.9,250.6,250.9,104
CAMPUS,2026-03-02 12:27:00,250.9,250.9,250.55,250.9,105
CAMPUS,2026-03-02 12:28:00,250.9,250.95,250.55,250.55,600
CAMPUS,2026-03-02 12:29:00,250.55,250.8,250.55,250.8,65
CAMPUS,2026-03-02 12:30:00,250.8,250.8,250.8,250.8,110
CAMPUS,2026-03-02 12:31:00,250.8,250.8,250.6,250.6,15
CAMPUS,2026-03-02 12:32:00,250.6,250.6,250.6,250.6,0
CAMPUS,2026-03-02 12:33:00,250.6,250.8,250.6,250.6,103
CAMPUS,2026-03-02 12:34:00,250.9,250.9,250.9,250.9,870
CAMPUS,2026-03-02 12:35:00,250.9,250.9,250.7,250.7,252
CAMPUS,2026-03-02 12:36:00,250.7,250.9,250.65,250.65,12
CAMPUS,2026-03-02 12:37:00,250.65,250.9,250.65,250.9,271
CAMPUS,2026-03-02 12:38:00,250.9,250.9,250.3,250.3,2613
CAMPUS,2026-03-02 12:39:00,250.3,250.3,250.1,250.1,144
CAMPUS,2026-03-02 12:40:00,250.1,250.35,250.0,250.1,901
CAMPUS,2026-03-02 12:41:00,250.1,250.35,250.1,250.35,5
CAMPUS,2026-03-02 12:42:00,250.35,250.35,250.0,250.0,810
CAMPUS,2026-03-02 12:43:00,250.0,250.3,250.0,250.3,141
CAMPUS,2026-03-02 12:44:00,250.3,250.45,250.3,250.45,291
CAMPUS,2026-03-02 12:45:00,250.45,250.55,250.35,250.35,321
CAMPUS,2026-03-02 12:46:00,250.35,250.45,250.35,250.45,122
CAMPUS,2026-03-02 12:47:00,250.45,250.5,250.45,250.5,416
CAMPUS,2026-03-02 12:48:00,250.6,250.7,250.5,250.5,130
CAMPUS,2026-03-02 12:49:00,250.5,250.5,250.2,250.5,175
CAMPUS,2026-03-02 12:50:00,250.5,250.55,250.5,250.55,208
CAMPUS,2026-03-02 12:51:00,250.55,250.55,250.45,250.55,151
CAMPUS,2026-03-02 12:52:00,250.55,250.6,250.55,250.6,100
CAMPUS,2026-03-02 12:53:00,250.65,250.7,250.25,250.7,418
CAMPUS,2026-03-02 12:54:00,250.7,250.7,250.7,250.7,0
CAMPUS,2026-03-02 12:55:00,250.7,250.7,250.3,250.6,450
CAMPUS,2026-03-02 12:56:00,250.6,250.6,250.6,250.6,3
