tradingsymbol,datetime,open,high,low,close,volume
GODREJAGRO,2026-03-02 09:15:00,630.0,630.0,619.75,619.75,1486
GODREJAGRO,2026-03-02 09:16:00,619.25,622.3,617.4,617.4,5557
GODREJAGRO,2026-03-02 09:17:00,617.45,619.4,617.2,618.45,1067
GODREJAGRO,2026-03-02 09:18:00,618.45,618.45,615.15,615.15,1154
GODREJAGRO,2026-03-02 09:19:00,615.0,615.8,614.55,615.45,903
GODREJAGRO,2026-03-02 09:20:00,615.45,615.8,614.75,615.7,1131
GODREJAGRO,2026-03-02 09:21:00,615.05,616.5,614.95,615.5,2245
GODREJAGRO,2026-03-02 09:22:00,615.5,616.2,615.5,616.2,392
GODREJAGRO,2026-03-02 09:23:00,616.2,617.65,616.15,616.45,2444
GODREJAGRO,2026-03-02 09:24:00,616.3,619.05,616.3,619.05,621
GODREJAGRO,2026-03-02 09:25:00,619.65,620.05,619.65,619.7,1465
GODREJAGRO,2026-03-02 09:26:00,619.4,619.55,618.15,619.3,270
GODREJAGRO,2026-03-02 09:27:00,619.65,619.75,618.55,619.65,436
GODREJAGRO,2026-03-02 09:28:00,619.05,620.0,618.6,619.1,633
GODREJAGRO,2026-03-02 09:29:00,619.15,619.15,617.1,617.45,1348
GODREJAGRO,2026-03-02 09:30:00,617.45,618.2,617.1,617.15,999
GODREJAGRO,2026-03-02 09:31:00,617.15,618.05,617.0,617.0,1205
GODREJAGRO,2026-03-02 09:32:00,617.0,617.25,616.35,617.25,193
GODREJAGRO,2026-03-02 09:33:00,617.25,618.15,617.25,617.75,63
GODREJAGRO,2026-03-02 09:34:00,617.75,618.6,617.25,617.25,1101
GODREJAGRO,2026-03-02 09:35:00,617.25,617.25,615.35,615.55,890
GODREJAGRO,2026-03-02 09:36:00,615.55,617.0,615.55,616.0,1426
GODREJAGRO,2026-03-02 09:37:00,615.2,615.55,615.0,615.2,515
GODREJAGRO,2026-03-02 09:38:00,615.2,617.0,615.2,616.15,416
GODREJAGRO,2026-03-02 09:39:00,616.15,616.45,615.3,615.9,279
GODREJAGRO,2026-03-02 09:40:00,616.45,616.45,615.6,615.9,1356
GODREJAGRO,2026-03-02 09:41:00,615.85,615.85,611.75,614.2,7891
GODREJAGRO,2026-03-02 09:42:00,613.55,615.0,613.55,614.7,1414
GODREJAGRO,2026-03-02 09:43:00,613.9,615.9,613.9,615.9,1164
GODREJAGRO,2026-03-02 09:44:00,615.9,615.9,615.0,615.25,252
GODREJAGRO,2026-03-02 09:45:00,615.25,615.65,615.0,615.55,13
GODREJAGRO,2026-03-02 09:46:00,615.55,616.1,615.45,615.55,1605
