tradingsymbol,datetime,open,high,low,close,volume
GUJGASLTD,2026-03-02 09:15:00,398.15,400.1,396.0,398.75,2886
GUJGASLTD,2026-03-02 09:16:00,398.6,398.6,396.3,397.8,3748
GUJGASLTD,2026-03-02 09:17:00,397.0,398.0,397.0,397.7,767
GUJGASLTD,2026-03-02 09:18:00,397.75,398.2,397.45,397.45,476
GUJGASLTD,2026-03-02 09:19:00,397.45,398.1,396.8,397.4,887
GUJGASLTD,2026-03-02 09:20:00,397.4,398.2,397.4,398.2,454
GUJGASLTD,2026-03-02 09:21:00,398.2,399.05,398.2,398.4,1171
GUJGASLTD,2026-03-02 09:22:00,398.25,398.25,398.0,398.0,294
GUJGASLTD,2026-03-02 09:23:00,398.0,399.0,397.2,398.65,2173
GUJGASLTD,2026-03-02 09:24:00,398.65,399.5,398.65,398.95,302
GUJGASLTD,2026-03-02 09:25:00,398.95,399.0,397.8,398.25,905
GUJGASLTD,2026-03-02 09:26:00,398.25,398.85,397.85,398.1,292
GUJGASLTD,2026-03-02 09:27:00,398.1,398.7,398.0,398.15,1270
GUJGASLTD,2026-03-02 09:28:00,398.1,398.25,397.65,397.65,468
GUJGASLTD,2026-03-02 09:29:00,397.9,398.05,397.3,397.3,680
GUJGASLTD,2026-03-02 09:30:00,397.7,398.55,397.7,398.55,876
GUJGASLTD,2026-03-02 09:31:00,398.55,398.55,397.9,398.4,229
GUJGASLTD,2026-03-02 09:32:00,398.5,399.0,398.0,399.0,1520
GUJGASLTD,2026-03-02 09:33:00,399.0,399.55,398.35,399.15,287
GUJGASLTD,2026-03-02 09:34:00,399.15,399.45,399.0,399.05,1028
GUJGASLTD,2026-03-02 09:35:00,399.05,399.05,398.0,398.45,780
GUJGASLTD,2026-03-02 09:36:00,397.85,398.55,397.0,397.5,2422
GUJGASLTD,2026-03-02 09:37:00,397.5,397.65,397.15,397.55,43
GUJGASLTD,2026-03-02 09:38:00,397.55,398.55,397.55,398.55,398
GUJGASLTD,2026-03-02 09:39:00,398.55,398.75,397.8,398.75,562
GUJGASLTD,2026-03-02 09:40:00,398.75,399.1,398.75,398.75,221
GUJGASLTD,2026-03-02 09:41:00,398.75,399.05,398.75,399.05,65
GUJGASLTD,2026-03-02 09:42:00,398.95,399.15,398.5,399.15,315
GUJGASLTD,2026-03-02 09:43:00,399.15,399.4,399.15,399.35,80
GUJGASLTD,2026-03-02 09:44:00,399.6,399.85,399.6,399.6,450
GUJGASLTD,2026-03-02 09:45:00,399.6,399.65,399.35,399.5,96
GUJGASLTD,2026-03-02 09:46:00,399.5,399.5,399.35,399.45,252
GUJGASLTD,2026-03-02 09:47:00,399.45,399.85,399.4,399.7,490
GUJGASLTD,2026-03-02 09:48:00,399.7,400.5,399.7,400.0,2117
GUJGASLTD,2026-03-02 09:49:00,399.95,399.95,399.25,399.25,106
GUJGASLTD,2026-03-02 09:50:00,399.25,399.35,399.15,399.15,420
GUJGASLTD,2026-03-02 09:51:00,399.15,399.55,399.15,399.15,1543
GUJGASLTD,2026-03-02 09:52:00,399.55,399.65,399.15,399.45,263
GUJGASLTD,2026-03-02 09:53:00,399.1,399.2,398.8,398.8,171
GUJGASLTD,2026-03-02 09:54:00,398.8,398.8,398.35,398.35,305
GUJGASLTD,2026-03-02 09:55:00,398.35,398.6,398.35,398.35,63
GUJGASLTD,2026-03-02 09:56:00,398.35,398.6,398.35,398.6,19
GUJGASLTD,2026-03-02 09:57:00,398.2,399.15,398.2,398.85,989
GUJGASLTD,2026-03-02 09:58:00,398.95,399.45,398.95,399.45,114
GUJGASLTD,2026-03-02 09:59:00,398.95,399.15,398.8,399.15,189
GUJGASLTD,2026-03-02 10:00:00,399.15,399.5,399.15,399.5,1
GUJGASLTD,2026-03-02 10:01:00,399.5,399.5,399.1,399.3,185
GUJGASLTD,2026-03-02 10:02:00,399.3,399.3,399.3,399.3,13
GUJGASLTD,2026-03-02 10:03:00,399.3,399.55,398.6,399.3,1281
GUJGASLTD,2026-03-02 10:04:00,399.3,399.65,399.0,399.65,325
GUJGASLTD,2026-03-02 10:05:00,399.65,399.65,399.65,399.65,1598
GUJGASLTD,2026-03-02 10:06:00,399.65,400.0,399.65,400.0,198
GUJGASLTD,2026-03-02 10:07:00,399.7,400.0,399.7,400.0,16
GUJGASLTD,2026-03-02 10:08:00,400.0,400.0,399.3,399.3,2284
GUJGASLTD,2026-03-02 10:09:00,399.3,399.3,398.8,399.0,428
GUJGASLTD,2026-03-02 10:10:00,399.0,399.0,399.0,399.0,0
GUJGASLTD,2026-03-02 10:11:00,399.0,399.0,399.0,399.0,0
GUJGASLTD,2026-03-02 10:12:00,398.5,398.95,398.5,398.95,2
GUJGASLTD,2026-03-02 10:13:00,398.95,398.95,398.85,398.85,46
GUJGASLTD,2026-03-02 10:14:00,398.85,398.95,398.85,398.95,222
GUJGASLTD,2026-03-02 10:15:00,398.95,399.2,398.8,398.8,72
GUJGASLTD,2026-03-02 10:16:00,398.8,398.85,398.5,398.7,64
GUJGASLTD,2026-03-02 10:17:00,398.7,398.7,398.1,398.45,286
GUJGASLTD,2026-03-02 10:18:00,398.45,398.75,398.45,398.75,37
GUJGASLTD,2026-03-02 10:19:00,398.75,398.75,398.75,398.75,50
GUJGASLTD,2026-03-02 10:20:00,398.9,398.9,398.8,398.8,28
GUJGASLTD,2026-03-02 10:21:00,398.8,399.05,398.8,399.05,110
GUJGASLTD,2026-03-02 10:22:00,399.15,399.15,399.0,399.05,108
GUJGASLTD,2026-03-02 10:23:00,399.15,399.3,399.15,399.3,98
GUJGASLTD,2026-03-02 10:24:00,399.3,399.3,399.05,399.05,125
GUJGASLTD,2026-03-02 10:25:00,399.05,399.05,399.05,399.05,0
GUJGASLTD,2026-03-02 10:26:00,399.05,399.3,399.05,399.3,37
GUJGASLTD,2026-03-02 10:27:00,398.85,399.3,398.85,398.95,65
GUJGASLTD,2026-03-02 10:28:00,398.95,399.25,398.95,399.25,3
GUJGASLTD,2026-03-02 10:29:00,399.25,399.25,399.25,399.25,2
GUJGASLTD,2026-03-02 10:30:00,399.25,399.25,398.9,398.9,31
GUJGASLTD,2026-03-02 10:31:00,398.9,399.45,398.9,399.45,373
GUJGASLTD,2026-03-02 10:32:00,399.45,399.45,398.95,399.25,29
GUJGASLTD,2026-03-02 10:33:00,399.25,399.25,398.85,399.25,84
GUJGASLTD,2026-03-02 10:34:00,399.25,399.25,399.1,399.1,11
GUJGASLTD,2026-03-02 10:35:00,399.1,399.1,399.05,399.1,109
GUJGASLTD,2026-03-02 10:36:00,399.1,399.1,398.7,398.7,0
GUJGASLTD,2026-03-02 10:37:00,398.7,398.7,398.7,398.7,24
GUJGASLTD,2026-03-02 10:38:00,398.7,399.1,398.7,399.1,144
GUJGASLTD,2026-03-02 10:39:00,399.1,399.1,398.6,398.6,79
GUJGASLTD,2026-03-02 10:40:00,398.55,398.55,398.05,398.4,96
GUJGASLTD,2026-03-02 10:41:00,398.4,398.55,398.15,398.55,15
GUJGASLTD,2026-03-02 10:42:00,398.55,398.65,398.55,398.65,1
GUJGASLTD,2026-03-02 10:43:00,398.65,398.65,398.15,398.15,2
GUJGASLTD,2026-03-02 10:44:00,398.15,398.3,397.7,397.85,1627
GUJGASLTD,2026-03-02 10:45:00,397.85,397.85,397.5,397.5,200
GUJGASLTD,2026-03-02 10:46:00,397.5,397.5,397.5,397.5,0
GUJGASLTD,2026-03-02 10:47:00,397.5,397.9,397.5,397.9,30
GUJGASLTD,2026-03-02 10:48:00,397.9,397.9,397.9,397.9,27
GUJGASLTD,2026-03-02 10:49:00,397.9,397.9,397.5,397.5,129
GUJGASLTD,2026-03-02 10:50:00,397.5,397.7,397.5,397.7,47
GUJGASLTD,2026-03-02 10:51:00,397.7,397.7,397.15,397.15,86
GUJGASLTD,2026-03-02 10:52:00,397.15,397.6,397.15,397.6,328
GUJGASLTD,2026-03-02 10:53:00,397.55,397.55,397.25,397.25,111
GUJGASLTD,2026-03-02 10:54:00,397.25,397.7,397.25,397.7,20
GUJGASLTD,2026-03-02 10:55:00,397.7,397.7,397.65,397.7,124
GUJGASLTD,2026-03-02 10:56:00,397.7,397.7,397.7,397.7,16
GUJGASLTD,2026-03-02 10:57:00,397.7,398.9,397.7,398.9,1348
GUJGASLTD,2026-03-02 10:58:00,399.45,399.9,399.25,399.5,560
GUJGASLTD,2026-03-02 10:59:00,399.5,399.55,399.4,399.4,371
GUJGASLTD,2026-03-02 11:00:00,399.4,399.4,399.4,399.4,65
GUJGASLTD,2026-03-02 11:01:00,399.4,399.55,399.25,399.25,26
GUJGASLTD,2026-03-02 11:02:00,399.3,399.3,399.25,399.25,16
GUJGASLTD,2026-03-02 11:03:00,399.25,399.25,398.9,398.9,150
GUJGASLTD,2026-03-02 11:04:00,398.9,399.25,397.55,397.7,303
GUJGASLTD,2026-03-02 11:05:00,397.3,397.3,396.5,396.55,1608
GUJGASLTD,2026-03-02 11:06:00,396.55,396.55,396.55,396.55,8
GUJGASLTD,2026-03-02 11:07:00,396.55,396.85,396.55,396.75,393
GUJGASLTD,2026-03-02 11:08:00,396.75,397.25,396.75,397.25,358
GUJGASLTD,2026-03-02 11:09:00,397.25,397.25,397.0,397.25,135
GUJGASLTD,2026-03-02 11:10:00,397.25,397.4,397.05,397.05,1055
GUJGASLTD,2026-03-02 11:11:00,397.05,397.05,397.0,397.0,46
GUJGASLTD,2026-03-02 11:12:00,397.0,397.0,397.0,397.0,64
GUJGASLTD,2026-03-02 11:13:00,397.0,397.35,397.0,397.3,14
GUJGASLTD,2026-03-02 11:14:00,397.3,397.3,397.3,397.3,0
GUJGASLTD,2026-03-02 11:15:00,397.0,397.0,397.0,397.0,23
GUJGASLTD,2026-03-02 11:16:00,397.0,397.5,397.0,397.5,189
GUJGASLTD,2026-03-02 11:17:00,397.5,397.5,397.5,397.5,0
GUJGASLTD,2026-03-02 11:18:00,397.5,397.5,397.1,397.1,256
GUJGASLTD,2026-03-02 11:19:00,397.1,397.1,397.0,397.0,665
GUJGASLTD,2026-03-02 11:20:00,397.0,397.0,397.0,397.0,0
GUJGASLTD,2026-03-02 11:21:00,397.0,397.3,397.0,397.3,21
GUJGASLTD,2026-03-02 11:22:00,397.3,397.5,397.0,397.0,289
GUJGASLTD,2026-03-02 11:23:00,397.0,397.35,396.9,397.0,745
GUJGASLTD,2026-03-02 11:24:00,397.0,397.0,396.3,396.3,216
GUJGASLTD,2026-03-02 11:25:00,396.3,396.8,396.1,396.15,482
