tradingsymbol,datetime,open,high,low,close,volume
J&KBANK,2026-03-02 09:15:00,116.2,119.0,116.2,118.0,257111
J&KBANK,2026-03-02 09:16:00,117.91,118.5,117.91,118.21,317692
J&KBANK,2026-03-02 09:17:00,118.07,118.23,117.57,118.23,200204
J&KBANK,2026-03-02 09:18:00,118.21,118.35,118.16,118.28,114385
J&KBANK,2026-03-02 09:19:00,118.27,118.79,118.27,118.69,78707
J&KBANK,2026-03-02 09:20:00,118.7,118.78,118.3,118.49,82732
J&KBANK,2026-03-02 09:21:00,118.49,118.56,117.89,117.89,135450
J&KBANK,2026-03-02 09:22:00,117.92,118.01,117.7,117.98,77846
J&KBANK,2026-03-02 09:23:00,117.84,117.93,117.53,117.53,77473
J&KBANK,2026-03-02 09:24:00,117.48,117.7,117.39,117.57,94696
J&KBANK,2026-03-02 09:25:00,117.74,117.75,117.45,117.68,132381
J&KBANK,2026-03-02 09:26:00,117.75,118.1,117.52,118.08,105228
J&KBANK,2026-03-02 09:27:00,118.22,118.26,118.03,118.15,81700
J&KBANK,2026-03-02 09:28:00,118.27,118.89,118.27,118.89,136226
J&KBANK,2026-03-02 09:29:00,118.9,118.95,118.65,118.78,66115
J&KBANK,2026-03-02 09:30:00,118.83,119.0,118.77,118.93,39264
J&KBANK,2026-03-02 09:31:00,118.98,119.18,118.79,119.09,88937
J&KBANK,2026-03-02 09:32:00,119.11,119.77,119.01,119.28,119445
J&KBANK,2026-03-02 09:33:00,119.32,119.58,119.28,119.58,51939
J&KBANK,2026-03-02 09:34:00,119.44,119.64,119.32,119.35,31497
J&KBANK,2026-03-02 09:35:00,119.41,119.41,119.06,119.37,72555
J&KBANK,2026-03-02 09:36:00,119.3,119.37,119.19,119.2,43438
J&KBANK,2026-03-02 09:37:00,119.16,119.3,119.01,119.13,27452
J&KBANK,2026-03-02 09:38:00,119.38,119.38,119.1,119.1,77414
J&KBANK,2026-03-02 09:39:00,119.01,119.15,119.01,119.1,34826
J&KBANK,2026-03-02 09:40:00,119.09,119.16,119.01,119.09,14045
J&KBANK,2026-03-02 09:41:00,119.09,119.47,119.09,119.36,36790
J&KBANK,2026-03-02 09:42:00,119.36,119.36,119.3,119.31,6529
J&KBANK,2026-03-02 09:43:00,119.22,119.4,119.22,119.4,26146
J&KBANK,2026-03-02 09:44:00,119.4,119.65,119.35,119.6,22256
J&KBANK,2026-03-02 09:45:00,119.67,119.67,119.4,119.4,16908
J&KBANK,2026-03-02 09:46:00,119.4,119.88,119.37,119.88,152652
J&KBANK,2026-03-02 09:47:00,119.79,120.14,119.69,120.11,108500
J&KBANK,2026-03-02 09:48:00,120.01,120.95,120.01,120.76,96764
J&KBANK,2026-03-02 09:49:00,120.77,120.77,120.29,120.4,216072
J&KBANK,2026-03-02 09:50:00,120.4,120.7,120.12,120.64,44590
J&KBANK,2026-03-02 09:51:00,120.65,120.9,120.44,120.6,40237
J&KBANK,2026-03-02 09:52:00,120.5,120.63,120.29,120.29,42679
J&KBANK,2026-03-02 09:53:00,120.29,120.37,120.01,120.13,37920
J&KBANK,2026-03-02 09:54:00,120.09,120.17,119.5,119.5,34164
J&KBANK,2026-03-02 09:55:00,119.5,119.72,119.5,119.61,42001
J&KBANK,2026-03-02 09:56:00,119.68,120.11,119.65,120.0,51495
J&KBANK,2026-03-02 09:57:00,120.13,120.13,119.96,120.01,14865
J&KBANK,2026-03-02 09:58:00,120.03,120.28,120.03,120.14,17734
J&KBANK,2026-03-02 09:59:00,120.18,120.18,120.05,120.11,11689
J&KBANK,2026-03-02 10:00:00,120.15,120.2,120.04,120.05,9234
J&KBANK,2026-03-02 10:01:00,120.05,120.29,120.05,120.19,26346
J&KBANK,2026-03-02 10:02:00,120.18,120.19,119.99,120.0,33718
J&KBANK,2026-03-02 10:03:00,119.99,120.19,119.95,119.99,30592
J&KBANK,2026-03-02 10:04:00,119.95,119.95,119.82,119.86,31787
J&KBANK,2026-03-02 10:05:00,119.85,120.03,119.83,120.0,32540
J&KBANK,2026-03-02 10:06:00,119.99,120.0,119.88,119.96,5885
J&KBANK,2026-03-02 10:07:00,119.96,119.99,119.88,119.88,10117
J&KBANK,2026-03-02 10:08:00,119.88,119.95,119.85,119.85,15331
J&KBANK,2026-03-02 10:09:00,119.85,119.85,119.55,119.63,17266
J&KBANK,2026-03-02 10:10:00,119.64,119.82,119.64,119.82,22017
J&KBANK,2026-03-02 10:11:00,119.82,119.84,119.74,119.74,18548
J&KBANK,2026-03-02 10:12:00,119.78,119.81,119.65,119.8,6939
J&KBANK,2026-03-02 10:13:00,119.8,119.8,119.68,119.78,30745
J&KBANK,2026-03-02 10:14:00,119.78,119.86,119.68,119.71,61185
