datetime,open,high,low,close,volume
2026-03-02 09:15:00,218.1,228.97,218.0,228.18,12666
2026-03-02 09:16:00,227.73,228.02,225.41,226.52,7882
2026-03-02 09:17:00,226.44,226.71,225.64,225.67,2441
2026-03-02 09:18:00,226.07,226.84,225.46,226.09,10717
2026-03-02 09:19:00,226.22,227.3,226.22,226.9,2591
2026-03-02 09:20:00,226.9,227.81,226.68,226.68,2942
2026-03-02 09:21:00,226.59,227.1,225.55,225.55,3838
2026-03-02 09:22:00,225.87,226.74,225.87,226.48,1560
2026-03-02 09:23:00,226.62,228.34,226.62,227.75,8031
2026-03-02 09:24:00,227.94,228.31,227.75,228.15,5804
2026-03-02 09:25:00,228.15,228.15,227.22,227.46,1252
2026-03-02 09:26:00,227.35,227.64,227.04,227.64,2091
2026-03-02 09:27:00,227.73,228.5,227.29,228.5,4734
2026-03-02 09:28:00,228.48,228.48,228.07,228.3,798
2026-03-02 09:29:00,228.35,228.51,227.7,228.22,1250
2026-03-02 09:30:00,228.22,228.35,228.07,228.25,874
2026-03-02 09:31:00,228.4,228.5,227.76,228.5,1799
2026-03-02 09:32:00,228.5,228.5,228.24,228.5,1666
2026-03-02 09:33:00,228.5,228.72,228.5,228.65,772
2026-03-02 09:34:00,228.65,228.65,228.32,228.5,966
2026-03-02 09:35:00,228.43,228.59,228.0,228.29,684
2026-03-02 09:36:00,228.29,228.66,228.25,228.29,1022
2026-03-02 09:37:00,228.29,228.52,228.29,228.52,512
2026-03-02 09:38:00,228.52,228.64,228.3,228.3,755
2026-03-02 09:39:00,228.3,228.6,228.3,228.6,86
2026-03-02 09:40:00,228.6,228.67,228.42,228.49,1070
2026-03-02 09:41:00,228.49,228.78,228.49,228.78,154
2026-03-02 09:42:00,228.56,229.5,228.56,229.41,3767
2026-03-02 09:43:00,229.41,229.5,229.09,229.09,1036
2026-03-02 09:44:00,228.99,229.36,228.99,229.36,491
2026-03-02 09:45:00,229.36,229.86,229.11,229.58,1274
2026-03-02 09:46:00,229.58,230.33,229.54,230.33,3597
2026-03-02 09:47:00,230.37,230.72,230.25,230.49,1430
2026-03-02 09:48:00,230.49,231.03,230.49,231.03,1611
2026-03-02 09:49:00,231.03,231.09,230.49,231.09,1166
2026-03-02 09:50:00,231.09,231.09,230.55,231.05,483
2026-03-02 09:51:00,231.05,231.05,230.62,230.85,649
2026-03-02 09:52:00,230.85,230.85,230.56,230.64,874
2026-03-02 09:53:00,230.5,230.5,230.06,230.06,1385
2026-03-02 09:54:00,230.27,230.53,230.06,230.53,1255
2026-03-02 09:55:00,230.49,230.6,230.2,230.6,420
2026-03-02 09:56:00,230.61,230.92,230.61,230.92,938
2026-03-02 09:57:00,230.61,231.0,230.61,231.0,841
2026-03-02 09:58:00,231.15,231.3,230.95,230.95,1327
2026-03-02 09:59:00,230.95,231.2,230.95,231.19,406
2026-03-02 10:00:00,231.19,231.49,231.19,231.49,626
2026-03-02 10:01:00,231.49,231.5,230.89,230.89,1670
2026-03-02 10:02:00,230.89,231.04,230.8,230.93,165
2026-03-02 10:03:00,230.6,230.69,230.38,230.65,973
2026-03-02 10:04:00,230.66,230.79,230.39,230.5,1362
2026-03-02 10:05:00,230.5,230.59,230.31,230.59,529
2026-03-02 10:06:00,230.59,231.01,230.12,231.01,883
2026-03-02 10:07:00,231.01,231.5,231.01,231.36,2468
2026-03-02 10:08:00,231.36,231.73,231.22,231.73,879
2026-03-02 10:09:00,231.73,231.83,231.73,231.83,739
2026-03-02 10:10:00,231.83,231.83,231.26,231.51,1635
2026-03-02 10:11:00,231.51,231.51,231.29,231.29,1
2026-03-02 10:12:00,231.27,231.29,231.0,231.1,1326
2026-03-02 10:13:00,231.1,231.55,231.1,231.55,801
2026-03-02 10:14:00,231.55,231.61,231.04,231.44,1432
2026-03-02 10:15:00,231.47,231.75,231.47,231.47,645
2026-03-02 10:16:00,231.47,231.66,231.47,231.65,587
2026-03-02 10:17:00,231.48,231.65,231.48,231.64,344
2026-03-02 10:18:00,231.73,231.87,231.64,231.87,1420
2026-03-02 10:19:00,231.87,232.87,231.87,232.55,3261
2026-03-02 10:20:00,232.75,232.75,231.91,231.91,1524
2026-03-02 10:21:00,232.02,232.16,231.74,231.97,319
2026-03-02 10:22:00,231.97,232.31,231.97,232.31,888
2026-03-02 10:23:00,232.31,232.31,232.1,232.26,992
2026-03-02 10:24:00,232.26,232.79,232.26,232.79,1342
2026-03-02 10:25:00,232.79,232.79,231.99,231.99,1859
2026-03-02 10:26:00,231.99,232.31,231.63,231.63,1052
2026-03-02 10:27:00,231.63,232.0,231.63,231.73,1050
2026-03-02 10:28:00,231.73,231.98,231.73,231.93,232
2026-03-02 10:29:00,231.93,232.08,231.74,232.01,660
2026-03-02 10:30:00,232.08,232.25,232.08,232.25,715
2026-03-02 10:31:00,232.1,232.25,231.87,232.25,567
2026-03-02 10:32:00,232.25,232.3,231.98,232.3,1298
2026-03-02 10:33:00,232.42,232.63,232.15,232.31,2630
2026-03-02 10:34:00,232.31,232.74,232.31,232.74,382
2026-03-02 10:35:00,232.84,232.95,232.57,232.94,1162
2026-03-02 10:36:00,232.94,233.0,232.71,233.0,655
2026-03-02 10:37:00,233.0,233.0,232.7,233.0,791
2026-03-02 10:38:00,233.0,233.03,232.85,232.97,1054
2026-03-02 10:39:00,232.97,232.97,232.64,232.85,1180
2026-03-02 10:40:00,232.85,233.18,232.85,233.18,460
2026-03-02 10:41:00,233.18,233.18,232.85,232.85,681
2026-03-02 10:42:00,232.85,233.2,232.85,233.0,1177
2026-03-02 10:43:00,233.0,233.1,232.87,232.99,1081
2026-03-02 10:44:00,232.85,232.85,232.68,232.68,531
2026-03-02 10:45:00,232.68,232.68,232.1,232.1,808
2026-03-02 10:46:00,232.22,232.22,231.39,231.39,946
2026-03-02 10:47:00,231.56,231.56,231.23,231.29,352
2026-03-02 10:48:00,231.29,231.29,230.66,230.81,686
2026-03-02 10:49:00,230.81,230.81,230.5,230.72,124
2026-03-02 10:50:00,230.72,231.02,230.62,230.62,1431
2026-03-02 10:51:00,230.62,230.66,230.5,230.66,60
2026-03-02 10:52:00,230.66,230.66,230.66,230.66,0
2026-03-02 10:53:00,230.66,230.66,230.46,230.46,620
2026-03-02 10:54:00,230.46,230.61,230.46,230.61,76
2026-03-02 10:55:00,230.61,230.61,230.5,230.61,75
2026-03-02 10:56:00,230.61,231.03,230.6,230.97,1438
2026-03-02 10:57:00,230.97,230.97,230.58,230.71,438
2026-03-02 10:58:00,230.71,230.81,230.65,230.81,131
2026-03-02 10:59:00,230.81,230.81,230.79,230.79,39
2026-03-02 11:00:00,230.79,232.0,230.73,232.0,1919
2026-03-02 11:01:00,232.0,232.24,232.0,232.0,268
2026-03-02 11:02:00,232.0,232.09,232.0,232.09,369
2026-03-02 11:03:00,232.09,233.0,232.09,232.81,762
2026-03-02 11:04:00,232.81,232.88,232.66,232.66,125
2026-03-02 11:05:00,232.66,232.66,232.13,232.13,213
2026-03-02 11:06:00,232.13,232.55,232.11,232.38,2153
2026-03-02 11:07:00,232.38,232.38,232.25,232.36,414
2026-03-02 11:08:00,232.36,232.36,232.25,232.31,206
2026-03-02 11:09:00,232.31,232.37,232.3,232.37,99
2026-03-02 11:10:00,232.37,232.38,232.25,232.25,1551
2026-03-02 11:11:00,232.38,232.38,232.25,232.25,48
2026-03-02 11:12:00,232.25,232.34,232.25,232.34,139
2026-03-02 11:13:00,232.34,232.34,232.25,232.34,76
2026-03-02 11:14:00,232.34,232.34,232.25,232.33,34
2026-03-02 11:15:00,232.33,232.33,232.09,232.25,437
2026-03-02 11:16:00,232.25,232.33,232.25,232.25,141
2026-03-02 11:17:00,232.25,232.38,232.18,232.38,589
2026-03-02 11:18:00,232.38,232.38,232.17,232.38,1206
2026-03-02 11:19:00,232.38,232.38,232.25,232.38,75
2026-03-02 11:20:00,232.38,232.38,232.22,232.37,231
2026-03-02 11:21:00,232.37,232.37,232.26,232.26,55
2026-03-02 11:22:00,232.26,232.26,232.25,232.26,1005
2026-03-02 11:23:00,232.26,232.26,232.25,232.26,81
2026-03-02 11:24:00,232.26,232.26,232.14,232.14,65
