datetime,open,high,low,close,volume
2026-03-02 09:15:00,247.0,252.1,246.6,251.4,207564
2026-03-02 09:16:00,251.1,251.55,250.85,251.55,38858
2026-03-02 09:17:00,251.55,251.85,251.05,251.3,37007
2026-03-02 09:18:00,251.65,252.3,251.6,251.95,22813
2026-03-02 09:19:00,252.15,253.0,252.15,252.8,27773
2026-03-02 09:20:00,253.35,254.4,253.35,254.4,20510
2026-03-02 09:21:00,254.4,255.0,254.1,254.1,15706
2026-03-02 09:22:00,254.3,254.3,253.55,253.6,14552
2026-03-02 09:23:00,253.6,253.7,253.35,253.5,3738
2026-03-02 09:24:00,253.15,253.6,253.15,253.5,8382
2026-03-02 09:25:00,253.7,253.9,253.5,253.5,17242
2026-03-02 09:26:00,253.55,253.75,253.3,253.5,6273
2026-03-02 09:27:00,253.5,253.85,253.4,253.8,21084
2026-03-02 09:28:00,253.7,254.05,253.7,254.05,10269
2026-03-02 09:29:00,254.15,254.15,253.55,253.55,12326
2026-03-02 09:30:00,253.55,254.3,253.5,253.95,10666
2026-03-02 09:31:00,254.05,254.4,254.05,254.4,1676
2026-03-02 09:32:00,254.4,254.45,253.85,254.1,21574
2026-03-02 09:33:00,254.0,254.55,254.0,254.45,8835
2026-03-02 09:34:00,254.55,254.7,254.5,254.6,593
2026-03-02 09:35:00,254.6,254.6,254.0,254.45,9235
2026-03-02 09:36:00,254.25,254.6,254.2,254.2,11305
2026-03-02 09:37:00,254.2,254.5,254.2,254.5,8582
2026-03-02 09:38:00,254.7,255.0,254.45,254.45,3808
2026-03-02 09:39:00,254.5,254.65,254.25,254.5,7304
2026-03-02 09:40:00,254.55,254.85,254.55,254.55,4197
2026-03-02 09:41:00,254.5,254.6,254.35,254.4,2169
2026-03-02 09:42:00,254.35,254.4,254.1,254.25,6728
2026-03-02 09:43:00,254.45,254.6,254.15,254.4,7593
2026-03-02 09:44:00,254.35,254.35,253.8,253.8,6469
2026-03-02 09:45:00,253.8,254.15,253.8,253.95,6089
2026-03-02 09:46:00,253.95,254.15,253.75,254.15,5169
2026-03-02 09:47:00,254.15,254.3,253.8,254.05,10582
2026-03-02 09:48:00,254.25,254.25,253.95,254.05,2833
2026-03-02 09:49:00,254.05,254.05,253.65,253.65,1274
2026-03-02 09:50:00,253.65,253.65,253.45,253.6,6472
2026-03-02 09:51:00,253.75,253.75,253.35,253.6,1866
2026-03-02 09:52:00,253.6,253.8,253.5,253.6,3911
2026-03-02 09:53:00,253.6,253.6,253.3,253.45,1825
2026-03-02 09:54:00,253.45,253.5,253.45,253.5,1185
2026-03-02 09:55:00,253.5,253.55,253.45,253.5,1816
2026-03-02 09:56:00,253.5,253.85,253.5,253.85,2786
2026-03-02 09:57:00,253.7,254.2,253.7,254.0,2795
2026-03-02 09:58:00,254.2,254.4,254.15,254.4,5758
2026-03-02 09:59:00,254.4,254.5,253.85,254.25,11158
2026-03-02 10:00:00,254.45,254.6,254.25,254.25,3207
2026-03-02 10:01:00,254.4,254.45,254.05,254.4,4703
2026-03-02 10:02:00,254.3,254.45,254.15,254.45,1383
2026-03-02 10:03:00,254.05,254.3,254.05,254.25,3185
2026-03-02 10:04:00,254.35,254.35,253.9,253.9,1591
2026-03-02 10:05:00,254.15,254.15,253.85,253.85,786
2026-03-02 10:06:00,253.85,253.9,253.75,253.9,2043
2026-03-02 10:07:00,253.9,253.9,253.55,253.6,1517
2026-03-02 10:08:00,253.6,253.75,253.1,253.1,3352
2026-03-02 10:09:00,253.35,253.4,253.2,253.4,264
2026-03-02 10:10:00,253.25,253.4,253.25,253.3,3464
2026-03-02 10:11:00,253.55,253.55,253.45,253.45,582
2026-03-02 10:12:00,253.55,253.55,253.35,253.5,1760
2026-03-02 10:13:00,253.5,253.55,253.35,253.55,1801
2026-03-02 10:14:00,253.6,253.85,253.5,253.85,1806
2026-03-02 10:15:00,253.85,254.1,253.85,254.1,2438
2026-03-02 10:16:00,254.1,254.1,253.9,253.9,1560
2026-03-02 10:17:00,253.9,253.95,253.8,253.95,4906
2026-03-02 10:18:00,253.95,254.2,253.25,253.35,8421
2026-03-02 10:19:00,253.35,253.35,253.1,253.1,680
2026-03-02 10:20:00,253.1,253.15,252.55,252.6,6661
