datetime,open,high,low,close,volume
2026-03-02 09:15:00,14.31,14.74,14.31,14.58,520499
2026-03-02 09:16:00,14.57,14.61,14.45,14.52,1147216
2026-03-02 09:17:00,14.55,14.56,14.47,14.5,316893
2026-03-02 09:18:00,14.48,14.48,14.42,14.46,362044
2026-03-02 09:19:00,14.49,14.53,14.49,14.52,416293
2026-03-02 09:20:00,14.54,14.57,14.52,14.57,303891
2026-03-02 09:21:00,14.57,14.58,14.51,14.51,769697
2026-03-02 09:22:00,14.52,14.55,14.51,14.53,197641
2026-03-02 09:23:00,14.53,14.54,14.5,14.52,240215
2026-03-02 09:24:00,14.52,14.55,14.51,14.55,532726
2026-03-02 09:25:00,14.57,14.57,14.5,14.52,370814
2026-03-02 09:26:00,14.48,14.55,14.46,14.54,556105
2026-03-02 09:27:00,14.52,14.57,14.52,14.55,226349
2026-03-02 09:28:00,14.55,14.58,14.55,14.58,250897
2026-03-02 09:29:00,14.59,14.59,14.56,14.56,458534
2026-03-02 09:30:00,14.55,14.59,14.55,14.57,192743
2026-03-02 09:31:00,14.57,14.59,14.55,14.57,130415
2026-03-02 09:32:00,14.57,14.61,14.55,14.61,131197
2026-03-02 09:33:00,14.62,14.64,14.61,14.61,176227
2026-03-02 09:34:00,14.63,14.64,14.6,14.6,131089
2026-03-02 09:35:00,14.62,14.63,14.59,14.61,260495
2026-03-02 09:36:00,14.62,14.63,14.6,14.61,231662
2026-03-02 09:37:00,14.61,14.61,14.58,14.6,74910
2026-03-02 09:38:00,14.59,14.64,14.58,14.62,273381
2026-03-02 09:39:00,14.61,14.62,14.59,14.6,54230
2026-03-02 09:40:00,14.6,14.61,14.58,14.58,113206
2026-03-02 09:41:00,14.58,14.61,14.57,14.59,222099
2026-03-02 09:42:00,14.59,14.6,14.57,14.59,53908
2026-03-02 09:43:00,14.59,14.61,14.59,14.6,127738
2026-03-02 09:44:00,14.61,14.63,14.6,14.61,72580
2026-03-02 09:45:00,14.62,14.63,14.61,14.62,104415
2026-03-02 09:46:00,14.62,14.63,14.6,14.61,85387
2026-03-02 09:47:00,14.63,14.66,14.61,14.63,334911
2026-03-02 09:48:00,14.64,14.68,14.63,14.67,139873
2026-03-02 09:49:00,14.66,14.66,14.63,14.65,314744
2026-03-02 09:50:00,14.64,14.64,14.61,14.61,219029
2026-03-02 09:51:00,14.62,14.63,14.6,14.62,73051
2026-03-02 09:52:00,14.63,14.65,14.62,14.65,85787
2026-03-02 09:53:00,14.63,14.65,14.63,14.64,24156
2026-03-02 09:54:00,14.63,14.64,14.62,14.63,64074
2026-03-02 09:55:00,14.64,14.65,14.62,14.65,91060
2026-03-02 09:56:00,14.65,14.69,14.64,14.69,234836
2026-03-02 09:57:00,14.69,14.71,14.69,14.71,122854
2026-03-02 09:58:00,14.71,14.72,14.7,14.72,90067
2026-03-02 09:59:00,14.72,14.72,14.7,14.72,147399
2026-03-02 10:00:00,14.72,14.75,14.71,14.73,283167
2026-03-02 10:01:00,14.73,14.74,14.72,14.72,134677
2026-03-02 10:02:00,14.73,14.74,14.71,14.71,74260
2026-03-02 10:03:00,14.71,14.73,14.7,14.7,35557
2026-03-02 10:04:00,14.72,14.72,14.69,14.69,89491
2026-03-02 10:05:00,14.69,14.72,14.69,14.69,137397
2026-03-02 10:06:00,14.7,14.7,14.65,14.67,204798
2026-03-02 10:07:00,14.67,14.69,14.65,14.65,55578
2026-03-02 10:08:00,14.65,14.67,14.63,14.63,47330
2026-03-02 10:09:00,14.63,14.65,14.63,14.63,48662
2026-03-02 10:10:00,14.65,14.67,14.64,14.66,46891
2026-03-02 10:11:00,14.66,14.66,14.64,14.65,73149
2026-03-02 10:12:00,14.65,14.66,14.65,14.66,47202
2026-03-02 10:13:00,14.66,14.66,14.64,14.66,76067
2026-03-02 10:14:00,14.66,14.66,14.65,14.66,34000
2026-03-02 10:15:00,14.66,14.67,14.64,14.66,54144
2026-03-02 10:16:00,14.66,14.66,14.65,14.66,23447
2026-03-02 10:17:00,14.66,14.66,14.65,14.65,23494
2026-03-02 10:18:00,14.65,14.66,14.62,14.64,94103
2026-03-02 10:19:00,14.66,14.68,14.64,14.67,192968
2026-03-02 10:20:00,14.66,14.67,14.65,14.65,14767
2026-03-02 10:21:00,14.65,14.66,14.63,14.66,38591
2026-03-02 10:22:00,14.66,14.66,14.64,14.66,29475
2026-03-02 10:23:00,14.66,14.67,14.65,14.66,13361
2026-03-02 10:24:00,14.67,14.67,14.65,14.66,68590
2026-03-02 10:25:00,14.66,14.67,14.65,14.66,10722
2026-03-02 10:26:00,14.66,14.67,14.65,14.67,26601
2026-03-02 10:27:00,14.67,14.67,14.64,14.64,47986
2026-03-02 10:28:00,14.64,14.66,14.64,14.65,35035
2026-03-02 10:29:00,14.66,14.66,14.63,14.63,45046
2026-03-02 10:30:00,14.64,14.64,14.62,14.64,40422
2026-03-02 10:31:00,14.64,14.67,14.63,14.65,52549
2026-03-02 10:32:00,14.65,14.67,14.65,14.65,19642
2026-03-02 10:33:00,14.65,14.67,14.65,14.67,37617
2026-03-02 10:34:00,14.67,14.67,14.65,14.65,103989
2026-03-02 10:35:00,14.65,14.67,14.65,14.66,19501
2026-03-02 10:36:00,14.66,14.67,14.64,14.65,51998
2026-03-02 10:37:00,14.66,14.66,14.64,14.66,66114
2026-03-02 10:38:00,14.66,14.66,14.64,14.66,16390
2026-03-02 10:39:00,14.66,14.66,14.62,14.62,120029
2026-03-02 10:40:00,14.62,14.62,14.59,14.59,176055
2026-03-02 10:41:00,14.59,14.61,14.59,14.61,58775
2026-03-02 10:42:00,14.61,14.62,14.6,14.62,48604
2026-03-02 10:43:00,14.62,14.62,14.6,14.6,138801
2026-03-02 10:44:00,14.59,14.6,14.58,14.59,45498
2026-03-02 10:45:00,14.59,14.6,14.59,14.59,9936
2026-03-02 10:46:00,14.59,14.59,14.56,14.56,148931
2026-03-02 10:47:00,14.58,14.58,14.56,14.58,193435
2026-03-02 10:48:00,14.58,14.58,14.55,14.57,518988
2026-03-02 10:49:00,14.57,14.57,14.55,14.56,22144
2026-03-02 10:50:00,14.56,14.56,14.55,14.56,78013
2026-03-02 10:51:00,14.56,14.56,14.55,14.55,56583
2026-03-02 10:52:00,14.55,14.58,14.55,14.56,24266
2026-03-02 10:53:00,14.58,14.58,14.56,14.57,50475
2026-03-02 10:54:00,14.56,14.57,14.55,14.57,59045
2026-03-02 10:55:00,14.57,14.57,14.55,14.56,41773
2026-03-02 10:56:00,14.57,14.58,14.56,14.57,25927
2026-03-02 10:57:00,14.56,14.6,14.56,14.6,20566
2026-03-02 10:58:00,14.59,14.6,14.58,14.59,25551
2026-03-02 10:59:00,14.59,14.6,14.57,14.59,90501
2026-03-02 11:00:00,14.59,14.59,14.56,14.56,42167
2026-03-02 11:01:00,14.56,14.58,14.56,14.58,6695
2026-03-02 11:02:00,14.58,14.59,14.57,14.58,26461
2026-03-02 11:03:00,14.59,14.59,14.57,14.59,7234
2026-03-02 11:04:00,14.59,14.59,14.56,14.57,20761
2026-03-02 11:05:00,14.57,14.58,14.55,14.57,21105
2026-03-02 11:06:00,14.57,14.58,14.56,14.56,11440
2026-03-02 11:07:00,14.56,14.58,14.56,14.56,32817
2026-03-02 11:08:00,14.55,14.57,14.55,14.56,33218
2026-03-02 11:09:00,14.56,14.58,14.55,14.55,24556
2026-03-02 11:10:00,14.57,14.57,14.55,14.55,11071
2026-03-02 11:11:00,14.55,14.57,14.54,14.54,331726
2026-03-02 11:12:00,14.55,14.55,14.54,14.54,27830
2026-03-02 11:13:00,14.54,14.55,14.54,14.54,24507
2026-03-02 11:14:00,14.54,14.55,14.53,14.54,18103
2026-03-02 11:15:00,14.54,14.54,14.52,14.52,58629
2026-03-02 11:16:00,14.53,14.54,14.52,14.52,13262
2026-03-02 11:17:00,14.52,14.54,14.52,14.54,30280
2026-03-02 11:18:00,14.54,14.54,14.52,14.54,6834
2026-03-02 11:19:00,14.54,14.54,14.52,14.54,143708
2026-03-02 11:20:00,14.54,14.54,14.51,14.52,46935
2026-03-02 11:21:00,14.52,14.54,14.52,14.53,52029
2026-03-02 11:22:00,14.54,14.54,14.52,14.54,4694
2026-03-02 11:23:00,14.54,14.54,14.52,14.52,27027
2026-03-02 11:24:00,14.51,14.53,14.51,14.51,8996
2026-03-02 11:25:00,14.52,14.53,14.51,14.52,46562
2026-03-02 11:26:00,14.52,14.53,14.51,14.53,17981
2026-03-02 11:27:00,14.51,14.53,14.5,14.5,167684
2026-03-02 11:28:00,14.51,14.51,14.48,14.49,522425
2026-03-02 11:29:00,14.5,14.5,14.47,14.47,160492
2026-03-02 11:30:00,14.49,14.5,14.47,14.49,119528
2026-03-02 11:31:00,14.49,14.49,14.47,14.48,24553
2026-03-02 11:32:00,14.47,14.49,14.46,14.48,79308
2026-03-02 11:33:00,14.47,14.49,14.47,14.49,17653
2026-03-02 11:34:00,14.48,14.5,14.48,14.49,31094
2026-03-02 11:35:00,14.48,14.49,14.48,14.48,53098
2026-03-02 11:36:00,14.49,14.49,14.47,14.47,6941
2026-03-02 11:37:00,14.48,14.48,14.46,14.48,27435
2026-03-02 11:38:00,14.48,14.49,14.46,14.48,174464
2026-03-02 11:39:00,14.48,14.48,14.46,14.48,35649
2026-03-02 11:40:00,14.48,14.48,14.46,14.48,12451
2026-03-02 11:41:00,14.48,14.48,14.48,14.48,22010
2026-03-02 11:42:00,14.48,14.48,14.47,14.48,15750
2026-03-02 11:43:00,14.48,14.48,14.47,14.47,18301
2026-03-02 11:44:00,14.47,14.48,14.47,14.48,9772
2026-03-02 11:45:00,14.48,14.48,14.46,14.47,30908
2026-03-02 11:46:00,14.48,14.5,14.47,14.48,394712
2026-03-02 11:47:00,14.48,14.5,14.48,14.5,7719
2026-03-02 11:48:00,14.5,14.5,14.46,14.48,213977
2026-03-02 11:49:00,14.48,14.49,14.46,14.48,30612
2026-03-02 11:50:00,14.48,14.49,14.47,14.47,21865
2026-03-02 11:51:00,14.47,14.48,14.46,14.48,18748
2026-03-02 11:52:00,14.47,14.48,14.47,14.48,27781
2026-03-02 11:53:00,14.48,14.48,14.47,14.48,47113
2026-03-02 11:54:00,14.47,14.48,14.47,14.48,11796
2026-03-02 11:55:00,14.48,14.48,14.46,14.48,9202
2026-03-02 11:56:00,14.48,14.48,14.46,14.47,21037
2026-03-02 11:57:00,14.47,14.49,14.45,14.46,89029
2026-03-02 11:58:00,14.46,14.46,14.45,14.45,54988
2026-03-02 11:59:00,14.45,14.45,14.44,14.45,71078
2026-03-02 12:00:00,14.45,14.45,14.42,14.45,76535
2026-03-02 12:01:00,14.43,14.45,14.42,14.43,28695
2026-03-02 12:02:00,14.43,14.44,14.43,14.43,25291
2026-03-02 12:03:00,14.44,14.44,14.42,14.43,43840
2026-03-02 12:04:00,14.44,14.44,14.41,14.44,153384
2026-03-02 12:05:00,14.44,14.44,14.42,14.44,41500
2026-03-02 12:06:00,14.44,14.44,14.42,14.42,80576
2026-03-02 12:07:00,14.42,14.44,14.41,14.43,26597
2026-03-02 12:08:00,14.43,14.44,14.42,14.43,27658
2026-03-02 12:09:00,14.43,14.45,14.42,14.45,601185
2026-03-02 12:10:00,14.45,14.46,14.43,14.46,754566
2026-03-02 12:11:00,14.46,14.46,14.42,14.43,1244028
2026-03-02 12:12:00,14.43,14.43,14.41,14.43,51462
2026-03-02 12:13:00,14.43,14.43,14.41,14.42,37482
2026-03-02 12:14:00,14.43,14.43,14.41,14.42,11230
2026-03-02 12:15:00,14.41,14.43,14.4,14.4,56311
2026-03-02 12:16:00,14.4,14.43,14.4,14.43,12570
2026-03-02 12:17:00,14.41,14.43,14.41,14.41,18621
2026-03-02 12:18:00,14.43,14.43,14.41,14.42,19986
2026-03-02 12:19:00,14.42,14.42,14.4,14.41,40520
2026-03-02 12:20:00,14.4,14.41,14.4,14.41,61883
2026-03-02 12:21:00,14.39,14.39,14.37,14.37,8620
2026-03-02 12:22:00,14.4,14.41,14.39,14.4,53778
2026-03-02 12:23:00,14.39,14.4,14.38,14.39,33164
2026-03-02 12:24:00,14.39,14.39,14.37,14.39,48991
2026-03-02 12:25:00,14.37,14.39,14.37,14.39,5662
2026-03-02 12:26:00,14.39,14.39,14.38,14.38,9803
2026-03-02 12:27:00,14.39,14.39,14.37,14.39,16935
2026-03-02 12:28:00,14.39,14.39,14.37,14.39,41357
2026-03-02 12:29:00,14.39,14.39,14.36,14.39,62284
2026-03-02 12:30:00,14.39,14.39,14.37,14.39,49453
2026-03-02 12:31:00,14.39,14.39,14.37,14.37,20752
2026-03-02 12:32:00,14.39,14.42,14.37,14.41,507201
2026-03-02 12:33:00,14.38,14.41,14.38,14.4,30562
2026-03-02 12:34:00,14.41,14.41,14.38,14.4,5266
2026-03-02 12:35:00,14.4,14.4,14.38,14.4,21087
