datetime,open,high,low,close,volume
2026-03-02 09:15:00,60.02,60.02,59.32,59.59,38404
2026-03-02 09:16:00,59.58,59.58,59.24,59.51,30299
2026-03-02 09:17:00,59.64,59.65,59.36,59.49,35568
2026-03-02 09:18:00,59.34,59.48,59.1,59.24,36782
2026-03-02 09:19:00,59.22,59.55,59.2,59.55,41010
2026-03-02 09:20:00,59.55,59.67,59.49,59.67,14987
2026-03-02 09:21:00,59.75,59.75,59.58,59.64,32582
2026-03-02 09:22:00,59.63,59.65,59.49,59.58,10711
2026-03-02 09:23:00,59.5,59.53,59.38,59.4,6872
2026-03-02 09:24:00,59.45,59.45,59.32,59.4,12778
2026-03-02 09:25:00,59.4,59.4,59.26,59.38,17271
2026-03-02 09:26:00,59.34,59.34,59.25,59.3,15537
2026-03-02 09:27:00,59.4,59.52,59.34,59.48,12992
2026-03-02 09:28:00,59.46,59.6,59.41,59.59,8948
2026-03-02 09:29:00,59.61,59.68,59.46,59.6,39701
2026-03-02 09:30:00,59.6,59.69,59.55,59.55,6138
2026-03-02 09:31:00,59.55,59.62,59.43,59.43,6834
2026-03-02 09:32:00,59.43,59.6,59.43,59.6,6429
2026-03-02 09:33:00,59.59,59.7,59.58,59.65,19464
2026-03-02 09:34:00,59.65,59.65,59.52,59.59,7627
2026-03-02 09:35:00,59.59,59.59,59.45,59.5,11829
2026-03-02 09:36:00,59.5,59.5,59.41,59.41,13971
2026-03-02 09:37:00,59.46,59.5,59.4,59.44,2054
2026-03-02 09:38:00,59.43,59.49,59.42,59.42,5103
2026-03-02 09:39:00,59.42,59.5,59.41,59.5,3700
2026-03-02 09:40:00,59.5,59.56,59.42,59.49,20726
2026-03-02 09:41:00,59.4,59.64,59.4,59.54,42384
2026-03-02 09:42:00,59.55,59.56,59.39,59.5,10217
2026-03-02 09:43:00,59.46,59.64,59.46,59.64,4357
2026-03-02 09:44:00,59.63,59.75,59.63,59.72,6327
2026-03-02 09:45:00,59.72,59.89,59.72,59.84,12876
2026-03-02 09:46:00,59.84,59.89,59.84,59.85,22605
2026-03-02 09:47:00,59.85,60.06,59.85,60.0,24941
2026-03-02 09:48:00,60.0,60.15,60.0,60.09,7768
2026-03-02 09:49:00,60.06,60.06,59.91,59.91,13457
2026-03-02 09:50:00,59.91,59.91,59.79,59.85,1514
2026-03-02 09:51:00,59.84,59.88,59.79,59.88,5625
2026-03-02 09:52:00,59.88,59.9,59.81,59.87,6155
2026-03-02 09:53:00,59.81,59.81,59.75,59.75,3903
2026-03-02 09:54:00,59.75,59.79,59.61,59.61,4764
2026-03-02 09:55:00,59.61,59.73,59.56,59.69,6156
2026-03-02 09:56:00,59.69,59.83,59.69,59.83,7563
2026-03-02 09:57:00,59.83,59.89,59.77,59.89,14017
2026-03-02 09:58:00,59.99,60.0,59.89,59.97,3703
2026-03-02 09:59:00,59.99,59.99,59.94,59.99,13156
2026-03-02 10:00:00,59.99,59.99,59.94,59.94,4170
2026-03-02 10:01:00,59.9,60.05,59.86,59.86,8039
2026-03-02 10:02:00,59.86,59.95,59.86,59.94,1471
2026-03-02 10:03:00,59.94,59.94,59.86,59.86,1392
2026-03-02 10:04:00,59.94,59.94,59.9,59.9,1444
2026-03-02 10:05:00,59.9,59.9,59.8,59.8,11647
2026-03-02 10:06:00,59.87,59.87,59.8,59.86,1238
2026-03-02 10:07:00,59.86,59.86,59.7,59.77,13749
2026-03-02 10:08:00,59.77,59.77,59.62,59.62,2789
2026-03-02 10:09:00,59.67,59.67,59.57,59.6,23573
2026-03-02 10:10:00,59.6,59.6,59.55,59.6,1393
2026-03-02 10:11:00,59.6,59.6,59.6,59.6,726
2026-03-02 10:12:00,59.6,59.62,59.56,59.62,3594
2026-03-02 10:13:00,59.62,59.65,59.62,59.65,713
2026-03-02 10:14:00,59.65,59.65,59.52,59.61,9302
2026-03-02 10:15:00,59.61,59.64,59.56,59.56,1179
2026-03-02 10:16:00,59.56,59.6,59.52,59.56,665
2026-03-02 10:17:00,59.55,59.61,59.55,59.61,199
2026-03-02 10:18:00,59.61,59.61,59.52,59.59,3305
2026-03-02 10:19:00,59.59,59.59,59.52,59.55,6971
2026-03-02 10:20:00,59.55,59.55,59.51,59.51,1316
2026-03-02 10:21:00,59.55,59.55,59.51,59.54,2630
2026-03-02 10:22:00,59.54,59.54,59.5,59.5,2197
2026-03-02 10:23:00,59.5,59.5,59.5,59.5,1152
2026-03-02 10:24:00,59.5,59.54,59.5,59.54,1618
2026-03-02 10:25:00,59.5,59.53,59.5,59.53,3058
2026-03-02 10:26:00,59.5,59.53,59.5,59.53,977
2026-03-02 10:27:00,59.53,59.53,59.48,59.48,10490
2026-03-02 10:28:00,59.46,59.46,59.35,59.35,10202
2026-03-02 10:29:00,59.38,59.38,59.3,59.3,4915
2026-03-02 10:30:00,59.3,59.3,59.27,59.27,1915
