tradingsymbol,datetime,open,high,low,close,volume
ACMESOLAR,2026-04-09 09:15:00,272.0,272.95,269.6,270.4,12875
ACMESOLAR,2026-04-09 09:16:00,271.15,271.15,270.45,270.65,6078
ACMESOLAR,2026-04-09 09:17:00,270.75,271.15,270.6,271.15,1715
ACMESOLAR,2026-04-09 09:18:00,271.15,272.85,271.15,272.75,5866
ACMESOLAR,2026-04-09 09:19:00,272.8,274.5,272.8,273.85,9480
ACMESOLAR,2026-04-09 09:20:00,273.85,275.1,273.1,273.1,15563
ACMESOLAR,2026-04-09 09:21:00,273.55,273.8,273.5,273.8,5029
ACMESOLAR,2026-04-09 09:22:00,273.8,274.55,273.55,274.55,5949
ACMESOLAR,2026-04-09 09:23:00,274.45,274.6,274.1,274.1,3534
ACMESOLAR,2026-04-09 09:24:00,274.35,274.6,274.2,274.6,6321
ACMESOLAR,2026-04-09 09:25:00,274.4,275.0,274.4,274.7,3909
ACMESOLAR,2026-04-09 09:26:00,274.75,274.75,274.35,274.4,1538
ACMESOLAR,2026-04-09 09:27:00,274.4,274.4,273.65,273.65,2940
ACMESOLAR,2026-04-09 09:28:00,274.05,274.4,273.75,274.0,1688
ACMESOLAR,2026-04-09 09:29:00,273.95,273.95,273.0,273.0,2984
ACMESOLAR,2026-04-09 09:30:00,273.25,273.45,273.0,273.0,2397
ACMESOLAR,2026-04-09 09:31:00,273.05,273.3,272.9,272.9,5437
ACMESOLAR,2026-04-09 09:32:00,273.0,273.0,272.7,272.9,3505
ACMESOLAR,2026-04-09 09:33:00,272.85,272.85,271.9,272.0,7343
ACMESOLAR,2026-04-09 09:34:00,271.9,271.9,271.6,271.75,1054
ACMESOLAR,2026-04-09 09:35:00,271.75,272.4,271.75,272.05,2718
ACMESOLAR,2026-04-09 09:36:00,272.05,272.4,271.8,271.8,1762
ACMESOLAR,2026-04-09 09:37:00,272.1,272.1,271.85,271.85,3092
ACMESOLAR,2026-04-09 09:38:00,272.1,272.1,271.85,271.95,9515
ACMESOLAR,2026-04-09 09:39:00,271.9,271.9,271.7,271.75,10006
ACMESOLAR,2026-04-09 09:40:00,271.75,271.9,271.75,271.9,163
ACMESOLAR,2026-04-09 09:41:00,271.65,271.85,271.5,271.7,1611
ACMESOLAR,2026-04-09 09:42:00,271.7,271.7,271.35,271.45,2461
ACMESOLAR,2026-04-09 09:43:00,271.15,271.45,271.0,271.15,2378
ACMESOLAR,2026-04-09 09:44:00,271.15,271.35,271.15,271.35,26
ACMESOLAR,2026-04-09 09:45:00,271.35,271.65,271.35,271.65,368
ACMESOLAR,2026-04-09 09:46:00,271.65,271.85,271.5,271.85,780
ACMESOLAR,2026-04-09 09:47:00,271.85,272.0,271.85,271.85,750
ACMESOLAR,2026-04-09 09:48:00,272.0,272.0,271.5,271.5,427
ACMESOLAR,2026-04-09 09:49:00,271.55,271.8,271.35,271.5,2678
ACMESOLAR,2026-04-09 09:50:00,271.3,271.35,271.15,271.35,5841
