tradingsymbol,datetime,open,high,low,close,volume
AEGISVOPAK,2026-04-09 09:15:00,190.5,190.5,188.99,189.64,5915
AEGISVOPAK,2026-04-09 09:16:00,189.16,190.62,189.16,190.2,15878
AEGISVOPAK,2026-04-09 09:17:00,190.2,190.63,189.28,190.63,13157
AEGISVOPAK,2026-04-09 09:18:00,190.64,191.21,190.37,191.21,2590
AEGISVOPAK,2026-04-09 09:19:00,191.21,191.45,190.84,191.0,4538
AEGISVOPAK,2026-04-09 09:20:00,190.83,191.54,190.83,191.54,11400
AEGISVOPAK,2026-04-09 09:21:00,191.3,191.75,191.3,191.75,1599
AEGISVOPAK,2026-04-09 09:22:00,191.75,192.0,191.74,192.0,10703
AEGISVOPAK,2026-04-09 09:23:00,191.85,193.02,191.85,193.02,2138
AEGISVOPAK,2026-04-09 09:24:00,193.0,194.4,193.0,193.94,21762
AEGISVOPAK,2026-04-09 09:25:00,194.19,194.31,192.5,192.87,27671
AEGISVOPAK,2026-04-09 09:26:00,192.91,193.29,192.55,192.68,2723
AEGISVOPAK,2026-04-09 09:27:00,192.68,193.59,192.68,192.87,13895
AEGISVOPAK,2026-04-09 09:28:00,193.0,193.0,192.06,192.06,11878
AEGISVOPAK,2026-04-09 09:29:00,192.02,192.83,192.02,192.37,26500
AEGISVOPAK,2026-04-09 09:30:00,192.24,192.4,192.09,192.4,1368
AEGISVOPAK,2026-04-09 09:31:00,192.17,192.17,191.12,191.12,8770
AEGISVOPAK,2026-04-09 09:32:00,191.12,191.12,190.82,190.82,2003
AEGISVOPAK,2026-04-09 09:33:00,190.85,191.0,190.65,190.98,1210
AEGISVOPAK,2026-04-09 09:34:00,190.77,190.77,190.31,190.31,1583
AEGISVOPAK,2026-04-09 09:35:00,190.31,190.58,190.09,190.3,4518
AEGISVOPAK,2026-04-09 09:36:00,190.2,190.45,190.19,190.45,369
AEGISVOPAK,2026-04-09 09:37:00,190.3,190.33,190.0,190.16,350
AEGISVOPAK,2026-04-09 09:38:00,190.16,190.7,190.03,190.7,1255
AEGISVOPAK,2026-04-09 09:39:00,190.7,190.89,190.53,190.53,4527
AEGISVOPAK,2026-04-09 09:40:00,190.53,191.01,190.53,191.01,4507
AEGISVOPAK,2026-04-09 09:41:00,191.11,191.5,191.11,191.11,3099
AEGISVOPAK,2026-04-09 09:42:00,191.11,191.11,190.71,190.71,960
AEGISVOPAK,2026-04-09 09:43:00,190.55,190.64,190.33,190.36,1173
AEGISVOPAK,2026-04-09 09:44:00,190.4,190.48,190.26,190.28,2863
AEGISVOPAK,2026-04-09 09:45:00,190.22,190.59,190.22,190.33,10579
AEGISVOPAK,2026-04-09 09:46:00,190.33,190.33,190.33,190.33,0
AEGISVOPAK,2026-04-09 09:47:00,190.33,190.81,190.33,190.81,375
AEGISVOPAK,2026-04-09 09:48:00,190.81,190.81,190.72,190.72,75
AEGISVOPAK,2026-04-09 09:49:00,190.72,190.72,190.17,190.17,1235
AEGISVOPAK,2026-04-09 09:50:00,190.17,190.17,189.6,190.0,17757
AEGISVOPAK,2026-04-09 09:51:00,189.75,189.75,189.49,189.5,3040
AEGISVOPAK,2026-04-09 09:52:00,189.5,189.54,189.27,189.27,1319
AEGISVOPAK,2026-04-09 09:53:00,189.27,189.59,189.27,189.59,288
AEGISVOPAK,2026-04-09 09:54:00,189.59,189.59,189.59,189.59,0
AEGISVOPAK,2026-04-09 09:55:00,189.59,189.66,189.4,189.4,834
AEGISVOPAK,2026-04-09 09:56:00,189.4,189.4,189.05,189.05,100
AEGISVOPAK,2026-04-09 09:57:00,189.05,189.05,188.02,188.02,25328
AEGISVOPAK,2026-04-09 09:58:00,188.02,188.5,188.02,188.5,2687
AEGISVOPAK,2026-04-09 09:59:00,188.69,188.72,188.64,188.64,203
AEGISVOPAK,2026-04-09 10:00:00,188.64,188.64,188.1,188.46,1291
AEGISVOPAK,2026-04-09 10:01:00,188.46,188.46,188.46,188.46,0
AEGISVOPAK,2026-04-09 10:02:00,188.46,188.77,188.41,188.77,10395
AEGISVOPAK,2026-04-09 10:03:00,188.77,189.55,188.71,189.36,7013
AEGISVOPAK,2026-04-09 10:04:00,189.27,189.87,189.21,189.79,8120
AEGISVOPAK,2026-04-09 10:05:00,189.79,189.79,189.77,189.77,3
AEGISVOPAK,2026-04-09 10:06:00,189.77,189.77,189.54,189.57,646
AEGISVOPAK,2026-04-09 10:07:00,189.57,189.57,189.54,189.54,80
AEGISVOPAK,2026-04-09 10:08:00,189.54,189.54,189.54,189.54,0
AEGISVOPAK,2026-04-09 10:09:00,189.54,189.59,189.24,189.24,565
AEGISVOPAK,2026-04-09 10:10:00,189.24,189.24,189.24,189.24,0
AEGISVOPAK,2026-04-09 10:11:00,189.24,189.25,189.21,189.21,988
AEGISVOPAK,2026-04-09 10:12:00,189.21,189.21,189.21,189.21,235
AEGISVOPAK,2026-04-09 10:13:00,189.21,189.21,189.21,189.21,10
AEGISVOPAK,2026-04-09 10:14:00,189.21,189.3,189.18,189.22,678
AEGISVOPAK,2026-04-09 10:15:00,189.22,189.22,189.01,189.2,114
AEGISVOPAK,2026-04-09 10:16:00,189.0,189.16,189.0,189.16,605
AEGISVOPAK,2026-04-09 10:17:00,189.01,189.48,189.01,189.45,673
AEGISVOPAK,2026-04-09 10:18:00,189.45,189.91,189.45,189.9,962
AEGISVOPAK,2026-04-09 10:19:00,190.0,191.01,190.0,191.01,6257
AEGISVOPAK,2026-04-09 10:20:00,191.01,191.26,191.01,191.25,287
AEGISVOPAK,2026-04-09 10:21:00,191.25,191.95,191.25,191.95,3149
AEGISVOPAK,2026-04-09 10:22:00,191.95,192.15,191.75,192.15,8835
AEGISVOPAK,2026-04-09 10:23:00,192.15,192.3,191.99,192.23,4505
AEGISVOPAK,2026-04-09 10:24:00,192.23,192.23,191.99,191.99,137
AEGISVOPAK,2026-04-09 10:25:00,191.99,191.99,191.99,191.99,449
AEGISVOPAK,2026-04-09 10:26:00,191.99,192.08,191.7,191.8,2764
AEGISVOPAK,2026-04-09 10:27:00,191.8,191.8,191.26,191.47,2474
AEGISVOPAK,2026-04-09 10:28:00,191.47,191.47,191.2,191.2,928
AEGISVOPAK,2026-04-09 10:29:00,191.2,191.2,191.2,191.2,2880
AEGISVOPAK,2026-04-09 10:30:00,191.2,191.2,191.2,191.2,0
AEGISVOPAK,2026-04-09 10:31:00,191.2,191.23,191.2,191.23,500
AEGISVOPAK,2026-04-09 10:32:00,191.55,192.8,191.55,192.8,4015
AEGISVOPAK,2026-04-09 10:33:00,192.8,193.2,192.8,193.1,17675
AEGISVOPAK,2026-04-09 10:34:00,193.1,193.1,192.79,193.04,342
AEGISVOPAK,2026-04-09 10:35:00,193.04,193.04,193.0,193.04,1120
AEGISVOPAK,2026-04-09 10:36:00,193.04,193.15,192.5,192.5,747
