tradingsymbol,datetime,open,high,low,close,volume
AFCONS,2026-04-09 09:15:00,305.05,305.4,303.35,303.65,5809
AFCONS,2026-04-09 09:16:00,304.4,304.95,303.7,304.6,4382
AFCONS,2026-04-09 09:17:00,304.6,306.0,304.6,305.9,4269
AFCONS,2026-04-09 09:18:00,306.5,307.4,306.0,307.4,2570
AFCONS,2026-04-09 09:19:00,307.4,307.8,307.2,307.2,1995
AFCONS,2026-04-09 09:20:00,307.1,308.95,307.1,308.6,3359
AFCONS,2026-04-09 09:21:00,308.6,309.1,308.3,308.4,1580
AFCONS,2026-04-09 09:22:00,308.4,309.0,308.4,309.0,3014
AFCONS,2026-04-09 09:23:00,309.0,309.7,308.85,309.5,2517
AFCONS,2026-04-09 09:24:00,309.3,309.5,309.15,309.45,1584
AFCONS,2026-04-09 09:25:00,309.2,309.65,309.2,309.65,1514
AFCONS,2026-04-09 09:26:00,309.8,309.9,309.5,309.9,3178
AFCONS,2026-04-09 09:27:00,309.9,309.9,309.65,309.9,1220
AFCONS,2026-04-09 09:28:00,309.85,310.75,309.85,310.25,5010
AFCONS,2026-04-09 09:29:00,310.25,310.55,309.75,309.75,835
AFCONS,2026-04-09 09:30:00,309.95,310.0,309.3,309.3,1341
AFCONS,2026-04-09 09:31:00,308.8,308.8,307.4,307.4,1767
AFCONS,2026-04-09 09:32:00,307.4,308.0,307.2,308.0,3665
AFCONS,2026-04-09 09:33:00,308.0,308.05,307.45,307.45,783
AFCONS,2026-04-09 09:34:00,307.45,308.2,307.4,308.15,3835
AFCONS,2026-04-09 09:35:00,308.25,308.45,308.0,308.45,2598
AFCONS,2026-04-09 09:36:00,308.55,309.5,308.45,309.15,538
AFCONS,2026-04-09 09:37:00,309.5,309.5,309.2,309.2,598
AFCONS,2026-04-09 09:38:00,309.2,309.5,309.15,309.15,2440
AFCONS,2026-04-09 09:39:00,309.0,309.25,308.35,308.35,1580
AFCONS,2026-04-09 09:40:00,308.15,308.65,308.15,308.65,238
AFCONS,2026-04-09 09:41:00,308.55,308.9,308.35,308.35,518
AFCONS,2026-04-09 09:42:00,308.55,308.55,308.15,308.25,1347
AFCONS,2026-04-09 09:43:00,308.25,308.25,307.45,307.85,1171
AFCONS,2026-04-09 09:44:00,307.85,307.9,307.5,307.55,1101
AFCONS,2026-04-09 09:45:00,307.85,308.6,307.85,308.6,637
AFCONS,2026-04-09 09:46:00,308.5,308.5,308.25,308.25,130
AFCONS,2026-04-09 09:47:00,308.95,309.05,308.4,309.05,2210
AFCONS,2026-04-09 09:48:00,309.05,309.1,308.85,308.85,64
AFCONS,2026-04-09 09:49:00,308.85,308.85,308.0,308.0,2454
AFCONS,2026-04-09 09:50:00,307.55,307.55,307.0,307.0,3994
AFCONS,2026-04-09 09:51:00,306.9,306.9,306.8,306.8,1159
AFCONS,2026-04-09 09:52:00,306.8,306.8,306.5,306.75,613
AFCONS,2026-04-09 09:53:00,306.5,306.75,306.5,306.5,299
AFCONS,2026-04-09 09:54:00,306.5,306.8,306.5,306.5,1686
AFCONS,2026-04-09 09:55:00,306.5,306.5,305.8,306.0,1678
AFCONS,2026-04-09 09:56:00,306.0,306.35,306.0,306.35,193
AFCONS,2026-04-09 09:57:00,306.35,306.35,305.8,306.0,2336
AFCONS,2026-04-09 09:58:00,306.0,306.0,305.8,305.8,872
AFCONS,2026-04-09 09:59:00,305.8,306.0,305.1,305.5,1841
AFCONS,2026-04-09 10:00:00,305.5,305.5,305.5,305.5,228
AFCONS,2026-04-09 10:01:00,305.5,305.5,305.1,305.1,460
AFCONS,2026-04-09 10:02:00,305.1,305.85,305.1,305.85,478
AFCONS,2026-04-09 10:03:00,305.85,306.15,305.85,306.15,85
AFCONS,2026-04-09 10:04:00,306.15,306.15,306.0,306.0,2639
AFCONS,2026-04-09 10:05:00,305.8,306.0,305.8,306.0,75
AFCONS,2026-04-09 10:06:00,306.0,306.2,305.55,306.05,1172
AFCONS,2026-04-09 10:07:00,306.05,306.05,306.0,306.0,482
AFCONS,2026-04-09 10:08:00,306.0,306.0,306.0,306.0,267
AFCONS,2026-04-09 10:09:00,306.0,306.0,305.75,306.0,142
AFCONS,2026-04-09 10:10:00,306.0,306.15,305.85,306.15,211
AFCONS,2026-04-09 10:11:00,306.15,306.25,305.95,306.25,31
AFCONS,2026-04-09 10:12:00,306.25,306.3,306.1,306.1,420
AFCONS,2026-04-09 10:13:00,306.1,306.3,306.1,306.3,37
AFCONS,2026-04-09 10:14:00,306.3,306.3,306.1,306.1,125
AFCONS,2026-04-09 10:15:00,306.35,306.35,306.0,306.0,3153
AFCONS,2026-04-09 10:16:00,305.95,306.05,305.8,305.9,497
AFCONS,2026-04-09 10:17:00,305.9,306.65,305.9,306.65,927
AFCONS,2026-04-09 10:18:00,306.65,307.15,306.65,307.0,310
AFCONS,2026-04-09 10:19:00,307.0,307.3,307.0,307.3,23
AFCONS,2026-04-09 10:20:00,307.3,307.3,307.3,307.3,977
AFCONS,2026-04-09 10:21:00,307.3,307.3,307.0,307.0,92
AFCONS,2026-04-09 10:22:00,307.0,307.2,307.0,307.2,75
AFCONS,2026-04-09 10:23:00,306.8,306.8,306.8,306.8,749
AFCONS,2026-04-09 10:24:00,306.5,306.5,306.45,306.45,46
AFCONS,2026-04-09 10:25:00,306.45,306.85,306.45,306.8,611
AFCONS,2026-04-09 10:26:00,306.8,306.8,306.45,306.45,63
AFCONS,2026-04-09 10:27:00,306.45,306.8,306.45,306.8,229
AFCONS,2026-04-09 10:28:00,306.8,306.8,306.6,306.6,10
AFCONS,2026-04-09 10:29:00,306.6,306.9,306.6,306.85,16
AFCONS,2026-04-09 10:30:00,306.75,307.15,306.75,306.8,1510
AFCONS,2026-04-09 10:31:00,307.15,307.25,307.15,307.25,4
AFCONS,2026-04-09 10:32:00,307.25,307.25,307.25,307.25,2
AFCONS,2026-04-09 10:33:00,307.25,307.25,307.05,307.25,35
