tradingsymbol,datetime,open,high,low,close,volume
ALKYLAMINE,2026-04-09 09:15:00,1380.8,1380.8,1368.3,1374.4,475
ALKYLAMINE,2026-04-09 09:16:00,1375.8,1382.0,1375.8,1377.1,499
ALKYLAMINE,2026-04-09 09:17:00,1377.1,1383.6,1377.1,1383.6,80
ALKYLAMINE,2026-04-09 09:18:00,1383.6,1388.1,1383.1,1387.0,272
ALKYLAMINE,2026-04-09 09:19:00,1386.9,1392.0,1386.9,1392.0,1289
ALKYLAMINE,2026-04-09 09:20:00,1390.3,1394.4,1390.3,1394.4,610
ALKYLAMINE,2026-04-09 09:21:00,1394.1,1395.7,1394.1,1395.7,203
ALKYLAMINE,2026-04-09 09:22:00,1395.2,1402.5,1395.2,1402.5,177
ALKYLAMINE,2026-04-09 09:23:00,1402.2,1404.5,1396.9,1396.9,709
ALKYLAMINE,2026-04-09 09:24:00,1396.9,1399.1,1394.1,1394.1,313
ALKYLAMINE,2026-04-09 09:25:00,1394.1,1395.5,1393.6,1393.6,29
ALKYLAMINE,2026-04-09 09:26:00,1393.6,1393.7,1390.4,1390.4,255
ALKYLAMINE,2026-04-09 09:27:00,1390.4,1391.0,1390.4,1391.0,75
ALKYLAMINE,2026-04-09 09:28:00,1393.8,1393.8,1393.0,1393.2,462
ALKYLAMINE,2026-04-09 09:29:00,1393.2,1396.1,1393.2,1396.1,202
ALKYLAMINE,2026-04-09 09:30:00,1396.1,1396.1,1387.8,1389.7,750
ALKYLAMINE,2026-04-09 09:31:00,1389.7,1389.7,1386.9,1386.9,243
ALKYLAMINE,2026-04-09 09:32:00,1385.0,1385.0,1382.0,1383.8,507
ALKYLAMINE,2026-04-09 09:33:00,1383.9,1383.9,1377.0,1379.1,286
ALKYLAMINE,2026-04-09 09:34:00,1379.1,1379.1,1375.7,1378.1,122
ALKYLAMINE,2026-04-09 09:35:00,1378.1,1379.9,1378.1,1379.9,19
ALKYLAMINE,2026-04-09 09:36:00,1379.9,1385.2,1379.9,1385.2,722
ALKYLAMINE,2026-04-09 09:37:00,1385.2,1385.2,1383.5,1383.5,1
ALKYLAMINE,2026-04-09 09:38:00,1382.8,1382.8,1377.2,1378.1,558
ALKYLAMINE,2026-04-09 09:39:00,1378.1,1378.3,1376.2,1376.2,219
ALKYLAMINE,2026-04-09 09:40:00,1376.2,1379.0,1376.2,1379.0,17
ALKYLAMINE,2026-04-09 09:41:00,1379.0,1379.7,1379.0,1379.7,83
ALKYLAMINE,2026-04-09 09:42:00,1379.4,1379.4,1373.0,1373.9,400
ALKYLAMINE,2026-04-09 09:43:00,1373.9,1373.9,1371.0,1373.1,371
ALKYLAMINE,2026-04-09 09:44:00,1373.1,1375.9,1372.8,1373.9,532
ALKYLAMINE,2026-04-09 09:45:00,1372.5,1372.5,1372.5,1372.5,22
ALKYLAMINE,2026-04-09 09:46:00,1372.5,1372.5,1372.5,1372.5,11
ALKYLAMINE,2026-04-09 09:47:00,1372.5,1373.9,1372.0,1373.9,67
ALKYLAMINE,2026-04-09 09:48:00,1373.9,1374.7,1370.9,1370.9,376
