tradingsymbol,datetime,open,high,low,close,volume
APOLLOTYRE,2026-04-09 09:15:00,429.25,429.95,427.15,427.9,14862
APOLLOTYRE,2026-04-09 09:16:00,428.95,429.0,427.5,427.6,7328
APOLLOTYRE,2026-04-09 09:17:00,427.3,428.6,427.05,428.6,12310
APOLLOTYRE,2026-04-09 09:18:00,429.25,431.25,429.25,431.25,14958
APOLLOTYRE,2026-04-09 09:19:00,430.75,431.55,430.75,431.25,8775
APOLLOTYRE,2026-04-09 09:20:00,431.7,432.8,431.15,431.35,11363
APOLLOTYRE,2026-04-09 09:21:00,430.85,432.15,430.85,432.05,3403
APOLLOTYRE,2026-04-09 09:22:00,432.15,432.15,430.9,431.25,15535
APOLLOTYRE,2026-04-09 09:23:00,431.25,432.2,431.25,432.2,1880
APOLLOTYRE,2026-04-09 09:24:00,432.2,432.8,432.2,432.8,1211
APOLLOTYRE,2026-04-09 09:25:00,433.0,433.0,432.7,432.8,7272
APOLLOTYRE,2026-04-09 09:26:00,432.9,433.35,432.65,432.75,3853
APOLLOTYRE,2026-04-09 09:27:00,432.8,433.35,432.6,433.35,5884
APOLLOTYRE,2026-04-09 09:28:00,433.35,433.6,433.0,433.6,4195
APOLLOTYRE,2026-04-09 09:29:00,433.65,434.0,433.6,433.6,4509
APOLLOTYRE,2026-04-09 09:30:00,433.65,433.7,432.95,432.95,2825
APOLLOTYRE,2026-04-09 09:31:00,432.75,432.8,431.5,431.9,3287
APOLLOTYRE,2026-04-09 09:32:00,431.7,432.0,431.55,431.95,1677
APOLLOTYRE,2026-04-09 09:33:00,431.95,431.95,431.7,431.75,655
APOLLOTYRE,2026-04-09 09:34:00,431.75,433.0,431.75,433.0,15783
APOLLOTYRE,2026-04-09 09:35:00,432.75,432.9,432.65,432.8,705
APOLLOTYRE,2026-04-09 09:36:00,432.65,433.05,432.65,433.05,6854
APOLLOTYRE,2026-04-09 09:37:00,433.25,433.25,431.75,431.95,4172
APOLLOTYRE,2026-04-09 09:38:00,432.0,432.0,431.25,431.25,1106
APOLLOTYRE,2026-04-09 09:39:00,431.05,431.55,431.05,431.55,2561
APOLLOTYRE,2026-04-09 09:40:00,431.55,431.85,431.55,431.75,1086
APOLLOTYRE,2026-04-09 09:41:00,431.8,431.8,431.2,431.2,23719
APOLLOTYRE,2026-04-09 09:42:00,430.6,431.0,430.55,430.9,10946
APOLLOTYRE,2026-04-09 09:43:00,431.0,431.0,430.7,430.7,946
APOLLOTYRE,2026-04-09 09:44:00,430.5,430.7,430.3,430.35,1760
APOLLOTYRE,2026-04-09 09:45:00,430.35,430.6,430.35,430.5,4302
APOLLOTYRE,2026-04-09 09:46:00,430.5,430.85,430.4,430.65,1099
APOLLOTYRE,2026-04-09 09:47:00,430.65,430.65,430.35,430.35,854
APOLLOTYRE,2026-04-09 09:48:00,430.5,430.5,429.65,429.65,1234
APOLLOTYRE,2026-04-09 09:49:00,429.65,430.0,429.6,429.6,4503
APOLLOTYRE,2026-04-09 09:50:00,429.3,429.7,429.05,429.05,2200
APOLLOTYRE,2026-04-09 09:51:00,429.1,429.25,428.6,428.6,2068
APOLLOTYRE,2026-04-09 09:52:00,428.6,429.2,428.6,429.15,2306
APOLLOTYRE,2026-04-09 09:53:00,429.15,429.25,429.0,429.0,511
APOLLOTYRE,2026-04-09 09:54:00,429.0,429.15,428.9,429.0,1019
APOLLOTYRE,2026-04-09 09:55:00,429.0,429.0,428.45,428.7,1317
APOLLOTYRE,2026-04-09 09:56:00,428.8,428.8,428.45,428.65,1312
APOLLOTYRE,2026-04-09 09:57:00,428.65,428.65,428.25,428.25,220
APOLLOTYRE,2026-04-09 09:58:00,428.3,428.55,428.3,428.55,650
APOLLOTYRE,2026-04-09 09:59:00,428.55,428.55,428.15,428.45,1292
APOLLOTYRE,2026-04-09 10:00:00,428.2,428.25,427.95,428.1,4617
APOLLOTYRE,2026-04-09 10:01:00,428.2,428.8,428.1,428.8,911
APOLLOTYRE,2026-04-09 10:02:00,428.8,429.0,428.8,429.0,421
APOLLOTYRE,2026-04-09 10:03:00,429.0,430.25,429.0,430.05,2434
APOLLOTYRE,2026-04-09 10:04:00,429.75,429.8,429.35,429.6,1195
APOLLOTYRE,2026-04-09 10:05:00,429.6,429.6,429.35,429.5,723
APOLLOTYRE,2026-04-09 10:06:00,429.5,429.6,429.35,429.6,281
APOLLOTYRE,2026-04-09 10:07:00,429.6,429.6,429.25,429.55,365
APOLLOTYRE,2026-04-09 10:08:00,429.4,429.6,429.4,429.6,297
APOLLOTYRE,2026-04-09 10:09:00,429.6,429.6,429.5,429.5,362
APOLLOTYRE,2026-04-09 10:10:00,429.5,429.65,429.5,429.65,305
APOLLOTYRE,2026-04-09 10:11:00,429.7,429.75,429.5,429.75,147
APOLLOTYRE,2026-04-09 10:12:00,429.75,430.1,429.75,429.95,1194
APOLLOTYRE,2026-04-09 10:13:00,429.95,429.95,429.5,429.7,904
APOLLOTYRE,2026-04-09 10:14:00,429.7,429.7,429.55,429.55,177
APOLLOTYRE,2026-04-09 10:15:00,429.55,429.6,429.5,429.6,1395
APOLLOTYRE,2026-04-09 10:16:00,429.45,429.5,429.35,429.35,460
APOLLOTYRE,2026-04-09 10:17:00,429.35,429.7,429.35,429.7,1343
APOLLOTYRE,2026-04-09 10:18:00,429.7,430.6,429.7,430.2,126
APOLLOTYRE,2026-04-09 10:19:00,430.4,430.45,430.15,430.45,290
APOLLOTYRE,2026-04-09 10:20:00,430.45,430.45,430.3,430.4,559
APOLLOTYRE,2026-04-09 10:21:00,430.4,430.55,430.2,430.3,353
APOLLOTYRE,2026-04-09 10:22:00,430.2,430.2,430.2,430.2,66
APOLLOTYRE,2026-04-09 10:23:00,430.1,430.2,430.1,430.2,141
APOLLOTYRE,2026-04-09 10:24:00,430.2,430.3,430.1,430.3,189
APOLLOTYRE,2026-04-09 10:25:00,430.3,430.3,430.2,430.2,72
APOLLOTYRE,2026-04-09 10:26:00,430.2,431.0,430.1,430.1,1590
APOLLOTYRE,2026-04-09 10:27:00,430.3,430.45,430.3,430.3,198
APOLLOTYRE,2026-04-09 10:28:00,430.3,430.45,430.3,430.4,3439
APOLLOTYRE,2026-04-09 10:29:00,430.3,430.4,430.3,430.3,165
APOLLOTYRE,2026-04-09 10:30:00,430.55,431.0,430.4,430.6,2233
APOLLOTYRE,2026-04-09 10:31:00,430.6,430.6,430.55,430.6,5529
APOLLOTYRE,2026-04-09 10:32:00,430.6,430.85,430.6,430.85,10
APOLLOTYRE,2026-04-09 10:33:00,430.85,431.0,430.85,431.0,691
APOLLOTYRE,2026-04-09 10:34:00,431.0,431.2,430.85,431.2,646
APOLLOTYRE,2026-04-09 10:35:00,431.2,431.9,431.05,431.9,2380
APOLLOTYRE,2026-04-09 10:36:00,431.9,431.9,431.3,431.3,1095
APOLLOTYRE,2026-04-09 10:37:00,431.3,431.45,431.15,431.4,279
APOLLOTYRE,2026-04-09 10:38:00,431.4,431.4,431.0,431.0,1306
APOLLOTYRE,2026-04-09 10:39:00,431.0,431.0,431.0,431.0,159
APOLLOTYRE,2026-04-09 10:40:00,431.0,431.0,430.6,430.85,478
