tradingsymbol,datetime,open,high,low,close,volume
AXISBANK,2026-04-09 09:15:00,1322.3,1327.1,1316.0,1317.6,101529
AXISBANK,2026-04-09 09:16:00,1317.6,1319.6,1316.1,1318.7,21447
AXISBANK,2026-04-09 09:17:00,1318.3,1320.6,1317.6,1319.5,48105
AXISBANK,2026-04-09 09:18:00,1319.6,1320.1,1318.0,1319.3,24299
AXISBANK,2026-04-09 09:19:00,1319.3,1322.2,1319.3,1321.6,13708
AXISBANK,2026-04-09 09:20:00,1321.6,1322.3,1319.4,1321.6,61397
AXISBANK,2026-04-09 09:21:00,1321.6,1322.5,1320.9,1322.0,14568
AXISBANK,2026-04-09 09:22:00,1322.0,1323.4,1322.0,1322.4,14474
AXISBANK,2026-04-09 09:23:00,1323.1,1323.1,1320.0,1320.0,11711
AXISBANK,2026-04-09 09:24:00,1320.0,1322.7,1319.8,1322.5,12596
AXISBANK,2026-04-09 09:25:00,1322.5,1323.1,1322.5,1322.6,8306
AXISBANK,2026-04-09 09:26:00,1322.8,1324.0,1322.0,1324.0,33249
AXISBANK,2026-04-09 09:27:00,1323.8,1323.8,1323.3,1323.4,6539
AXISBANK,2026-04-09 09:28:00,1323.4,1325.1,1323.0,1324.5,31986
AXISBANK,2026-04-09 09:29:00,1324.9,1324.9,1322.6,1323.4,9570
AXISBANK,2026-04-09 09:30:00,1324.0,1326.0,1322.2,1322.7,45376
AXISBANK,2026-04-09 09:31:00,1322.7,1322.9,1322.0,1322.7,12375
AXISBANK,2026-04-09 09:32:00,1322.7,1324.6,1322.6,1323.7,14262
AXISBANK,2026-04-09 09:33:00,1322.6,1322.7,1321.6,1322.1,17217
AXISBANK,2026-04-09 09:34:00,1322.1,1322.5,1321.4,1322.2,14146
AXISBANK,2026-04-09 09:35:00,1322.2,1323.9,1322.2,1323.8,18341
AXISBANK,2026-04-09 09:36:00,1324.0,1325.0,1324.0,1324.9,15081
AXISBANK,2026-04-09 09:37:00,1324.9,1325.4,1324.7,1324.9,15505
AXISBANK,2026-04-09 09:38:00,1324.9,1324.9,1323.4,1323.6,8298
AXISBANK,2026-04-09 09:39:00,1323.6,1325.0,1322.9,1325.0,13669
AXISBANK,2026-04-09 09:40:00,1325.0,1326.4,1325.0,1326.0,14353
AXISBANK,2026-04-09 09:41:00,1325.6,1325.6,1324.2,1325.0,14716
AXISBANK,2026-04-09 09:42:00,1325.2,1325.2,1323.5,1324.0,6887
AXISBANK,2026-04-09 09:43:00,1324.0,1325.0,1323.2,1325.0,9454
AXISBANK,2026-04-09 09:44:00,1324.7,1325.1,1324.0,1325.1,4844
AXISBANK,2026-04-09 09:45:00,1325.4,1326.6,1324.7,1324.7,15780
AXISBANK,2026-04-09 09:46:00,1324.7,1326.5,1324.5,1326.5,7156
AXISBANK,2026-04-09 09:47:00,1326.9,1326.9,1325.2,1325.2,4916
AXISBANK,2026-04-09 09:48:00,1325.0,1326.2,1325.0,1325.5,7128
AXISBANK,2026-04-09 09:49:00,1325.2,1325.2,1323.3,1323.7,6521
AXISBANK,2026-04-09 09:50:00,1323.7,1323.7,1322.6,1323.5,11864
AXISBANK,2026-04-09 09:51:00,1323.5,1323.5,1322.1,1322.3,6026
AXISBANK,2026-04-09 09:52:00,1322.8,1325.1,1322.8,1325.1,13474
AXISBANK,2026-04-09 09:53:00,1325.1,1326.3,1324.3,1326.3,6793
AXISBANK,2026-04-09 09:54:00,1326.3,1327.5,1326.2,1327.2,11578
AXISBANK,2026-04-09 09:55:00,1327.5,1328.0,1325.9,1327.2,29116
AXISBANK,2026-04-09 09:56:00,1327.2,1327.6,1326.2,1326.9,6646
AXISBANK,2026-04-09 09:57:00,1326.9,1326.9,1325.1,1325.8,18509
AXISBANK,2026-04-09 09:58:00,1325.6,1325.6,1324.7,1324.7,5747
AXISBANK,2026-04-09 09:59:00,1324.4,1325.0,1323.7,1324.9,10942
AXISBANK,2026-04-09 10:00:00,1324.9,1324.9,1323.2,1324.3,10195
AXISBANK,2026-04-09 10:01:00,1324.8,1326.3,1324.8,1325.9,5817
AXISBANK,2026-04-09 10:02:00,1326.3,1326.7,1325.9,1326.7,33800
AXISBANK,2026-04-09 10:03:00,1326.6,1327.5,1326.3,1326.3,11706
AXISBANK,2026-04-09 10:04:00,1326.8,1326.9,1326.5,1326.5,4537
AXISBANK,2026-04-09 10:05:00,1326.3,1327.8,1325.9,1327.8,12580
AXISBANK,2026-04-09 10:06:00,1328.4,1328.8,1327.8,1327.8,10139
AXISBANK,2026-04-09 10:07:00,1327.8,1328.3,1327.2,1327.5,4748
AXISBANK,2026-04-09 10:08:00,1327.3,1327.8,1327.3,1327.4,3895
AXISBANK,2026-04-09 10:09:00,1327.6,1329.4,1327.0,1329.2,13366
AXISBANK,2026-04-09 10:10:00,1329.2,1330.9,1329.2,1330.8,18192
AXISBANK,2026-04-09 10:11:00,1330.8,1332.6,1330.4,1332.4,11743
AXISBANK,2026-04-09 10:12:00,1332.4,1332.9,1331.8,1332.8,18121
AXISBANK,2026-04-09 10:13:00,1332.8,1333.4,1332.5,1333.1,14453
AXISBANK,2026-04-09 10:14:00,1333.1,1333.6,1332.0,1332.5,15101
AXISBANK,2026-04-09 10:15:00,1332.7,1332.7,1331.4,1331.4,9052
AXISBANK,2026-04-09 10:16:00,1331.4,1331.9,1331.0,1331.9,5143
AXISBANK,2026-04-09 10:17:00,1331.9,1332.7,1331.9,1332.7,13175
AXISBANK,2026-04-09 10:18:00,1332.6,1334.2,1332.6,1333.2,16137
AXISBANK,2026-04-09 10:19:00,1333.2,1333.3,1332.3,1332.9,7308
AXISBANK,2026-04-09 10:20:00,1332.9,1332.9,1332.0,1332.0,4056
AXISBANK,2026-04-09 10:21:00,1331.8,1332.0,1331.1,1331.3,23881
AXISBANK,2026-04-09 10:22:00,1331.3,1333.0,1330.6,1331.7,35031
AXISBANK,2026-04-09 10:23:00,1331.6,1333.1,1331.3,1333.1,12989
AXISBANK,2026-04-09 10:24:00,1333.2,1333.7,1332.9,1333.7,7690
AXISBANK,2026-04-09 10:25:00,1333.7,1334.3,1332.4,1332.8,16926
AXISBANK,2026-04-09 10:26:00,1332.9,1332.9,1330.4,1331.6,9230
AXISBANK,2026-04-09 10:27:00,1331.6,1332.3,1331.1,1331.8,4798
AXISBANK,2026-04-09 10:28:00,1331.9,1332.2,1330.9,1331.3,19384
AXISBANK,2026-04-09 10:29:00,1331.3,1332.7,1331.0,1332.7,6720
AXISBANK,2026-04-09 10:30:00,1333.5,1337.1,1333.5,1337.1,32633
AXISBANK,2026-04-09 10:31:00,1335.9,1336.3,1334.2,1335.2,13981
AXISBANK,2026-04-09 10:32:00,1335.2,1335.9,1335.0,1335.3,7099
AXISBANK,2026-04-09 10:33:00,1335.4,1336.0,1335.3,1335.8,4836
AXISBANK,2026-04-09 10:34:00,1335.5,1335.9,1334.9,1335.9,12951
AXISBANK,2026-04-09 10:35:00,1335.9,1337.8,1335.1,1337.4,16446
AXISBANK,2026-04-09 10:36:00,1337.9,1338.6,1335.1,1335.8,21454
AXISBANK,2026-04-09 10:37:00,1335.9,1337.3,1335.9,1337.1,23817
AXISBANK,2026-04-09 10:38:00,1337.1,1337.1,1333.0,1333.3,12507
AXISBANK,2026-04-09 10:39:00,1333.3,1333.5,1331.4,1331.4,7591
AXISBANK,2026-04-09 10:40:00,1331.1,1331.1,1329.1,1329.5,32044
AXISBANK,2026-04-09 10:41:00,1329.2,1330.2,1328.5,1330.2,20828
AXISBANK,2026-04-09 10:42:00,1330.2,1330.2,1328.7,1329.1,16910
AXISBANK,2026-04-09 10:43:00,1329.1,1329.5,1328.4,1328.8,10573
AXISBANK,2026-04-09 10:44:00,1328.2,1328.8,1327.2,1327.9,40055
AXISBANK,2026-04-09 10:45:00,1327.9,1330.0,1327.3,1330.0,41508
AXISBANK,2026-04-09 10:46:00,1330.3,1331.0,1329.0,1330.8,8927
AXISBANK,2026-04-09 10:47:00,1330.8,1331.7,1330.5,1331.3,7606
AXISBANK,2026-04-09 10:48:00,1331.0,1331.3,1330.6,1330.7,1758
AXISBANK,2026-04-09 10:49:00,1330.7,1330.8,1330.0,1330.0,4186
AXISBANK,2026-04-09 10:50:00,1329.8,1329.8,1329.5,1329.7,1708
AXISBANK,2026-04-09 10:51:00,1329.7,1330.3,1329.5,1330.3,4910
AXISBANK,2026-04-09 10:52:00,1330.3,1330.4,1329.5,1329.5,3480
AXISBANK,2026-04-09 10:53:00,1329.5,1330.8,1328.6,1330.0,14598
AXISBANK,2026-04-09 10:54:00,1330.0,1330.2,1329.4,1330.2,4891
AXISBANK,2026-04-09 10:55:00,1330.2,1332.3,1330.2,1331.8,8863
AXISBANK,2026-04-09 10:56:00,1331.8,1331.8,1331.2,1331.7,2630
AXISBANK,2026-04-09 10:57:00,1331.6,1331.6,1329.6,1330.8,13406
AXISBANK,2026-04-09 10:58:00,1330.8,1331.2,1330.5,1330.9,2685
AXISBANK,2026-04-09 10:59:00,1330.9,1330.9,1330.5,1330.7,1387
AXISBANK,2026-04-09 11:00:00,1330.7,1332.0,1330.5,1331.9,5237
AXISBANK,2026-04-09 11:01:00,1331.9,1332.8,1331.9,1332.8,2942
AXISBANK,2026-04-09 11:02:00,1332.8,1334.6,1332.8,1334.3,11585
AXISBANK,2026-04-09 11:03:00,1334.3,1334.3,1332.4,1333.9,17371
AXISBANK,2026-04-09 11:04:00,1333.9,1334.3,1332.8,1333.2,27358
AXISBANK,2026-04-09 11:05:00,1333.2,1333.4,1332.4,1332.7,2486
AXISBANK,2026-04-09 11:06:00,1332.7,1332.7,1331.0,1331.0,2517
AXISBANK,2026-04-09 11:07:00,1330.8,1332.3,1330.8,1332.2,6289
AXISBANK,2026-04-09 11:08:00,1332.2,1333.7,1332.2,1333.7,3771
AXISBANK,2026-04-09 11:09:00,1333.7,1333.9,1332.9,1332.9,3446
AXISBANK,2026-04-09 11:10:00,1332.9,1333.7,1332.7,1333.7,3986
AXISBANK,2026-04-09 11:11:00,1333.5,1333.7,1332.5,1333.3,10298
AXISBANK,2026-04-09 11:12:00,1333.3,1333.3,1332.2,1332.3,3548
AXISBANK,2026-04-09 11:13:00,1332.5,1332.7,1330.5,1330.5,5763
AXISBANK,2026-04-09 11:14:00,1330.7,1330.8,1330.3,1330.8,3310
AXISBANK,2026-04-09 11:15:00,1330.8,1332.0,1330.8,1330.9,3725
AXISBANK,2026-04-09 11:16:00,1331.0,1331.0,1329.1,1329.9,7195
AXISBANK,2026-04-09 11:17:00,1330.0,1330.1,1329.2,1330.1,4999
AXISBANK,2026-04-09 11:18:00,1330.4,1330.4,1329.7,1329.8,6520
AXISBANK,2026-04-09 11:19:00,1329.9,1329.9,1329.2,1329.2,3863
AXISBANK,2026-04-09 11:20:00,1329.6,1330.0,1329.0,1329.0,6441
AXISBANK,2026-04-09 11:21:00,1328.9,1328.9,1327.5,1327.5,8646
AXISBANK,2026-04-09 11:22:00,1327.5,1329.5,1327.5,1329.2,36957
