tradingsymbol,datetime,open,high,low,close,volume
BAJAJHFL,2026-04-09 09:15:00,84.75,84.9,83.62,83.62,134262
BAJAJHFL,2026-04-09 09:16:00,83.88,83.99,83.71,83.85,82229
BAJAJHFL,2026-04-09 09:17:00,83.86,84.28,83.86,84.26,50013
BAJAJHFL,2026-04-09 09:18:00,84.26,84.5,84.26,84.42,61458
BAJAJHFL,2026-04-09 09:19:00,84.4,84.58,84.4,84.54,35252
BAJAJHFL,2026-04-09 09:20:00,84.5,84.8,84.5,84.5,77162
BAJAJHFL,2026-04-09 09:21:00,84.54,84.69,84.47,84.69,37924
BAJAJHFL,2026-04-09 09:22:00,84.66,84.69,84.58,84.58,39273
BAJAJHFL,2026-04-09 09:23:00,84.64,84.7,84.58,84.65,38125
BAJAJHFL,2026-04-09 09:24:00,84.66,84.7,84.52,84.7,34433
BAJAJHFL,2026-04-09 09:25:00,84.69,84.75,84.62,84.75,29879
BAJAJHFL,2026-04-09 09:26:00,84.67,84.67,84.61,84.65,34148
BAJAJHFL,2026-04-09 09:27:00,84.63,84.7,84.63,84.66,19767
BAJAJHFL,2026-04-09 09:28:00,84.7,84.79,84.7,84.75,25215
BAJAJHFL,2026-04-09 09:29:00,84.66,84.73,84.65,84.66,14974
BAJAJHFL,2026-04-09 09:30:00,84.72,84.72,84.63,84.63,33691
BAJAJHFL,2026-04-09 09:31:00,84.6,84.6,84.26,84.3,55584
BAJAJHFL,2026-04-09 09:32:00,84.29,84.3,84.22,84.23,28306
BAJAJHFL,2026-04-09 09:33:00,84.2,84.2,83.97,84.0,76992
BAJAJHFL,2026-04-09 09:34:00,84.03,84.19,84.0,84.1,21506
BAJAJHFL,2026-04-09 09:35:00,84.1,84.23,84.04,84.15,15542
BAJAJHFL,2026-04-09 09:36:00,84.25,84.31,84.19,84.26,13077
BAJAJHFL,2026-04-09 09:37:00,84.25,84.29,84.22,84.25,6482
BAJAJHFL,2026-04-09 09:38:00,84.29,84.29,84.21,84.28,24289
BAJAJHFL,2026-04-09 09:39:00,84.17,84.22,84.13,84.13,39369
BAJAJHFL,2026-04-09 09:40:00,84.11,84.12,84.0,84.09,90639
BAJAJHFL,2026-04-09 09:41:00,84.04,84.1,84.0,84.0,14875
BAJAJHFL,2026-04-09 09:42:00,84.0,84.01,83.9,83.9,22619
BAJAJHFL,2026-04-09 09:43:00,83.94,83.96,83.87,83.88,23751
BAJAJHFL,2026-04-09 09:44:00,83.9,83.95,83.89,83.9,17402
BAJAJHFL,2026-04-09 09:45:00,83.94,84.0,83.94,83.98,3563
BAJAJHFL,2026-04-09 09:46:00,83.93,84.0,83.93,83.94,19185
BAJAJHFL,2026-04-09 09:47:00,83.94,84.0,83.93,83.96,5483
BAJAJHFL,2026-04-09 09:48:00,83.93,83.97,83.79,83.88,28557
BAJAJHFL,2026-04-09 09:49:00,83.87,83.89,83.74,83.75,22464
BAJAJHFL,2026-04-09 09:50:00,83.7,83.74,83.65,83.65,21221
BAJAJHFL,2026-04-09 09:51:00,83.68,83.69,83.58,83.58,18088
BAJAJHFL,2026-04-09 09:52:00,83.64,83.68,83.57,83.6,13235
BAJAJHFL,2026-04-09 09:53:00,83.62,83.67,83.61,83.64,25274
BAJAJHFL,2026-04-09 09:54:00,83.64,83.66,83.58,83.58,5470
BAJAJHFL,2026-04-09 09:55:00,83.6,83.64,83.55,83.61,8220
BAJAJHFL,2026-04-09 09:56:00,83.6,83.6,83.45,83.45,49336
BAJAJHFL,2026-04-09 09:57:00,83.45,83.5,83.32,83.4,11459
BAJAJHFL,2026-04-09 09:58:00,83.4,83.5,83.4,83.49,12638
BAJAJHFL,2026-04-09 09:59:00,83.51,83.53,83.44,83.49,7156
BAJAJHFL,2026-04-09 10:00:00,83.5,83.5,83.35,83.43,25399
BAJAJHFL,2026-04-09 10:01:00,83.43,83.55,83.43,83.51,30490
BAJAJHFL,2026-04-09 10:02:00,83.57,83.62,83.5,83.56,14594
BAJAJHFL,2026-04-09 10:03:00,83.6,83.64,83.52,83.62,7402
BAJAJHFL,2026-04-09 10:04:00,83.52,83.63,83.52,83.6,10215
BAJAJHFL,2026-04-09 10:05:00,83.61,83.63,83.56,83.6,4998
BAJAJHFL,2026-04-09 10:06:00,83.6,83.63,83.56,83.56,1976
BAJAJHFL,2026-04-09 10:07:00,83.6,83.63,83.58,83.62,13781
BAJAJHFL,2026-04-09 10:08:00,83.6,83.6,83.55,83.6,11146
BAJAJHFL,2026-04-09 10:09:00,83.6,83.67,83.6,83.65,6932
BAJAJHFL,2026-04-09 10:10:00,83.65,83.7,83.65,83.69,19276
BAJAJHFL,2026-04-09 10:11:00,83.65,83.77,83.65,83.75,22618
BAJAJHFL,2026-04-09 10:12:00,83.77,83.81,83.7,83.81,16169
BAJAJHFL,2026-04-09 10:13:00,83.81,83.81,83.73,83.8,9361
BAJAJHFL,2026-04-09 10:14:00,83.8,83.89,83.8,83.84,9031
BAJAJHFL,2026-04-09 10:15:00,83.84,83.87,83.67,83.71,22945
BAJAJHFL,2026-04-09 10:16:00,83.68,83.71,83.64,83.69,9670
BAJAJHFL,2026-04-09 10:17:00,83.74,83.83,83.72,83.83,8017
BAJAJHFL,2026-04-09 10:18:00,83.83,83.95,83.83,83.9,23864
BAJAJHFL,2026-04-09 10:19:00,83.9,83.99,83.9,83.99,7560
BAJAJHFL,2026-04-09 10:20:00,83.99,83.99,83.87,83.93,12317
BAJAJHFL,2026-04-09 10:21:00,83.94,83.94,83.87,83.93,6296
BAJAJHFL,2026-04-09 10:22:00,83.94,83.95,83.87,83.91,3230
BAJAJHFL,2026-04-09 10:23:00,83.9,83.93,83.85,83.87,9149
BAJAJHFL,2026-04-09 10:24:00,83.9,84.0,83.9,84.0,7171
BAJAJHFL,2026-04-09 10:25:00,84.0,84.0,83.93,83.99,7276
BAJAJHFL,2026-04-09 10:26:00,83.99,83.99,83.87,83.87,7222
BAJAJHFL,2026-04-09 10:27:00,83.9,83.97,83.86,83.96,16418
BAJAJHFL,2026-04-09 10:28:00,83.96,83.98,83.92,83.96,1859
BAJAJHFL,2026-04-09 10:29:00,83.96,84.0,83.96,83.96,3692
BAJAJHFL,2026-04-09 10:30:00,84.0,84.18,84.0,84.17,36822
BAJAJHFL,2026-04-09 10:31:00,84.16,84.17,84.11,84.16,8046
BAJAJHFL,2026-04-09 10:32:00,84.15,84.2,84.15,84.18,15826
BAJAJHFL,2026-04-09 10:33:00,84.18,84.18,84.14,84.18,3911
BAJAJHFL,2026-04-09 10:34:00,84.18,84.18,84.15,84.18,2927
BAJAJHFL,2026-04-09 10:35:00,84.18,84.25,84.18,84.25,2931
BAJAJHFL,2026-04-09 10:36:00,84.24,84.25,84.12,84.16,7977
BAJAJHFL,2026-04-09 10:37:00,84.12,84.16,84.12,84.16,3019
BAJAJHFL,2026-04-09 10:38:00,84.16,84.16,84.08,84.1,3959
BAJAJHFL,2026-04-09 10:39:00,84.11,84.12,84.05,84.12,2352
BAJAJHFL,2026-04-09 10:40:00,84.12,84.12,84.05,84.1,1626
BAJAJHFL,2026-04-09 10:41:00,84.1,84.11,84.05,84.11,19143
BAJAJHFL,2026-04-09 10:42:00,84.15,84.16,84.06,84.06,9998
BAJAJHFL,2026-04-09 10:43:00,84.15,84.18,84.11,84.16,9964
BAJAJHFL,2026-04-09 10:44:00,84.15,84.15,84.08,84.15,10022
BAJAJHFL,2026-04-09 10:45:00,84.15,84.2,84.15,84.19,10329
BAJAJHFL,2026-04-09 10:46:00,84.19,84.24,84.16,84.24,21317
BAJAJHFL,2026-04-09 10:47:00,84.24,84.25,84.18,84.21,4580
BAJAJHFL,2026-04-09 10:48:00,84.25,84.25,84.15,84.22,5726
BAJAJHFL,2026-04-09 10:49:00,84.22,84.22,84.15,84.21,3623
BAJAJHFL,2026-04-09 10:50:00,84.24,84.25,84.23,84.25,3958
BAJAJHFL,2026-04-09 10:51:00,84.23,84.24,84.13,84.17,8345
BAJAJHFL,2026-04-09 10:52:00,84.16,84.19,84.12,84.15,4609
BAJAJHFL,2026-04-09 10:53:00,84.16,84.2,84.1,84.19,5624
BAJAJHFL,2026-04-09 10:54:00,84.19,84.22,84.08,84.15,10358
BAJAJHFL,2026-04-09 10:55:00,84.2,84.24,84.16,84.22,3129
BAJAJHFL,2026-04-09 10:56:00,84.22,84.24,84.2,84.24,2518
BAJAJHFL,2026-04-09 10:57:00,84.24,84.25,84.15,84.24,14920
BAJAJHFL,2026-04-09 10:58:00,84.24,84.25,84.2,84.25,7510
BAJAJHFL,2026-04-09 10:59:00,84.26,84.26,84.18,84.24,5325
BAJAJHFL,2026-04-09 11:00:00,84.24,84.35,84.2,84.32,15539
BAJAJHFL,2026-04-09 11:01:00,84.35,84.37,84.3,84.35,4927
BAJAJHFL,2026-04-09 11:02:00,84.35,84.38,84.29,84.29,35418
BAJAJHFL,2026-04-09 11:03:00,84.29,84.3,84.23,84.27,1350
BAJAJHFL,2026-04-09 11:04:00,84.27,84.27,84.17,84.22,3454
BAJAJHFL,2026-04-09 11:05:00,84.22,84.24,84.16,84.21,4681
BAJAJHFL,2026-04-09 11:06:00,84.21,84.25,84.15,84.21,6165
BAJAJHFL,2026-04-09 11:07:00,84.2,84.25,84.16,84.18,2568
BAJAJHFL,2026-04-09 11:08:00,84.18,84.3,84.18,84.3,2672
BAJAJHFL,2026-04-09 11:09:00,84.22,84.29,84.22,84.29,2088
BAJAJHFL,2026-04-09 11:10:00,84.3,84.38,84.29,84.38,3850
BAJAJHFL,2026-04-09 11:11:00,84.35,84.39,84.32,84.33,6333
BAJAJHFL,2026-04-09 11:12:00,84.39,84.39,84.32,84.35,8774
BAJAJHFL,2026-04-09 11:13:00,84.35,84.37,84.3,84.36,2781
BAJAJHFL,2026-04-09 11:14:00,84.36,84.36,84.3,84.36,6173
BAJAJHFL,2026-04-09 11:15:00,84.36,84.4,84.36,84.4,17075
BAJAJHFL,2026-04-09 11:16:00,84.33,84.4,84.32,84.33,5256
BAJAJHFL,2026-04-09 11:17:00,84.35,84.35,84.24,84.26,67552
BAJAJHFL,2026-04-09 11:18:00,84.26,84.32,84.26,84.3,1807
BAJAJHFL,2026-04-09 11:19:00,84.3,84.3,84.22,84.29,1394
BAJAJHFL,2026-04-09 11:20:00,84.29,84.32,84.24,84.32,2652
BAJAJHFL,2026-04-09 11:21:00,84.33,84.36,84.26,84.31,8259
BAJAJHFL,2026-04-09 11:22:00,84.34,84.35,84.26,84.29,3481
BAJAJHFL,2026-04-09 11:23:00,84.25,84.38,84.25,84.35,10479
BAJAJHFL,2026-04-09 11:24:00,84.35,84.4,84.31,84.4,11364
BAJAJHFL,2026-04-09 11:25:00,84.4,84.43,84.32,84.43,7879
BAJAJHFL,2026-04-09 11:26:00,84.43,84.43,84.34,84.43,9405
BAJAJHFL,2026-04-09 11:27:00,84.43,84.45,84.4,84.45,11227
BAJAJHFL,2026-04-09 11:28:00,84.45,84.48,84.42,84.46,8374
