tradingsymbol,datetime,open,high,low,close,volume
BAJFINANCE,2026-04-09 09:15:00,902.0,904.95,891.4,895.75,235279
BAJFINANCE,2026-04-09 09:16:00,895.75,901.0,895.15,900.25,87615
BAJFINANCE,2026-04-09 09:17:00,900.4,903.25,900.0,902.9,71705
BAJFINANCE,2026-04-09 09:18:00,902.9,905.05,902.85,904.0,80594
BAJFINANCE,2026-04-09 09:19:00,903.9,907.2,903.9,905.0,68345
BAJFINANCE,2026-04-09 09:20:00,904.8,906.9,904.8,906.9,61476
BAJFINANCE,2026-04-09 09:21:00,906.55,908.45,906.0,908.45,43691
BAJFINANCE,2026-04-09 09:22:00,908.0,909.6,908.0,909.0,64033
BAJFINANCE,2026-04-09 09:23:00,909.0,909.4,908.35,908.95,46721
BAJFINANCE,2026-04-09 09:24:00,908.95,910.5,908.8,910.2,31981
BAJFINANCE,2026-04-09 09:25:00,910.2,911.0,909.45,910.65,40952
BAJFINANCE,2026-04-09 09:26:00,910.4,911.0,909.0,911.0,34077
BAJFINANCE,2026-04-09 09:27:00,910.75,911.5,909.3,910.2,47705
BAJFINANCE,2026-04-09 09:28:00,910.2,910.2,908.0,908.3,69216
BAJFINANCE,2026-04-09 09:29:00,908.1,908.8,907.25,908.8,60265
BAJFINANCE,2026-04-09 09:30:00,908.7,908.85,906.5,907.1,51162
BAJFINANCE,2026-04-09 09:31:00,907.1,908.0,906.1,906.45,58627
BAJFINANCE,2026-04-09 09:32:00,906.55,908.3,906.25,907.0,61529
BAJFINANCE,2026-04-09 09:33:00,907.05,907.45,906.05,906.05,28631
BAJFINANCE,2026-04-09 09:34:00,906.2,907.35,906.1,906.4,36462
BAJFINANCE,2026-04-09 09:35:00,906.0,908.55,906.0,908.55,32232
BAJFINANCE,2026-04-09 09:36:00,908.45,909.75,908.15,909.55,19966
BAJFINANCE,2026-04-09 09:37:00,909.55,909.9,909.0,909.5,35130
BAJFINANCE,2026-04-09 09:38:00,909.5,909.8,907.3,907.55,34992
BAJFINANCE,2026-04-09 09:39:00,907.55,909.2,907.1,909.05,27348
BAJFINANCE,2026-04-09 09:40:00,908.8,909.9,907.1,907.35,22442
BAJFINANCE,2026-04-09 09:41:00,907.3,908.25,907.3,907.85,13265
BAJFINANCE,2026-04-09 09:42:00,907.85,908.7,907.55,908.3,12074
BAJFINANCE,2026-04-09 09:43:00,908.35,908.5,907.4,907.7,26343
BAJFINANCE,2026-04-09 09:44:00,907.75,909.0,907.5,908.8,14118
BAJFINANCE,2026-04-09 09:45:00,908.95,909.5,908.35,908.5,21683
BAJFINANCE,2026-04-09 09:46:00,908.35,908.35,907.05,907.55,25723
BAJFINANCE,2026-04-09 09:47:00,907.3,907.9,907.0,907.0,20236
BAJFINANCE,2026-04-09 09:48:00,907.15,907.15,906.05,906.2,22354
BAJFINANCE,2026-04-09 09:49:00,906.2,906.25,904.0,904.25,69860
BAJFINANCE,2026-04-09 09:50:00,904.05,905.25,903.65,904.7,45649
BAJFINANCE,2026-04-09 09:51:00,904.7,905.45,904.3,904.65,12418
BAJFINANCE,2026-04-09 09:52:00,905.0,906.0,904.6,905.75,23107
BAJFINANCE,2026-04-09 09:53:00,905.85,906.0,904.3,904.3,14812
BAJFINANCE,2026-04-09 09:54:00,904.3,904.6,904.0,904.5,17642
BAJFINANCE,2026-04-09 09:55:00,904.5,904.8,904.2,904.8,18635
BAJFINANCE,2026-04-09 09:56:00,904.05,904.55,903.5,903.75,80639
BAJFINANCE,2026-04-09 09:57:00,904.0,904.85,903.9,904.15,234112
BAJFINANCE,2026-04-09 09:58:00,904.15,905.2,904.0,904.2,29438
BAJFINANCE,2026-04-09 09:59:00,904.15,904.25,902.0,903.65,54581
BAJFINANCE,2026-04-09 10:00:00,903.65,904.0,903.0,904.0,21320
BAJFINANCE,2026-04-09 10:01:00,904.05,905.7,903.95,905.65,12203
BAJFINANCE,2026-04-09 10:02:00,905.3,905.9,905.0,905.8,9497
BAJFINANCE,2026-04-09 10:03:00,905.7,906.6,905.65,905.95,35097
BAJFINANCE,2026-04-09 10:04:00,905.95,906.05,905.7,906.05,6858
BAJFINANCE,2026-04-09 10:05:00,905.2,905.35,904.55,905.35,23096
BAJFINANCE,2026-04-09 10:06:00,905.35,906.15,905.15,905.15,7097
BAJFINANCE,2026-04-09 10:07:00,905.25,907.05,905.25,906.65,14555
BAJFINANCE,2026-04-09 10:08:00,906.4,907.0,906.2,906.5,10866
BAJFINANCE,2026-04-09 10:09:00,906.5,906.7,905.95,906.45,12802
