tradingsymbol,datetime,open,high,low,close,volume
CARTRADE,2026-04-09 09:15:00,1872.0,1872.0,1851.9,1859.9,4910
CARTRADE,2026-04-09 09:16:00,1867.6,1867.6,1853.1,1860.5,2789
CARTRADE,2026-04-09 09:17:00,1860.5,1863.1,1860.5,1862.3,1133
CARTRADE,2026-04-09 09:18:00,1862.3,1871.4,1862.3,1871.4,1461
CARTRADE,2026-04-09 09:19:00,1871.4,1885.9,1871.4,1885.5,5349
CARTRADE,2026-04-09 09:20:00,1885.0,1888.0,1882.4,1882.4,1731
CARTRADE,2026-04-09 09:21:00,1883.9,1888.2,1883.9,1887.0,994
CARTRADE,2026-04-09 09:22:00,1887.0,1891.4,1887.0,1891.4,1134
CARTRADE,2026-04-09 09:23:00,1893.2,1895.1,1890.1,1891.6,3419
CARTRADE,2026-04-09 09:24:00,1892.1,1892.1,1886.7,1887.3,1021
CARTRADE,2026-04-09 09:25:00,1888.0,1893.0,1888.0,1892.5,1068
CARTRADE,2026-04-09 09:26:00,1893.6,1893.6,1886.5,1886.5,1125
CARTRADE,2026-04-09 09:27:00,1885.1,1888.9,1885.1,1888.9,1258
CARTRADE,2026-04-09 09:28:00,1888.0,1890.2,1887.4,1888.3,896
CARTRADE,2026-04-09 09:29:00,1888.3,1890.1,1888.3,1889.8,49
CARTRADE,2026-04-09 09:30:00,1889.8,1889.8,1886.0,1886.0,1265
CARTRADE,2026-04-09 09:31:00,1885.5,1885.5,1880.9,1880.9,1858
CARTRADE,2026-04-09 09:32:00,1880.9,1880.9,1875.3,1875.3,838
CARTRADE,2026-04-09 09:33:00,1876.0,1879.1,1876.0,1876.4,776
CARTRADE,2026-04-09 09:34:00,1875.1,1876.6,1872.7,1874.8,2853
CARTRADE,2026-04-09 09:35:00,1871.2,1879.8,1871.2,1879.7,1594
CARTRADE,2026-04-09 09:36:00,1879.7,1885.0,1879.7,1884.5,527
CARTRADE,2026-04-09 09:37:00,1884.5,1885.2,1883.1,1883.1,346
CARTRADE,2026-04-09 09:38:00,1883.1,1884.1,1881.1,1881.1,628
CARTRADE,2026-04-09 09:39:00,1881.1,1883.2,1878.5,1878.5,1027
CARTRADE,2026-04-09 09:40:00,1880.8,1880.8,1876.6,1879.8,630
CARTRADE,2026-04-09 09:41:00,1880.8,1881.4,1876.9,1879.3,718
CARTRADE,2026-04-09 09:42:00,1878.0,1878.5,1872.2,1872.2,948
CARTRADE,2026-04-09 09:43:00,1872.2,1873.1,1870.5,1873.1,703
CARTRADE,2026-04-09 09:44:00,1873.1,1875.7,1869.1,1875.7,1926
CARTRADE,2026-04-09 09:45:00,1875.7,1878.3,1874.1,1875.8,585
CARTRADE,2026-04-09 09:46:00,1876.3,1881.6,1876.3,1880.3,773
CARTRADE,2026-04-09 09:47:00,1879.7,1882.4,1879.0,1881.0,446
CARTRADE,2026-04-09 09:48:00,1879.2,1881.0,1878.0,1879.6,686
CARTRADE,2026-04-09 09:49:00,1877.6,1877.6,1872.0,1872.0,396
CARTRADE,2026-04-09 09:50:00,1869.3,1870.3,1867.9,1870.0,1405
CARTRADE,2026-04-09 09:51:00,1867.0,1869.8,1865.0,1865.0,2233
CARTRADE,2026-04-09 09:52:00,1866.9,1872.2,1866.9,1870.0,482
CARTRADE,2026-04-09 09:53:00,1870.0,1870.0,1868.0,1870.0,247
CARTRADE,2026-04-09 09:54:00,1870.0,1870.2,1866.4,1866.4,385
CARTRADE,2026-04-09 09:55:00,1866.4,1866.9,1861.8,1863.6,425
CARTRADE,2026-04-09 09:56:00,1864.0,1864.0,1859.0,1862.5,1167
CARTRADE,2026-04-09 09:57:00,1862.6,1863.3,1861.1,1861.1,581
CARTRADE,2026-04-09 09:58:00,1859.8,1861.2,1858.9,1858.9,269
CARTRADE,2026-04-09 09:59:00,1858.1,1863.9,1856.5,1861.7,1564
CARTRADE,2026-04-09 10:00:00,1863.8,1863.8,1859.5,1860.5,549
CARTRADE,2026-04-09 10:01:00,1860.5,1864.3,1860.5,1864.0,475
CARTRADE,2026-04-09 10:02:00,1864.0,1864.0,1862.7,1863.8,97
CARTRADE,2026-04-09 10:03:00,1863.8,1865.2,1861.5,1862.5,555
CARTRADE,2026-04-09 10:04:00,1863.7,1863.7,1859.2,1859.2,750
CARTRADE,2026-04-09 10:05:00,1861.8,1863.5,1861.8,1863.5,668
CARTRADE,2026-04-09 10:06:00,1863.5,1863.5,1860.5,1861.2,74
CARTRADE,2026-04-09 10:07:00,1862.0,1863.6,1861.7,1863.0,605
CARTRADE,2026-04-09 10:08:00,1861.9,1861.9,1859.0,1860.7,475
CARTRADE,2026-04-09 10:09:00,1860.7,1861.0,1859.9,1861.0,51
CARTRADE,2026-04-09 10:10:00,1859.7,1865.0,1859.7,1865.0,339
CARTRADE,2026-04-09 10:11:00,1865.0,1870.0,1865.0,1870.0,328
CARTRADE,2026-04-09 10:12:00,1870.0,1870.0,1865.6,1866.3,169
CARTRADE,2026-04-09 10:13:00,1866.3,1866.3,1863.8,1863.8,114
CARTRADE,2026-04-09 10:14:00,1863.8,1863.8,1863.0,1863.7,472
CARTRADE,2026-04-09 10:15:00,1863.7,1863.7,1862.0,1863.2,86
CARTRADE,2026-04-09 10:16:00,1863.2,1863.2,1861.0,1861.1,323
CARTRADE,2026-04-09 10:17:00,1861.1,1862.8,1861.1,1862.6,151
CARTRADE,2026-04-09 10:18:00,1862.6,1868.1,1862.5,1865.6,613
CARTRADE,2026-04-09 10:19:00,1866.3,1867.5,1864.1,1867.5,162
CARTRADE,2026-04-09 10:20:00,1867.5,1869.2,1866.6,1869.2,175
CARTRADE,2026-04-09 10:21:00,1869.2,1869.2,1865.2,1865.2,111
CARTRADE,2026-04-09 10:22:00,1865.2,1866.6,1865.1,1865.1,488
CARTRADE,2026-04-09 10:23:00,1865.1,1866.6,1865.1,1866.4,14
CARTRADE,2026-04-09 10:24:00,1866.4,1868.0,1866.4,1867.8,776
CARTRADE,2026-04-09 10:25:00,1867.8,1869.4,1867.3,1868.0,152
CARTRADE,2026-04-09 10:26:00,1868.0,1870.3,1865.6,1865.6,394
CARTRADE,2026-04-09 10:27:00,1865.6,1868.3,1865.5,1866.7,73
CARTRADE,2026-04-09 10:28:00,1866.7,1866.7,1866.1,1866.1,14
CARTRADE,2026-04-09 10:29:00,1866.1,1869.0,1866.1,1869.0,339
CARTRADE,2026-04-09 10:30:00,1870.1,1873.7,1870.1,1873.0,568
CARTRADE,2026-04-09 10:31:00,1873.0,1874.9,1871.3,1874.9,285
CARTRADE,2026-04-09 10:32:00,1874.9,1874.9,1873.0,1874.1,49
CARTRADE,2026-04-09 10:33:00,1874.1,1877.0,1874.1,1876.0,342
CARTRADE,2026-04-09 10:34:00,1876.0,1876.7,1876.0,1876.5,139
CARTRADE,2026-04-09 10:35:00,1876.5,1876.5,1876.0,1876.0,88
CARTRADE,2026-04-09 10:36:00,1878.2,1878.2,1874.3,1875.5,1378
CARTRADE,2026-04-09 10:37:00,1876.8,1876.8,1875.7,1875.7,137
CARTRADE,2026-04-09 10:38:00,1875.7,1876.8,1875.7,1876.1,248
CARTRADE,2026-04-09 10:39:00,1876.1,1876.7,1875.7,1876.0,283
CARTRADE,2026-04-09 10:40:00,1876.0,1876.0,1873.4,1874.0,358
CARTRADE,2026-04-09 10:41:00,1874.0,1874.0,1872.9,1872.9,268
CARTRADE,2026-04-09 10:42:00,1873.9,1873.9,1872.0,1872.8,29
CARTRADE,2026-04-09 10:43:00,1872.8,1872.8,1871.8,1872.6,109
CARTRADE,2026-04-09 10:44:00,1872.6,1874.6,1872.6,1874.4,152
CARTRADE,2026-04-09 10:45:00,1874.4,1876.0,1874.0,1876.0,277
CARTRADE,2026-04-09 10:46:00,1876.0,1876.4,1876.0,1876.4,92
CARTRADE,2026-04-09 10:47:00,1876.4,1876.9,1876.4,1876.9,198
CARTRADE,2026-04-09 10:48:00,1876.9,1876.9,1876.4,1876.4,14
CARTRADE,2026-04-09 10:49:00,1876.4,1877.5,1875.9,1877.5,276
CARTRADE,2026-04-09 10:50:00,1877.5,1878.9,1877.5,1878.9,280
CARTRADE,2026-04-09 10:51:00,1878.9,1878.9,1876.1,1876.1,273
CARTRADE,2026-04-09 10:52:00,1876.1,1877.7,1876.1,1877.6,34
CARTRADE,2026-04-09 10:53:00,1877.6,1877.6,1876.2,1876.5,26
CARTRADE,2026-04-09 10:54:00,1876.5,1876.5,1874.6,1876.5,810
CARTRADE,2026-04-09 10:55:00,1876.5,1877.6,1876.5,1877.5,55
CARTRADE,2026-04-09 10:56:00,1877.5,1878.2,1877.4,1877.9,287
CARTRADE,2026-04-09 10:57:00,1879.9,1879.9,1876.7,1877.9,468
CARTRADE,2026-04-09 10:58:00,1877.9,1879.9,1876.7,1879.9,293
CARTRADE,2026-04-09 10:59:00,1879.9,1879.9,1877.6,1877.6,94
CARTRADE,2026-04-09 11:00:00,1877.6,1881.1,1877.6,1881.1,528
CARTRADE,2026-04-09 11:01:00,1881.1,1881.1,1879.8,1880.0,255
CARTRADE,2026-04-09 11:02:00,1880.0,1880.9,1878.5,1880.9,342
CARTRADE,2026-04-09 11:03:00,1880.9,1880.9,1876.6,1876.7,261
CARTRADE,2026-04-09 11:04:00,1876.7,1877.4,1875.8,1875.8,257
CARTRADE,2026-04-09 11:05:00,1875.8,1875.8,1875.5,1875.5,26
CARTRADE,2026-04-09 11:06:00,1875.5,1875.8,1873.9,1873.9,141
CARTRADE,2026-04-09 11:07:00,1872.5,1873.9,1872.5,1873.9,316
CARTRADE,2026-04-09 11:08:00,1873.9,1874.6,1873.5,1874.6,31
CARTRADE,2026-04-09 11:09:00,1874.6,1875.7,1874.6,1875.7,123
CARTRADE,2026-04-09 11:10:00,1875.7,1875.7,1875.7,1875.7,14
CARTRADE,2026-04-09 11:11:00,1875.7,1877.8,1875.6,1877.8,174
CARTRADE,2026-04-09 11:12:00,1877.8,1877.8,1877.6,1877.6,18
CARTRADE,2026-04-09 11:13:00,1877.6,1877.8,1876.6,1876.6,26
CARTRADE,2026-04-09 11:14:00,1876.6,1878.1,1875.5,1878.1,91
CARTRADE,2026-04-09 11:15:00,1878.9,1879.5,1877.6,1879.5,154
CARTRADE,2026-04-09 11:16:00,1879.5,1879.5,1872.8,1872.8,343
CARTRADE,2026-04-09 11:17:00,1871.5,1871.5,1866.0,1868.8,4386
CARTRADE,2026-04-09 11:18:00,1866.1,1868.9,1864.8,1868.8,264
CARTRADE,2026-04-09 11:19:00,1868.8,1869.5,1867.7,1867.7,84
CARTRADE,2026-04-09 11:20:00,1867.7,1868.2,1867.0,1868.0,287
CARTRADE,2026-04-09 11:21:00,1867.7,1868.9,1865.6,1868.7,735
CARTRADE,2026-04-09 11:22:00,1867.4,1868.3,1867.2,1868.0,269
CARTRADE,2026-04-09 11:23:00,1868.0,1869.2,1866.0,1867.6,451
CARTRADE,2026-04-09 11:24:00,1867.6,1871.2,1867.5,1870.1,232
CARTRADE,2026-04-09 11:25:00,1870.9,1871.3,1869.1,1871.3,120
CARTRADE,2026-04-09 11:26:00,1871.3,1871.8,1869.1,1871.8,217
CARTRADE,2026-04-09 11:27:00,1871.2,1875.3,1870.6,1870.6,434
CARTRADE,2026-04-09 11:28:00,1870.1,1872.6,1869.1,1872.0,304
CARTRADE,2026-04-09 11:29:00,1872.0,1872.0,1867.6,1869.6,80
CARTRADE,2026-04-09 11:30:00,1869.6,1869.6,1868.2,1868.2,199
CARTRADE,2026-04-09 11:31:00,1869.0,1871.4,1869.0,1869.5,762
CARTRADE,2026-04-09 11:32:00,1868.4,1871.0,1868.4,1870.9,698
CARTRADE,2026-04-09 11:33:00,1870.9,1870.9,1869.0,1869.0,88
CARTRADE,2026-04-09 11:34:00,1869.0,1869.0,1868.0,1868.9,87
CARTRADE,2026-04-09 11:35:00,1868.9,1871.0,1868.8,1870.6,496
CARTRADE,2026-04-09 11:36:00,1870.6,1870.8,1868.7,1870.8,153
CARTRADE,2026-04-09 11:37:00,1871.3,1871.9,1869.6,1871.2,325
CARTRADE,2026-04-09 11:38:00,1871.2,1872.4,1869.4,1872.4,127
CARTRADE,2026-04-09 11:39:00,1872.4,1872.4,1870.5,1872.4,100
CARTRADE,2026-04-09 11:40:00,1872.4,1872.4,1870.1,1871.1,206
CARTRADE,2026-04-09 11:41:00,1871.9,1871.9,1870.3,1871.4,111
CARTRADE,2026-04-09 11:42:00,1870.6,1872.9,1870.6,1872.9,399
CARTRADE,2026-04-09 11:43:00,1872.9,1872.9,1870.3,1871.7,81
CARTRADE,2026-04-09 11:44:00,1870.8,1871.3,1868.2,1869.7,393
CARTRADE,2026-04-09 11:45:00,1868.4,1869.6,1866.6,1869.5,551
CARTRADE,2026-04-09 11:46:00,1869.5,1869.5,1866.0,1868.1,1258
CARTRADE,2026-04-09 11:47:00,1867.8,1868.9,1867.5,1867.7,164
CARTRADE,2026-04-09 11:48:00,1868.8,1871.5,1868.5,1870.9,335
CARTRADE,2026-04-09 11:49:00,1871.0,1872.5,1870.0,1870.9,181
CARTRADE,2026-04-09 11:50:00,1870.9,1873.1,1869.4,1873.1,147
CARTRADE,2026-04-09 11:51:00,1873.1,1873.9,1871.1,1871.2,182
CARTRADE,2026-04-09 11:52:00,1871.0,1872.5,1870.2,1870.5,136
CARTRADE,2026-04-09 11:53:00,1872.4,1872.4,1871.4,1872.3,129
CARTRADE,2026-04-09 11:54:00,1871.5,1872.4,1870.2,1871.3,347
CARTRADE,2026-04-09 11:55:00,1872.4,1873.9,1870.5,1872.8,335
CARTRADE,2026-04-09 11:56:00,1872.7,1874.7,1872.2,1872.2,204
CARTRADE,2026-04-09 11:57:00,1872.1,1872.6,1871.0,1872.5,521
CARTRADE,2026-04-09 11:58:00,1872.5,1874.3,1872.5,1873.2,219
CARTRADE,2026-04-09 11:59:00,1873.7,1874.3,1872.1,1874.2,223
CARTRADE,2026-04-09 12:00:00,1874.2,1877.4,1874.1,1876.3,610
