tradingsymbol,datetime,open,high,low,close,volume
DEVYANI,2026-04-09 09:15:00,106.49,106.49,104.7,104.7,17691
DEVYANI,2026-04-09 09:16:00,104.9,104.9,104.62,104.87,35753
DEVYANI,2026-04-09 09:17:00,105.09,105.12,104.8,105.02,10738
DEVYANI,2026-04-09 09:18:00,105.1,105.64,105.1,105.56,8527
DEVYANI,2026-04-09 09:19:00,105.57,105.9,105.57,105.72,8318
DEVYANI,2026-04-09 09:20:00,105.65,106.19,105.43,105.43,15542
DEVYANI,2026-04-09 09:21:00,105.63,105.79,105.58,105.75,5220
DEVYANI,2026-04-09 09:22:00,105.76,106.09,105.76,106.09,2264
DEVYANI,2026-04-09 09:23:00,105.92,106.05,105.75,105.83,10654
DEVYANI,2026-04-09 09:24:00,105.96,105.96,105.72,105.96,43920
DEVYANI,2026-04-09 09:25:00,105.93,106.39,105.93,106.23,11918
DEVYANI,2026-04-09 09:26:00,106.23,106.36,106.2,106.2,8641
DEVYANI,2026-04-09 09:27:00,106.1,106.19,105.9,105.91,5918
DEVYANI,2026-04-09 09:28:00,106.01,106.44,106.01,106.28,4274
DEVYANI,2026-04-09 09:29:00,106.3,106.3,106.02,106.02,2379
DEVYANI,2026-04-09 09:30:00,106.1,106.15,105.8,105.81,20115
DEVYANI,2026-04-09 09:31:00,105.8,105.8,105.51,105.63,16083
DEVYANI,2026-04-09 09:32:00,105.5,105.88,105.5,105.5,2749
DEVYANI,2026-04-09 09:33:00,105.6,105.6,105.28,105.28,4924
DEVYANI,2026-04-09 09:34:00,105.2,105.23,105.1,105.21,2891
DEVYANI,2026-04-09 09:35:00,105.21,105.22,104.98,105.12,21931
DEVYANI,2026-04-09 09:36:00,105.08,105.44,105.08,105.29,4121
DEVYANI,2026-04-09 09:37:00,105.31,105.67,105.31,105.56,4171
DEVYANI,2026-04-09 09:38:00,105.59,105.69,105.59,105.65,2076
DEVYANI,2026-04-09 09:39:00,105.59,105.65,105.03,105.15,12955
DEVYANI,2026-04-09 09:40:00,105.15,105.2,105.06,105.16,2464
DEVYANI,2026-04-09 09:41:00,105.09,105.17,104.96,104.96,210
DEVYANI,2026-04-09 09:42:00,104.98,104.98,104.85,104.93,8968
DEVYANI,2026-04-09 09:43:00,104.9,104.9,104.8,104.86,7256
DEVYANI,2026-04-09 09:44:00,104.8,105.04,104.79,105.0,17122
DEVYANI,2026-04-09 09:45:00,105.02,105.23,105.02,105.23,28936
DEVYANI,2026-04-09 09:46:00,105.11,105.38,105.09,105.12,20448
DEVYANI,2026-04-09 09:47:00,105.13,105.56,105.05,105.56,17207
DEVYANI,2026-04-09 09:48:00,105.56,105.62,105.5,105.59,11589
DEVYANI,2026-04-09 09:49:00,105.32,105.33,105.0,105.0,17614
DEVYANI,2026-04-09 09:50:00,105.0,105.0,104.68,104.68,14121
DEVYANI,2026-04-09 09:51:00,104.56,104.6,104.5,104.6,7306
DEVYANI,2026-04-09 09:52:00,104.6,104.6,104.5,104.6,5309
DEVYANI,2026-04-09 09:53:00,104.6,104.64,104.6,104.64,529
DEVYANI,2026-04-09 09:54:00,104.64,104.7,104.64,104.64,950
DEVYANI,2026-04-09 09:55:00,104.6,104.64,104.51,104.51,5931
DEVYANI,2026-04-09 09:56:00,104.51,104.51,104.4,104.4,3781
DEVYANI,2026-04-09 09:57:00,104.4,104.5,104.25,104.25,11534
DEVYANI,2026-04-09 09:58:00,104.25,104.25,104.14,104.24,8466
DEVYANI,2026-04-09 09:59:00,104.23,104.27,104.15,104.24,564
DEVYANI,2026-04-09 10:00:00,104.24,104.24,103.99,104.0,10421
DEVYANI,2026-04-09 10:01:00,104.0,104.0,103.93,104.0,11034
DEVYANI,2026-04-09 10:02:00,104.0,104.17,104.0,104.17,526
DEVYANI,2026-04-09 10:03:00,104.17,104.33,104.17,104.24,1160
DEVYANI,2026-04-09 10:04:00,104.1,104.23,104.1,104.23,1343
DEVYANI,2026-04-09 10:05:00,104.25,104.36,104.2,104.36,3779
DEVYANI,2026-04-09 10:06:00,104.34,104.45,104.34,104.45,1572
DEVYANI,2026-04-09 10:07:00,104.44,104.44,104.25,104.28,5386
DEVYANI,2026-04-09 10:08:00,104.35,104.35,104.23,104.3,5337
DEVYANI,2026-04-09 10:09:00,104.3,104.34,104.26,104.26,1214
DEVYANI,2026-04-09 10:10:00,104.26,104.38,104.2,104.21,1797
DEVYANI,2026-04-09 10:11:00,104.3,104.38,104.21,104.37,1968
DEVYANI,2026-04-09 10:12:00,104.37,104.37,104.28,104.3,688
DEVYANI,2026-04-09 10:13:00,104.3,104.51,104.25,104.47,217762
DEVYANI,2026-04-09 10:14:00,104.47,104.5,104.39,104.5,52424
DEVYANI,2026-04-09 10:15:00,104.5,104.5,104.21,104.21,3286
DEVYANI,2026-04-09 10:16:00,104.22,104.3,104.21,104.3,1529
DEVYANI,2026-04-09 10:17:00,104.3,104.49,104.3,104.49,1367
DEVYANI,2026-04-09 10:18:00,104.49,104.7,104.49,104.63,6478
DEVYANI,2026-04-09 10:19:00,104.6,104.6,104.46,104.53,7418
DEVYANI,2026-04-09 10:20:00,104.53,104.57,104.53,104.57,578
DEVYANI,2026-04-09 10:21:00,104.57,104.75,104.53,104.53,56620
DEVYANI,2026-04-09 10:22:00,104.53,104.6,104.5,104.5,1222
DEVYANI,2026-04-09 10:23:00,104.5,104.56,104.43,104.53,802
DEVYANI,2026-04-09 10:24:00,104.53,104.53,104.53,104.53,1
