tradingsymbol,datetime,open,high,low,close,volume
DRREDDY,2026-04-09 09:15:00,1189.0,1197.7,1189.0,1193.1,33024
DRREDDY,2026-04-09 09:16:00,1193.1,1196.5,1192.6,1195.6,12036
DRREDDY,2026-04-09 09:17:00,1196.4,1198.3,1195.1,1197.3,18177
DRREDDY,2026-04-09 09:18:00,1197.9,1198.8,1195.8,1195.8,11933
DRREDDY,2026-04-09 09:19:00,1195.8,1197.3,1195.0,1197.3,7657
DRREDDY,2026-04-09 09:20:00,1197.1,1198.9,1195.9,1196.4,15951
DRREDDY,2026-04-09 09:21:00,1197.0,1199.0,1197.0,1199.0,5966
DRREDDY,2026-04-09 09:22:00,1199.0,1200.8,1198.6,1200.8,4957
DRREDDY,2026-04-09 09:23:00,1199.5,1200.8,1199.2,1199.7,8368
DRREDDY,2026-04-09 09:24:00,1200.5,1202.3,1199.8,1200.1,6907
DRREDDY,2026-04-09 09:25:00,1200.1,1201.0,1200.1,1201.0,11990
DRREDDY,2026-04-09 09:26:00,1200.9,1201.7,1200.4,1201.7,5509
DRREDDY,2026-04-09 09:27:00,1201.2,1201.9,1201.1,1201.9,1179
DRREDDY,2026-04-09 09:28:00,1201.9,1203.8,1201.8,1203.0,9711
DRREDDY,2026-04-09 09:29:00,1203.3,1205.0,1203.3,1203.7,16824
DRREDDY,2026-04-09 09:30:00,1202.2,1203.3,1202.1,1202.7,6945
DRREDDY,2026-04-09 09:31:00,1203.3,1203.3,1201.9,1201.9,5583
DRREDDY,2026-04-09 09:32:00,1201.9,1202.0,1201.2,1201.2,15327
DRREDDY,2026-04-09 09:33:00,1202.0,1203.2,1202.0,1202.9,2902
DRREDDY,2026-04-09 09:34:00,1202.1,1202.4,1201.2,1201.2,5165
DRREDDY,2026-04-09 09:35:00,1201.3,1202.8,1201.3,1202.5,3201
DRREDDY,2026-04-09 09:36:00,1202.8,1203.7,1202.6,1203.6,5263
DRREDDY,2026-04-09 09:37:00,1203.6,1203.7,1202.2,1202.3,5013
DRREDDY,2026-04-09 09:38:00,1202.4,1202.4,1199.2,1199.2,11304
DRREDDY,2026-04-09 09:39:00,1199.2,1199.2,1197.6,1197.6,5546
DRREDDY,2026-04-09 09:40:00,1197.6,1201.1,1197.6,1201.1,7118
DRREDDY,2026-04-09 09:41:00,1201.1,1202.1,1201.1,1202.1,2037
DRREDDY,2026-04-09 09:42:00,1202.1,1202.9,1201.7,1202.9,2699
DRREDDY,2026-04-09 09:43:00,1202.5,1206.0,1202.0,1206.0,14803
DRREDDY,2026-04-09 09:44:00,1206.2,1207.8,1206.2,1207.8,22681
DRREDDY,2026-04-09 09:45:00,1207.8,1208.9,1206.3,1207.0,15293
DRREDDY,2026-04-09 09:46:00,1207.2,1207.9,1206.2,1207.0,3933
DRREDDY,2026-04-09 09:47:00,1206.9,1207.9,1206.6,1207.5,7821
DRREDDY,2026-04-09 09:48:00,1207.3,1207.3,1206.3,1206.7,3297
DRREDDY,2026-04-09 09:49:00,1207.0,1207.0,1206.2,1206.2,3717
DRREDDY,2026-04-09 09:50:00,1206.5,1206.6,1204.9,1205.2,5643
DRREDDY,2026-04-09 09:51:00,1205.3,1206.0,1204.1,1204.7,18603
DRREDDY,2026-04-09 09:52:00,1204.3,1206.4,1204.3,1205.5,9055
DRREDDY,2026-04-09 09:53:00,1205.1,1205.5,1204.8,1205.2,2249
DRREDDY,2026-04-09 09:54:00,1204.9,1205.3,1204.6,1205.2,4605
DRREDDY,2026-04-09 09:55:00,1205.2,1205.2,1203.9,1204.6,6587
DRREDDY,2026-04-09 09:56:00,1204.9,1204.9,1203.3,1203.5,3775
DRREDDY,2026-04-09 09:57:00,1203.5,1203.5,1201.4,1201.9,9909
DRREDDY,2026-04-09 09:58:00,1201.9,1203.0,1201.4,1202.0,5638
DRREDDY,2026-04-09 09:59:00,1202.2,1202.5,1200.5,1201.4,10173
DRREDDY,2026-04-09 10:00:00,1201.0,1201.4,1198.9,1199.8,8428
DRREDDY,2026-04-09 10:01:00,1199.6,1201.2,1199.4,1199.9,12599
DRREDDY,2026-04-09 10:02:00,1199.5,1201.4,1199.4,1200.5,9979
DRREDDY,2026-04-09 10:03:00,1200.6,1202.4,1200.6,1201.7,4612
DRREDDY,2026-04-09 10:04:00,1201.3,1202.5,1201.2,1202.3,6699
DRREDDY,2026-04-09 10:05:00,1202.0,1202.9,1201.4,1202.8,4912
DRREDDY,2026-04-09 10:06:00,1202.3,1204.4,1202.3,1204.4,5996
DRREDDY,2026-04-09 10:07:00,1204.2,1204.9,1204.2,1204.2,4576
DRREDDY,2026-04-09 10:08:00,1204.2,1205.4,1203.6,1205.3,4171
DRREDDY,2026-04-09 10:09:00,1205.0,1205.5,1205.0,1205.2,2174
DRREDDY,2026-04-09 10:10:00,1205.2,1205.4,1203.9,1204.5,3586
DRREDDY,2026-04-09 10:11:00,1204.5,1205.0,1204.5,1205.0,3207
DRREDDY,2026-04-09 10:12:00,1204.5,1205.0,1204.0,1204.5,4291
DRREDDY,2026-04-09 10:13:00,1204.8,1204.9,1203.9,1203.9,2304
DRREDDY,2026-04-09 10:14:00,1203.9,1204.9,1203.9,1204.5,1910
