tradingsymbol,datetime,open,high,low,close,volume
GPIL,2026-04-09 09:15:00,284.0,285.0,282.2,284.05,44499
GPIL,2026-04-09 09:16:00,284.5,286.0,284.05,285.2,38940
GPIL,2026-04-09 09:17:00,285.35,288.15,285.35,288.15,49891
GPIL,2026-04-09 09:18:00,288.6,289.15,288.35,289.1,77337
GPIL,2026-04-09 09:19:00,289.0,289.3,288.9,289.05,23110
GPIL,2026-04-09 09:20:00,289.35,290.5,289.0,289.25,114182
GPIL,2026-04-09 09:21:00,289.25,289.75,288.9,289.75,30482
GPIL,2026-04-09 09:22:00,289.75,290.25,289.55,290.25,27379
GPIL,2026-04-09 09:23:00,289.95,290.75,289.8,290.75,57616
GPIL,2026-04-09 09:24:00,290.75,291.95,290.4,291.8,51425
GPIL,2026-04-09 09:25:00,291.55,292.0,291.1,291.45,37129
GPIL,2026-04-09 09:26:00,291.45,291.45,289.65,289.85,36018
GPIL,2026-04-09 09:27:00,289.9,290.65,289.9,290.65,19465
GPIL,2026-04-09 09:28:00,290.7,291.0,290.55,290.65,16503
GPIL,2026-04-09 09:29:00,290.75,291.3,290.75,291.0,59179
GPIL,2026-04-09 09:30:00,291.0,291.3,291.0,291.15,15955
GPIL,2026-04-09 09:31:00,291.15,291.15,289.5,289.5,23578
GPIL,2026-04-09 09:32:00,289.5,289.5,289.1,289.25,9688
GPIL,2026-04-09 09:33:00,289.1,289.1,288.1,288.25,14247
GPIL,2026-04-09 09:34:00,287.75,288.65,287.65,288.05,18424
GPIL,2026-04-09 09:35:00,288.3,289.4,288.05,289.4,21006
GPIL,2026-04-09 09:36:00,289.4,290.4,289.4,290.1,15048
GPIL,2026-04-09 09:37:00,290.25,290.85,290.25,290.65,22382
GPIL,2026-04-09 09:38:00,290.4,290.55,289.2,289.3,15675
GPIL,2026-04-09 09:39:00,289.5,290.0,289.5,290.0,16881
GPIL,2026-04-09 09:40:00,289.9,290.0,289.5,289.7,12090
GPIL,2026-04-09 09:41:00,289.65,289.95,289.5,289.5,4648
GPIL,2026-04-09 09:42:00,289.5,289.5,288.15,289.0,10191
GPIL,2026-04-09 09:43:00,289.05,289.05,288.45,288.45,1972
GPIL,2026-04-09 09:44:00,288.7,289.1,288.5,289.1,5962
GPIL,2026-04-09 09:45:00,289.1,289.9,289.1,289.35,5905
GPIL,2026-04-09 09:46:00,289.35,289.45,289.05,289.15,4063
GPIL,2026-04-09 09:47:00,289.1,289.4,289.1,289.1,4091
GPIL,2026-04-09 09:48:00,289.2,289.2,288.6,288.8,5329
GPIL,2026-04-09 09:49:00,288.85,288.85,287.75,287.75,3696
GPIL,2026-04-09 09:50:00,288.2,288.2,287.35,287.6,7530
GPIL,2026-04-09 09:51:00,287.6,287.7,286.85,286.85,20311
GPIL,2026-04-09 09:52:00,287.15,287.75,286.9,287.7,3731
GPIL,2026-04-09 09:53:00,287.7,287.8,287.45,287.7,2845
GPIL,2026-04-09 09:54:00,287.8,288.0,287.35,287.35,6601
GPIL,2026-04-09 09:55:00,287.35,287.35,287.0,287.15,5574
GPIL,2026-04-09 09:56:00,287.15,287.25,287.0,287.0,2844
GPIL,2026-04-09 09:57:00,287.05,287.35,286.65,286.65,4790
GPIL,2026-04-09 09:58:00,286.6,287.3,286.6,287.3,6229
GPIL,2026-04-09 09:59:00,287.0,287.45,287.0,287.45,1062
GPIL,2026-04-09 10:00:00,287.55,287.55,286.35,286.35,10661
GPIL,2026-04-09 10:01:00,286.35,287.5,286.35,287.5,8642
GPIL,2026-04-09 10:02:00,287.75,287.75,287.45,287.5,6188
GPIL,2026-04-09 10:03:00,287.5,287.95,287.5,287.95,538
GPIL,2026-04-09 10:04:00,287.95,288.05,287.95,288.0,1939
GPIL,2026-04-09 10:05:00,288.0,289.05,288.0,288.85,20329
GPIL,2026-04-09 10:06:00,288.85,289.15,288.75,288.95,11128
GPIL,2026-04-09 10:07:00,288.95,289.0,288.95,289.0,3734
GPIL,2026-04-09 10:08:00,289.0,289.05,288.2,289.05,5895
GPIL,2026-04-09 10:09:00,289.15,289.15,288.1,288.4,14706
GPIL,2026-04-09 10:10:00,288.45,288.45,287.6,287.9,13416
GPIL,2026-04-09 10:11:00,287.9,287.9,287.0,287.65,22820
GPIL,2026-04-09 10:12:00,287.15,287.8,287.15,287.8,5788
GPIL,2026-04-09 10:13:00,287.8,287.8,287.5,287.7,4510
GPIL,2026-04-09 10:14:00,287.7,288.0,287.5,287.85,4192
GPIL,2026-04-09 10:15:00,287.85,287.85,287.25,287.25,1000
GPIL,2026-04-09 10:16:00,287.25,287.4,287.0,287.0,4569
GPIL,2026-04-09 10:17:00,287.0,287.3,286.85,287.3,3335
GPIL,2026-04-09 10:18:00,287.5,287.75,287.25,287.45,12573
GPIL,2026-04-09 10:19:00,287.45,287.95,287.45,287.95,7075
GPIL,2026-04-09 10:20:00,288.0,288.0,287.85,287.95,6512
GPIL,2026-04-09 10:21:00,287.95,288.0,287.65,287.65,1463
GPIL,2026-04-09 10:22:00,287.6,287.6,287.0,287.0,21760
GPIL,2026-04-09 10:23:00,287.0,287.0,286.7,287.0,2854
GPIL,2026-04-09 10:24:00,287.0,287.55,287.0,287.55,1640
GPIL,2026-04-09 10:25:00,287.6,287.6,287.05,287.25,1438
GPIL,2026-04-09 10:26:00,287.5,287.5,286.15,287.15,34654
GPIL,2026-04-09 10:27:00,287.15,287.5,286.95,287.25,9473
GPIL,2026-04-09 10:28:00,287.25,287.6,287.25,287.3,2879
GPIL,2026-04-09 10:29:00,287.3,287.6,287.1,287.5,5653
GPIL,2026-04-09 10:30:00,287.65,287.65,287.15,287.65,5631
GPIL,2026-04-09 10:31:00,287.65,287.65,287.6,287.6,1245
GPIL,2026-04-09 10:32:00,287.65,288.0,287.65,287.9,4915
GPIL,2026-04-09 10:33:00,287.9,288.0,287.85,287.85,904
GPIL,2026-04-09 10:34:00,287.85,288.0,287.65,288.0,981
GPIL,2026-04-09 10:35:00,288.0,288.7,287.85,288.7,5951
GPIL,2026-04-09 10:36:00,288.7,288.7,288.5,288.6,955
GPIL,2026-04-09 10:37:00,288.65,288.95,288.6,288.95,1475
GPIL,2026-04-09 10:38:00,289.0,289.05,288.55,288.55,4885
GPIL,2026-04-09 10:39:00,288.75,288.85,288.5,288.6,8260
GPIL,2026-04-09 10:40:00,288.6,288.8,288.6,288.6,741
GPIL,2026-04-09 10:41:00,288.6,288.6,288.35,288.35,1562
GPIL,2026-04-09 10:42:00,288.35,288.5,288.35,288.35,965
GPIL,2026-04-09 10:43:00,288.35,288.55,288.35,288.55,2445
GPIL,2026-04-09 10:44:00,288.55,288.7,288.55,288.7,1073
GPIL,2026-04-09 10:45:00,288.7,289.0,288.7,288.9,6480
GPIL,2026-04-09 10:46:00,288.9,288.9,288.35,288.35,567
GPIL,2026-04-09 10:47:00,288.35,288.35,288.2,288.2,541
GPIL,2026-04-09 10:48:00,288.2,288.3,288.1,288.3,2767
GPIL,2026-04-09 10:49:00,288.3,288.45,288.3,288.45,8
GPIL,2026-04-09 10:50:00,288.45,288.5,288.2,288.3,1562
GPIL,2026-04-09 10:51:00,288.3,288.3,288.0,288.25,1232
GPIL,2026-04-09 10:52:00,288.25,288.25,288.25,288.25,210
GPIL,2026-04-09 10:53:00,288.25,288.25,288.0,288.1,1730
GPIL,2026-04-09 10:54:00,288.1,288.1,288.0,288.05,27
GPIL,2026-04-09 10:55:00,288.05,288.2,288.0,288.1,2052
GPIL,2026-04-09 10:56:00,288.1,288.2,288.1,288.2,580
GPIL,2026-04-09 10:57:00,288.2,288.2,287.8,288.0,810
GPIL,2026-04-09 10:58:00,287.75,287.95,287.25,287.25,2389
GPIL,2026-04-09 10:59:00,287.25,287.5,287.25,287.5,545
GPIL,2026-04-09 11:00:00,287.5,288.35,287.5,288.05,14562
GPIL,2026-04-09 11:01:00,288.05,288.25,288.05,288.05,1000
GPIL,2026-04-09 11:02:00,288.05,288.35,288.05,288.15,528
GPIL,2026-04-09 11:03:00,288.15,288.15,287.85,287.85,2618
GPIL,2026-04-09 11:04:00,287.85,288.2,287.65,288.2,6233
GPIL,2026-04-09 11:05:00,288.4,288.4,288.4,288.4,2769
GPIL,2026-04-09 11:06:00,288.4,288.45,287.85,287.85,810
GPIL,2026-04-09 11:07:00,287.5,288.2,287.5,287.95,6831
GPIL,2026-04-09 11:08:00,288.15,288.2,288.0,288.2,190
GPIL,2026-04-09 11:09:00,288.15,288.35,288.0,288.15,1873
GPIL,2026-04-09 11:10:00,288.15,288.15,288.0,288.15,730
GPIL,2026-04-09 11:11:00,288.15,288.15,287.85,288.15,2581
GPIL,2026-04-09 11:12:00,288.15,288.15,287.75,287.75,371
GPIL,2026-04-09 11:13:00,288.0,288.0,287.7,287.95,338
GPIL,2026-04-09 11:14:00,287.95,287.95,287.8,287.95,126
GPIL,2026-04-09 11:15:00,287.95,288.2,287.95,288.0,856
GPIL,2026-04-09 11:16:00,288.15,288.15,287.6,288.0,2341
GPIL,2026-04-09 11:17:00,288.0,288.0,287.5,287.95,8760
GPIL,2026-04-09 11:18:00,287.9,287.9,287.7,287.9,1300
GPIL,2026-04-09 11:19:00,288.0,288.0,287.8,288.0,316
GPIL,2026-04-09 11:20:00,288.0,288.0,287.85,288.0,6576
GPIL,2026-04-09 11:21:00,288.0,288.0,287.75,287.85,270
GPIL,2026-04-09 11:22:00,287.75,287.85,287.75,287.8,1617
GPIL,2026-04-09 11:23:00,287.8,287.8,287.4,287.8,2383
GPIL,2026-04-09 11:24:00,287.8,287.8,287.6,287.8,260
GPIL,2026-04-09 11:25:00,287.8,287.9,287.6,287.9,3712
GPIL,2026-04-09 11:26:00,288.0,288.1,287.9,288.1,2014
GPIL,2026-04-09 11:27:00,288.1,288.1,288.0,288.05,655
GPIL,2026-04-09 11:28:00,288.05,288.45,287.8,288.35,16089
GPIL,2026-04-09 11:29:00,288.35,288.45,288.35,288.45,575
GPIL,2026-04-09 11:30:00,288.4,288.4,288.2,288.4,108
GPIL,2026-04-09 11:31:00,288.4,288.45,288.2,288.4,1387
GPIL,2026-04-09 11:32:00,288.4,288.75,288.4,288.75,2775
GPIL,2026-04-09 11:33:00,288.85,288.85,288.5,288.5,2153
GPIL,2026-04-09 11:34:00,288.5,288.5,288.2,288.4,1069
GPIL,2026-04-09 11:35:00,288.4,288.45,288.3,288.4,519
GPIL,2026-04-09 11:36:00,288.4,288.8,288.3,288.4,9432
GPIL,2026-04-09 11:37:00,288.7,288.7,288.45,288.7,571
GPIL,2026-04-09 11:38:00,288.7,288.8,288.3,288.8,2700
GPIL,2026-04-09 11:39:00,288.6,289.0,288.6,288.95,5039
GPIL,2026-04-09 11:40:00,288.95,289.15,288.95,289.1,14938
GPIL,2026-04-09 11:41:00,289.1,289.4,288.6,289.4,2309
GPIL,2026-04-09 11:42:00,289.55,289.7,289.45,289.7,4168
GPIL,2026-04-09 11:43:00,289.6,289.6,289.2,289.5,4799
GPIL,2026-04-09 11:44:00,289.5,289.8,289.25,289.55,14987
GPIL,2026-04-09 11:45:00,289.55,289.55,289.1,289.15,8572
GPIL,2026-04-09 11:46:00,289.15,289.4,289.15,289.4,7521
GPIL,2026-04-09 11:47:00,289.4,289.5,289.2,289.45,1602
GPIL,2026-04-09 11:48:00,289.45,289.6,289.3,289.3,5434
GPIL,2026-04-09 11:49:00,289.3,289.5,289.05,289.5,6091
GPIL,2026-04-09 11:50:00,289.3,289.5,289.3,289.45,781
GPIL,2026-04-09 11:51:00,289.45,289.5,289.45,289.5,405
GPIL,2026-04-09 11:52:00,289.5,289.65,289.5,289.5,3077
GPIL,2026-04-09 11:53:00,289.5,289.75,289.5,289.7,4656
GPIL,2026-04-09 11:54:00,289.7,289.85,289.7,289.85,5267
GPIL,2026-04-09 11:55:00,289.8,290.0,289.8,289.9,6309
GPIL,2026-04-09 11:56:00,290.05,290.25,289.55,289.8,22581
GPIL,2026-04-09 11:57:00,289.45,289.7,289.25,289.55,2143
GPIL,2026-04-09 11:58:00,289.55,289.55,289.3,289.3,583
GPIL,2026-04-09 11:59:00,289.0,289.6,289.0,289.25,21087
GPIL,2026-04-09 12:00:00,289.3,289.5,289.0,289.45,3553
GPIL,2026-04-09 12:01:00,289.2,289.45,289.1,289.3,1117
GPIL,2026-04-09 12:02:00,289.3,289.5,289.3,289.4,1971
GPIL,2026-04-09 12:03:00,289.4,289.45,288.7,288.75,12345
GPIL,2026-04-09 12:04:00,288.75,288.75,288.6,288.7,491
GPIL,2026-04-09 12:05:00,288.7,288.95,288.6,288.95,1691
GPIL,2026-04-09 12:06:00,289.0,289.0,288.65,288.85,2268
GPIL,2026-04-09 12:07:00,288.85,289.0,288.75,289.0,223
GPIL,2026-04-09 12:08:00,289.0,289.15,288.75,289.15,14051
GPIL,2026-04-09 12:09:00,289.15,289.15,288.85,288.95,904
GPIL,2026-04-09 12:10:00,288.95,289.1,288.85,289.0,341
GPIL,2026-04-09 12:11:00,289.0,289.1,288.55,288.7,3875
GPIL,2026-04-09 12:12:00,288.7,288.7,288.3,288.55,5528
GPIL,2026-04-09 12:13:00,288.7,288.7,288.35,288.6,2081
GPIL,2026-04-09 12:14:00,288.45,288.5,288.3,288.5,2042
GPIL,2026-04-09 12:15:00,288.5,288.5,288.3,288.4,1158
GPIL,2026-04-09 12:16:00,288.3,288.5,288.1,288.45,6828
GPIL,2026-04-09 12:17:00,288.45,288.6,288.2,288.6,240
GPIL,2026-04-09 12:18:00,288.6,288.6,288.45,288.55,309
GPIL,2026-04-09 12:19:00,288.55,288.55,288.55,288.55,269
GPIL,2026-04-09 12:20:00,288.55,288.55,287.9,288.15,7794
GPIL,2026-04-09 12:21:00,288.15,288.25,288.0,288.0,1719
GPIL,2026-04-09 12:22:00,288.0,288.0,287.8,287.9,1435
GPIL,2026-04-09 12:23:00,287.9,288.0,287.9,287.95,546
GPIL,2026-04-09 12:24:00,287.95,287.95,287.95,287.95,1131
GPIL,2026-04-09 12:25:00,287.95,287.95,287.4,287.6,4811
GPIL,2026-04-09 12:26:00,287.65,287.8,287.6,287.65,8188
GPIL,2026-04-09 12:27:00,287.65,287.9,287.55,287.75,5413
GPIL,2026-04-09 12:28:00,287.75,287.85,287.75,287.85,255
GPIL,2026-04-09 12:29:00,287.85,287.85,287.65,287.85,227
GPIL,2026-04-09 12:30:00,287.85,287.85,287.7,287.85,737
GPIL,2026-04-09 12:31:00,287.85,287.9,287.6,287.85,2226
