tradingsymbol,datetime,open,high,low,close,volume
IFCI,2026-04-09 09:15:00,55.0,55.12,54.62,54.88,255431
IFCI,2026-04-09 09:16:00,54.9,55.26,54.9,55.11,272430
IFCI,2026-04-09 09:17:00,55.07,55.55,55.07,55.42,267453
IFCI,2026-04-09 09:18:00,55.42,56.14,55.42,56.06,434967
IFCI,2026-04-09 09:19:00,56.03,56.34,56.01,56.07,282967
IFCI,2026-04-09 09:20:00,56.1,56.39,55.97,55.99,399795
IFCI,2026-04-09 09:21:00,55.96,56.1,55.96,56.01,213277
IFCI,2026-04-09 09:22:00,56.07,56.26,56.07,56.26,186495
IFCI,2026-04-09 09:23:00,56.2,56.2,56.09,56.14,87909
IFCI,2026-04-09 09:24:00,56.14,56.19,56.14,56.15,53917
IFCI,2026-04-09 09:25:00,56.16,56.21,56.15,56.2,84756
IFCI,2026-04-09 09:26:00,56.16,56.16,56.08,56.08,30802
IFCI,2026-04-09 09:27:00,56.11,56.12,56.06,56.11,18071
IFCI,2026-04-09 09:28:00,56.11,56.11,55.99,55.99,122243
IFCI,2026-04-09 09:29:00,55.95,55.96,55.9,55.9,79905
IFCI,2026-04-09 09:30:00,55.93,55.93,55.8,55.8,31332
IFCI,2026-04-09 09:31:00,55.75,55.75,55.57,55.62,113384
IFCI,2026-04-09 09:32:00,55.55,55.55,55.42,55.45,121086
IFCI,2026-04-09 09:33:00,55.45,55.54,55.39,55.39,96596
IFCI,2026-04-09 09:34:00,55.36,55.36,55.27,55.28,77984
IFCI,2026-04-09 09:35:00,55.18,55.34,55.18,55.31,91730
IFCI,2026-04-09 09:36:00,55.33,55.42,55.33,55.41,84669
IFCI,2026-04-09 09:37:00,55.44,55.47,55.33,55.35,70064
IFCI,2026-04-09 09:38:00,55.38,55.38,55.3,55.3,44066
IFCI,2026-04-09 09:39:00,55.29,55.29,55.12,55.12,52397
IFCI,2026-04-09 09:40:00,55.11,55.15,55.11,55.13,106672
IFCI,2026-04-09 09:41:00,55.13,55.15,55.09,55.09,52220
IFCI,2026-04-09 09:42:00,55.08,55.1,55.01,55.01,45427
IFCI,2026-04-09 09:43:00,55.01,55.01,54.93,54.97,124856
IFCI,2026-04-09 09:44:00,55.07,55.11,55.02,55.11,47905
IFCI,2026-04-09 09:45:00,55.1,55.16,55.1,55.13,67043
IFCI,2026-04-09 09:46:00,55.1,55.13,55.1,55.1,30984
IFCI,2026-04-09 09:47:00,55.1,55.2,55.1,55.2,8244
IFCI,2026-04-09 09:48:00,55.2,55.23,55.18,55.22,23244
IFCI,2026-04-09 09:49:00,55.18,55.2,55.04,55.08,41731
IFCI,2026-04-09 09:50:00,55.08,55.08,54.95,54.95,59737
IFCI,2026-04-09 09:51:00,54.97,54.97,54.91,54.91,22491
IFCI,2026-04-09 09:52:00,54.96,55.01,54.92,54.98,69927
IFCI,2026-04-09 09:53:00,54.98,55.11,54.98,55.05,34010
IFCI,2026-04-09 09:54:00,55.05,55.05,55.0,55.04,10383
IFCI,2026-04-09 09:55:00,55.07,55.07,54.95,54.96,25372
IFCI,2026-04-09 09:56:00,54.99,55.0,54.95,54.97,17368
IFCI,2026-04-09 09:57:00,54.95,54.95,54.87,54.95,59362
IFCI,2026-04-09 09:58:00,54.95,55.03,54.91,54.99,26903
IFCI,2026-04-09 09:59:00,54.99,54.99,54.9,54.96,6923
IFCI,2026-04-09 10:00:00,54.96,54.97,54.87,54.95,59919
IFCI,2026-04-09 10:01:00,55.0,55.08,55.0,55.06,4937
IFCI,2026-04-09 10:02:00,55.08,55.1,55.01,55.05,77828
IFCI,2026-04-09 10:03:00,55.04,55.11,55.02,55.08,19867
IFCI,2026-04-09 10:04:00,55.08,55.09,55.03,55.06,52933
IFCI,2026-04-09 10:05:00,55.03,55.14,54.91,54.91,98869
IFCI,2026-04-09 10:06:00,54.97,55.0,54.94,54.95,12107
IFCI,2026-04-09 10:07:00,54.99,55.0,54.96,54.99,4146
IFCI,2026-04-09 10:08:00,55.0,55.01,54.95,55.0,10919
