tradingsymbol,datetime,open,high,low,close,volume
JUBLFOOD,2026-04-09 09:15:00,433.9,433.9,428.05,429.3,41271
JUBLFOOD,2026-04-09 09:16:00,429.3,430.55,428.4,430.4,41030
JUBLFOOD,2026-04-09 09:17:00,430.4,431.45,430.4,431.45,25359
JUBLFOOD,2026-04-09 09:18:00,431.4,433.0,431.4,432.5,19943
JUBLFOOD,2026-04-09 09:19:00,432.5,434.8,432.5,434.3,38500
JUBLFOOD,2026-04-09 09:20:00,434.35,435.35,433.25,434.25,44594
JUBLFOOD,2026-04-09 09:21:00,434.45,434.9,434.35,434.35,25455
JUBLFOOD,2026-04-09 09:22:00,434.35,434.7,434.0,434.35,20582
JUBLFOOD,2026-04-09 09:23:00,434.5,434.9,434.35,434.35,33512
JUBLFOOD,2026-04-09 09:24:00,434.4,434.85,434.4,434.85,6547
JUBLFOOD,2026-04-09 09:25:00,434.85,435.75,434.6,435.75,18500
JUBLFOOD,2026-04-09 09:26:00,435.4,435.9,435.15,435.8,10817
JUBLFOOD,2026-04-09 09:27:00,435.75,436.45,435.4,436.45,26724
JUBLFOOD,2026-04-09 09:28:00,436.0,436.35,436.0,436.2,7454
JUBLFOOD,2026-04-09 09:29:00,436.2,436.2,435.65,436.0,9941
JUBLFOOD,2026-04-09 09:30:00,435.7,435.85,434.95,434.95,8404
JUBLFOOD,2026-04-09 09:31:00,434.95,435.4,434.4,434.4,13998
JUBLFOOD,2026-04-09 09:32:00,434.55,434.6,433.5,433.95,13964
JUBLFOOD,2026-04-09 09:33:00,433.95,434.2,433.65,433.7,7371
JUBLFOOD,2026-04-09 09:34:00,433.9,433.9,433.15,433.25,6079
JUBLFOOD,2026-04-09 09:35:00,433.4,433.5,433.1,433.15,9138
JUBLFOOD,2026-04-09 09:36:00,433.05,433.7,433.0,433.7,14269
JUBLFOOD,2026-04-09 09:37:00,433.6,433.75,433.35,433.55,11775
JUBLFOOD,2026-04-09 09:38:00,433.55,433.55,432.6,432.6,3790
JUBLFOOD,2026-04-09 09:39:00,432.6,432.8,432.35,432.6,5749
JUBLFOOD,2026-04-09 09:40:00,432.5,432.5,432.2,432.25,6501
JUBLFOOD,2026-04-09 09:41:00,432.25,432.3,432.1,432.1,3247
JUBLFOOD,2026-04-09 09:42:00,432.0,432.0,431.2,431.4,9203
JUBLFOOD,2026-04-09 09:43:00,431.3,431.3,429.75,429.9,19084
JUBLFOOD,2026-04-09 09:44:00,429.9,430.0,429.2,429.6,18168
JUBLFOOD,2026-04-09 09:45:00,429.55,430.1,428.6,428.6,16853
JUBLFOOD,2026-04-09 09:46:00,428.6,428.95,428.45,428.65,9710
JUBLFOOD,2026-04-09 09:47:00,428.35,428.55,428.2,428.5,8180
JUBLFOOD,2026-04-09 09:48:00,428.3,428.4,428.1,428.2,13701
JUBLFOOD,2026-04-09 09:49:00,428.05,428.05,426.9,427.15,27207
JUBLFOOD,2026-04-09 09:50:00,427.15,427.5,426.6,427.25,34437
JUBLFOOD,2026-04-09 09:51:00,427.15,427.15,426.6,426.6,7185
JUBLFOOD,2026-04-09 09:52:00,426.75,427.15,426.25,427.15,40723
JUBLFOOD,2026-04-09 09:53:00,427.3,427.8,427.05,427.8,8909
JUBLFOOD,2026-04-09 09:54:00,427.8,427.85,427.25,427.3,5662
JUBLFOOD,2026-04-09 09:55:00,427.4,427.4,426.6,426.85,11259
JUBLFOOD,2026-04-09 09:56:00,426.8,427.0,426.55,426.95,2858
JUBLFOOD,2026-04-09 09:57:00,426.95,426.95,426.5,426.75,3794
JUBLFOOD,2026-04-09 09:58:00,426.5,426.7,426.5,426.6,7591
JUBLFOOD,2026-04-09 09:59:00,426.6,426.6,426.05,426.05,8009
JUBLFOOD,2026-04-09 10:00:00,426.2,426.5,425.6,426.5,12459
JUBLFOOD,2026-04-09 10:01:00,426.9,427.8,426.85,427.45,23098
JUBLFOOD,2026-04-09 10:02:00,427.45,428.0,427.45,428.0,6016
JUBLFOOD,2026-04-09 10:03:00,427.9,428.25,427.75,427.85,19178
JUBLFOOD,2026-04-09 10:04:00,427.95,428.1,427.8,428.0,2057
