tradingsymbol,datetime,open,high,low,close,volume
KIRLOSENG,2026-04-09 09:15:00,1479.0,1479.0,1460.0,1473.2,5788
KIRLOSENG,2026-04-09 09:16:00,1472.5,1482.7,1472.5,1477.5,7646
KIRLOSENG,2026-04-09 09:17:00,1475.2,1479.7,1475.2,1479.1,1065
KIRLOSENG,2026-04-09 09:18:00,1479.1,1484.0,1479.1,1482.2,1863
KIRLOSENG,2026-04-09 09:19:00,1482.3,1486.8,1482.3,1486.8,1453
KIRLOSENG,2026-04-09 09:20:00,1485.2,1489.0,1481.0,1481.0,8209
KIRLOSENG,2026-04-09 09:21:00,1483.1,1483.6,1481.0,1481.1,1669
KIRLOSENG,2026-04-09 09:22:00,1481.1,1481.4,1479.2,1479.2,1867
KIRLOSENG,2026-04-09 09:23:00,1479.2,1480.2,1477.6,1478.0,1275
KIRLOSENG,2026-04-09 09:24:00,1478.0,1479.5,1476.5,1478.9,1243
KIRLOSENG,2026-04-09 09:25:00,1479.2,1482.5,1478.4,1481.6,2658
KIRLOSENG,2026-04-09 09:26:00,1480.3,1481.2,1480.1,1480.1,719
KIRLOSENG,2026-04-09 09:27:00,1476.8,1476.8,1475.0,1475.2,1808
KIRLOSENG,2026-04-09 09:28:00,1475.6,1477.0,1475.6,1476.8,318
KIRLOSENG,2026-04-09 09:29:00,1477.2,1478.8,1477.2,1478.0,1424
KIRLOSENG,2026-04-09 09:30:00,1478.0,1478.7,1477.2,1477.5,946
KIRLOSENG,2026-04-09 09:31:00,1475.2,1475.2,1472.0,1472.3,1523
KIRLOSENG,2026-04-09 09:32:00,1472.3,1472.6,1467.9,1467.9,783
KIRLOSENG,2026-04-09 09:33:00,1466.5,1466.5,1465.0,1465.1,1701
KIRLOSENG,2026-04-09 09:34:00,1465.1,1467.0,1465.1,1467.0,236
KIRLOSENG,2026-04-09 09:35:00,1467.0,1468.1,1466.3,1468.1,605
KIRLOSENG,2026-04-09 09:36:00,1469.4,1473.1,1469.4,1470.2,1590
KIRLOSENG,2026-04-09 09:37:00,1465.0,1465.2,1462.1,1462.1,2609
