tradingsymbol,datetime,open,high,low,close,volume
PAGEIND,2026-04-09 09:15:00,35405,35405,35070,35135,217
PAGEIND,2026-04-09 09:16:00,35135,35310,35135,35310,267
PAGEIND,2026-04-09 09:17:00,35345,35480,35345,35460,299
PAGEIND,2026-04-09 09:18:00,35485,35550,35465,35550,283
PAGEIND,2026-04-09 09:19:00,35550,35620,35530,35620,158
PAGEIND,2026-04-09 09:20:00,35615,35690,35585,35590,130
PAGEIND,2026-04-09 09:21:00,35590,35595,35565,35565,8
PAGEIND,2026-04-09 09:22:00,35565,35645,35565,35610,116
PAGEIND,2026-04-09 09:23:00,35605,35605,35565,35595,48
PAGEIND,2026-04-09 09:24:00,35585,35595,35570,35590,150
PAGEIND,2026-04-09 09:25:00,35590,35620,35590,35610,71
PAGEIND,2026-04-09 09:26:00,35620,35695,35620,35650,105
PAGEIND,2026-04-09 09:27:00,35645,35715,35605,35625,129
PAGEIND,2026-04-09 09:28:00,35625,35755,35610,35755,112
PAGEIND,2026-04-09 09:29:00,35745,35795,35730,35765,133
PAGEIND,2026-04-09 09:30:00,35765,35765,35735,35750,90
PAGEIND,2026-04-09 09:31:00,35750,35940,35750,35845,401
PAGEIND,2026-04-09 09:32:00,35845,35845,35785,35795,74
PAGEIND,2026-04-09 09:33:00,35795,35795,35695,35695,63
PAGEIND,2026-04-09 09:34:00,35650,35730,35650,35710,44
PAGEIND,2026-04-09 09:35:00,35680,35700,35680,35680,55
PAGEIND,2026-04-09 09:36:00,35680,35780,35675,35780,89
PAGEIND,2026-04-09 09:37:00,35755,35760,35730,35730,81
PAGEIND,2026-04-09 09:38:00,35730,35730,35670,35670,61
PAGEIND,2026-04-09 09:39:00,35670,35670,35665,35670,36
PAGEIND,2026-04-09 09:40:00,35670,35750,35670,35750,57
PAGEIND,2026-04-09 09:41:00,35750,35750,35690,35690,34
PAGEIND,2026-04-09 09:42:00,35675,35675,35630,35630,77
PAGEIND,2026-04-09 09:43:00,35620,35620,35585,35585,151
PAGEIND,2026-04-09 09:44:00,35585,35595,35550,35595,59
PAGEIND,2026-04-09 09:45:00,35575,35610,35555,35575,48
PAGEIND,2026-04-09 09:46:00,35575,35595,35555,35565,48
PAGEIND,2026-04-09 09:47:00,35565,35595,35565,35590,20
PAGEIND,2026-04-09 09:48:00,35590,35595,35550,35580,60
PAGEIND,2026-04-09 09:49:00,35580,35580,35510,35510,35
PAGEIND,2026-04-09 09:50:00,35510,35510,35475,35480,102
PAGEIND,2026-04-09 09:51:00,35460,35495,35450,35450,119
PAGEIND,2026-04-09 09:52:00,35450,35460,35435,35440,108
PAGEIND,2026-04-09 09:53:00,35440,35465,35400,35430,53
PAGEIND,2026-04-09 09:54:00,35410,35415,35410,35415,21
PAGEIND,2026-04-09 09:55:00,35440,35445,35415,35445,41
PAGEIND,2026-04-09 09:56:00,35445,35445,35400,35405,33
PAGEIND,2026-04-09 09:57:00,35405,35425,35405,35420,43
PAGEIND,2026-04-09 09:58:00,35420,35450,35420,35440,10
PAGEIND,2026-04-09 09:59:00,35440,35440,35430,35430,84
PAGEIND,2026-04-09 10:00:00,35430,35430,35370,35405,64
PAGEIND,2026-04-09 10:01:00,35405,35430,35405,35430,18
PAGEIND,2026-04-09 10:02:00,35430,35540,35430,35540,37
PAGEIND,2026-04-09 10:03:00,35550,35550,35505,35510,32
PAGEIND,2026-04-09 10:04:00,35510,35515,35485,35515,21
PAGEIND,2026-04-09 10:05:00,35515,35550,35515,35550,60
PAGEIND,2026-04-09 10:06:00,35550,35550,35545,35545,40
PAGEIND,2026-04-09 10:07:00,35545,35545,35525,35525,20
PAGEIND,2026-04-09 10:08:00,35505,35525,35505,35525,3
PAGEIND,2026-04-09 10:09:00,35525,35525,35510,35515,15
PAGEIND,2026-04-09 10:10:00,35535,35540,35535,35540,9
PAGEIND,2026-04-09 10:11:00,35540,35575,35535,35575,88
PAGEIND,2026-04-09 10:12:00,35600,35600,35565,35595,51
PAGEIND,2026-04-09 10:13:00,35595,35595,35560,35570,29
PAGEIND,2026-04-09 10:14:00,35570,35620,35570,35620,57
PAGEIND,2026-04-09 10:15:00,35620,35620,35535,35535,75
PAGEIND,2026-04-09 10:16:00,35535,35560,35535,35555,23
PAGEIND,2026-04-09 10:17:00,35555,35595,35555,35595,29
PAGEIND,2026-04-09 10:18:00,35595,35660,35570,35570,93
PAGEIND,2026-04-09 10:19:00,35570,35570,35555,35560,20
PAGEIND,2026-04-09 10:20:00,35560,35560,35535,35535,11
PAGEIND,2026-04-09 10:21:00,35535,35560,35535,35550,38
PAGEIND,2026-04-09 10:22:00,35550,35550,35550,35550,49
PAGEIND,2026-04-09 10:23:00,35550,35555,35550,35555,2
PAGEIND,2026-04-09 10:24:00,35555,35560,35555,35560,4
PAGEIND,2026-04-09 10:25:00,35560,35575,35560,35560,26
PAGEIND,2026-04-09 10:26:00,35560,35560,35520,35520,18
PAGEIND,2026-04-09 10:27:00,35520,35520,35510,35510,32
