tradingsymbol,datetime,open,high,low,close,volume
PRESTIGE,2026-04-09 09:15:00,1320.2,1320.8,1310.2,1310.2,4012
PRESTIGE,2026-04-09 09:16:00,1310.2,1316.2,1310.0,1312.2,3608
PRESTIGE,2026-04-09 09:17:00,1312.7,1316.0,1311.0,1313.5,3341
PRESTIGE,2026-04-09 09:18:00,1313.9,1316.6,1313.9,1314.8,4653
PRESTIGE,2026-04-09 09:19:00,1314.8,1318.2,1314.8,1317.5,4474
PRESTIGE,2026-04-09 09:20:00,1317.5,1320.0,1312.5,1313.8,8377
PRESTIGE,2026-04-09 09:21:00,1313.8,1314.3,1312.6,1314.3,721
PRESTIGE,2026-04-09 09:22:00,1314.3,1314.3,1312.2,1313.0,1397
PRESTIGE,2026-04-09 09:23:00,1312.0,1313.0,1310.7,1313.0,2774
PRESTIGE,2026-04-09 09:24:00,1313.0,1314.0,1312.3,1314.0,514
PRESTIGE,2026-04-09 09:25:00,1314.0,1314.0,1312.6,1312.6,1117
PRESTIGE,2026-04-09 09:26:00,1312.6,1313.5,1312.1,1312.5,1410
PRESTIGE,2026-04-09 09:27:00,1311.0,1312.9,1311.0,1311.9,2176
PRESTIGE,2026-04-09 09:28:00,1311.9,1312.4,1311.2,1312.0,2773
PRESTIGE,2026-04-09 09:29:00,1310.1,1312.9,1309.6,1312.2,9504
PRESTIGE,2026-04-09 09:30:00,1312.7,1312.7,1311.0,1311.8,1446
PRESTIGE,2026-04-09 09:31:00,1311.8,1311.8,1307.1,1309.0,6354
PRESTIGE,2026-04-09 09:32:00,1309.2,1310.6,1308.8,1309.1,1386
PRESTIGE,2026-04-09 09:33:00,1309.3,1309.4,1308.0,1308.0,994
PRESTIGE,2026-04-09 09:34:00,1307.7,1309.0,1306.8,1308.5,3330
PRESTIGE,2026-04-09 09:35:00,1308.5,1309.8,1308.0,1309.8,1427
PRESTIGE,2026-04-09 09:36:00,1310.0,1314.4,1310.0,1313.0,2515
PRESTIGE,2026-04-09 09:37:00,1313.0,1313.4,1312.0,1312.7,495
PRESTIGE,2026-04-09 09:38:00,1311.6,1311.6,1309.8,1309.8,1833
PRESTIGE,2026-04-09 09:39:00,1309.8,1309.8,1307.1,1307.8,887
PRESTIGE,2026-04-09 09:40:00,1307.8,1308.2,1306.9,1306.9,1978
PRESTIGE,2026-04-09 09:41:00,1306.9,1309.2,1306.8,1307.8,792
PRESTIGE,2026-04-09 09:42:00,1307.8,1308.3,1305.7,1306.3,2210
PRESTIGE,2026-04-09 09:43:00,1306.3,1306.3,1304.6,1305.6,1454
PRESTIGE,2026-04-09 09:44:00,1306.0,1306.0,1303.3,1303.8,975
PRESTIGE,2026-04-09 09:45:00,1303.8,1305.8,1303.3,1303.3,2620
PRESTIGE,2026-04-09 09:46:00,1303.1,1309.5,1303.0,1309.5,9052
PRESTIGE,2026-04-09 09:47:00,1310.2,1311.0,1308.8,1308.8,20364
PRESTIGE,2026-04-09 09:48:00,1308.8,1308.8,1306.3,1306.3,910
PRESTIGE,2026-04-09 09:49:00,1306.3,1306.3,1304.0,1304.0,1378
PRESTIGE,2026-04-09 09:50:00,1301.9,1303.0,1297.7,1298.4,6710
PRESTIGE,2026-04-09 09:51:00,1297.1,1299.8,1297.0,1297.9,1623
PRESTIGE,2026-04-09 09:52:00,1297.9,1299.2,1296.7,1298.2,4533
PRESTIGE,2026-04-09 09:53:00,1298.2,1300.2,1297.4,1299.6,1950
PRESTIGE,2026-04-09 09:54:00,1300.0,1300.1,1297.7,1298.8,692
PRESTIGE,2026-04-09 09:55:00,1298.8,1298.8,1296.1,1298.2,2752
PRESTIGE,2026-04-09 09:56:00,1298.2,1298.2,1294.9,1296.7,7123
PRESTIGE,2026-04-09 09:57:00,1296.7,1297.7,1296.4,1297.5,657
PRESTIGE,2026-04-09 09:58:00,1297.5,1298.0,1297.4,1298.0,430
PRESTIGE,2026-04-09 09:59:00,1298.0,1298.0,1296.5,1296.5,1029
PRESTIGE,2026-04-09 10:00:00,1296.5,1296.5,1292.9,1294.1,1970
