tradingsymbol,datetime,open,high,low,close,volume
RBLBANK,2026-04-09 09:15:00,322.0,322.0,319.05,319.3,75851
RBLBANK,2026-04-09 09:16:00,319.3,321.45,319.3,321.45,28730
RBLBANK,2026-04-09 09:17:00,322.0,322.15,320.8,320.85,92405
RBLBANK,2026-04-09 09:18:00,321.0,321.4,320.5,320.5,40689
RBLBANK,2026-04-09 09:19:00,320.5,321.4,320.5,321.1,11824
RBLBANK,2026-04-09 09:20:00,321.2,321.8,320.75,320.85,19666
RBLBANK,2026-04-09 09:21:00,320.95,321.15,320.65,321.0,8413
RBLBANK,2026-04-09 09:22:00,321.0,321.15,319.85,320.0,80004
RBLBANK,2026-04-09 09:23:00,320.0,320.4,320.0,320.0,19452
RBLBANK,2026-04-09 09:24:00,320.05,320.5,320.05,320.5,12185
RBLBANK,2026-04-09 09:25:00,320.5,320.85,320.4,320.8,4352
RBLBANK,2026-04-09 09:26:00,320.85,320.85,320.15,320.15,21083
RBLBANK,2026-04-09 09:27:00,320.1,320.1,318.55,318.9,106420
RBLBANK,2026-04-09 09:28:00,318.9,319.1,318.85,318.85,17754
RBLBANK,2026-04-09 09:29:00,318.85,318.85,318.1,318.2,22099
RBLBANK,2026-04-09 09:30:00,318.35,318.85,318.3,318.8,13950
RBLBANK,2026-04-09 09:31:00,318.8,318.85,317.9,317.9,51136
RBLBANK,2026-04-09 09:32:00,317.55,318.15,317.55,317.8,32976
RBLBANK,2026-04-09 09:33:00,317.8,317.95,317.05,317.2,47898
RBLBANK,2026-04-09 09:34:00,317.2,317.2,316.7,316.95,47081
RBLBANK,2026-04-09 09:35:00,317.0,317.4,316.65,317.25,32107
RBLBANK,2026-04-09 09:36:00,317.25,317.8,317.25,317.8,75936
RBLBANK,2026-04-09 09:37:00,317.8,318.5,317.8,318.2,95886
RBLBANK,2026-04-09 09:38:00,318.3,318.45,317.95,318.0,16686
RBLBANK,2026-04-09 09:39:00,317.75,317.75,317.25,317.4,8970
RBLBANK,2026-04-09 09:40:00,317.55,317.6,317.4,317.45,9472
RBLBANK,2026-04-09 09:41:00,317.5,317.55,316.9,316.9,12657
RBLBANK,2026-04-09 09:42:00,316.8,316.95,316.5,316.5,16108
RBLBANK,2026-04-09 09:43:00,316.7,316.7,316.4,316.5,12033
RBLBANK,2026-04-09 09:44:00,316.45,316.5,315.75,316.3,41479
RBLBANK,2026-04-09 09:45:00,316.4,316.75,316.2,316.3,6450
RBLBANK,2026-04-09 09:46:00,316.3,316.45,316.2,316.45,4683
RBLBANK,2026-04-09 09:47:00,316.2,316.45,316.15,316.45,10296
RBLBANK,2026-04-09 09:48:00,316.45,316.45,316.05,316.05,10595
RBLBANK,2026-04-09 09:49:00,316.0,316.0,315.3,315.5,28113
RBLBANK,2026-04-09 09:50:00,315.4,315.45,315.0,315.05,30291
RBLBANK,2026-04-09 09:51:00,315.05,315.2,314.85,315.1,35676
RBLBANK,2026-04-09 09:52:00,315.3,316.0,315.3,315.8,11382
RBLBANK,2026-04-09 09:53:00,315.9,316.05,315.75,316.0,8897
RBLBANK,2026-04-09 09:54:00,315.9,316.5,315.8,316.5,123349
RBLBANK,2026-04-09 09:55:00,316.5,316.85,315.8,316.05,24445
RBLBANK,2026-04-09 09:56:00,315.9,316.1,315.4,315.5,6034
RBLBANK,2026-04-09 09:57:00,315.5,316.0,315.5,316.0,13479
RBLBANK,2026-04-09 09:58:00,316.0,316.25,315.9,315.9,7613
RBLBANK,2026-04-09 09:59:00,315.7,316.0,315.7,316.0,6080
RBLBANK,2026-04-09 10:00:00,315.95,315.95,315.7,315.8,4642
RBLBANK,2026-04-09 10:01:00,315.8,316.5,315.8,316.3,15070
