tradingsymbol,datetime,open,high,low,close,volume
SAMMAANCAP,2026-04-09 09:15:00,151.25,151.45,150.25,150.64,114630
SAMMAANCAP,2026-04-09 09:16:00,150.64,151.12,150.64,151.12,105465
SAMMAANCAP,2026-04-09 09:17:00,151.29,151.87,151.21,151.87,114825
SAMMAANCAP,2026-04-09 09:18:00,151.7,152.12,151.64,152.04,106574
SAMMAANCAP,2026-04-09 09:19:00,152.04,152.15,151.94,152.08,40362
SAMMAANCAP,2026-04-09 09:20:00,152.08,152.67,152.08,152.23,100194
SAMMAANCAP,2026-04-09 09:21:00,152.22,152.41,152.22,152.41,23736
SAMMAANCAP,2026-04-09 09:22:00,152.41,152.49,152.1,152.1,44137
SAMMAANCAP,2026-04-09 09:23:00,152.09,152.09,151.82,151.97,23284
SAMMAANCAP,2026-04-09 09:24:00,151.96,152.0,151.8,151.8,39589
SAMMAANCAP,2026-04-09 09:25:00,151.8,152.0,151.8,152.0,25056
SAMMAANCAP,2026-04-09 09:26:00,152.0,152.0,151.7,151.78,27781
SAMMAANCAP,2026-04-09 09:27:00,151.78,151.96,151.75,151.9,41865
SAMMAANCAP,2026-04-09 09:28:00,151.9,151.98,151.87,151.98,18411
SAMMAANCAP,2026-04-09 09:29:00,151.91,152.01,151.9,151.96,44569
SAMMAANCAP,2026-04-09 09:30:00,151.95,151.95,151.78,151.8,17094
SAMMAANCAP,2026-04-09 09:31:00,151.77,151.8,151.25,151.25,58653
SAMMAANCAP,2026-04-09 09:32:00,151.25,151.25,150.85,150.96,19209
SAMMAANCAP,2026-04-09 09:33:00,150.85,150.9,150.52,150.6,58421
SAMMAANCAP,2026-04-09 09:34:00,150.53,150.61,150.4,150.45,38513
SAMMAANCAP,2026-04-09 09:35:00,150.29,150.59,150.29,150.53,52330
SAMMAANCAP,2026-04-09 09:36:00,150.4,150.7,150.4,150.64,38487
SAMMAANCAP,2026-04-09 09:37:00,150.6,150.69,150.5,150.54,25543
SAMMAANCAP,2026-04-09 09:38:00,150.5,150.58,150.49,150.49,44026
