tradingsymbol,datetime,open,high,low,close,volume
SBILIFE,2026-04-09 09:15:00,1907.0,1913.1,1899.9,1905.1,11682
SBILIFE,2026-04-09 09:16:00,1905.1,1916.7,1905.0,1916.7,6408
SBILIFE,2026-04-09 09:17:00,1916.1,1923.6,1916.1,1920.3,4656
SBILIFE,2026-04-09 09:18:00,1917.3,1924.1,1917.3,1923.0,3360
SBILIFE,2026-04-09 09:19:00,1923.0,1925.8,1922.2,1924.4,3243
SBILIFE,2026-04-09 09:20:00,1924.7,1927.5,1922.7,1923.5,5588
SBILIFE,2026-04-09 09:21:00,1924.5,1924.5,1922.1,1923.0,4039
SBILIFE,2026-04-09 09:22:00,1923.0,1924.0,1922.9,1923.8,1561
SBILIFE,2026-04-09 09:23:00,1923.0,1923.0,1922.4,1923.0,2609
SBILIFE,2026-04-09 09:24:00,1923.3,1927.0,1923.3,1926.7,2043
SBILIFE,2026-04-09 09:25:00,1926.7,1927.0,1924.1,1925.0,3742
SBILIFE,2026-04-09 09:26:00,1925.1,1928.5,1924.5,1926.6,6156
SBILIFE,2026-04-09 09:27:00,1926.9,1929.9,1926.0,1929.6,3376
SBILIFE,2026-04-09 09:28:00,1929.6,1929.6,1928.2,1928.2,1559
SBILIFE,2026-04-09 09:29:00,1928.2,1930.0,1928.2,1929.4,7526
SBILIFE,2026-04-09 09:30:00,1928.7,1929.0,1925.8,1925.8,1110
SBILIFE,2026-04-09 09:31:00,1925.8,1925.8,1922.7,1922.7,2798
SBILIFE,2026-04-09 09:32:00,1922.4,1922.7,1921.6,1921.6,2049
SBILIFE,2026-04-09 09:33:00,1920.9,1920.9,1917.2,1917.2,1730
SBILIFE,2026-04-09 09:34:00,1916.9,1916.9,1914.5,1914.8,1695
SBILIFE,2026-04-09 09:35:00,1914.6,1916.3,1914.6,1915.3,1283
SBILIFE,2026-04-09 09:36:00,1916.3,1918.3,1916.3,1917.2,837
SBILIFE,2026-04-09 09:37:00,1917.2,1917.4,1915.0,1915.1,2060
SBILIFE,2026-04-09 09:38:00,1915.1,1915.2,1909.4,1911.1,1960
SBILIFE,2026-04-09 09:39:00,1911.4,1916.2,1911.1,1915.4,3302
SBILIFE,2026-04-09 09:40:00,1915.4,1918.0,1915.0,1917.8,721
SBILIFE,2026-04-09 09:41:00,1917.8,1917.8,1916.4,1917.2,1115
SBILIFE,2026-04-09 09:42:00,1917.0,1917.0,1913.3,1914.1,1218
SBILIFE,2026-04-09 09:43:00,1914.1,1914.1,1913.0,1913.3,1066
SBILIFE,2026-04-09 09:44:00,1913.3,1916.1,1911.9,1914.2,9213
SBILIFE,2026-04-09 09:45:00,1914.2,1919.2,1914.2,1918.2,5779
SBILIFE,2026-04-09 09:46:00,1918.2,1918.2,1916.9,1917.9,567
SBILIFE,2026-04-09 09:47:00,1918.1,1918.4,1914.4,1915.2,3415
SBILIFE,2026-04-09 09:48:00,1915.2,1915.3,1913.6,1913.6,962
SBILIFE,2026-04-09 09:49:00,1913.1,1913.6,1911.0,1912.2,837
SBILIFE,2026-04-09 09:50:00,1912.2,1912.2,1908.9,1909.2,4676
SBILIFE,2026-04-09 09:51:00,1910.0,1910.4,1909.3,1909.4,409
SBILIFE,2026-04-09 09:52:00,1909.4,1912.6,1909.3,1909.9,7126
SBILIFE,2026-04-09 09:53:00,1909.9,1909.9,1908.9,1909.6,1301
SBILIFE,2026-04-09 09:54:00,1909.4,1909.7,1909.4,1909.7,309
SBILIFE,2026-04-09 09:55:00,1909.7,1909.7,1908.8,1909.0,1040
SBILIFE,2026-04-09 09:56:00,1909.0,1909.2,1908.4,1909.0,7042
SBILIFE,2026-04-09 09:57:00,1909.0,1909.1,1907.8,1909.0,3058
SBILIFE,2026-04-09 09:58:00,1909.0,1913.6,1909.0,1913.6,53828
SBILIFE,2026-04-09 09:59:00,1913.6,1913.6,1908.1,1908.1,3922
SBILIFE,2026-04-09 10:00:00,1908.1,1908.9,1906.1,1907.4,1029
SBILIFE,2026-04-09 10:01:00,1907.4,1909.0,1907.0,1909.0,883
SBILIFE,2026-04-09 10:02:00,1909.0,1910.7,1909.0,1909.3,5710
SBILIFE,2026-04-09 10:03:00,1909.3,1910.9,1909.3,1910.8,864
SBILIFE,2026-04-09 10:04:00,1909.9,1911.4,1909.9,1911.2,1315
SBILIFE,2026-04-09 10:05:00,1910.9,1914.7,1909.9,1909.9,12962
SBILIFE,2026-04-09 10:06:00,1909.9,1914.0,1909.4,1913.3,14742
SBILIFE,2026-04-09 10:07:00,1913.3,1914.5,1913.3,1913.7,1430
SBILIFE,2026-04-09 10:08:00,1913.7,1913.7,1911.6,1912.3,568
SBILIFE,2026-04-09 10:09:00,1912.7,1914.0,1912.5,1914.0,415
SBILIFE,2026-04-09 10:10:00,1914.0,1914.4,1913.7,1914.3,940
SBILIFE,2026-04-09 10:11:00,1914.4,1917.3,1914.3,1917.3,665
SBILIFE,2026-04-09 10:12:00,1916.6,1916.9,1914.5,1916.9,4019
SBILIFE,2026-04-09 10:13:00,1916.9,1918.7,1916.5,1918.0,1955
SBILIFE,2026-04-09 10:14:00,1917.7,1919.1,1917.0,1917.6,542
SBILIFE,2026-04-09 10:15:00,1917.6,1917.6,1912.0,1912.6,6512
SBILIFE,2026-04-09 10:16:00,1912.3,1913.0,1911.9,1912.2,862
SBILIFE,2026-04-09 10:17:00,1912.2,1914.9,1912.2,1914.9,961
SBILIFE,2026-04-09 10:18:00,1914.9,1915.0,1913.3,1915.0,741
SBILIFE,2026-04-09 10:19:00,1915.0,1915.0,1914.3,1915.0,818
SBILIFE,2026-04-09 10:20:00,1915.0,1915.0,1913.9,1915.0,3213
SBILIFE,2026-04-09 10:21:00,1914.7,1915.0,1913.9,1914.9,822
SBILIFE,2026-04-09 10:22:00,1914.8,1915.0,1913.5,1914.0,875
SBILIFE,2026-04-09 10:23:00,1913.6,1913.6,1912.8,1913.6,314
SBILIFE,2026-04-09 10:24:00,1913.7,1915.0,1913.4,1915.0,1278
SBILIFE,2026-04-09 10:25:00,1915.0,1915.0,1912.7,1913.5,499
SBILIFE,2026-04-09 10:26:00,1913.5,1913.6,1911.7,1912.3,761
SBILIFE,2026-04-09 10:27:00,1912.5,1914.4,1912.4,1914.2,482
SBILIFE,2026-04-09 10:28:00,1914.4,1914.4,1914.3,1914.4,183
SBILIFE,2026-04-09 10:29:00,1915.0,1915.2,1914.4,1915.0,15066
SBILIFE,2026-04-09 10:30:00,1915.0,1915.0,1913.9,1915.0,12839
SBILIFE,2026-04-09 10:31:00,1914.1,1914.9,1912.3,1913.0,542
SBILIFE,2026-04-09 10:32:00,1912.6,1914.6,1912.6,1914.1,633
