tradingsymbol,datetime,open,high,low,close,volume
TATAPOWER,2026-04-09 09:15:00,395.0,395.45,393.35,394.4,129054
TATAPOWER,2026-04-09 09:16:00,394.4,398.85,394.4,398.85,131824
TATAPOWER,2026-04-09 09:17:00,398.8,398.8,397.8,397.8,65733
TATAPOWER,2026-04-09 09:18:00,397.7,398.0,397.6,397.65,49274
TATAPOWER,2026-04-09 09:19:00,397.65,397.65,397.1,397.35,37317
TATAPOWER,2026-04-09 09:20:00,397.5,398.3,396.6,397.3,43421
TATAPOWER,2026-04-09 09:21:00,397.15,397.3,396.75,397.0,30729
TATAPOWER,2026-04-09 09:22:00,397.0,397.05,396.4,396.4,35925
TATAPOWER,2026-04-09 09:23:00,396.4,396.4,395.95,396.0,31993
TATAPOWER,2026-04-09 09:24:00,396.3,396.7,396.0,396.4,22433
TATAPOWER,2026-04-09 09:25:00,396.4,396.45,396.05,396.05,22176
TATAPOWER,2026-04-09 09:26:00,396.15,396.6,396.0,396.45,14955
TATAPOWER,2026-04-09 09:27:00,396.65,396.9,396.4,396.9,14987
TATAPOWER,2026-04-09 09:28:00,396.9,396.9,396.3,396.3,18513
TATAPOWER,2026-04-09 09:29:00,396.3,396.3,395.55,395.7,43238
TATAPOWER,2026-04-09 09:30:00,395.7,396.0,394.75,394.75,52683
TATAPOWER,2026-04-09 09:31:00,394.6,394.7,394.35,394.5,77807
TATAPOWER,2026-04-09 09:32:00,394.55,394.75,394.3,394.35,20635
TATAPOWER,2026-04-09 09:33:00,394.1,394.55,394.05,394.35,38676
TATAPOWER,2026-04-09 09:34:00,394.2,394.35,393.9,394.25,69283
TATAPOWER,2026-04-09 09:35:00,394.15,394.7,394.0,394.6,22119
TATAPOWER,2026-04-09 09:36:00,394.65,394.95,394.55,394.75,11284
TATAPOWER,2026-04-09 09:37:00,394.75,395.0,394.6,394.6,24163
TATAPOWER,2026-04-09 09:38:00,394.6,394.75,394.35,394.65,10053
TATAPOWER,2026-04-09 09:39:00,394.55,394.55,394.2,394.35,9076
TATAPOWER,2026-04-09 09:40:00,394.3,394.35,394.15,394.3,12218
TATAPOWER,2026-04-09 09:41:00,394.25,394.25,393.5,393.5,45220
TATAPOWER,2026-04-09 09:42:00,393.4,393.95,393.35,393.6,16038
TATAPOWER,2026-04-09 09:43:00,393.6,394.0,393.6,393.6,16540
TATAPOWER,2026-04-09 09:44:00,393.8,393.9,393.55,393.9,49049
TATAPOWER,2026-04-09 09:45:00,394.05,394.25,393.85,393.9,10483
TATAPOWER,2026-04-09 09:46:00,393.85,394.15,393.8,393.9,13770
TATAPOWER,2026-04-09 09:47:00,394.05,394.25,393.9,393.9,9844
TATAPOWER,2026-04-09 09:48:00,393.85,394.1,393.65,393.75,17632
TATAPOWER,2026-04-09 09:49:00,393.7,393.7,393.1,393.2,21772
TATAPOWER,2026-04-09 09:50:00,393.15,393.2,392.8,393.15,21222
TATAPOWER,2026-04-09 09:51:00,393.05,393.2,392.55,392.8,20788
TATAPOWER,2026-04-09 09:52:00,392.85,393.6,392.85,393.4,20700
TATAPOWER,2026-04-09 09:53:00,393.25,393.3,392.8,393.15,23634
TATAPOWER,2026-04-09 09:54:00,393.0,393.15,392.9,393.0,8786
TATAPOWER,2026-04-09 09:55:00,392.9,392.95,392.65,392.65,7567
TATAPOWER,2026-04-09 09:56:00,392.85,392.85,392.5,392.75,18583
TATAPOWER,2026-04-09 09:57:00,392.65,392.85,392.65,392.8,9219
TATAPOWER,2026-04-09 09:58:00,392.85,393.05,392.7,392.7,8622
TATAPOWER,2026-04-09 09:59:00,392.7,392.7,392.25,392.6,30569
TATAPOWER,2026-04-09 10:00:00,392.55,392.55,392.0,392.5,29359
TATAPOWER,2026-04-09 10:01:00,392.3,393.0,392.3,392.7,14910
TATAPOWER,2026-04-09 10:02:00,392.95,393.1,392.75,392.9,11085
TATAPOWER,2026-04-09 10:03:00,392.9,393.4,392.85,393.35,16234
TATAPOWER,2026-04-09 10:04:00,393.25,393.5,393.1,393.45,7999
TATAPOWER,2026-04-09 10:05:00,393.25,393.45,393.0,393.05,17682
TATAPOWER,2026-04-09 10:06:00,393.1,393.25,392.75,392.8,13618
TATAPOWER,2026-04-09 10:07:00,392.7,393.4,392.7,393.1,10743
TATAPOWER,2026-04-09 10:08:00,393.1,393.25,392.8,393.25,12752
TATAPOWER,2026-04-09 10:09:00,393.05,393.8,392.85,393.6,15761
TATAPOWER,2026-04-09 10:10:00,393.6,393.75,393.3,393.6,9053
TATAPOWER,2026-04-09 10:11:00,393.5,394.1,393.5,394.1,14704
TATAPOWER,2026-04-09 10:12:00,394.2,394.8,394.1,394.55,25720
TATAPOWER,2026-04-09 10:13:00,394.55,394.8,394.2,394.5,20873
TATAPOWER,2026-04-09 10:14:00,394.6,394.9,394.25,394.3,41818
TATAPOWER,2026-04-09 10:15:00,394.4,394.4,393.5,393.55,16230
TATAPOWER,2026-04-09 10:16:00,393.6,393.8,393.3,393.8,5967
TATAPOWER,2026-04-09 10:17:00,393.95,394.0,393.5,393.95,131903
TATAPOWER,2026-04-09 10:18:00,393.9,394.45,393.8,394.15,20261
TATAPOWER,2026-04-09 10:19:00,394.4,394.8,394.4,394.75,24693
TATAPOWER,2026-04-09 10:20:00,394.7,394.85,394.55,394.6,20065
TATAPOWER,2026-04-09 10:21:00,394.7,394.7,394.5,394.7,3977
TATAPOWER,2026-04-09 10:22:00,394.7,394.9,394.5,394.5,17729
TATAPOWER,2026-04-09 10:23:00,394.3,394.95,394.25,394.85,15505
TATAPOWER,2026-04-09 10:24:00,395.0,395.0,394.75,395.0,28928
TATAPOWER,2026-04-09 10:25:00,394.65,394.75,394.3,394.35,7616
TATAPOWER,2026-04-09 10:26:00,394.45,394.45,393.45,393.8,26531
TATAPOWER,2026-04-09 10:27:00,393.8,394.1,393.75,393.85,9152
TATAPOWER,2026-04-09 10:28:00,393.85,394.25,393.4,393.8,144134
TATAPOWER,2026-04-09 10:29:00,393.75,394.3,393.7,394.25,8174
TATAPOWER,2026-04-09 10:30:00,394.4,394.75,394.4,394.65,17766
TATAPOWER,2026-04-09 10:31:00,394.65,394.85,394.2,394.7,14810
TATAPOWER,2026-04-09 10:32:00,394.7,394.9,394.6,394.85,11285
TATAPOWER,2026-04-09 10:33:00,394.8,394.9,394.7,394.8,6104
TATAPOWER,2026-04-09 10:34:00,394.7,394.95,394.6,394.95,7990
TATAPOWER,2026-04-09 10:35:00,394.95,395.05,394.85,395.0,35267
TATAPOWER,2026-04-09 10:36:00,395.0,395.0,394.35,394.45,21324
TATAPOWER,2026-04-09 10:37:00,394.7,394.75,394.4,394.65,3666
TATAPOWER,2026-04-09 10:38:00,394.65,394.65,394.35,394.4,9907
TATAPOWER,2026-04-09 10:39:00,394.5,395.0,394.4,394.8,20244
TATAPOWER,2026-04-09 10:40:00,394.9,395.0,394.5,394.7,8167
TATAPOWER,2026-04-09 10:41:00,394.9,395.05,394.8,395.0,27966
TATAPOWER,2026-04-09 10:42:00,395.0,395.0,394.5,394.65,16653
TATAPOWER,2026-04-09 10:43:00,394.8,394.85,394.55,394.55,9910
TATAPOWER,2026-04-09 10:44:00,394.8,394.8,394.4,394.5,15617
TATAPOWER,2026-04-09 10:45:00,394.6,394.8,394.5,394.8,8111
TATAPOWER,2026-04-09 10:46:00,394.7,394.8,394.35,394.45,11028
TATAPOWER,2026-04-09 10:47:00,394.55,394.55,394.35,394.5,3518
TATAPOWER,2026-04-09 10:48:00,394.5,394.6,394.3,394.4,10859
TATAPOWER,2026-04-09 10:49:00,394.5,394.55,394.3,394.55,5510
TATAPOWER,2026-04-09 10:50:00,394.7,394.7,394.35,394.55,6265
TATAPOWER,2026-04-09 10:51:00,394.55,394.8,394.55,394.6,6869
TATAPOWER,2026-04-09 10:52:00,394.6,394.7,394.45,394.45,9671
TATAPOWER,2026-04-09 10:53:00,394.45,394.8,394.45,394.5,5208
TATAPOWER,2026-04-09 10:54:00,394.8,394.8,394.55,394.7,10144
TATAPOWER,2026-04-09 10:55:00,394.75,395.0,394.7,395.0,8832
TATAPOWER,2026-04-09 10:56:00,394.95,395.1,394.6,394.6,58436
TATAPOWER,2026-04-09 10:57:00,394.75,394.8,394.45,394.65,3610
TATAPOWER,2026-04-09 10:58:00,394.8,394.8,394.45,394.6,4682
TATAPOWER,2026-04-09 10:59:00,394.6,394.6,394.45,394.6,3621
TATAPOWER,2026-04-09 11:00:00,394.5,395.05,394.4,395.0,65420
TATAPOWER,2026-04-09 11:01:00,394.95,395.3,394.95,395.25,31214
TATAPOWER,2026-04-09 11:02:00,395.1,395.4,394.75,394.75,90686
TATAPOWER,2026-04-09 11:03:00,394.9,394.95,394.5,394.85,18820
TATAPOWER,2026-04-09 11:04:00,394.85,395.0,394.55,394.8,9712
TATAPOWER,2026-04-09 11:05:00,394.8,394.8,394.5,394.75,9799
TATAPOWER,2026-04-09 11:06:00,394.7,394.75,394.5,394.5,8605
TATAPOWER,2026-04-09 11:07:00,394.35,394.85,394.25,394.8,10527
TATAPOWER,2026-04-09 11:08:00,394.75,394.9,394.7,394.9,3421
TATAPOWER,2026-04-09 11:09:00,394.9,395.15,394.9,395.0,16411
TATAPOWER,2026-04-09 11:10:00,395.0,395.1,394.95,395.0,39089
TATAPOWER,2026-04-09 11:11:00,395.0,395.1,394.9,395.0,18544
TATAPOWER,2026-04-09 11:12:00,395.0,395.0,394.7,394.75,6041
TATAPOWER,2026-04-09 11:13:00,394.75,395.0,394.7,395.0,3467
TATAPOWER,2026-04-09 11:14:00,395.0,395.2,394.95,395.0,71102
TATAPOWER,2026-04-09 11:15:00,395.0,395.5,395.0,395.35,135128
TATAPOWER,2026-04-09 11:16:00,395.2,395.65,394.8,394.9,48122
TATAPOWER,2026-04-09 11:17:00,394.9,394.9,394.4,394.8,15375
TATAPOWER,2026-04-09 11:18:00,394.8,394.9,394.6,394.85,20852
TATAPOWER,2026-04-09 11:19:00,394.85,395.0,394.65,395.0,7830
TATAPOWER,2026-04-09 11:20:00,395.0,395.05,394.8,394.8,17020
TATAPOWER,2026-04-09 11:21:00,394.85,394.85,394.4,394.5,14054
TATAPOWER,2026-04-09 11:22:00,394.55,394.55,393.8,393.95,94047
TATAPOWER,2026-04-09 11:23:00,393.95,394.05,393.7,393.95,22471
TATAPOWER,2026-04-09 11:24:00,393.95,394.25,393.75,393.95,19232
TATAPOWER,2026-04-09 11:25:00,393.95,394.05,393.75,394.0,7831
TATAPOWER,2026-04-09 11:26:00,393.9,394.2,393.8,394.2,6362
TATAPOWER,2026-04-09 11:27:00,394.2,394.2,393.9,393.95,11092
TATAPOWER,2026-04-09 11:28:00,393.95,394.0,393.6,393.8,51057
TATAPOWER,2026-04-09 11:29:00,393.9,393.9,393.45,393.65,53490
TATAPOWER,2026-04-09 11:30:00,393.65,394.05,393.55,394.0,18870
TATAPOWER,2026-04-09 11:31:00,393.95,394.0,393.85,393.95,8454
TATAPOWER,2026-04-09 11:32:00,393.9,394.2,393.85,394.15,29525
TATAPOWER,2026-04-09 11:33:00,394.0,394.45,393.9,394.1,37013
TATAPOWER,2026-04-09 11:34:00,394.1,394.15,393.8,393.9,10419
TATAPOWER,2026-04-09 11:35:00,393.9,394.0,393.85,393.9,14586
TATAPOWER,2026-04-09 11:36:00,393.9,394.25,393.85,393.9,28784
TATAPOWER,2026-04-09 11:37:00,394.0,394.25,393.9,394.0,16817
TATAPOWER,2026-04-09 11:38:00,394.0,394.25,393.9,394.1,38402
TATAPOWER,2026-04-09 11:39:00,394.25,394.35,394.05,394.3,13564
TATAPOWER,2026-04-09 11:40:00,394.3,394.3,394.0,394.0,17381
TATAPOWER,2026-04-09 11:41:00,394.0,394.25,393.85,394.05,29430
TATAPOWER,2026-04-09 11:42:00,394.2,394.25,394.0,394.05,17504
TATAPOWER,2026-04-09 11:43:00,394.15,394.15,393.9,394.0,24637
TATAPOWER,2026-04-09 11:44:00,394.15,394.15,393.9,394.05,14860
TATAPOWER,2026-04-09 11:45:00,394.15,394.15,393.85,393.9,23007
TATAPOWER,2026-04-09 11:46:00,393.9,393.95,393.75,393.8,9428
TATAPOWER,2026-04-09 11:47:00,393.8,394.05,393.7,393.75,15587
TATAPOWER,2026-04-09 11:48:00,393.75,393.85,393.7,393.8,31088
TATAPOWER,2026-04-09 11:49:00,393.8,394.2,393.8,394.0,29713
TATAPOWER,2026-04-09 11:50:00,394.4,394.4,393.95,394.15,5076
TATAPOWER,2026-04-09 11:51:00,394.15,394.4,394.0,394.2,6925
TATAPOWER,2026-04-09 11:52:00,394.3,394.5,394.2,394.5,5324
TATAPOWER,2026-04-09 11:53:00,394.5,394.5,394.25,394.35,8931
TATAPOWER,2026-04-09 11:54:00,394.35,394.35,394.0,394.2,5753
TATAPOWER,2026-04-09 11:55:00,394.2,394.8,394.15,394.5,17491
TATAPOWER,2026-04-09 11:56:00,394.45,394.75,394.45,394.55,11003
TATAPOWER,2026-04-09 11:57:00,394.5,394.65,394.2,394.65,11410
TATAPOWER,2026-04-09 11:58:00,394.6,394.65,394.2,394.35,5914
TATAPOWER,2026-04-09 11:59:00,394.35,394.55,394.2,394.5,4547
TATAPOWER,2026-04-09 12:00:00,394.5,394.55,394.25,394.5,8271
TATAPOWER,2026-04-09 12:01:00,394.5,394.55,394.35,394.55,7011
TATAPOWER,2026-04-09 12:02:00,394.55,394.55,394.2,394.35,14553
TATAPOWER,2026-04-09 12:03:00,394.35,394.35,394.1,394.3,11688
TATAPOWER,2026-04-09 12:04:00,394.25,394.45,394.1,394.45,10053
TATAPOWER,2026-04-09 12:05:00,394.35,394.5,394.0,394.4,12851
TATAPOWER,2026-04-09 12:06:00,394.5,394.6,394.3,394.6,5784
TATAPOWER,2026-04-09 12:07:00,394.6,394.65,394.4,394.45,5313
TATAPOWER,2026-04-09 12:08:00,394.5,394.8,394.35,394.6,9318
TATAPOWER,2026-04-09 12:09:00,394.65,394.9,394.55,394.85,24493
TATAPOWER,2026-04-09 12:10:00,394.8,394.95,394.7,394.85,37833
TATAPOWER,2026-04-09 12:11:00,394.85,395.05,394.75,395.0,17235
TATAPOWER,2026-04-09 12:12:00,394.9,395.05,394.8,395.0,8963
TATAPOWER,2026-04-09 12:13:00,394.95,395.0,394.8,394.95,15950
TATAPOWER,2026-04-09 12:14:00,394.9,395.6,394.8,395.4,27685
TATAPOWER,2026-04-09 12:15:00,395.45,395.75,395.3,395.65,23899
TATAPOWER,2026-04-09 12:16:00,395.7,395.7,395.3,395.4,18334
TATAPOWER,2026-04-09 12:17:00,395.4,395.65,395.3,395.5,10023
TATAPOWER,2026-04-09 12:18:00,395.55,395.75,395.4,395.6,22661
TATAPOWER,2026-04-09 12:19:00,395.45,395.7,395.35,395.35,18464
TATAPOWER,2026-04-09 12:20:00,395.45,395.7,395.4,395.6,27758
TATAPOWER,2026-04-09 12:21:00,395.55,395.65,395.35,395.4,30385
TATAPOWER,2026-04-09 12:22:00,395.4,395.65,395.35,395.4,12045
TATAPOWER,2026-04-09 12:23:00,395.35,395.5,395.2,395.45,24547
TATAPOWER,2026-04-09 12:24:00,395.25,395.5,395.0,395.05,14380
TATAPOWER,2026-04-09 12:25:00,395.05,395.15,394.8,395.0,8523
TATAPOWER,2026-04-09 12:26:00,394.85,395.2,394.8,395.15,15016
TATAPOWER,2026-04-09 12:27:00,395.3,395.35,395.0,395.15,18914
TATAPOWER,2026-04-09 12:28:00,395.15,396.0,395.1,395.75,95677
TATAPOWER,2026-04-09 12:29:00,395.75,396.0,395.5,395.5,18288
TATAPOWER,2026-04-09 12:30:00,395.5,395.7,395.4,395.5,10476
TATAPOWER,2026-04-09 12:31:00,395.6,396.25,395.45,396.15,82438
TATAPOWER,2026-04-09 12:32:00,396.15,396.2,395.75,396.0,28107
TATAPOWER,2026-04-09 12:33:00,396.1,396.1,395.5,395.5,17549
TATAPOWER,2026-04-09 12:34:00,395.55,396.0,395.5,395.65,12201
TATAPOWER,2026-04-09 12:35:00,395.65,395.95,395.55,395.75,13576
TATAPOWER,2026-04-09 12:36:00,395.7,395.9,395.55,395.75,12119
TATAPOWER,2026-04-09 12:37:00,395.7,395.7,395.25,395.5,29753
TATAPOWER,2026-04-09 12:38:00,395.5,395.75,395.45,395.45,16545
TATAPOWER,2026-04-09 12:39:00,395.45,395.9,395.45,395.85,7684
TATAPOWER,2026-04-09 12:40:00,395.8,396.0,395.7,395.9,39781
TATAPOWER,2026-04-09 12:41:00,395.9,396.0,395.7,395.7,16387
TATAPOWER,2026-04-09 12:42:00,395.7,396.4,395.7,396.1,39273
TATAPOWER,2026-04-09 12:43:00,396.05,396.5,396.0,396.25,15942
TATAPOWER,2026-04-09 12:44:00,396.4,396.75,396.15,396.15,58408
TATAPOWER,2026-04-09 12:45:00,396.3,396.6,396.05,396.3,31382
TATAPOWER,2026-04-09 12:46:00,396.3,396.4,395.4,395.6,144446
TATAPOWER,2026-04-09 12:47:00,395.6,395.85,395.25,395.4,30965
TATAPOWER,2026-04-09 12:48:00,395.35,395.45,395.2,395.3,11335
TATAPOWER,2026-04-09 12:49:00,395.4,395.55,395.15,395.35,17692
TATAPOWER,2026-04-09 12:50:00,395.35,395.65,395.25,395.65,9510
TATAPOWER,2026-04-09 12:51:00,395.55,395.7,395.45,395.7,12475
TATAPOWER,2026-04-09 12:52:00,395.7,395.85,395.5,395.85,11272
TATAPOWER,2026-04-09 12:53:00,395.85,395.85,395.4,395.5,15701
TATAPOWER,2026-04-09 12:54:00,395.45,396.2,395.4,396.0,30397
TATAPOWER,2026-04-09 12:55:00,395.9,396.6,395.85,396.05,23165
TATAPOWER,2026-04-09 12:56:00,396.0,396.25,395.9,396.2,14668
TATAPOWER,2026-04-09 12:57:00,396.0,396.2,395.75,396.1,13938
TATAPOWER,2026-04-09 12:58:00,396.1,396.15,395.75,396.0,9919
TATAPOWER,2026-04-09 12:59:00,395.9,396.1,395.4,395.65,90416
TATAPOWER,2026-04-09 13:00:00,395.45,395.75,395.4,395.6,21122
TATAPOWER,2026-04-09 13:01:00,395.6,395.6,395.25,395.35,8013
TATAPOWER,2026-04-09 13:02:00,395.55,395.6,395.2,395.25,5464
TATAPOWER,2026-04-09 13:03:00,395.3,395.45,395.1,395.25,5232
TATAPOWER,2026-04-09 13:04:00,395.35,395.4,395.15,395.35,9566
TATAPOWER,2026-04-09 13:05:00,395.4,395.45,395.2,395.3,4541
TATAPOWER,2026-04-09 13:06:00,395.2,395.6,395.2,395.5,48102
TATAPOWER,2026-04-09 13:07:00,395.5,395.55,395.3,395.3,13117
TATAPOWER,2026-04-09 13:08:00,395.35,395.5,395.3,395.3,5785
TATAPOWER,2026-04-09 13:09:00,395.3,395.55,395.3,395.5,5713
TATAPOWER,2026-04-09 13:10:00,395.55,395.75,395.3,395.35,19725
TATAPOWER,2026-04-09 13:11:00,395.35,395.5,395.3,395.3,9507
TATAPOWER,2026-04-09 13:12:00,395.35,395.35,394.75,394.75,66372
TATAPOWER,2026-04-09 13:13:00,394.85,395.3,394.85,395.3,20258
TATAPOWER,2026-04-09 13:14:00,395.2,395.4,395.0,395.0,12078
TATAPOWER,2026-04-09 13:15:00,395.05,395.05,394.8,394.95,14459
TATAPOWER,2026-04-09 13:16:00,394.95,394.95,394.75,394.75,8218
TATAPOWER,2026-04-09 13:17:00,394.8,394.8,394.5,394.55,7487
TATAPOWER,2026-04-09 13:18:00,394.55,394.6,394.05,394.2,12362
TATAPOWER,2026-04-09 13:19:00,394.2,394.35,394.05,394.1,5278
TATAPOWER,2026-04-09 13:20:00,394.2,394.25,394.0,394.1,12232
TATAPOWER,2026-04-09 13:21:00,394.05,394.15,393.6,393.7,15091
TATAPOWER,2026-04-09 13:22:00,393.7,394.0,393.6,394.0,7752
TATAPOWER,2026-04-09 13:23:00,393.95,394.2,393.85,394.05,5768
TATAPOWER,2026-04-09 13:24:00,394.05,394.25,394.0,394.1,7968
TATAPOWER,2026-04-09 13:25:00,394.15,394.25,394.05,394.25,4468
TATAPOWER,2026-04-09 13:26:00,394.2,394.35,394.15,394.15,3006
TATAPOWER,2026-04-09 13:27:00,394.2,394.35,394.05,394.2,7257
TATAPOWER,2026-04-09 13:28:00,394.15,394.35,394.1,394.25,4554
TATAPOWER,2026-04-09 13:29:00,394.25,394.25,394.1,394.15,11500
TATAPOWER,2026-04-09 13:30:00,394.1,394.35,394.1,394.2,4784
TATAPOWER,2026-04-09 13:31:00,394.15,394.15,393.8,393.8,21243
TATAPOWER,2026-04-09 13:32:00,393.8,394.1,393.8,393.9,29497
TATAPOWER,2026-04-09 13:33:00,393.95,394.6,393.95,394.6,6981
TATAPOWER,2026-04-09 13:34:00,394.6,394.7,394.3,394.5,3885
TATAPOWER,2026-04-09 13:35:00,394.5,394.6,394.3,394.3,9123
TATAPOWER,2026-04-09 13:36:00,394.3,394.5,394.2,394.4,9225
TATAPOWER,2026-04-09 13:37:00,394.4,394.4,394.05,394.1,9218
TATAPOWER,2026-04-09 13:38:00,394.1,394.4,394.1,394.4,6316
TATAPOWER,2026-04-09 13:39:00,394.35,394.4,394.25,394.35,5666
TATAPOWER,2026-04-09 13:40:00,394.4,394.4,394.2,394.35,6058
TATAPOWER,2026-04-09 13:41:00,394.35,394.35,394.0,394.15,8493
TATAPOWER,2026-04-09 13:42:00,394.1,394.15,393.9,393.95,4590
TATAPOWER,2026-04-09 13:43:00,393.95,394.0,393.8,393.9,7583
TATAPOWER,2026-04-09 13:44:00,393.9,394.0,393.8,393.8,2638
TATAPOWER,2026-04-09 13:45:00,393.9,394.15,393.75,394.15,7815
TATAPOWER,2026-04-09 13:46:00,394.1,394.1,393.95,394.05,3983
TATAPOWER,2026-04-09 13:47:00,394.05,394.05,393.75,393.85,5652
TATAPOWER,2026-04-09 13:48:00,393.85,394.05,393.75,394.0,303108
TATAPOWER,2026-04-09 13:49:00,394.25,394.25,394.0,394.0,16381
TATAPOWER,2026-04-09 13:50:00,394.0,394.3,393.95,394.25,5661
TATAPOWER,2026-04-09 13:51:00,394.3,394.3,394.0,394.15,3157
TATAPOWER,2026-04-09 13:52:00,394.1,394.3,394.0,394.3,10018
TATAPOWER,2026-04-09 13:53:00,394.3,394.3,393.85,394.05,8884
TATAPOWER,2026-04-09 13:54:00,394.05,394.2,393.9,394.2,6822
TATAPOWER,2026-04-09 13:55:00,394.0,394.25,393.95,394.1,6520
TATAPOWER,2026-04-09 13:56:00,394.2,394.25,394.0,394.2,6010
TATAPOWER,2026-04-09 13:57:00,394.2,394.3,394.1,394.3,4749
TATAPOWER,2026-04-09 13:58:00,394.2,394.35,394.1,394.15,4180
TATAPOWER,2026-04-09 13:59:00,394.2,394.2,393.95,394.15,4204
