tradingsymbol,datetime,open,high,low,close,volume
TECHNOE,2026-04-09 09:15:00,1086.9,1089.25,1081.1,1084.0,737
TECHNOE,2026-04-09 09:16:00,1084.0,1086.9,1084.0,1086.75,2135
TECHNOE,2026-04-09 09:17:00,1086.65,1086.65,1084.0,1084.85,229
TECHNOE,2026-04-09 09:18:00,1086.75,1089.5,1086.75,1089.5,436
TECHNOE,2026-04-09 09:19:00,1089.5,1095.2,1089.5,1094.95,2912
TECHNOE,2026-04-09 09:20:00,1094.0,1097.4,1094.0,1096.6,1154
TECHNOE,2026-04-09 09:21:00,1096.0,1099.0,1094.15,1098.6,1863
TECHNOE,2026-04-09 09:22:00,1098.5,1098.5,1089.35,1089.35,865
TECHNOE,2026-04-09 09:23:00,1091.35,1091.35,1087.0,1087.0,1390
TECHNOE,2026-04-09 09:24:00,1087.0,1089.0,1087.0,1088.85,937
TECHNOE,2026-04-09 09:25:00,1087.2,1088.7,1086.2,1086.2,1606
TECHNOE,2026-04-09 09:26:00,1086.0,1087.85,1086.0,1087.85,1314
TECHNOE,2026-04-09 09:27:00,1087.85,1088.15,1086.45,1087.95,2050
TECHNOE,2026-04-09 09:28:00,1087.95,1089.55,1087.95,1088.3,1900
TECHNOE,2026-04-09 09:29:00,1087.45,1087.45,1083.3,1085.85,2460
TECHNOE,2026-04-09 09:30:00,1086.65,1088.1,1086.65,1087.1,316
TECHNOE,2026-04-09 09:31:00,1085.2,1088.6,1080.0,1086.5,5653
TECHNOE,2026-04-09 09:32:00,1087.65,1089.8,1087.65,1089.8,181
TECHNOE,2026-04-09 09:33:00,1089.8,1089.8,1085.45,1085.45,960
TECHNOE,2026-04-09 09:34:00,1086.85,1086.85,1084.2,1085.65,637
TECHNOE,2026-04-09 09:35:00,1085.65,1086.0,1084.15,1086.0,661
TECHNOE,2026-04-09 09:36:00,1086.85,1087.75,1086.15,1086.15,1032
TECHNOE,2026-04-09 09:37:00,1086.15,1089.45,1081.7,1081.7,1406
TECHNOE,2026-04-09 09:38:00,1083.65,1083.65,1079.8,1079.8,2174
TECHNOE,2026-04-09 09:39:00,1079.8,1080.15,1078.15,1079.7,353
TECHNOE,2026-04-09 09:40:00,1077.6,1078.6,1076.45,1077.8,519
TECHNOE,2026-04-09 09:41:00,1077.8,1077.8,1073.0,1074.55,1296
TECHNOE,2026-04-09 09:42:00,1073.75,1073.75,1071.0,1071.0,1228
TECHNOE,2026-04-09 09:43:00,1070.5,1070.5,1067.65,1069.0,1013
TECHNOE,2026-04-09 09:44:00,1069.2,1069.2,1065.0,1065.0,3641
TECHNOE,2026-04-09 09:45:00,1065.0,1066.5,1064.9,1066.0,704
TECHNOE,2026-04-09 09:46:00,1066.0,1066.0,1065.0,1066.0,225
TECHNOE,2026-04-09 09:47:00,1066.0,1066.9,1061.85,1061.85,1368
TECHNOE,2026-04-09 09:48:00,1062.25,1062.25,1060.0,1060.15,1506
TECHNOE,2026-04-09 09:49:00,1059.45,1060.2,1057.0,1057.1,2018
TECHNOE,2026-04-09 09:50:00,1058.35,1058.35,1056.55,1056.55,1290
TECHNOE,2026-04-09 09:51:00,1054.85,1056.25,1053.1,1053.8,1845
TECHNOE,2026-04-09 09:52:00,1053.8,1055.95,1052.25,1055.3,856
TECHNOE,2026-04-09 09:53:00,1055.4,1055.4,1053.2,1053.2,1127
TECHNOE,2026-04-09 09:54:00,1053.2,1054.1,1052.6,1052.95,649
TECHNOE,2026-04-09 09:55:00,1052.95,1054.0,1052.5,1053.6,1413
TECHNOE,2026-04-09 09:56:00,1053.55,1053.55,1052.25,1053.5,276
TECHNOE,2026-04-09 09:57:00,1053.55,1054.0,1052.45,1053.95,400
TECHNOE,2026-04-09 09:58:00,1053.85,1055.85,1053.85,1055.2,432
TECHNOE,2026-04-09 09:59:00,1055.2,1055.2,1053.85,1054.25,868
TECHNOE,2026-04-09 10:00:00,1054.25,1054.25,1052.0,1052.5,669
TECHNOE,2026-04-09 10:01:00,1052.5,1056.0,1052.5,1056.0,276
TECHNOE,2026-04-09 10:02:00,1056.0,1057.5,1056.0,1057.5,1279
TECHNOE,2026-04-09 10:03:00,1057.25,1058.7,1056.55,1057.7,557
TECHNOE,2026-04-09 10:04:00,1057.7,1060.75,1057.7,1060.15,1329
TECHNOE,2026-04-09 10:05:00,1061.15,1063.0,1060.0,1060.0,4592
TECHNOE,2026-04-09 10:06:00,1061.4,1063.0,1060.5,1063.0,1333
TECHNOE,2026-04-09 10:07:00,1061.95,1062.65,1061.55,1062.0,189
TECHNOE,2026-04-09 10:08:00,1062.0,1062.05,1060.5,1060.55,329
TECHNOE,2026-04-09 10:09:00,1061.3,1062.05,1061.25,1061.3,131
TECHNOE,2026-04-09 10:10:00,1061.3,1063.0,1061.3,1062.9,543
TECHNOE,2026-04-09 10:11:00,1062.9,1063.1,1062.75,1063.1,57
TECHNOE,2026-04-09 10:12:00,1063.9,1065.0,1063.1,1065.0,243
TECHNOE,2026-04-09 10:13:00,1065.0,1065.5,1063.45,1063.45,678
TECHNOE,2026-04-09 10:14:00,1063.45,1064.4,1063.45,1064.0,315
TECHNOE,2026-04-09 10:15:00,1063.45,1064.8,1063.15,1063.9,322
TECHNOE,2026-04-09 10:16:00,1064.0,1064.75,1062.65,1063.8,368
TECHNOE,2026-04-09 10:17:00,1064.5,1066.95,1063.95,1066.95,592
TECHNOE,2026-04-09 10:18:00,1067.6,1069.0,1066.4,1066.5,379
TECHNOE,2026-04-09 10:19:00,1066.5,1068.0,1066.5,1068.0,27
TECHNOE,2026-04-09 10:20:00,1068.0,1069.0,1068.0,1068.0,489
TECHNOE,2026-04-09 10:21:00,1068.45,1068.45,1068.0,1068.4,248
TECHNOE,2026-04-09 10:22:00,1068.45,1069.1,1068.0,1068.5,816
TECHNOE,2026-04-09 10:23:00,1068.2,1069.5,1068.05,1069.5,214
TECHNOE,2026-04-09 10:24:00,1068.75,1070.0,1068.65,1069.3,457
TECHNOE,2026-04-09 10:25:00,1074.0,1074.0,1071.65,1071.65,5623
TECHNOE,2026-04-09 10:26:00,1072.15,1073.2,1071.1,1071.8,5007
TECHNOE,2026-04-09 10:27:00,1072.55,1073.65,1071.65,1072.45,847
TECHNOE,2026-04-09 10:28:00,1072.45,1075.0,1072.45,1074.6,353
TECHNOE,2026-04-09 10:29:00,1073.75,1076.85,1073.75,1076.85,383
TECHNOE,2026-04-09 10:30:00,1076.9,1077.95,1076.15,1077.95,1776
TECHNOE,2026-04-09 10:31:00,1077.95,1077.95,1074.35,1075.1,1695
TECHNOE,2026-04-09 10:32:00,1075.1,1075.65,1075.1,1075.6,212
TECHNOE,2026-04-09 10:33:00,1075.6,1076.45,1074.65,1074.65,671
TECHNOE,2026-04-09 10:34:00,1074.65,1077.35,1074.5,1077.35,2207
TECHNOE,2026-04-09 10:35:00,1077.35,1078.0,1075.95,1075.95,1481
TECHNOE,2026-04-09 10:36:00,1075.95,1076.7,1074.6,1074.6,255
TECHNOE,2026-04-09 10:37:00,1075.0,1075.5,1074.35,1075.35,418
TECHNOE,2026-04-09 10:38:00,1075.35,1075.4,1074.1,1074.3,119
TECHNOE,2026-04-09 10:39:00,1074.95,1075.0,1074.35,1075.0,2531
TECHNOE,2026-04-09 10:40:00,1075.0,1077.7,1075.0,1075.8,826
TECHNOE,2026-04-09 10:41:00,1075.8,1076.5,1075.8,1076.3,77
TECHNOE,2026-04-09 10:42:00,1076.3,1076.7,1076.3,1076.55,84
TECHNOE,2026-04-09 10:43:00,1076.55,1076.55,1075.8,1075.8,512
TECHNOE,2026-04-09 10:44:00,1075.8,1075.8,1075.0,1075.0,11
TECHNOE,2026-04-09 10:45:00,1074.25,1077.3,1072.6,1076.7,6547
TECHNOE,2026-04-09 10:46:00,1076.7,1077.65,1075.35,1076.0,428
TECHNOE,2026-04-09 10:47:00,1076.0,1078.05,1076.0,1076.75,366
TECHNOE,2026-04-09 10:48:00,1076.75,1076.9,1076.75,1076.85,52
TECHNOE,2026-04-09 10:49:00,1076.85,1076.85,1076.75,1076.8,18
TECHNOE,2026-04-09 10:50:00,1076.8,1076.8,1075.5,1076.35,1488
TECHNOE,2026-04-09 10:51:00,1076.35,1076.35,1075.35,1076.3,90
TECHNOE,2026-04-09 10:52:00,1076.3,1076.7,1075.35,1076.7,148
TECHNOE,2026-04-09 10:53:00,1076.7,1076.7,1076.5,1076.6,26
