tradingsymbol,datetime,open,high,low,close,volume
TENNIND,2026-04-09 09:15:00,563.6,563.6,558.15,558.15,1601
TENNIND,2026-04-09 09:16:00,559.5,559.5,557.15,558.15,4636
TENNIND,2026-04-09 09:17:00,558.2,559.7,557.7,557.7,3519
TENNIND,2026-04-09 09:18:00,557.75,560.45,557.7,560.45,2129
TENNIND,2026-04-09 09:19:00,560.35,561.0,560.35,560.95,1595
TENNIND,2026-04-09 09:20:00,560.95,562.05,560.95,561.2,3077
TENNIND,2026-04-09 09:21:00,561.0,561.15,560.55,561.15,3556
TENNIND,2026-04-09 09:22:00,561.25,563.0,561.25,562.85,2904
TENNIND,2026-04-09 09:23:00,562.85,563.4,562.85,563.2,463
TENNIND,2026-04-09 09:24:00,564.05,564.95,563.75,564.95,2947
TENNIND,2026-04-09 09:25:00,564.4,565.75,564.4,564.8,3549
TENNIND,2026-04-09 09:26:00,564.8,565.2,564.4,564.4,4058
TENNIND,2026-04-09 09:27:00,564.4,564.55,564.4,564.55,607
TENNIND,2026-04-09 09:28:00,564.55,565.0,564.5,564.55,828
TENNIND,2026-04-09 09:29:00,564.05,564.05,563.75,563.75,3182
TENNIND,2026-04-09 09:30:00,563.75,563.75,563.65,563.65,233
TENNIND,2026-04-09 09:31:00,563.65,563.65,561.15,561.15,3205
TENNIND,2026-04-09 09:32:00,561.15,561.2,561.15,561.2,746
TENNIND,2026-04-09 09:33:00,561.2,561.2,560.85,560.85,165
TENNIND,2026-04-09 09:34:00,560.65,561.2,560.4,560.55,760
TENNIND,2026-04-09 09:35:00,560.55,560.6,560.55,560.6,129
TENNIND,2026-04-09 09:36:00,560.6,560.6,560.2,560.2,1385
TENNIND,2026-04-09 09:37:00,560.2,560.2,560.2,560.2,25
TENNIND,2026-04-09 09:38:00,560.3,560.3,560.2,560.2,598
TENNIND,2026-04-09 09:39:00,560.2,560.5,559.2,559.2,2914
TENNIND,2026-04-09 09:40:00,559.35,559.35,558.1,558.4,2881
TENNIND,2026-04-09 09:41:00,558.4,558.65,558.0,558.05,1981
TENNIND,2026-04-09 09:42:00,558.05,558.05,557.7,557.7,170
TENNIND,2026-04-09 09:43:00,557.7,557.75,557.0,557.3,1236
TENNIND,2026-04-09 09:44:00,557.3,558.0,557.05,557.75,3126
TENNIND,2026-04-09 09:45:00,557.75,557.75,557.4,557.5,334
TENNIND,2026-04-09 09:46:00,557.5,557.75,557.3,557.75,1070
TENNIND,2026-04-09 09:47:00,557.75,558.45,557.75,558.4,345
TENNIND,2026-04-09 09:48:00,558.05,558.5,558.05,558.15,207
TENNIND,2026-04-09 09:49:00,558.5,558.5,558.0,558.1,515
TENNIND,2026-04-09 09:50:00,558.0,558.0,557.5,557.75,1123
TENNIND,2026-04-09 09:51:00,557.75,557.75,557.45,557.45,469
TENNIND,2026-04-09 09:52:00,557.0,557.0,557.0,557.0,5
TENNIND,2026-04-09 09:53:00,557.3,557.3,557.1,557.1,12
TENNIND,2026-04-09 09:54:00,557.1,557.45,557.1,557.45,509
TENNIND,2026-04-09 09:55:00,557.45,557.75,557.45,557.75,45
TENNIND,2026-04-09 09:56:00,557.8,557.9,557.8,557.9,325
TENNIND,2026-04-09 09:57:00,557.9,557.95,557.9,557.95,75
TENNIND,2026-04-09 09:58:00,557.95,558.15,557.95,558.15,50
