tradingsymbol,datetime,open,high,low,close,volume
TITAGARH,2026-04-09 09:15:00,715.7,715.7,708.0,711.2,56488
TITAGARH,2026-04-09 09:16:00,712.2,717.45,709.8,712.05,47426
TITAGARH,2026-04-09 09:17:00,712.95,721.0,711.6,719.8,60634
TITAGARH,2026-04-09 09:18:00,718.8,720.6,717.7,720.6,39841
TITAGARH,2026-04-09 09:19:00,717.65,720.4,717.65,719.0,29163
TITAGARH,2026-04-09 09:20:00,718.75,722.0,718.3,718.35,49352
TITAGARH,2026-04-09 09:21:00,717.85,719.05,717.85,718.0,14249
TITAGARH,2026-04-09 09:22:00,718.0,723.6,717.2,723.6,27868
TITAGARH,2026-04-09 09:23:00,723.55,723.95,721.5,722.9,23808
TITAGARH,2026-04-09 09:24:00,723.1,724.4,719.5,720.45,24601
TITAGARH,2026-04-09 09:25:00,720.45,721.4,720.0,720.75,11292
TITAGARH,2026-04-09 09:26:00,720.5,720.75,719.65,719.95,10729
TITAGARH,2026-04-09 09:27:00,719.15,720.65,718.0,720.65,10915
TITAGARH,2026-04-09 09:28:00,719.9,720.75,719.7,720.7,7014
TITAGARH,2026-04-09 09:29:00,720.1,720.25,718.55,719.35,5843
TITAGARH,2026-04-09 09:30:00,718.95,719.95,717.3,717.45,7264
TITAGARH,2026-04-09 09:31:00,717.45,717.45,714.6,714.6,14458
TITAGARH,2026-04-09 09:32:00,714.05,714.9,713.5,713.85,6299
TITAGARH,2026-04-09 09:33:00,713.85,714.6,713.55,713.55,9903
TITAGARH,2026-04-09 09:34:00,713.65,714.95,713.4,714.25,6879
TITAGARH,2026-04-09 09:35:00,714.25,715.0,713.35,715.0,4220
TITAGARH,2026-04-09 09:36:00,715.0,716.55,714.3,716.55,6261
TITAGARH,2026-04-09 09:37:00,716.95,717.1,714.35,714.35,4058
TITAGARH,2026-04-09 09:38:00,714.15,715.35,714.15,714.95,2318
TITAGARH,2026-04-09 09:39:00,714.45,714.45,712.4,712.9,13909
TITAGARH,2026-04-09 09:40:00,712.6,713.75,711.65,712.3,7974
TITAGARH,2026-04-09 09:41:00,712.45,713.3,711.65,711.65,7171
TITAGARH,2026-04-09 09:42:00,711.6,711.65,710.5,711.45,14998
TITAGARH,2026-04-09 09:43:00,710.95,711.5,710.5,710.75,7062
TITAGARH,2026-04-09 09:44:00,710.9,711.6,710.9,711.05,3335
TITAGARH,2026-04-09 09:45:00,711.25,712.35,710.75,711.45,8998
TITAGARH,2026-04-09 09:46:00,711.45,711.45,710.15,710.9,3071
TITAGARH,2026-04-09 09:47:00,711.05,711.05,710.0,710.0,2139
TITAGARH,2026-04-09 09:48:00,710.0,710.5,709.0,709.0,12421
TITAGARH,2026-04-09 09:49:00,709.0,709.0,708.0,708.45,8870
TITAGARH,2026-04-09 09:50:00,707.7,707.7,706.4,706.4,16958
TITAGARH,2026-04-09 09:51:00,706.7,706.7,705.2,705.25,8845
TITAGARH,2026-04-09 09:52:00,706.15,706.55,706.0,706.55,4950
TITAGARH,2026-04-09 09:53:00,707.4,708.25,707.0,707.9,4547
TITAGARH,2026-04-09 09:54:00,708.25,708.95,708.1,708.95,6022
TITAGARH,2026-04-09 09:55:00,708.95,708.95,707.65,707.65,8136
TITAGARH,2026-04-09 09:56:00,707.45,707.45,706.0,706.05,8730
TITAGARH,2026-04-09 09:57:00,706.45,706.95,706.05,706.8,4659
TITAGARH,2026-04-09 09:58:00,706.95,707.05,706.05,706.45,4080
TITAGARH,2026-04-09 09:59:00,705.75,706.6,705.65,706.05,9480
TITAGARH,2026-04-09 10:00:00,706.5,706.5,705.3,705.4,3033
TITAGARH,2026-04-09 10:01:00,705.75,707.3,705.75,707.3,3062
TITAGARH,2026-04-09 10:02:00,707.5,708.4,707.3,707.95,3054
TITAGARH,2026-04-09 10:03:00,708.0,709.25,707.5,708.9,7976
TITAGARH,2026-04-09 10:04:00,707.9,708.75,707.8,708.75,2591
TITAGARH,2026-04-09 10:05:00,708.7,709.5,708.1,708.85,6685
TITAGARH,2026-04-09 10:06:00,708.85,708.85,707.55,707.55,1816
TITAGARH,2026-04-09 10:07:00,707.1,707.55,707.1,707.45,1764
TITAGARH,2026-04-09 10:08:00,707.45,707.55,706.6,707.2,1102
TITAGARH,2026-04-09 10:09:00,707.5,707.85,706.85,707.85,1507
TITAGARH,2026-04-09 10:10:00,707.85,707.85,707.5,707.8,1101
TITAGARH,2026-04-09 10:11:00,708.45,708.85,708.0,708.85,977
TITAGARH,2026-04-09 10:12:00,708.4,708.95,708.4,708.5,1793
TITAGARH,2026-04-09 10:13:00,709.1,709.15,708.5,709.0,2637
TITAGARH,2026-04-09 10:14:00,709.0,709.0,708.55,708.95,1027
TITAGARH,2026-04-09 10:15:00,708.6,708.6,708.0,708.0,3544
TITAGARH,2026-04-09 10:16:00,707.45,708.2,707.3,708.2,1564
TITAGARH,2026-04-09 10:17:00,708.5,709.1,708.5,709.1,1774
TITAGARH,2026-04-09 10:18:00,709.1,710.4,708.9,710.4,9444
TITAGARH,2026-04-09 10:19:00,710.4,710.45,709.95,710.45,916
TITAGARH,2026-04-09 10:20:00,710.05,710.4,709.55,709.95,850
TITAGARH,2026-04-09 10:21:00,709.95,710.0,709.5,709.95,719
TITAGARH,2026-04-09 10:22:00,709.9,710.0,709.5,709.5,852
TITAGARH,2026-04-09 10:23:00,709.5,709.9,708.75,709.9,1304
TITAGARH,2026-04-09 10:24:00,709.9,710.45,709.9,710.45,3080
TITAGARH,2026-04-09 10:25:00,710.45,710.45,709.45,709.65,1345
TITAGARH,2026-04-09 10:26:00,710.0,710.0,707.8,708.45,3385
TITAGARH,2026-04-09 10:27:00,708.45,710.0,708.45,709.3,1277
TITAGARH,2026-04-09 10:28:00,709.3,709.9,709.25,709.5,164
TITAGARH,2026-04-09 10:29:00,709.5,711.95,709.5,711.95,7182
TITAGARH,2026-04-09 10:30:00,711.55,712.0,711.45,711.7,2511
TITAGARH,2026-04-09 10:31:00,711.55,711.7,711.2,711.2,525
TITAGARH,2026-04-09 10:32:00,712.1,712.1,711.35,711.75,2936
TITAGARH,2026-04-09 10:33:00,711.75,712.0,711.15,711.35,3028
TITAGARH,2026-04-09 10:34:00,711.35,711.9,711.0,711.9,4057
TITAGARH,2026-04-09 10:35:00,711.9,711.9,711.15,711.9,407
TITAGARH,2026-04-09 10:36:00,711.9,711.9,710.0,710.0,1411
TITAGARH,2026-04-09 10:37:00,710.45,711.9,710.45,711.9,2031
TITAGARH,2026-04-09 10:38:00,711.6,711.65,711.0,711.05,2120
TITAGARH,2026-04-09 10:39:00,711.05,711.75,711.05,711.7,1681
TITAGARH,2026-04-09 10:40:00,711.05,711.2,710.15,710.7,967
TITAGARH,2026-04-09 10:41:00,710.5,710.9,710.05,710.9,2753
TITAGARH,2026-04-09 10:42:00,711.2,711.2,710.25,711.0,1037
TITAGARH,2026-04-09 10:43:00,711.0,711.3,710.75,711.15,390
TITAGARH,2026-04-09 10:44:00,711.15,711.15,709.55,710.0,1904
TITAGARH,2026-04-09 10:45:00,710.0,710.0,709.5,709.5,1335
TITAGARH,2026-04-09 10:46:00,709.95,711.3,709.5,711.3,6456
TITAGARH,2026-04-09 10:47:00,710.15,710.7,710.15,710.55,205
