tradingsymbol,datetime,open,high,low,close,volume
TRAVELFOOD,2026-04-09 09:15:00,1293.0,1315.0,1293.0,1302.9,635
TRAVELFOOD,2026-04-09 09:16:00,1301.3,1302.4,1301.3,1301.3,13
TRAVELFOOD,2026-04-09 09:17:00,1301.3,1301.3,1301.2,1301.2,6
TRAVELFOOD,2026-04-09 09:18:00,1303.2,1308.2,1303.2,1308.2,197
TRAVELFOOD,2026-04-09 09:19:00,1308.2,1308.2,1308.2,1308.2,10
TRAVELFOOD,2026-04-09 09:20:00,1308.6,1310.0,1308.0,1310.0,94
TRAVELFOOD,2026-04-09 09:21:00,1307.0,1309.9,1307.0,1307.2,9
TRAVELFOOD,2026-04-09 09:22:00,1307.2,1309.8,1307.2,1309.8,6
TRAVELFOOD,2026-04-09 09:23:00,1309.5,1310.0,1309.5,1310.0,102
TRAVELFOOD,2026-04-09 09:24:00,1309.7,1309.7,1306.7,1306.7,82
TRAVELFOOD,2026-04-09 09:25:00,1306.7,1306.7,1306.7,1306.7,0
TRAVELFOOD,2026-04-09 09:26:00,1306.7,1306.7,1306.7,1306.7,0
TRAVELFOOD,2026-04-09 09:27:00,1306.7,1307.9,1304.3,1306.2,58
TRAVELFOOD,2026-04-09 09:28:00,1306.2,1306.2,1305.9,1305.9,35
TRAVELFOOD,2026-04-09 09:29:00,1305.9,1305.9,1303.7,1303.7,16
TRAVELFOOD,2026-04-09 09:30:00,1303.7,1306.8,1303.7,1305.5,36
TRAVELFOOD,2026-04-09 09:31:00,1305.5,1305.5,1302.9,1302.9,11
TRAVELFOOD,2026-04-09 09:32:00,1302.9,1303.8,1302.9,1303.8,1
TRAVELFOOD,2026-04-09 09:33:00,1303.8,1303.8,1300.0,1300.8,202
TRAVELFOOD,2026-04-09 09:34:00,1299.0,1299.3,1296.1,1296.2,118
TRAVELFOOD,2026-04-09 09:35:00,1296.2,1297.9,1296.2,1297.9,4
TRAVELFOOD,2026-04-09 09:36:00,1297.9,1297.9,1296.0,1296.0,23
TRAVELFOOD,2026-04-09 09:37:00,1296.0,1296.0,1296.0,1296.0,12
TRAVELFOOD,2026-04-09 09:38:00,1296.0,1297.7,1296.0,1296.0,302
TRAVELFOOD,2026-04-09 09:39:00,1296.0,1296.0,1296.0,1296.0,0
TRAVELFOOD,2026-04-09 09:40:00,1296.0,1296.0,1295.0,1295.0,608
TRAVELFOOD,2026-04-09 09:41:00,1295.0,1295.0,1294.7,1294.7,49
TRAVELFOOD,2026-04-09 09:42:00,1294.7,1294.7,1292.5,1292.7,141
TRAVELFOOD,2026-04-09 09:43:00,1292.7,1292.7,1290.7,1292.3,3
TRAVELFOOD,2026-04-09 09:44:00,1292.3,1292.9,1292.3,1292.9,57
TRAVELFOOD,2026-04-09 09:45:00,1292.9,1292.9,1292.7,1292.7,5
TRAVELFOOD,2026-04-09 09:46:00,1292.2,1293.0,1292.2,1293.0,43
TRAVELFOOD,2026-04-09 09:47:00,1293.0,1293.0,1293.0,1293.0,0
TRAVELFOOD,2026-04-09 09:48:00,1292.0,1293.4,1292.0,1293.4,14
TRAVELFOOD,2026-04-09 09:49:00,1293.4,1293.4,1292.3,1292.3,45
TRAVELFOOD,2026-04-09 09:50:00,1292.3,1292.3,1287.2,1287.2,257
TRAVELFOOD,2026-04-09 09:51:00,1286.5,1286.5,1286.0,1286.0,2
TRAVELFOOD,2026-04-09 09:52:00,1286.0,1286.0,1284.7,1285.0,14
TRAVELFOOD,2026-04-09 09:53:00,1285.0,1285.0,1284.8,1284.8,13
TRAVELFOOD,2026-04-09 09:54:00,1284.8,1286.4,1284.8,1286.4,0
TRAVELFOOD,2026-04-09 09:55:00,1286.4,1286.4,1286.4,1286.4,15
TRAVELFOOD,2026-04-09 09:56:00,1286.4,1286.4,1285.5,1286.4,113
TRAVELFOOD,2026-04-09 09:57:00,1286.8,1288.4,1286.1,1286.1,30
TRAVELFOOD,2026-04-09 09:58:00,1286.1,1286.1,1286.1,1286.1,312
TRAVELFOOD,2026-04-09 09:59:00,1286.1,1286.9,1286.1,1286.1,241
TRAVELFOOD,2026-04-09 10:00:00,1286.1,1287.4,1286.1,1287.4,5
TRAVELFOOD,2026-04-09 10:01:00,1287.4,1287.4,1286.9,1286.9,18
TRAVELFOOD,2026-04-09 10:02:00,1287.7,1290.0,1287.7,1290.0,107
TRAVELFOOD,2026-04-09 10:03:00,1290.0,1290.0,1287.6,1289.4,53
TRAVELFOOD,2026-04-09 10:04:00,1289.4,1289.4,1288.7,1288.7,5
TRAVELFOOD,2026-04-09 10:05:00,1288.7,1288.7,1288.7,1288.7,0
TRAVELFOOD,2026-04-09 10:06:00,1288.7,1288.7,1288.7,1288.7,0
TRAVELFOOD,2026-04-09 10:07:00,1288.7,1289.4,1288.7,1289.4,2
TRAVELFOOD,2026-04-09 10:08:00,1288.4,1289.0,1288.4,1289.0,13
TRAVELFOOD,2026-04-09 10:09:00,1289.0,1289.0,1288.1,1288.1,4
TRAVELFOOD,2026-04-09 10:10:00,1288.1,1289.5,1287.4,1289.5,67
TRAVELFOOD,2026-04-09 10:11:00,1289.5,1289.5,1289.5,1289.5,0
TRAVELFOOD,2026-04-09 10:12:00,1289.5,1289.5,1288.9,1289.0,40
TRAVELFOOD,2026-04-09 10:13:00,1289.0,1290.4,1288.7,1288.7,49
TRAVELFOOD,2026-04-09 10:14:00,1289.1,1289.1,1288.7,1288.7,3
TRAVELFOOD,2026-04-09 10:15:00,1288.7,1290.1,1288.7,1290.1,28
TRAVELFOOD,2026-04-09 10:16:00,1289.1,1289.1,1288.7,1288.9,18
TRAVELFOOD,2026-04-09 10:17:00,1288.9,1288.9,1288.9,1288.9,0
TRAVELFOOD,2026-04-09 10:18:00,1289.1,1293.1,1289.1,1293.1,41
TRAVELFOOD,2026-04-09 10:19:00,1293.1,1293.1,1293.1,1293.1,0
TRAVELFOOD,2026-04-09 10:20:00,1292.1,1292.1,1292.1,1292.1,1
TRAVELFOOD,2026-04-09 10:21:00,1292.1,1292.1,1291.0,1292.0,19
TRAVELFOOD,2026-04-09 10:22:00,1292.0,1292.4,1291.0,1292.4,20
TRAVELFOOD,2026-04-09 10:23:00,1290.6,1290.6,1290.6,1290.6,4
TRAVELFOOD,2026-04-09 10:24:00,1290.6,1290.6,1290.0,1290.0,1
TRAVELFOOD,2026-04-09 10:25:00,1290.0,1290.0,1290.0,1290.0,10
TRAVELFOOD,2026-04-09 10:26:00,1290.0,1290.0,1290.0,1290.0,0
TRAVELFOOD,2026-04-09 10:27:00,1290.0,1290.0,1290.0,1290.0,0
TRAVELFOOD,2026-04-09 10:28:00,1290.0,1290.0,1289.3,1289.3,90
TRAVELFOOD,2026-04-09 10:29:00,1289.3,1289.3,1289.3,1289.3,0
TRAVELFOOD,2026-04-09 10:30:00,1289.3,1289.3,1289.3,1289.3,0
TRAVELFOOD,2026-04-09 10:31:00,1289.3,1291.9,1289.3,1291.9,9
TRAVELFOOD,2026-04-09 10:32:00,1291.9,1291.9,1291.9,1291.9,0
TRAVELFOOD,2026-04-09 10:33:00,1291.0,1291.0,1291.0,1291.0,11
