tradingsymbol,datetime,open,high,low,close,volume
TRITURBINE,2026-04-09 09:15:00,465.0,468.8,464.55,464.55,5346
TRITURBINE,2026-04-09 09:16:00,464.55,464.55,460.7,460.7,2855
TRITURBINE,2026-04-09 09:17:00,460.75,463.3,460.75,463.3,2440
TRITURBINE,2026-04-09 09:18:00,463.0,465.15,463.0,465.15,2294
TRITURBINE,2026-04-09 09:19:00,464.7,465.75,464.6,465.7,6457
TRITURBINE,2026-04-09 09:20:00,465.7,466.35,463.4,464.35,1886
TRITURBINE,2026-04-09 09:21:00,463.8,464.25,463.3,463.6,1303
TRITURBINE,2026-04-09 09:22:00,463.6,464.15,463.6,463.95,2410
TRITURBINE,2026-04-09 09:23:00,463.95,464.0,463.6,463.6,4101
TRITURBINE,2026-04-09 09:24:00,463.75,463.95,463.6,463.9,1196
TRITURBINE,2026-04-09 09:25:00,464.0,465.55,464.0,464.8,3773
TRITURBINE,2026-04-09 09:26:00,464.6,465.5,464.6,465.15,2014
TRITURBINE,2026-04-09 09:27:00,464.55,464.55,463.9,464.4,3907
TRITURBINE,2026-04-09 09:28:00,464.4,464.4,463.7,463.7,743
TRITURBINE,2026-04-09 09:29:00,463.8,464.2,463.65,464.2,815
TRITURBINE,2026-04-09 09:30:00,464.2,464.6,464.15,464.15,740
TRITURBINE,2026-04-09 09:31:00,464.1,464.1,463.0,463.0,10798
TRITURBINE,2026-04-09 09:32:00,462.15,462.15,461.25,461.25,6459
TRITURBINE,2026-04-09 09:33:00,461.7,461.7,460.7,460.8,3114
TRITURBINE,2026-04-09 09:34:00,460.7,460.7,459.85,459.85,3249
TRITURBINE,2026-04-09 09:35:00,459.55,461.15,459.55,461.0,3032
TRITURBINE,2026-04-09 09:36:00,461.0,461.3,461.0,461.25,945
TRITURBINE,2026-04-09 09:37:00,461.25,461.4,461.25,461.4,751
TRITURBINE,2026-04-09 09:38:00,461.5,461.5,461.0,461.15,856
TRITURBINE,2026-04-09 09:39:00,461.0,461.1,461.0,461.0,775
TRITURBINE,2026-04-09 09:40:00,461.0,461.0,460.25,460.8,5899
TRITURBINE,2026-04-09 09:41:00,460.8,463.0,460.8,462.6,2681
TRITURBINE,2026-04-09 09:42:00,462.2,462.2,462.0,462.0,2550
TRITURBINE,2026-04-09 09:43:00,462.0,462.15,462.0,462.0,2418
TRITURBINE,2026-04-09 09:44:00,462.0,462.2,462.0,462.0,1697
TRITURBINE,2026-04-09 09:45:00,462.0,462.0,461.8,462.0,1568
TRITURBINE,2026-04-09 09:46:00,462.0,462.35,461.8,462.0,2494
TRITURBINE,2026-04-09 09:47:00,462.0,462.3,462.0,462.0,863
TRITURBINE,2026-04-09 09:48:00,462.0,462.2,462.0,462.15,1072
TRITURBINE,2026-04-09 09:49:00,462.45,462.45,462.0,462.0,1262
TRITURBINE,2026-04-09 09:50:00,462.0,462.0,461.6,462.0,3254
TRITURBINE,2026-04-09 09:51:00,462.0,462.0,462.0,462.0,1937
TRITURBINE,2026-04-09 09:52:00,462.0,462.05,461.95,462.0,1549
TRITURBINE,2026-04-09 09:53:00,462.0,462.0,462.0,462.0,1297
TRITURBINE,2026-04-09 09:54:00,462.0,462.1,462.0,462.0,1551
TRITURBINE,2026-04-09 09:55:00,462.0,462.0,461.65,462.0,817
TRITURBINE,2026-04-09 09:56:00,462.0,462.0,461.7,462.0,1192
TRITURBINE,2026-04-09 09:57:00,462.0,462.15,462.0,462.0,901
TRITURBINE,2026-04-09 09:58:00,462.0,462.1,461.7,462.0,1616
TRITURBINE,2026-04-09 09:59:00,462.0,462.0,461.65,462.0,2224
TRITURBINE,2026-04-09 10:00:00,462.0,462.1,461.75,462.0,1200
TRITURBINE,2026-04-09 10:01:00,462.0,462.0,462.0,462.0,985
TRITURBINE,2026-04-09 10:02:00,462.0,462.2,462.0,462.0,828
TRITURBINE,2026-04-09 10:03:00,462.0,462.35,462.0,462.0,1254
TRITURBINE,2026-04-09 10:04:00,462.0,462.0,461.7,462.0,2673
TRITURBINE,2026-04-09 10:05:00,462.0,462.0,462.0,462.0,1307
TRITURBINE,2026-04-09 10:06:00,462.0,462.0,462.0,462.0,603
TRITURBINE,2026-04-09 10:07:00,462.0,462.0,462.0,462.0,772
TRITURBINE,2026-04-09 10:08:00,462.0,462.0,462.0,462.0,611
TRITURBINE,2026-04-09 10:09:00,462.0,462.0,461.95,462.0,755
TRITURBINE,2026-04-09 10:10:00,462.0,462.0,461.85,462.0,655
TRITURBINE,2026-04-09 10:11:00,462.0,462.2,462.0,462.0,648
TRITURBINE,2026-04-09 10:12:00,462.0,462.05,462.0,462.05,655
TRITURBINE,2026-04-09 10:13:00,462.0,462.0,462.0,462.0,847
TRITURBINE,2026-04-09 10:14:00,462.0,462.0,462.0,462.0,570
TRITURBINE,2026-04-09 10:15:00,462.0,462.0,462.0,462.0,1330
TRITURBINE,2026-04-09 10:16:00,462.0,462.0,462.0,462.0,767
TRITURBINE,2026-04-09 10:17:00,462.0,462.15,461.9,462.0,707
TRITURBINE,2026-04-09 10:18:00,462.0,462.45,462.0,462.4,818
TRITURBINE,2026-04-09 10:19:00,462.4,462.4,462.15,462.2,716
TRITURBINE,2026-04-09 10:20:00,462.25,462.35,462.25,462.35,892
TRITURBINE,2026-04-09 10:21:00,462.35,462.35,462.15,462.2,773
TRITURBINE,2026-04-09 10:22:00,462.2,462.3,462.0,462.0,744
TRITURBINE,2026-04-09 10:23:00,462.15,462.15,462.0,462.0,620
TRITURBINE,2026-04-09 10:24:00,462.0,462.2,461.9,462.2,796
TRITURBINE,2026-04-09 10:25:00,462.2,462.2,461.95,462.0,627
TRITURBINE,2026-04-09 10:26:00,462.0,462.2,462.0,462.0,652
TRITURBINE,2026-04-09 10:27:00,462.05,462.05,462.0,462.0,861
TRITURBINE,2026-04-09 10:28:00,462.0,462.25,462.0,462.0,661
TRITURBINE,2026-04-09 10:29:00,462.0,462.35,462.0,462.15,1078
TRITURBINE,2026-04-09 10:30:00,462.15,462.3,462.0,462.3,1040
TRITURBINE,2026-04-09 10:31:00,462.3,462.55,462.0,462.15,605
TRITURBINE,2026-04-09 10:32:00,462.15,462.8,462.15,462.4,642
TRITURBINE,2026-04-09 10:33:00,462.4,462.55,462.2,462.2,866
TRITURBINE,2026-04-09 10:34:00,462.2,462.5,462.2,462.35,694
TRITURBINE,2026-04-09 10:35:00,462.35,462.6,462.25,462.6,889
TRITURBINE,2026-04-09 10:36:00,462.6,462.65,462.2,462.2,889
TRITURBINE,2026-04-09 10:37:00,462.2,462.2,462.05,462.05,668
TRITURBINE,2026-04-09 10:38:00,462.0,462.45,461.95,462.25,810
TRITURBINE,2026-04-09 10:39:00,462.3,462.4,461.75,462.25,9940
TRITURBINE,2026-04-09 10:40:00,462.25,462.25,462.05,462.05,602
TRITURBINE,2026-04-09 10:41:00,462.0,462.05,462.0,462.05,590
TRITURBINE,2026-04-09 10:42:00,462.05,462.05,462.0,462.05,851
TRITURBINE,2026-04-09 10:43:00,462.05,462.4,462.0,462.15,769
TRITURBINE,2026-04-09 10:44:00,462.15,462.35,462.0,462.15,793
TRITURBINE,2026-04-09 10:45:00,462.1,462.15,460.1,460.1,1657
TRITURBINE,2026-04-09 10:46:00,460.1,460.25,460.1,460.2,1175
TRITURBINE,2026-04-09 10:47:00,460.2,460.35,460.1,460.1,1450
TRITURBINE,2026-04-09 10:48:00,460.1,460.1,460.0,460.0,1085
TRITURBINE,2026-04-09 10:49:00,460.0,460.2,460.0,460.0,1458
TRITURBINE,2026-04-09 10:50:00,460.25,462.45,460.0,462.3,11993
TRITURBINE,2026-04-09 10:51:00,462.3,463.6,462.3,463.6,2388
TRITURBINE,2026-04-09 10:52:00,463.45,465.2,463.35,464.0,6305
TRITURBINE,2026-04-09 10:53:00,464.0,464.7,463.25,464.5,1681
TRITURBINE,2026-04-09 10:54:00,464.5,464.9,463.9,463.9,2131
TRITURBINE,2026-04-09 10:55:00,464.1,465.6,463.25,464.05,49614
TRITURBINE,2026-04-09 10:56:00,464.05,464.6,462.0,462.0,2167
TRITURBINE,2026-04-09 10:57:00,462.0,462.45,462.0,462.45,940
TRITURBINE,2026-04-09 10:58:00,462.45,462.85,462.45,462.65,684
TRITURBINE,2026-04-09 10:59:00,462.65,462.85,462.4,462.4,697
TRITURBINE,2026-04-09 11:00:00,462.4,463.55,462.35,462.9,975
TRITURBINE,2026-04-09 11:01:00,463.25,464.45,462.8,464.35,2830
TRITURBINE,2026-04-09 11:02:00,464.35,464.4,464.3,464.3,579
TRITURBINE,2026-04-09 11:03:00,464.4,464.45,464.15,464.35,1130
TRITURBINE,2026-04-09 11:04:00,464.35,464.7,464.3,464.35,2264
TRITURBINE,2026-04-09 11:05:00,464.4,464.75,464.35,464.65,952
TRITURBINE,2026-04-09 11:06:00,464.65,464.65,464.4,464.5,813
TRITURBINE,2026-04-09 11:07:00,464.3,464.45,464.0,464.0,847
TRITURBINE,2026-04-09 11:08:00,464.0,464.25,463.95,464.0,694
TRITURBINE,2026-04-09 11:09:00,464.0,464.35,464.0,464.25,769
TRITURBINE,2026-04-09 11:10:00,464.25,464.4,464.15,464.15,542
TRITURBINE,2026-04-09 11:11:00,464.15,465.0,464.0,465.0,854
TRITURBINE,2026-04-09 11:12:00,464.8,464.95,464.45,464.85,764
TRITURBINE,2026-04-09 11:13:00,464.85,464.85,464.15,464.3,690
TRITURBINE,2026-04-09 11:14:00,464.3,464.3,464.0,464.3,767
TRITURBINE,2026-04-09 11:15:00,464.35,464.95,464.35,464.6,679
TRITURBINE,2026-04-09 11:16:00,464.6,464.75,463.85,464.0,1751
TRITURBINE,2026-04-09 11:17:00,464.0,464.15,464.0,464.0,1639
TRITURBINE,2026-04-09 11:18:00,464.0,464.3,463.9,464.0,605
