tradingsymbol,datetime,open,high,low,close,volume
VENTIVE,2026-04-09 09:15:00,591.0,598.25,591.0,592.1,306
VENTIVE,2026-04-09 09:16:00,592.1,599.15,592.1,596.1,1173
VENTIVE,2026-04-09 09:17:00,595.3,599.55,595.3,598.45,452
VENTIVE,2026-04-09 09:18:00,598.45,598.45,598.45,598.45,35
VENTIVE,2026-04-09 09:19:00,598.45,598.45,597.6,597.6,3
VENTIVE,2026-04-09 09:20:00,598.45,600.15,597.6,600.15,782
VENTIVE,2026-04-09 09:21:00,600.15,600.2,600.15,600.2,86
VENTIVE,2026-04-09 09:22:00,600.2,601.0,600.2,600.6,183
VENTIVE,2026-04-09 09:23:00,601.95,602.0,601.95,602.0,30
VENTIVE,2026-04-09 09:24:00,602.0,605.05,602.0,604.0,629
VENTIVE,2026-04-09 09:25:00,604.05,605.45,604.05,605.45,152
VENTIVE,2026-04-09 09:26:00,605.45,605.9,605.45,605.9,39
VENTIVE,2026-04-09 09:27:00,605.9,605.9,605.45,605.45,50
VENTIVE,2026-04-09 09:28:00,605.45,607.7,605.45,607.7,885
VENTIVE,2026-04-09 09:29:00,607.7,608.2,607.7,608.2,112
VENTIVE,2026-04-09 09:30:00,609.4,609.4,609.0,609.0,280
VENTIVE,2026-04-09 09:31:00,609.0,609.0,607.65,608.05,12730
VENTIVE,2026-04-09 09:32:00,608.05,608.05,607.95,607.95,207
VENTIVE,2026-04-09 09:33:00,607.9,608.3,607.6,607.6,3015
VENTIVE,2026-04-09 09:34:00,607.6,607.6,607.35,607.35,2073
VENTIVE,2026-04-09 09:35:00,606.05,606.05,606.0,606.0,119
VENTIVE,2026-04-09 09:36:00,606.0,606.0,606.0,606.0,25
VENTIVE,2026-04-09 09:37:00,606.0,606.0,605.9,605.9,36
VENTIVE,2026-04-09 09:38:00,605.9,605.95,605.9,605.95,10
VENTIVE,2026-04-09 09:39:00,605.95,605.95,604.7,605.95,34
VENTIVE,2026-04-09 09:40:00,605.9,606.0,604.9,606.0,471
VENTIVE,2026-04-09 09:41:00,606.0,606.85,606.0,606.85,529
VENTIVE,2026-04-09 09:42:00,607.0,607.0,604.2,604.2,1436
VENTIVE,2026-04-09 09:43:00,604.2,604.2,603.75,603.75,342
VENTIVE,2026-04-09 09:44:00,603.75,603.75,603.25,603.25,1
VENTIVE,2026-04-09 09:45:00,601.0,601.0,600.3,600.3,800
VENTIVE,2026-04-09 09:46:00,600.3,600.3,600.3,600.3,0
VENTIVE,2026-04-09 09:47:00,600.3,608.0,600.3,608.0,333
VENTIVE,2026-04-09 09:48:00,608.0,608.15,608.0,608.0,3579
VENTIVE,2026-04-09 09:49:00,608.0,608.0,604.2,604.2,2531
VENTIVE,2026-04-09 09:50:00,604.2,604.2,604.2,604.2,0
VENTIVE,2026-04-09 09:51:00,604.2,604.45,604.2,604.45,33
VENTIVE,2026-04-09 09:52:00,604.45,605.55,604.45,605.55,23
VENTIVE,2026-04-09 09:53:00,605.55,605.9,605.55,605.9,27
VENTIVE,2026-04-09 09:54:00,605.9,605.9,605.9,605.9,0
VENTIVE,2026-04-09 09:55:00,605.9,606.05,605.9,606.05,5
VENTIVE,2026-04-09 09:56:00,606.4,606.4,605.0,605.0,268
VENTIVE,2026-04-09 09:57:00,605.0,605.0,605.0,605.0,0
VENTIVE,2026-04-09 09:58:00,605.0,605.0,604.15,604.15,154
