tradingsymbol,datetime,open,high,low,close,volume
VIJAYA,2026-04-09 09:15:00,958.0,958.6,954.1,954.9,375
VIJAYA,2026-04-09 09:16:00,954.9,958.05,954.9,958.05,110
VIJAYA,2026-04-09 09:17:00,958.75,964.0,958.35,964.0,301
VIJAYA,2026-04-09 09:18:00,965.9,969.0,965.9,969.0,150
VIJAYA,2026-04-09 09:19:00,969.0,969.0,969.0,969.0,53
VIJAYA,2026-04-09 09:20:00,969.0,973.35,969.0,972.25,438
VIJAYA,2026-04-09 09:21:00,971.2,972.0,971.2,972.0,74
VIJAYA,2026-04-09 09:22:00,972.8,972.8,970.9,970.9,136
VIJAYA,2026-04-09 09:23:00,970.9,971.75,970.2,970.2,66
VIJAYA,2026-04-09 09:24:00,971.35,971.35,970.85,971.0,362
VIJAYA,2026-04-09 09:25:00,972.3,972.8,970.45,972.8,623
VIJAYA,2026-04-09 09:26:00,972.8,972.8,970.5,972.8,98
VIJAYA,2026-04-09 09:27:00,972.8,972.8,970.65,971.85,55
VIJAYA,2026-04-09 09:28:00,971.85,971.85,971.85,971.85,15
VIJAYA,2026-04-09 09:29:00,971.85,971.85,970.75,970.8,296
VIJAYA,2026-04-09 09:30:00,971.4,971.75,970.15,970.15,65
VIJAYA,2026-04-09 09:31:00,971.0,971.0,969.05,969.75,95
VIJAYA,2026-04-09 09:32:00,968.15,969.25,968.15,968.95,33
VIJAYA,2026-04-09 09:33:00,969.05,969.05,966.95,967.8,52
VIJAYA,2026-04-09 09:34:00,967.9,967.9,965.75,965.75,62
VIJAYA,2026-04-09 09:35:00,965.75,965.75,965.75,965.75,15
VIJAYA,2026-04-09 09:36:00,965.75,967.8,965.75,967.8,145
VIJAYA,2026-04-09 09:37:00,967.8,967.8,967.8,967.8,0
VIJAYA,2026-04-09 09:38:00,967.8,967.8,967.8,967.8,36
VIJAYA,2026-04-09 09:39:00,967.8,967.8,967.55,967.55,16
VIJAYA,2026-04-09 09:40:00,967.65,967.65,967.65,967.65,30
VIJAYA,2026-04-09 09:41:00,967.65,968.25,967.3,967.6,229
VIJAYA,2026-04-09 09:42:00,967.6,967.95,967.3,967.95,24
VIJAYA,2026-04-09 09:43:00,967.95,967.95,967.4,967.4,41
VIJAYA,2026-04-09 09:44:00,967.45,967.45,966.7,967.3,35
VIJAYA,2026-04-09 09:45:00,967.3,967.3,967.3,967.3,0
VIJAYA,2026-04-09 09:46:00,967.3,967.3,967.25,967.25,15
VIJAYA,2026-04-09 09:47:00,967.25,967.25,966.3,967.25,69
VIJAYA,2026-04-09 09:48:00,967.25,967.3,967.2,967.3,77
VIJAYA,2026-04-09 09:49:00,967.05,967.65,965.5,965.5,37
VIJAYA,2026-04-09 09:50:00,965.5,965.75,965.0,965.0,17
VIJAYA,2026-04-09 09:51:00,963.6,964.05,962.65,962.65,173
VIJAYA,2026-04-09 09:52:00,962.65,962.65,961.0,961.05,661
VIJAYA,2026-04-09 09:53:00,961.05,961.65,961.05,961.65,15
VIJAYA,2026-04-09 09:54:00,961.65,961.65,961.65,961.65,0
VIJAYA,2026-04-09 09:55:00,961.65,961.65,961.35,961.35,23
VIJAYA,2026-04-09 09:56:00,961.35,961.35,960.45,961.25,11
VIJAYA,2026-04-09 09:57:00,961.25,961.9,961.25,961.8,30
VIJAYA,2026-04-09 09:58:00,961.8,961.9,961.8,961.9,6
VIJAYA,2026-04-09 09:59:00,961.9,962.0,961.5,962.0,14
VIJAYA,2026-04-09 10:00:00,962.0,962.0,961.05,961.05,117
VIJAYA,2026-04-09 10:01:00,961.05,961.85,961.05,961.85,21
VIJAYA,2026-04-09 10:02:00,961.85,962.0,961.85,962.0,53
VIJAYA,2026-04-09 10:03:00,962.0,964.7,962.0,964.55,317
VIJAYA,2026-04-09 10:04:00,964.55,964.75,964.5,964.75,26
VIJAYA,2026-04-09 10:05:00,964.75,965.0,964.75,965.0,55
VIJAYA,2026-04-09 10:06:00,964.05,965.75,964.05,965.75,54
VIJAYA,2026-04-09 10:07:00,965.75,965.75,964.45,965.65,37
VIJAYA,2026-04-09 10:08:00,965.65,966.6,964.95,966.6,18
VIJAYA,2026-04-09 10:09:00,966.6,967.8,966.6,967.8,37
VIJAYA,2026-04-09 10:10:00,967.8,968.0,967.65,968.0,79
VIJAYA,2026-04-09 10:11:00,968.0,968.0,966.6,967.85,31
VIJAYA,2026-04-09 10:12:00,968.4,968.4,968.4,968.4,9
VIJAYA,2026-04-09 10:13:00,968.4,969.0,967.35,968.65,77
VIJAYA,2026-04-09 10:14:00,968.75,968.75,968.75,968.75,15
VIJAYA,2026-04-09 10:15:00,968.75,968.75,967.9,967.9,48
VIJAYA,2026-04-09 10:16:00,967.9,968.25,967.6,968.25,40
VIJAYA,2026-04-09 10:17:00,968.25,968.25,968.25,968.25,0
VIJAYA,2026-04-09 10:18:00,968.25,968.25,967.85,967.85,140
VIJAYA,2026-04-09 10:19:00,967.85,967.95,967.75,967.85,41
VIJAYA,2026-04-09 10:20:00,967.85,967.85,967.2,967.2,20
VIJAYA,2026-04-09 10:21:00,967.2,968.0,966.8,967.4,1083
VIJAYA,2026-04-09 10:22:00,967.4,967.4,966.05,966.05,133
VIJAYA,2026-04-09 10:23:00,966.05,966.05,965.9,965.9,15
VIJAYA,2026-04-09 10:24:00,965.9,965.9,965.6,965.6,9
