datetime,open,high,low,close,volume,tradingsymbol
2026-03-02 09:15:00,250.0,261.9,249.05,258.35,25118,
2026-03-02 09:16:00,259.05,259.65,256.8,257.65,75990,
2026-03-02 09:17:00,257.25,257.25,256.55,257.25,28039,
2026-03-02 09:18:00,257.2,257.45,255.9,256.7,30569,
2026-03-02 09:19:00,256.75,257.7,256.1,257.65,32465,
2026-03-02 09:20:00,257.95,259.0,257.95,258.2,29031,
2026-03-02 09:21:00,258.55,258.85,258.15,258.4,21852,
2026-03-02 09:22:00,258.55,259.0,258.1,258.45,10668,
2026-03-02 09:23:00,258.5,258.95,257.35,258.0,24465,
2026-03-02 09:24:00,257.7,258.85,257.7,258.85,14135,
2026-03-02 09:25:00,258.7,258.7,257.85,257.95,10053,
2026-03-02 09:26:00,257.75,258.45,257.3,258.45,10629,
2026-03-02 09:27:00,258.35,259.25,258.35,259.15,20431,
2026-03-02 09:28:00,259.0,259.7,259.0,259.35,6164,
2026-03-02 09:29:00,259.35,259.45,258.3,258.45,4345,
2026-03-02 09:30:00,258.45,259.15,258.15,259.0,9576,
2026-03-02 09:31:00,258.95,259.15,258.55,258.75,2844,
2026-03-02 09:32:00,258.45,258.7,258.0,258.35,5864,
2026-03-02 09:33:00,258.15,259.4,258.15,259.4,5222,
2026-03-02 09:34:00,259.25,259.8,259.0,259.35,14656,
2026-03-02 09:35:00,259.35,259.35,258.2,258.7,13004,
2026-03-02 09:36:00,258.45,259.0,258.3,258.7,13278,
2026-03-02 09:37:00,258.55,259.0,258.4,258.85,6988,
2026-03-02 09:38:00,258.7,259.45,258.7,259.1,2271,
2026-03-02 09:39:00,258.95,259.45,258.95,259.3,877,
2026-03-02 09:40:00,259.3,259.7,258.8,258.9,16046,
2026-03-02 09:41:00,258.9,259.5,258.65,259.4,3287,
2026-03-02 09:42:00,259.4,259.5,259.1,259.3,1871,
2026-03-02 09:43:00,259.3,260.4,259.3,260.15,7514,
