tradingsymbol,datetime,open,high,low,close,volume
MAHSEAMLES,2026-03-02 09:15:00,536.0,551.6,535.0,548.0,1305
MAHSEAMLES,2026-03-02 09:16:00,545.5,547.2,545.5,546.45,735
MAHSEAMLES,2026-03-02 09:17:00,546.55,547.0,546.1,546.55,556
MAHSEAMLES,2026-03-02 09:18:00,547.0,548.8,547.0,548.0,2977
MAHSEAMLES,2026-03-02 09:19:00,548.8,550.45,548.15,549.3,1657
MAHSEAMLES,2026-03-02 09:20:00,549.4,551.15,549.4,550.1,366
MAHSEAMLES,2026-03-02 09:21:00,550.1,550.65,550.1,550.1,159
MAHSEAMLES,2026-03-02 09:22:00,549.6,549.8,549.0,549.8,633
MAHSEAMLES,2026-03-02 09:23:00,549.8,550.45,548.9,550.3,1007
MAHSEAMLES,2026-03-02 09:24:00,549.95,551.05,548.9,550.1,735
MAHSEAMLES,2026-03-02 09:25:00,549.8,550.1,548.95,549.6,537
MAHSEAMLES,2026-03-02 09:26:00,549.5,550.1,548.95,549.2,688
MAHSEAMLES,2026-03-02 09:27:00,549.9,550.65,549.3,549.65,844
MAHSEAMLES,2026-03-02 09:28:00,549.65,550.1,549.15,550.05,476
MAHSEAMLES,2026-03-02 09:29:00,550.05,550.05,549.3,549.3,610
MAHSEAMLES,2026-03-02 09:30:00,549.9,551.05,549.2,551.05,293
MAHSEAMLES,2026-03-02 09:31:00,551.05,551.9,551.05,551.55,220
MAHSEAMLES,2026-03-02 09:32:00,551.55,551.75,549.6,550.5,2647
MAHSEAMLES,2026-03-02 09:33:00,550.5,551.9,550.5,551.5,48
MAHSEAMLES,2026-03-02 09:34:00,551.5,551.5,551.15,551.35,116
MAHSEAMLES,2026-03-02 09:35:00,551.35,551.35,549.9,550.2,546
MAHSEAMLES,2026-03-02 09:36:00,550.2,550.85,549.6,549.6,56
MAHSEAMLES,2026-03-02 09:37:00,549.6,549.6,549.35,549.6,213
MAHSEAMLES,2026-03-02 09:38:00,549.6,551.15,549.6,551.15,160
MAHSEAMLES,2026-03-02 09:39:00,551.15,551.35,550.85,551.35,59
MAHSEAMLES,2026-03-02 09:40:00,550.85,551.55,550.85,551.5,710
MAHSEAMLES,2026-03-02 09:41:00,551.8,553.7,551.8,553.7,901
MAHSEAMLES,2026-03-02 09:42:00,554.15,554.2,553.35,554.2,435
MAHSEAMLES,2026-03-02 09:43:00,554.65,555.9,554.4,555.45,619
MAHSEAMLES,2026-03-02 09:44:00,555.45,556.4,555.45,556.4,201
MAHSEAMLES,2026-03-02 09:45:00,556.4,556.4,555.3,555.65,447
MAHSEAMLES,2026-03-02 09:46:00,555.6,556.75,555.2,555.35,2456
MAHSEAMLES,2026-03-02 09:47:00,555.2,555.65,555.2,555.65,262
MAHSEAMLES,2026-03-02 09:48:00,555.65,557.5,555.65,556.55,1366
MAHSEAMLES,2026-03-02 09:49:00,557.05,557.05,556.0,556.45,228
MAHSEAMLES,2026-03-02 09:50:00,556.25,556.45,556.25,556.45,70
MAHSEAMLES,2026-03-02 09:51:00,556.45,556.9,556.0,556.4,75
MAHSEAMLES,2026-03-02 09:52:00,556.4,557.05,556.35,556.45,195
MAHSEAMLES,2026-03-02 09:53:00,556.45,556.85,556.45,556.85,17
MAHSEAMLES,2026-03-02 09:54:00,556.35,556.35,556.0,556.35,153
MAHSEAMLES,2026-03-02 09:55:00,556.35,557.6,556.35,556.6,387
MAHSEAMLES,2026-03-02 09:56:00,556.6,557.15,556.4,556.55,23
MAHSEAMLES,2026-03-02 09:57:00,557.15,557.15,556.85,556.85,33
MAHSEAMLES,2026-03-02 09:58:00,558.1,558.25,557.45,558.25,410
MAHSEAMLES,2026-03-02 09:59:00,558.25,558.45,558.15,558.45,102
MAHSEAMLES,2026-03-02 10:00:00,558.45,558.45,557.9,557.9,79
MAHSEAMLES,2026-03-02 10:01:00,558.3,558.4,557.6,557.6,282
MAHSEAMLES,2026-03-02 10:02:00,557.45,560.2,557.45,560.2,2270
MAHSEAMLES,2026-03-02 10:03:00,560.1,561.0,560.1,561.0,412
MAHSEAMLES,2026-03-02 10:04:00,561.0,561.0,560.55,560.8,836
MAHSEAMLES,2026-03-02 10:05:00,560.55,561.0,560.55,560.55,204
MAHSEAMLES,2026-03-02 10:06:00,560.85,560.85,560.55,560.55,120
MAHSEAMLES,2026-03-02 10:07:00,560.5,561.45,560.5,561.45,2654
MAHSEAMLES,2026-03-02 10:08:00,561.45,561.45,560.5,560.5,2765
MAHSEAMLES,2026-03-02 10:09:00,560.5,560.75,560.5,560.75,21
MAHSEAMLES,2026-03-02 10:10:00,561.5,562.0,561.15,562.0,1076
MAHSEAMLES,2026-03-02 10:11:00,562.0,562.2,561.3,562.2,603
MAHSEAMLES,2026-03-02 10:12:00,562.2,563.1,560.8,563.1,1199
MAHSEAMLES,2026-03-02 10:13:00,563.15,563.15,562.3,562.9,221
MAHSEAMLES,2026-03-02 10:14:00,562.9,563.0,562.05,563.0,470
MAHSEAMLES,2026-03-02 10:15:00,563.0,563.9,563.0,563.5,116
MAHSEAMLES,2026-03-02 10:16:00,563.5,563.5,562.15,562.15,238
MAHSEAMLES,2026-03-02 10:17:00,562.15,562.8,561.1,562.25,1213
MAHSEAMLES,2026-03-02 10:18:00,562.25,562.85,562.25,562.55,53
MAHSEAMLES,2026-03-02 10:19:00,562.55,562.55,562.1,562.45,114
MAHSEAMLES,2026-03-02 10:20:00,562.45,562.65,562.0,562.05,217
MAHSEAMLES,2026-03-02 10:21:00,562.5,563.05,562.25,563.05,191
MAHSEAMLES,2026-03-02 10:22:00,563.05,563.05,562.2,563.0,939
MAHSEAMLES,2026-03-02 10:23:00,562.8,563.0,562.8,563.0,248
MAHSEAMLES,2026-03-02 10:24:00,563.0,563.1,562.55,562.6,181
MAHSEAMLES,2026-03-02 10:25:00,562.6,562.9,562.15,562.15,152
MAHSEAMLES,2026-03-02 10:26:00,562.15,562.15,562.1,562.1,183
MAHSEAMLES,2026-03-02 10:27:00,562.1,564.0,562.05,562.85,4283
MAHSEAMLES,2026-03-02 10:28:00,562.1,562.95,562.1,562.2,385
MAHSEAMLES,2026-03-02 10:29:00,562.2,563.05,562.2,562.5,320
MAHSEAMLES,2026-03-02 10:30:00,562.5,562.7,562.0,562.0,5296
MAHSEAMLES,2026-03-02 10:31:00,562.0,563.15,562.0,562.15,428
MAHSEAMLES,2026-03-02 10:32:00,562.25,563.05,562.0,562.0,556
MAHSEAMLES,2026-03-02 10:33:00,562.0,563.05,562.0,563.05,1296
MAHSEAMLES,2026-03-02 10:34:00,563.05,563.7,563.05,563.5,44
MAHSEAMLES,2026-03-02 10:35:00,563.5,563.7,563.05,563.7,156
MAHSEAMLES,2026-03-02 10:36:00,563.7,563.7,563.3,563.3,346
MAHSEAMLES,2026-03-02 10:37:00,563.3,563.65,563.1,563.6,741
MAHSEAMLES,2026-03-02 10:38:00,563.6,563.6,563.55,563.55,40
MAHSEAMLES,2026-03-02 10:39:00,563.55,563.55,562.7,562.7,217
MAHSEAMLES,2026-03-02 10:40:00,562.7,563.25,562.7,562.85,2
MAHSEAMLES,2026-03-02 10:41:00,562.85,562.85,562.1,562.1,211
MAHSEAMLES,2026-03-02 10:42:00,562.1,562.5,561.75,562.5,1303
MAHSEAMLES,2026-03-02 10:43:00,562.5,562.5,562.0,562.0,237
MAHSEAMLES,2026-03-02 10:44:00,562.0,562.3,562.0,562.0,567
MAHSEAMLES,2026-03-02 10:45:00,562.0,562.1,561.5,562.1,992
MAHSEAMLES,2026-03-02 10:46:00,562.1,562.1,561.75,562.0,111
MAHSEAMLES,2026-03-02 10:47:00,562.0,562.0,561.75,561.75,71
MAHSEAMLES,2026-03-02 10:48:00,561.75,562.0,561.2,562.0,8642
