tradingsymbol,datetime,open,high,low,close,volume
GVT&D,2026-03-02 09:15:00,3655.3,3787.2,3650.0,3770.2,20793
GVT&D,2026-03-02 09:16:00,3777.3,3777.3,3735.7,3759.6,12814
GVT&D,2026-03-02 09:17:00,3755.1,3774.9,3755.1,3771.0,1752
GVT&D,2026-03-02 09:18:00,3774.8,3790.0,3774.8,3785.0,3974
GVT&D,2026-03-02 09:19:00,3783.2,3803.0,3783.2,3803.0,1946
GVT&D,2026-03-02 09:20:00,3808.2,3815.0,3808.2,3810.2,2235
GVT&D,2026-03-02 09:21:00,3810.2,3816.8,3800.0,3803.0,2565
GVT&D,2026-03-02 09:22:00,3803.0,3805.6,3795.7,3805.0,1050
GVT&D,2026-03-02 09:23:00,3808.7,3814.7,3799.4,3800.8,3981
GVT&D,2026-03-02 09:24:00,3796.7,3825.0,3796.7,3820.3,2941
GVT&D,2026-03-02 09:25:00,3829.8,3829.8,3819.1,3822.7,2029
GVT&D,2026-03-02 09:26:00,3820.0,3837.6,3820.0,3832.8,4163
GVT&D,2026-03-02 09:27:00,3834.0,3837.5,3832.1,3833.8,1455
GVT&D,2026-03-02 09:28:00,3833.8,3834.8,3830.6,3830.9,616
GVT&D,2026-03-02 09:29:00,3841.1,3848.6,3834.2,3837.3,3092
GVT&D,2026-03-02 09:30:00,3836.4,3853.3,3836.4,3853.3,2507
GVT&D,2026-03-02 09:31:00,3849.2,3856.6,3846.9,3855.4,1969
GVT&D,2026-03-02 09:32:00,3855.4,3860.0,3853.3,3860.0,1378
GVT&D,2026-03-02 09:33:00,3858.0,3864.8,3853.1,3863.0,3478
GVT&D,2026-03-02 09:34:00,3863.0,3865.1,3858.8,3859.4,890
GVT&D,2026-03-02 09:35:00,3859.4,3860.5,3852.5,3854.6,673
GVT&D,2026-03-02 09:36:00,3851.1,3854.8,3849.1,3850.2,1850
GVT&D,2026-03-02 09:37:00,3850.0,3855.7,3850.0,3853.4,625
GVT&D,2026-03-02 09:38:00,3854.3,3857.9,3854.3,3857.6,597
GVT&D,2026-03-02 09:39:00,3854.4,3854.4,3850.0,3850.0,1147
GVT&D,2026-03-02 09:40:00,3852.2,3858.2,3850.2,3854.2,346
GVT&D,2026-03-02 09:41:00,3852.0,3855.1,3852.0,3852.0,1414
GVT&D,2026-03-02 09:42:00,3854.3,3854.4,3851.5,3853.5,251
GVT&D,2026-03-02 09:43:00,3852.3,3863.1,3852.3,3863.1,610
GVT&D,2026-03-02 09:44:00,3862.8,3870.0,3862.8,3870.0,441
GVT&D,2026-03-02 09:45:00,3862.8,3865.8,3860.0,3864.0,2255
GVT&D,2026-03-02 09:46:00,3865.8,3878.5,3865.8,3878.5,1389
GVT&D,2026-03-02 09:47:00,3878.5,3885.0,3872.8,3881.2,1574
GVT&D,2026-03-02 09:48:00,3885.0,3885.4,3881.6,3885.2,1205
GVT&D,2026-03-02 09:49:00,3884.2,3887.8,3882.9,3885.0,1535
GVT&D,2026-03-02 09:50:00,3885.0,3885.0,3877.1,3884.9,1253
GVT&D,2026-03-02 09:51:00,3884.9,3889.0,3878.0,3886.2,101801
GVT&D,2026-03-02 09:52:00,3887.0,3887.0,3878.1,3878.4,1369
GVT&D,2026-03-02 09:53:00,3879.0,3879.0,3874.2,3874.5,482
GVT&D,2026-03-02 09:54:00,3874.5,3874.5,3851.3,3854.3,4558
