tradingsymbol,datetime,open,high,low,close,volume
ADANIENT,2026-03-02 09:15:00,2093.0,2147.9,2080.0,2131.6,62611
ADANIENT,2026-03-02 09:16:00,2129.8,2129.8,2114.4,2117.1,8379
ADANIENT,2026-03-02 09:17:00,2117.7,2121.4,2113.2,2114.7,7887
ADANIENT,2026-03-02 09:18:00,2117.1,2119.9,2114.4,2118.8,6139
ADANIENT,2026-03-02 09:19:00,2119.8,2127.4,2118.6,2127.4,11912
ADANIENT,2026-03-02 09:20:00,2126.3,2131.0,2125.8,2129.3,10479
ADANIENT,2026-03-02 09:21:00,2129.9,2134.6,2129.9,2130.3,10900
ADANIENT,2026-03-02 09:22:00,2130.6,2131.0,2124.0,2126.1,4043
ADANIENT,2026-03-02 09:23:00,2125.0,2125.0,2118.3,2119.5,10363
ADANIENT,2026-03-02 09:24:00,2120.7,2124.3,2120.2,2123.8,6481
ADANIENT,2026-03-02 09:25:00,2123.8,2123.9,2115.9,2116.2,9179
ADANIENT,2026-03-02 09:26:00,2114.3,2117.5,2113.2,2115.1,6987
ADANIENT,2026-03-02 09:27:00,2115.9,2118.6,2114.5,2117.3,2248
ADANIENT,2026-03-02 09:28:00,2116.9,2119.7,2116.9,2119.7,3098
ADANIENT,2026-03-02 09:29:00,2118.7,2121.0,2114.1,2114.2,6118
ADANIENT,2026-03-02 09:30:00,2114.2,2121.0,2114.0,2119.1,944
ADANIENT,2026-03-02 09:31:00,2118.9,2120.8,2117.4,2119.5,1798
ADANIENT,2026-03-02 09:32:00,2119.5,2125.9,2119.1,2123.2,3030
ADANIENT,2026-03-02 09:33:00,2123.2,2130.0,2123.2,2127.8,4150
ADANIENT,2026-03-02 09:34:00,2127.8,2127.8,2122.7,2126.2,8328
ADANIENT,2026-03-02 09:35:00,2126.2,2127.7,2122.1,2122.6,10429
ADANIENT,2026-03-02 09:36:00,2122.8,2123.3,2118.0,2118.3,5351
ADANIENT,2026-03-02 09:37:00,2118.9,2119.4,2116.0,2117.2,6180
ADANIENT,2026-03-02 09:38:00,2117.2,2122.0,2116.0,2119.1,4519
ADANIENT,2026-03-02 09:39:00,2120.0,2121.5,2118.0,2121.0,1092
ADANIENT,2026-03-02 09:40:00,2121.0,2124.2,2119.5,2120.9,3240
ADANIENT,2026-03-02 09:41:00,2120.8,2124.5,2119.5,2124.5,2911
ADANIENT,2026-03-02 09:42:00,2124.5,2124.5,2120.0,2122.9,1330
ADANIENT,2026-03-02 09:43:00,2122.9,2124.3,2120.1,2123.1,3611
ADANIENT,2026-03-02 09:44:00,2122.8,2123.5,2118.6,2119.1,5117
ADANIENT,2026-03-02 09:45:00,2119.1,2119.2,2117.0,2117.0,8889
ADANIENT,2026-03-02 09:46:00,2116.2,2119.0,2114.0,2119.0,4804
ADANIENT,2026-03-02 09:47:00,2119.0,2119.6,2116.7,2118.9,2150
ADANIENT,2026-03-02 09:48:00,2118.9,2120.9,2118.2,2118.2,1840
ADANIENT,2026-03-02 09:49:00,2117.4,2117.4,2113.3,2115.1,6472
ADANIENT,2026-03-02 09:50:00,2115.0,2115.3,2109.7,2113.6,4807
ADANIENT,2026-03-02 09:51:00,2113.0,2114.0,2110.8,2112.5,950
ADANIENT,2026-03-02 09:52:00,2113.3,2113.3,2110.1,2110.4,3080
ADANIENT,2026-03-02 09:53:00,2108.6,2110.0,2105.1,2105.1,8298
ADANIENT,2026-03-02 09:54:00,2105.1,2106.2,2104.1,2104.7,3105
ADANIENT,2026-03-02 09:55:00,2104.7,2105.0,2104.0,2104.2,2421
ADANIENT,2026-03-02 09:56:00,2104.1,2105.7,2101.2,2101.4,4463
ADANIENT,2026-03-02 09:57:00,2101.4,2107.8,2101.4,2107.5,1565
ADANIENT,2026-03-02 09:58:00,2107.5,2108.5,2106.0,2106.3,747
ADANIENT,2026-03-02 09:59:00,2107.1,2111.0,2106.0,2110.9,3040
ADANIENT,2026-03-02 10:00:00,2110.9,2112.2,2108.9,2109.7,2512
ADANIENT,2026-03-02 10:01:00,2109.7,2109.7,2105.9,2106.1,2911
ADANIENT,2026-03-02 10:02:00,2106.1,2106.9,2104.0,2104.1,1790
ADANIENT,2026-03-02 10:03:00,2104.6,2106.3,2104.0,2105.0,2665
ADANIENT,2026-03-02 10:04:00,2105.5,2105.5,2101.5,2102.0,2258
ADANIENT,2026-03-02 10:05:00,2102.0,2103.7,2102.0,2102.4,1191
ADANIENT,2026-03-02 10:06:00,2102.4,2102.7,2101.4,2101.9,2118
ADANIENT,2026-03-02 10:07:00,2101.9,2102.0,2100.3,2100.4,2363
ADANIENT,2026-03-02 10:08:00,2100.4,2101.0,2098.0,2099.0,2731
ADANIENT,2026-03-02 10:09:00,2099.0,2099.8,2097.3,2099.0,4409
ADANIENT,2026-03-02 10:10:00,2099.0,2100.7,2096.1,2097.5,2101
ADANIENT,2026-03-02 10:11:00,2096.7,2097.8,2096.1,2097.3,2911
ADANIENT,2026-03-02 10:12:00,2097.3,2097.3,2090.8,2090.8,8482
ADANIENT,2026-03-02 10:13:00,2091.6,2094.4,2091.6,2093.0,2893
ADANIENT,2026-03-02 10:14:00,2093.0,2093.9,2091.7,2093.0,2680
ADANIENT,2026-03-02 10:15:00,2094.0,2094.4,2092.6,2093.5,2056
ADANIENT,2026-03-02 10:16:00,2093.5,2093.5,2090.8,2092.0,2867
ADANIENT,2026-03-02 10:17:00,2092.0,2093.0,2091.2,2092.3,1616
ADANIENT,2026-03-02 10:18:00,2092.3,2096.5,2092.1,2096.5,4727
ADANIENT,2026-03-02 10:19:00,2096.5,2098.6,2095.9,2095.9,4312
ADANIENT,2026-03-02 10:20:00,2095.9,2096.5,2092.4,2093.0,1547
ADANIENT,2026-03-02 10:21:00,2093.0,2095.2,2092.6,2095.0,1532
ADANIENT,2026-03-02 10:22:00,2095.0,2095.2,2085.4,2088.1,21838
ADANIENT,2026-03-02 10:23:00,2087.4,2087.4,2084.6,2085.1,4034
ADANIENT,2026-03-02 10:24:00,2085.1,2087.1,2085.0,2085.6,5444
ADANIENT,2026-03-02 10:25:00,2086.2,2086.3,2082.2,2083.5,4541
ADANIENT,2026-03-02 10:26:00,2083.2,2087.2,2083.2,2087.1,3223
ADANIENT,2026-03-02 10:27:00,2087.1,2089.0,2086.2,2086.6,5300
ADANIENT,2026-03-02 10:28:00,2086.6,2089.8,2085.2,2087.6,13240
ADANIENT,2026-03-02 10:29:00,2088.7,2089.2,2087.5,2088.0,1374
ADANIENT,2026-03-02 10:30:00,2088.0,2089.4,2086.0,2089.0,2152
ADANIENT,2026-03-02 10:31:00,2089.0,2101.9,2089.0,2100.1,8347
ADANIENT,2026-03-02 10:32:00,2100.9,2103.1,2100.5,2103.0,5206
ADANIENT,2026-03-02 10:33:00,2103.4,2104.9,2101.1,2104.6,2547
ADANIENT,2026-03-02 10:34:00,2105.0,2107.2,2103.3,2103.7,5444
ADANIENT,2026-03-02 10:35:00,2104.0,2108.0,2103.3,2104.9,5858
ADANIENT,2026-03-02 10:36:00,2105.1,2107.5,2100.6,2107.5,16857
ADANIENT,2026-03-02 10:37:00,2108.2,2109.1,2105.2,2108.7,6471
ADANIENT,2026-03-02 10:38:00,2108.7,2109.0,2106.1,2107.4,1881
ADANIENT,2026-03-02 10:39:00,2107.5,2107.5,2103.9,2105.2,4141
ADANIENT,2026-03-02 10:40:00,2105.2,2107.0,2103.9,2107.0,3075
ADANIENT,2026-03-02 10:41:00,2107.0,2109.0,2106.5,2108.9,1976
ADANIENT,2026-03-02 10:42:00,2109.0,2109.0,2106.8,2108.0,1870
ADANIENT,2026-03-02 10:43:00,2108.0,2108.5,2106.0,2106.0,2040
ADANIENT,2026-03-02 10:44:00,2105.5,2107.1,2103.9,2106.0,3104
ADANIENT,2026-03-02 10:45:00,2105.1,2108.0,2105.1,2106.0,1160
ADANIENT,2026-03-02 10:46:00,2106.1,2109.0,2106.0,2108.0,1125
ADANIENT,2026-03-02 10:47:00,2108.7,2109.0,2107.6,2107.8,2246
ADANIENT,2026-03-02 10:48:00,2107.8,2108.9,2106.1,2108.1,1001
ADANIENT,2026-03-02 10:49:00,2108.1,2108.1,2104.0,2104.9,1021
ADANIENT,2026-03-02 10:50:00,2104.9,2104.9,2104.0,2104.9,491
ADANIENT,2026-03-02 10:51:00,2104.9,2106.9,2104.0,2104.8,2197
ADANIENT,2026-03-02 10:52:00,2104.8,2106.4,2103.9,2104.8,782
ADANIENT,2026-03-02 10:53:00,2105.0,2106.3,2103.1,2105.7,8000
ADANIENT,2026-03-02 10:54:00,2104.3,2105.8,2103.0,2105.0,3945
ADANIENT,2026-03-02 10:55:00,2105.3,2109.0,2104.4,2109.0,1394
ADANIENT,2026-03-02 10:56:00,2109.0,2109.0,2107.4,2108.2,493
ADANIENT,2026-03-02 10:57:00,2108.2,2109.0,2107.3,2108.9,905
ADANIENT,2026-03-02 10:58:00,2109.0,2111.0,2107.8,2111.0,3265
ADANIENT,2026-03-02 10:59:00,2111.0,2111.0,2109.0,2109.4,2018
ADANIENT,2026-03-02 11:00:00,2109.2,2111.0,2108.0,2110.5,2825
ADANIENT,2026-03-02 11:01:00,2110.5,2113.4,2110.1,2113.4,3673
ADANIENT,2026-03-02 11:02:00,2113.4,2114.0,2112.6,2112.6,1526
ADANIENT,2026-03-02 11:03:00,2112.6,2113.6,2111.9,2113.6,1681
ADANIENT,2026-03-02 11:04:00,2113.6,2113.6,2110.9,2112.1,1104
ADANIENT,2026-03-02 11:05:00,2112.1,2112.1,2109.2,2111.8,2457
ADANIENT,2026-03-02 11:06:00,2111.8,2113.0,2111.2,2112.5,1123
ADANIENT,2026-03-02 11:07:00,2111.6,2112.4,2110.2,2110.2,461
ADANIENT,2026-03-02 11:08:00,2110.8,2111.7,2109.4,2109.9,2184
ADANIENT,2026-03-02 11:09:00,2109.9,2112.0,2109.9,2111.5,353
ADANIENT,2026-03-02 11:10:00,2111.5,2114.2,2111.4,2112.0,5329
ADANIENT,2026-03-02 11:11:00,2112.5,2112.8,2111.5,2111.9,380
ADANIENT,2026-03-02 11:12:00,2111.9,2113.8,2111.5,2112.7,6457
ADANIENT,2026-03-02 11:13:00,2112.7,2112.8,2111.3,2112.7,375
ADANIENT,2026-03-02 11:14:00,2112.7,2112.7,2111.5,2112.4,542
ADANIENT,2026-03-02 11:15:00,2112.4,2113.8,2112.0,2112.4,2023
ADANIENT,2026-03-02 11:16:00,2113.0,2114.3,2112.5,2113.2,1609
ADANIENT,2026-03-02 11:17:00,2113.8,2113.8,2111.5,2112.7,1061
ADANIENT,2026-03-02 11:18:00,2112.7,2112.7,2111.5,2112.4,1183
ADANIENT,2026-03-02 11:19:00,2111.5,2114.0,2111.5,2112.0,5258
ADANIENT,2026-03-02 11:20:00,2111.5,2112.6,2110.2,2111.3,5434
ADANIENT,2026-03-02 11:21:00,2111.5,2112.4,2110.0,2112.0,4502
ADANIENT,2026-03-02 11:22:00,2112.7,2113.5,2112.3,2113.0,938
ADANIENT,2026-03-02 11:23:00,2112.1,2112.9,2110.6,2112.4,2444
ADANIENT,2026-03-02 11:24:00,2112.4,2112.5,2110.4,2112.1,2298
ADANIENT,2026-03-02 11:25:00,2112.1,2112.1,2110.7,2111.9,7083
ADANIENT,2026-03-02 11:26:00,2111.5,2112.9,2106.4,2107.4,10147
ADANIENT,2026-03-02 11:27:00,2105.2,2107.9,2103.9,2105.8,7154
ADANIENT,2026-03-02 11:28:00,2105.8,2105.8,2104.1,2104.9,4076
ADANIENT,2026-03-02 11:29:00,2104.9,2105.5,2104.3,2104.3,2543
ADANIENT,2026-03-02 11:30:00,2104.3,2105.3,2102.8,2104.7,6805
ADANIENT,2026-03-02 11:31:00,2104.7,2105.4,2103.7,2104.4,6000
ADANIENT,2026-03-02 11:32:00,2104.4,2105.1,2103.8,2104.3,6834
ADANIENT,2026-03-02 11:33:00,2104.3,2104.9,2101.1,2102.1,5263
ADANIENT,2026-03-02 11:34:00,2102.8,2103.3,2100.5,2100.7,5277
ADANIENT,2026-03-02 11:35:00,2100.7,2103.9,2100.4,2102.8,6445
ADANIENT,2026-03-02 11:36:00,2102.8,2105.1,2102.6,2102.6,2776
ADANIENT,2026-03-02 11:37:00,2102.6,2103.8,2102.1,2103.6,772
ADANIENT,2026-03-02 11:38:00,2103.9,2104.0,2102.9,2104.0,470
ADANIENT,2026-03-02 11:39:00,2104.0,2105.0,2103.6,2104.8,779
ADANIENT,2026-03-02 11:40:00,2104.8,2105.1,2104.0,2104.0,913
ADANIENT,2026-03-02 11:41:00,2104.5,2104.9,2104.0,2104.0,767
ADANIENT,2026-03-02 11:42:00,2104.4,2106.9,2104.1,2105.9,2963
ADANIENT,2026-03-02 11:43:00,2105.9,2107.0,2104.0,2105.0,1052
ADANIENT,2026-03-02 11:44:00,2105.0,2105.9,2104.0,2104.4,1678
ADANIENT,2026-03-02 11:45:00,2104.4,2105.8,2104.0,2105.4,449
ADANIENT,2026-03-02 11:46:00,2104.6,2107.6,2104.6,2107.6,743
ADANIENT,2026-03-02 11:47:00,2107.6,2108.2,2106.0,2106.8,1136
ADANIENT,2026-03-02 11:48:00,2106.4,2107.0,2104.2,2104.7,1498
ADANIENT,2026-03-02 11:49:00,2104.7,2105.0,2104.1,2104.9,1246
ADANIENT,2026-03-02 11:50:00,2104.9,2106.1,2104.2,2105.3,1852
