tradingsymbol,datetime,open,high,low,close,volume
ONGC,2026-03-02 09:15:00,288.0,293.0,287.3,290.55,1381003
ONGC,2026-03-02 09:16:00,290.6,290.6,288.7,289.0,537226
ONGC,2026-03-02 09:17:00,289.5,290.5,288.7,288.95,399197
ONGC,2026-03-02 09:18:00,288.25,289.2,288.25,289.0,476968
ONGC,2026-03-02 09:19:00,288.85,288.95,286.3,286.5,864047
ONGC,2026-03-02 09:20:00,287.25,288.45,286.45,288.0,510148
ONGC,2026-03-02 09:21:00,288.0,288.65,287.3,287.4,587915
ONGC,2026-03-02 09:22:00,287.4,287.5,284.8,285.35,529041
ONGC,2026-03-02 09:23:00,285.2,285.55,283.3,284.3,880491
ONGC,2026-03-02 09:24:00,284.35,285.5,284.0,284.75,535961
ONGC,2026-03-02 09:25:00,284.6,285.45,283.2,283.4,302240
ONGC,2026-03-02 09:26:00,283.2,283.7,283.0,283.2,354348
ONGC,2026-03-02 09:27:00,283.25,283.6,283.1,283.5,260053
ONGC,2026-03-02 09:28:00,283.5,283.5,282.25,283.5,396070
ONGC,2026-03-02 09:29:00,283.6,283.6,281.55,282.0,827878
ONGC,2026-03-02 09:30:00,282.0,282.2,281.2,281.9,126251
ONGC,2026-03-02 09:31:00,281.85,281.9,281.05,281.15,220781
ONGC,2026-03-02 09:32:00,281.2,282.0,280.8,281.8,449107
ONGC,2026-03-02 09:33:00,281.8,282.0,280.6,281.15,351546
ONGC,2026-03-02 09:34:00,281.15,281.15,280.5,280.7,439293
ONGC,2026-03-02 09:35:00,280.55,280.7,278.65,279.9,1014435
ONGC,2026-03-02 09:36:00,279.9,280.75,279.9,280.0,286644
ONGC,2026-03-02 09:37:00,280.1,280.9,280.0,280.3,386632
ONGC,2026-03-02 09:38:00,280.45,280.8,280.25,280.55,252552
ONGC,2026-03-02 09:39:00,280.5,280.65,279.2,279.2,371646
ONGC,2026-03-02 09:40:00,279.2,279.35,277.65,277.65,379201
ONGC,2026-03-02 09:41:00,277.8,279.7,277.8,279.4,365063
ONGC,2026-03-02 09:42:00,279.35,280.05,279.25,280.0,201415
ONGC,2026-03-02 09:43:00,279.9,280.95,279.65,280.65,418752
ONGC,2026-03-02 09:44:00,280.7,280.95,280.0,280.05,336297
ONGC,2026-03-02 09:45:00,280.1,280.25,279.65,279.8,229532
ONGC,2026-03-02 09:46:00,279.85,279.95,279.45,279.45,165000
ONGC,2026-03-02 09:47:00,279.5,279.95,279.35,279.9,141169
ONGC,2026-03-02 09:48:00,279.9,280.4,279.75,279.95,275560
ONGC,2026-03-02 09:49:00,279.95,280.0,279.5,279.55,113557
ONGC,2026-03-02 09:50:00,279.7,279.85,279.5,279.55,58112
ONGC,2026-03-02 09:51:00,279.45,279.75,278.9,279.65,170220
ONGC,2026-03-02 09:52:00,279.55,279.7,279.25,279.45,74067
ONGC,2026-03-02 09:53:00,279.3,279.55,278.9,279.1,103621
ONGC,2026-03-02 09:54:00,279.1,279.45,279.0,279.2,70551
ONGC,2026-03-02 09:55:00,279.15,279.9,279.05,279.85,170714
ONGC,2026-03-02 09:56:00,279.85,280.0,278.2,279.0,201962
ONGC,2026-03-02 09:57:00,279.05,280.1,279.05,280.0,161594
ONGC,2026-03-02 09:58:00,280.0,280.1,279.25,279.35,104072
ONGC,2026-03-02 09:59:00,279.35,279.75,279.05,279.45,45819
ONGC,2026-03-02 10:00:00,279.6,279.6,279.05,279.2,61120
ONGC,2026-03-02 10:01:00,279.2,279.2,278.55,278.8,115124
ONGC,2026-03-02 10:02:00,278.8,279.4,278.3,279.15,179104
ONGC,2026-03-02 10:03:00,279.15,280.2,279.05,280.2,244808
ONGC,2026-03-02 10:04:00,280.3,280.75,279.55,279.7,195058
ONGC,2026-03-02 10:05:00,279.8,279.8,279.55,279.8,80951
ONGC,2026-03-02 10:06:00,279.8,279.8,279.5,279.8,111091
ONGC,2026-03-02 10:07:00,279.8,280.0,279.65,279.8,89933
ONGC,2026-03-02 10:08:00,279.75,279.95,279.45,279.55,118642
