tradingsymbol,datetime,open,high,low,close,volume
ALKYLAMINE,2026-03-02 09:15:00,1417.0,1475.0,1416.9,1450.5,3229
ALKYLAMINE,2026-03-02 09:16:00,1453.0,1458.7,1443.4,1448.9,416
ALKYLAMINE,2026-03-02 09:17:00,1448.9,1461.1,1448.9,1457.5,367
ALKYLAMINE,2026-03-02 09:18:00,1457.5,1457.5,1456.1,1456.3,134
ALKYLAMINE,2026-03-02 09:19:00,1456.3,1456.6,1451.1,1455.1,190
ALKYLAMINE,2026-03-02 09:20:00,1455.1,1462.1,1455.1,1459.9,285
ALKYLAMINE,2026-03-02 09:21:00,1457.9,1457.9,1450.9,1451.7,362
ALKYLAMINE,2026-03-02 09:22:00,1451.7,1453.8,1451.7,1453.0,284
ALKYLAMINE,2026-03-02 09:23:00,1454.3,1454.3,1451.0,1452.5,103
ALKYLAMINE,2026-03-02 09:24:00,1452.5,1453.2,1448.8,1451.1,374
ALKYLAMINE,2026-03-02 09:25:00,1451.1,1451.8,1446.0,1446.0,243
ALKYLAMINE,2026-03-02 09:26:00,1446.5,1449.4,1445.1,1449.4,94
ALKYLAMINE,2026-03-02 09:27:00,1451.0,1454.9,1448.4,1453.7,430
ALKYLAMINE,2026-03-02 09:28:00,1454.3,1455.1,1450.1,1454.2,513
ALKYLAMINE,2026-03-02 09:29:00,1454.2,1455.6,1451.4,1451.5,263
ALKYLAMINE,2026-03-02 09:30:00,1451.5,1453.9,1450.8,1450.8,152
ALKYLAMINE,2026-03-02 09:31:00,1450.8,1452.9,1450.8,1452.5,17
ALKYLAMINE,2026-03-02 09:32:00,1452.5,1452.7,1450.8,1452.5,31
ALKYLAMINE,2026-03-02 09:33:00,1452.5,1452.9,1450.4,1452.9,85
ALKYLAMINE,2026-03-02 09:34:00,1453.0,1453.0,1451.2,1451.2,168
ALKYLAMINE,2026-03-02 09:35:00,1451.2,1451.2,1448.1,1449.5,129
ALKYLAMINE,2026-03-02 09:36:00,1449.5,1451.8,1448.1,1448.3,139
ALKYLAMINE,2026-03-02 09:37:00,1448.3,1449.6,1446.7,1447.9,107
ALKYLAMINE,2026-03-02 09:38:00,1446.7,1451.0,1445.1,1449.5,961
ALKYLAMINE,2026-03-02 09:39:00,1449.5,1449.5,1449.5,1449.5,0
ALKYLAMINE,2026-03-02 09:40:00,1449.5,1452.0,1448.0,1448.0,196
ALKYLAMINE,2026-03-02 09:41:00,1442.7,1449.1,1442.7,1449.1,122
ALKYLAMINE,2026-03-02 09:42:00,1448.5,1448.6,1447.1,1448.3,11
ALKYLAMINE,2026-03-02 09:43:00,1448.3,1449.1,1448.3,1448.9,16
ALKYLAMINE,2026-03-02 09:44:00,1447.7,1451.5,1447.7,1451.0,208
ALKYLAMINE,2026-03-02 09:45:00,1452.1,1452.7,1452.1,1452.1,62
ALKYLAMINE,2026-03-02 09:46:00,1452.7,1452.7,1451.1,1451.7,10
ALKYLAMINE,2026-03-02 09:47:00,1451.7,1451.7,1450.9,1450.9,37
ALKYLAMINE,2026-03-02 09:48:00,1452.0,1455.0,1452.0,1455.0,368
ALKYLAMINE,2026-03-02 09:49:00,1455.0,1455.0,1452.0,1452.5,154
ALKYLAMINE,2026-03-02 09:50:00,1452.5,1454.5,1452.5,1453.3,88
ALKYLAMINE,2026-03-02 09:51:00,1453.3,1454.4,1453.3,1454.4,1
ALKYLAMINE,2026-03-02 09:52:00,1454.4,1456.9,1452.5,1452.5,197
ALKYLAMINE,2026-03-02 09:53:00,1452.5,1453.8,1452.5,1453.5,3
ALKYLAMINE,2026-03-02 09:54:00,1453.5,1453.5,1450.2,1451.5,125
ALKYLAMINE,2026-03-02 09:55:00,1452.3,1452.3,1452.3,1452.3,25
ALKYLAMINE,2026-03-02 09:56:00,1452.7,1452.7,1452.7,1452.7,1
ALKYLAMINE,2026-03-02 09:57:00,1452.7,1453.5,1452.7,1453.5,46
ALKYLAMINE,2026-03-02 09:58:00,1453.5,1454.2,1453.5,1454.2,18
ALKYLAMINE,2026-03-02 09:59:00,1454.2,1454.2,1452.8,1452.8,37
ALKYLAMINE,2026-03-02 10:00:00,1452.8,1452.8,1452.1,1452.3,102
ALKYLAMINE,2026-03-02 10:01:00,1452.3,1452.3,1451.8,1451.8,25
ALKYLAMINE,2026-03-02 10:02:00,1451.8,1453.2,1451.8,1453.1,2
ALKYLAMINE,2026-03-02 10:03:00,1452.4,1452.4,1450.0,1450.0,93
ALKYLAMINE,2026-03-02 10:04:00,1450.0,1451.5,1449.0,1449.0,147
ALKYLAMINE,2026-03-02 10:05:00,1447.1,1448.9,1447.0,1447.0,139
