tradingsymbol,datetime,open,high,low,close,volume
APLLTD,2026-03-02 09:15:00,700.0,700.0,691.25,695.55,1956
APLLTD,2026-03-02 09:16:00,695.75,698.75,692.85,698.75,1242
APLLTD,2026-03-02 09:17:00,698.75,698.75,697.0,697.65,658
APLLTD,2026-03-02 09:18:00,697.65,698.8,694.75,695.05,1039
APLLTD,2026-03-02 09:19:00,696.25,698.15,696.15,698.15,575
APLLTD,2026-03-02 09:20:00,698.85,700.45,698.0,699.3,297
APLLTD,2026-03-02 09:21:00,699.3,699.65,698.0,699.65,81
APLLTD,2026-03-02 09:22:00,700.0,700.0,698.4,699.6,305
APLLTD,2026-03-02 09:23:00,698.6,700.0,698.6,700.0,576
APLLTD,2026-03-02 09:24:00,699.95,702.25,699.65,702.25,984
APLLTD,2026-03-02 09:25:00,702.25,702.25,700.45,700.45,112
APLLTD,2026-03-02 09:26:00,700.45,700.8,699.05,699.55,469
APLLTD,2026-03-02 09:27:00,699.6,701.3,699.3,701.3,61
APLLTD,2026-03-02 09:28:00,701.3,701.6,700.6,700.6,356
APLLTD,2026-03-02 09:29:00,700.6,700.6,699.85,699.95,111
APLLTD,2026-03-02 09:30:00,699.95,700.95,699.3,700.95,60
APLLTD,2026-03-02 09:31:00,700.95,701.55,700.95,700.95,24
APLLTD,2026-03-02 09:32:00,700.95,701.5,700.9,701.05,55
APLLTD,2026-03-02 09:33:00,701.05,701.55,701.05,701.55,65
APLLTD,2026-03-02 09:34:00,701.55,701.7,701.35,701.35,275
APLLTD,2026-03-02 09:35:00,701.35,701.8,701.0,701.0,119
APLLTD,2026-03-02 09:36:00,701.0,701.45,701.0,701.0,51
APLLTD,2026-03-02 09:37:00,701.0,701.0,700.5,700.9,10
APLLTD,2026-03-02 09:38:00,700.9,700.9,699.6,700.85,101
APLLTD,2026-03-02 09:39:00,701.0,701.0,700.0,700.0,28
APLLTD,2026-03-02 09:40:00,700.0,700.85,699.0,699.0,245
APLLTD,2026-03-02 09:41:00,699.0,699.85,699.0,699.75,23
APLLTD,2026-03-02 09:42:00,699.55,699.55,699.55,699.55,8
APLLTD,2026-03-02 09:43:00,699.55,701.7,699.55,701.7,21
APLLTD,2026-03-02 09:44:00,701.8,704.4,701.15,703.9,1681
APLLTD,2026-03-02 09:45:00,703.9,704.2,700.1,700.1,477
APLLTD,2026-03-02 09:46:00,700.45,700.85,700.45,700.85,27
APLLTD,2026-03-02 09:47:00,700.95,701.05,700.1,700.5,680
APLLTD,2026-03-02 09:48:00,700.5,702.7,700.5,702.7,27
APLLTD,2026-03-02 09:49:00,702.7,702.7,700.95,701.7,86
APLLTD,2026-03-02 09:50:00,700.95,701.8,700.95,701.8,22
APLLTD,2026-03-02 09:51:00,701.8,701.8,701.2,701.75,13
APLLTD,2026-03-02 09:52:00,701.85,702.35,701.85,702.35,8
APLLTD,2026-03-02 09:53:00,701.25,701.85,701.25,701.4,26
APLLTD,2026-03-02 09:54:00,701.0,702.3,701.0,701.8,212
APLLTD,2026-03-02 09:55:00,701.8,701.8,701.05,701.05,10
APLLTD,2026-03-02 09:56:00,701.05,702.1,701.0,701.55,79
APLLTD,2026-03-02 09:57:00,701.55,702.0,701.55,701.55,26
APLLTD,2026-03-02 09:58:00,701.55,701.55,697.55,697.55,3292
APLLTD,2026-03-02 09:59:00,697.55,700.9,697.55,700.9,220
APLLTD,2026-03-02 10:00:00,700.9,700.9,700.35,700.35,111
APLLTD,2026-03-02 10:01:00,700.35,700.6,700.35,700.6,12
APLLTD,2026-03-02 10:02:00,700.6,700.6,698.75,698.75,86
APLLTD,2026-03-02 10:03:00,698.8,700.25,698.8,700.0,32
APLLTD,2026-03-02 10:04:00,700.0,700.0,697.05,697.05,445
APLLTD,2026-03-02 10:05:00,697.85,699.0,697.85,698.3,202
APLLTD,2026-03-02 10:06:00,698.3,698.3,697.65,698.3,146
APLLTD,2026-03-02 10:07:00,698.3,698.3,697.55,697.75,1179
