tradingsymbol,datetime,open,high,low,close,volume
CENTURYPLY,2026-03-02 09:15:00,701.15,722.85,701.15,719.0,394
CENTURYPLY,2026-03-02 09:16:00,714.65,719.95,713.9,716.15,403
CENTURYPLY,2026-03-02 09:17:00,716.2,720.65,716.2,720.65,164
CENTURYPLY,2026-03-02 09:18:00,718.25,721.9,718.25,720.8,453
CENTURYPLY,2026-03-02 09:19:00,720.8,722.0,719.5,720.2,138
CENTURYPLY,2026-03-02 09:20:00,720.2,725.3,720.2,723.45,478
CENTURYPLY,2026-03-02 09:21:00,724.9,724.9,722.8,722.9,262
CENTURYPLY,2026-03-02 09:22:00,724.2,724.2,722.25,723.8,127
CENTURYPLY,2026-03-02 09:23:00,723.8,723.8,720.8,722.05,143
CENTURYPLY,2026-03-02 09:24:00,720.8,723.8,720.8,723.65,229
CENTURYPLY,2026-03-02 09:25:00,723.65,724.5,722.6,723.8,81
CENTURYPLY,2026-03-02 09:26:00,723.8,724.9,722.35,724.7,135
CENTURYPLY,2026-03-02 09:27:00,724.7,728.3,724.7,728.3,394
CENTURYPLY,2026-03-02 09:28:00,728.0,729.45,724.9,725.8,222
CENTURYPLY,2026-03-02 09:29:00,725.9,725.9,724.65,725.3,105
CENTURYPLY,2026-03-02 09:30:00,725.3,725.3,725.0,725.0,1
CENTURYPLY,2026-03-02 09:31:00,725.4,725.4,724.15,724.15,27
CENTURYPLY,2026-03-02 09:32:00,724.15,724.15,724.15,724.15,0
CENTURYPLY,2026-03-02 09:33:00,724.15,725.75,724.15,725.75,10
CENTURYPLY,2026-03-02 09:34:00,725.75,725.75,725.6,725.6,42
CENTURYPLY,2026-03-02 09:35:00,725.6,725.75,725.6,725.75,17
CENTURYPLY,2026-03-02 09:36:00,725.75,726.0,724.9,724.9,38
CENTURYPLY,2026-03-02 09:37:00,726.0,726.0,725.6,725.6,38
CENTURYPLY,2026-03-02 09:38:00,725.95,725.95,725.8,725.8,3
CENTURYPLY,2026-03-02 09:39:00,724.75,724.75,724.75,724.75,2
CENTURYPLY,2026-03-02 09:40:00,724.75,724.75,724.75,724.75,3
CENTURYPLY,2026-03-02 09:41:00,724.7,726.35,724.5,726.35,29
CENTURYPLY,2026-03-02 09:42:00,726.35,727.05,726.35,727.05,319
CENTURYPLY,2026-03-02 09:43:00,727.05,727.05,727.05,727.05,68
CENTURYPLY,2026-03-02 09:44:00,727.85,728.0,727.85,728.0,104
CENTURYPLY,2026-03-02 09:45:00,728.0,728.3,727.2,728.3,55
CENTURYPLY,2026-03-02 09:46:00,727.35,728.0,727.35,728.0,69
CENTURYPLY,2026-03-02 09:47:00,726.65,726.65,726.65,726.65,76
CENTURYPLY,2026-03-02 09:48:00,726.8,727.6,726.8,727.6,18
CENTURYPLY,2026-03-02 09:49:00,727.6,728.35,726.65,726.65,266
CENTURYPLY,2026-03-02 09:50:00,726.65,727.6,726.65,727.6,20
CENTURYPLY,2026-03-02 09:51:00,727.6,727.6,726.05,726.3,61
CENTURYPLY,2026-03-02 09:52:00,726.3,727.65,726.3,727.65,32
CENTURYPLY,2026-03-02 09:53:00,727.65,727.65,726.4,726.4,3
CENTURYPLY,2026-03-02 09:54:00,725.65,726.45,725.65,726.45,37
CENTURYPLY,2026-03-02 09:55:00,726.45,727.4,725.45,727.4,256
CENTURYPLY,2026-03-02 09:56:00,727.2,727.55,726.0,727.55,13
CENTURYPLY,2026-03-02 09:57:00,727.55,727.55,726.8,727.2,186
CENTURYPLY,2026-03-02 09:58:00,727.2,727.7,726.65,726.65,57
CENTURYPLY,2026-03-02 09:59:00,726.65,728.4,726.4,728.4,400
CENTURYPLY,2026-03-02 10:00:00,728.4,729.1,728.15,728.15,2
CENTURYPLY,2026-03-02 10:01:00,728.15,728.55,727.8,727.8,6
CENTURYPLY,2026-03-02 10:02:00,727.65,728.45,727.65,728.45,26
CENTURYPLY,2026-03-02 10:03:00,728.45,728.45,726.3,727.4,79
CENTURYPLY,2026-03-02 10:04:00,727.4,728.4,727.35,727.7,318
CENTURYPLY,2026-03-02 10:05:00,727.7,727.7,726.3,726.3,5
CENTURYPLY,2026-03-02 10:06:00,726.3,726.3,726.3,726.3,0
CENTURYPLY,2026-03-02 10:07:00,726.3,726.3,726.3,726.3,0
CENTURYPLY,2026-03-02 10:08:00,726.3,728.1,726.3,727.0,2
CENTURYPLY,2026-03-02 10:09:00,727.0,727.65,726.5,727.65,57
CENTURYPLY,2026-03-02 10:10:00,727.0,727.0,727.0,727.0,8
CENTURYPLY,2026-03-02 10:11:00,727.0,727.0,724.5,724.5,549
CENTURYPLY,2026-03-02 10:12:00,725.15,725.45,725.15,725.45,368
CENTURYPLY,2026-03-02 10:13:00,725.45,725.45,724.6,724.6,5
CENTURYPLY,2026-03-02 10:14:00,724.15,724.15,724.15,724.15,17
CENTURYPLY,2026-03-02 10:15:00,724.15,724.35,723.9,723.9,97
CENTURYPLY,2026-03-02 10:16:00,723.9,723.9,723.9,723.9,10
CENTURYPLY,2026-03-02 10:17:00,723.9,723.9,723.15,723.15,3
CENTURYPLY,2026-03-02 10:18:00,723.15,723.5,723.15,723.5,2
CENTURYPLY,2026-03-02 10:19:00,723.5,728.3,723.5,728.3,1193
