tradingsymbol,datetime,open,high,low,close,volume
JYOTHYLAB,2026-03-02 09:15:00,240.1,248.4,240.1,245.9,9772
JYOTHYLAB,2026-03-02 09:16:00,245.6,245.6,242.6,243.35,9575
JYOTHYLAB,2026-03-02 09:17:00,243.1,244.85,243.1,244.85,4388
JYOTHYLAB,2026-03-02 09:18:00,244.9,245.0,243.9,244.25,3782
JYOTHYLAB,2026-03-02 09:19:00,244.4,244.4,243.75,244.0,2059
JYOTHYLAB,2026-03-02 09:20:00,244.0,244.75,243.75,244.75,2517
JYOTHYLAB,2026-03-02 09:21:00,244.85,245.4,244.55,245.0,3641
JYOTHYLAB,2026-03-02 09:22:00,245.0,245.4,244.85,245.25,1083
JYOTHYLAB,2026-03-02 09:23:00,245.15,245.25,244.85,244.85,2692
JYOTHYLAB,2026-03-02 09:24:00,244.85,246.1,244.7,245.75,7648
JYOTHYLAB,2026-03-02 09:25:00,246.0,246.7,246.0,246.4,2253
JYOTHYLAB,2026-03-02 09:26:00,246.45,247.5,246.3,247.5,3551
JYOTHYLAB,2026-03-02 09:27:00,247.5,247.8,247.0,247.55,3368
JYOTHYLAB,2026-03-02 09:28:00,247.15,247.5,247.0,247.5,692
JYOTHYLAB,2026-03-02 09:29:00,247.5,247.5,246.8,247.35,2215
JYOTHYLAB,2026-03-02 09:30:00,247.15,247.8,247.15,247.75,327
JYOTHYLAB,2026-03-02 09:31:00,247.5,247.8,247.45,247.45,1055
JYOTHYLAB,2026-03-02 09:32:00,247.4,247.65,247.2,247.65,443
JYOTHYLAB,2026-03-02 09:33:00,247.6,247.95,247.4,247.95,760
JYOTHYLAB,2026-03-02 09:34:00,247.9,247.9,247.6,247.6,1081
JYOTHYLAB,2026-03-02 09:35:00,247.75,247.9,246.95,247.45,5347
JYOTHYLAB,2026-03-02 09:36:00,247.45,248.3,247.45,248.15,3016
JYOTHYLAB,2026-03-02 09:37:00,248.35,248.85,247.95,248.7,2681
JYOTHYLAB,2026-03-02 09:38:00,248.8,248.8,248.5,248.6,1071
JYOTHYLAB,2026-03-02 09:39:00,248.7,248.85,248.7,248.8,1239
JYOTHYLAB,2026-03-02 09:40:00,248.8,249.05,248.7,248.7,1437
JYOTHYLAB,2026-03-02 09:41:00,248.7,249.1,248.5,249.0,479
JYOTHYLAB,2026-03-02 09:42:00,248.75,248.85,248.7,248.85,1671
JYOTHYLAB,2026-03-02 09:43:00,248.85,249.0,248.8,248.8,162
JYOTHYLAB,2026-03-02 09:44:00,249.0,249.15,249.0,249.15,1996
JYOTHYLAB,2026-03-02 09:45:00,249.2,249.2,249.1,249.2,503
JYOTHYLAB,2026-03-02 09:46:00,249.3,249.65,249.3,249.65,6017
JYOTHYLAB,2026-03-02 09:47:00,249.65,249.85,249.5,249.65,423
JYOTHYLAB,2026-03-02 09:48:00,249.85,250.6,249.85,250.25,13229
JYOTHYLAB,2026-03-02 09:49:00,250.25,250.3,250.0,250.2,11016
JYOTHYLAB,2026-03-02 09:50:00,250.15,250.4,250.05,250.4,1372
JYOTHYLAB,2026-03-02 09:51:00,250.4,250.4,250.1,250.4,191
