tradingsymbol,datetime,open,high,low,close,volume
MANYAVAR,2026-03-02 09:15:00,380.0,382.85,380.0,380.0,1788
MANYAVAR,2026-03-02 09:16:00,380.4,380.85,378.05,378.75,6744
MANYAVAR,2026-03-02 09:17:00,378.0,379.5,378.0,379.1,4208
MANYAVAR,2026-03-02 09:18:00,379.1,379.25,378.15,378.35,2955
MANYAVAR,2026-03-02 09:19:00,378.9,379.25,377.8,379.2,2188
MANYAVAR,2026-03-02 09:20:00,380.2,380.8,380.2,380.65,2364
MANYAVAR,2026-03-02 09:21:00,380.55,381.4,380.0,380.05,2933
MANYAVAR,2026-03-02 09:22:00,380.6,381.45,380.6,381.15,828
MANYAVAR,2026-03-02 09:23:00,381.15,381.55,380.8,381.2,694
MANYAVAR,2026-03-02 09:24:00,381.3,382.0,381.0,382.0,1387
MANYAVAR,2026-03-02 09:25:00,382.0,382.0,381.35,381.8,1717
MANYAVAR,2026-03-02 09:26:00,381.8,382.15,380.7,382.0,1682
MANYAVAR,2026-03-02 09:27:00,382.0,382.85,381.85,382.4,684
MANYAVAR,2026-03-02 09:28:00,382.85,382.85,382.35,382.8,133
MANYAVAR,2026-03-02 09:29:00,382.75,382.75,381.5,381.6,615
MANYAVAR,2026-03-02 09:30:00,381.6,383.0,381.6,382.55,1428
MANYAVAR,2026-03-02 09:31:00,382.55,383.65,382.4,383.2,633
MANYAVAR,2026-03-02 09:32:00,383.2,383.7,383.0,383.5,1343
MANYAVAR,2026-03-02 09:33:00,383.7,383.95,383.45,383.6,1107
MANYAVAR,2026-03-02 09:34:00,383.6,384.0,383.3,383.7,2001
MANYAVAR,2026-03-02 09:35:00,383.7,383.7,383.2,383.25,173
MANYAVAR,2026-03-02 09:36:00,383.25,385.8,383.25,384.8,8066
MANYAVAR,2026-03-02 09:37:00,384.85,384.85,384.25,384.65,629
MANYAVAR,2026-03-02 09:38:00,384.65,384.7,384.35,384.7,950
MANYAVAR,2026-03-02 09:39:00,384.7,384.9,384.5,384.9,504
MANYAVAR,2026-03-02 09:40:00,384.9,384.9,384.0,384.0,2503
MANYAVAR,2026-03-02 09:41:00,384.2,384.55,384.2,384.25,195
MANYAVAR,2026-03-02 09:42:00,384.25,384.4,384.0,384.0,60
MANYAVAR,2026-03-02 09:43:00,384.0,384.0,381.5,381.9,3569
MANYAVAR,2026-03-02 09:44:00,382.25,383.15,382.25,383.15,8901
MANYAVAR,2026-03-02 09:45:00,382.8,384.0,382.8,384.0,6216
MANYAVAR,2026-03-02 09:46:00,384.0,385.5,384.0,385.5,19062
MANYAVAR,2026-03-02 09:47:00,385.5,388.1,385.35,387.5,13350
MANYAVAR,2026-03-02 09:48:00,387.5,388.8,387.5,388.35,4066
MANYAVAR,2026-03-02 09:49:00,388.35,388.35,387.5,387.85,4605
MANYAVAR,2026-03-02 09:50:00,387.85,388.15,386.7,386.7,958
MANYAVAR,2026-03-02 09:51:00,386.7,386.95,386.6,386.6,602
MANYAVAR,2026-03-02 09:52:00,387.35,388.0,386.95,386.95,959
MANYAVAR,2026-03-02 09:53:00,387.2,387.75,387.2,387.2,1228
MANYAVAR,2026-03-02 09:54:00,387.05,388.0,387.05,387.55,1637
MANYAVAR,2026-03-02 09:55:00,387.95,388.0,387.6,387.7,1324
MANYAVAR,2026-03-02 09:56:00,388.0,388.0,387.7,388.0,3269
MANYAVAR,2026-03-02 09:57:00,388.0,391.85,387.6,391.85,6851
MANYAVAR,2026-03-02 09:58:00,392.85,393.0,390.4,390.4,3530
MANYAVAR,2026-03-02 09:59:00,390.4,391.0,389.95,390.4,1141
MANYAVAR,2026-03-02 10:00:00,390.4,390.4,389.65,390.4,899
MANYAVAR,2026-03-02 10:01:00,390.4,390.4,388.6,388.6,2197
MANYAVAR,2026-03-02 10:02:00,388.6,388.8,387.7,387.7,1615
MANYAVAR,2026-03-02 10:03:00,387.7,388.6,387.7,388.6,135
MANYAVAR,2026-03-02 10:04:00,388.6,388.6,388.0,388.0,168
MANYAVAR,2026-03-02 10:05:00,388.0,388.2,388.0,388.2,391
MANYAVAR,2026-03-02 10:06:00,388.45,388.6,387.6,388.25,1299
MANYAVAR,2026-03-02 10:07:00,388.35,388.35,384.9,384.9,11721
MANYAVAR,2026-03-02 10:08:00,384.95,385.0,384.3,384.9,479
MANYAVAR,2026-03-02 10:09:00,384.9,385.0,384.9,385.0,5525
MANYAVAR,2026-03-02 10:10:00,385.0,385.0,384.25,384.25,2155
MANYAVAR,2026-03-02 10:11:00,384.0,384.3,383.5,383.8,1981
MANYAVAR,2026-03-02 10:12:00,383.8,384.2,383.8,383.85,625
MANYAVAR,2026-03-02 10:13:00,384.4,384.55,384.1,384.1,92
MANYAVAR,2026-03-02 10:14:00,384.1,384.4,383.8,384.3,914
MANYAVAR,2026-03-02 10:15:00,384.45,384.75,384.2,384.35,465
MANYAVAR,2026-03-02 10:16:00,384.0,384.0,383.65,383.95,206
MANYAVAR,2026-03-02 10:17:00,383.95,384.65,383.95,384.2,520
MANYAVAR,2026-03-02 10:18:00,384.6,384.7,384.4,384.4,260
MANYAVAR,2026-03-02 10:19:00,384.4,384.75,384.4,384.75,434
MANYAVAR,2026-03-02 10:20:00,384.75,384.75,384.0,384.0,1011
MANYAVAR,2026-03-02 10:21:00,384.0,384.3,384.0,384.3,1303
MANYAVAR,2026-03-02 10:22:00,384.3,384.3,383.85,384.15,140
MANYAVAR,2026-03-02 10:23:00,384.15,385.0,384.15,385.0,4530
MANYAVAR,2026-03-02 10:24:00,385.0,385.0,384.25,385.0,1759
MANYAVAR,2026-03-02 10:25:00,385.0,385.0,384.1,384.1,3587
MANYAVAR,2026-03-02 10:26:00,384.1,385.0,384.1,385.0,336
MANYAVAR,2026-03-02 10:27:00,385.0,385.0,384.75,384.75,62
MANYAVAR,2026-03-02 10:28:00,384.75,384.75,384.5,384.6,4
MANYAVAR,2026-03-02 10:29:00,384.5,384.5,384.25,384.35,4445
MANYAVAR,2026-03-02 10:30:00,384.3,384.3,383.75,384.0,1058
MANYAVAR,2026-03-02 10:31:00,384.0,384.35,384.0,384.35,159
MANYAVAR,2026-03-02 10:32:00,384.2,384.55,384.2,384.2,138
MANYAVAR,2026-03-02 10:33:00,384.2,384.5,384.15,384.15,10
MANYAVAR,2026-03-02 10:34:00,384.15,384.15,384.15,384.15,0
MANYAVAR,2026-03-02 10:35:00,384.6,384.6,384.4,384.4,40
MANYAVAR,2026-03-02 10:36:00,384.4,384.4,384.35,384.35,3
MANYAVAR,2026-03-02 10:37:00,384.35,384.75,384.35,384.55,21
MANYAVAR,2026-03-02 10:38:00,384.55,384.6,384.3,384.3,1143
MANYAVAR,2026-03-02 10:39:00,384.3,384.3,384.3,384.3,0
MANYAVAR,2026-03-02 10:40:00,384.3,384.3,384.3,384.3,366
MANYAVAR,2026-03-02 10:41:00,384.3,384.5,384.3,384.5,1
MANYAVAR,2026-03-02 10:42:00,384.5,384.75,384.45,384.45,182
MANYAVAR,2026-03-02 10:43:00,384.45,384.5,383.9,383.9,2905
MANYAVAR,2026-03-02 10:44:00,383.9,383.9,383.5,383.6,282
MANYAVAR,2026-03-02 10:45:00,383.6,383.6,383.5,383.6,262
MANYAVAR,2026-03-02 10:46:00,383.55,383.55,382.7,382.7,1724
MANYAVAR,2026-03-02 10:47:00,382.7,382.8,382.7,382.7,11
MANYAVAR,2026-03-02 10:48:00,382.7,383.0,382.7,382.7,585
MANYAVAR,2026-03-02 10:49:00,382.7,382.7,382.2,382.2,529
MANYAVAR,2026-03-02 10:50:00,382.2,382.65,382.2,382.2,118
MANYAVAR,2026-03-02 10:51:00,382.2,383.3,382.2,383.3,88
MANYAVAR,2026-03-02 10:52:00,383.3,383.3,382.75,382.75,288
MANYAVAR,2026-03-02 10:53:00,382.75,383.2,382.75,382.95,40
MANYAVAR,2026-03-02 10:54:00,382.55,382.7,382.55,382.65,155
MANYAVAR,2026-03-02 10:55:00,382.65,383.6,382.65,383.6,640
MANYAVAR,2026-03-02 10:56:00,383.6,384.05,383.6,383.85,1856
MANYAVAR,2026-03-02 10:57:00,383.85,383.85,383.6,383.6,241
MANYAVAR,2026-03-02 10:58:00,383.6,384.05,383.6,384.05,418
MANYAVAR,2026-03-02 10:59:00,384.05,384.25,384.05,384.25,5
