tradingsymbol,datetime,open,high,low,close,volume
SCHNEIDER,2026-03-02 09:15:00,865.0,880.0,861.15,861.15,4042
SCHNEIDER,2026-03-02 09:16:00,874.9,883.7,874.9,879.0,5112
SCHNEIDER,2026-03-02 09:17:00,875.5,888.4,866.0,880.0,3981
SCHNEIDER,2026-03-02 09:18:00,879.95,889.75,879.95,880.9,2003
SCHNEIDER,2026-03-02 09:19:00,880.9,880.9,879.95,879.95,1163
SCHNEIDER,2026-03-02 09:20:00,881.0,887.6,870.25,887.5,3326
SCHNEIDER,2026-03-02 09:21:00,887.5,887.5,885.0,885.0,891
SCHNEIDER,2026-03-02 09:22:00,885.0,887.5,885.0,887.5,1592
SCHNEIDER,2026-03-02 09:23:00,887.5,887.5,880.0,880.0,2346
SCHNEIDER,2026-03-02 09:24:00,880.6,885.8,880.0,885.8,518
SCHNEIDER,2026-03-02 09:25:00,884.0,887.1,880.0,880.0,2166
SCHNEIDER,2026-03-02 09:26:00,881.55,881.55,870.0,880.0,783
SCHNEIDER,2026-03-02 09:27:00,880.0,880.0,866.0,866.0,2807
SCHNEIDER,2026-03-02 09:28:00,866.0,880.0,866.0,880.0,1614
SCHNEIDER,2026-03-02 09:29:00,880.0,884.8,879.9,884.8,2796
SCHNEIDER,2026-03-02 09:30:00,884.8,884.8,880.0,880.0,1354
SCHNEIDER,2026-03-02 09:31:00,880.0,886.0,879.9,886.0,200
SCHNEIDER,2026-03-02 09:32:00,880.0,887.0,879.9,884.0,857
SCHNEIDER,2026-03-02 09:33:00,884.0,889.0,883.05,889.0,394
SCHNEIDER,2026-03-02 09:34:00,888.05,890.0,888.05,888.45,1341
SCHNEIDER,2026-03-02 09:35:00,888.4,888.4,880.0,880.0,1144
SCHNEIDER,2026-03-02 09:36:00,880.1,888.0,880.05,888.0,1499
SCHNEIDER,2026-03-02 09:37:00,881.3,888.0,881.3,888.0,2486
SCHNEIDER,2026-03-02 09:38:00,888.0,889.95,888.0,888.0,1034
SCHNEIDER,2026-03-02 09:39:00,888.0,890.0,885.0,885.0,2497
SCHNEIDER,2026-03-02 09:40:00,885.0,886.0,885.0,886.0,24
SCHNEIDER,2026-03-02 09:41:00,886.0,886.0,886.0,886.0,423
SCHNEIDER,2026-03-02 09:42:00,886.0,889.95,885.0,886.0,1743
SCHNEIDER,2026-03-02 09:43:00,886.0,890.0,885.0,885.0,639
SCHNEIDER,2026-03-02 09:44:00,886.0,891.0,886.0,886.4,1241
SCHNEIDER,2026-03-02 09:45:00,886.4,894.0,886.4,894.0,368
SCHNEIDER,2026-03-02 09:46:00,894.0,895.0,887.1,887.1,213
SCHNEIDER,2026-03-02 09:47:00,887.1,887.1,885.0,885.0,596
