tradingsymbol,datetime,open,high,low,close,volume
VGUARD,2026-03-02 09:15:00,293.25,300.0,290.0,299.3,7005
VGUARD,2026-03-02 09:16:00,299.25,304.1,297.55,303.1,7846
VGUARD,2026-03-02 09:17:00,304.0,304.6,301.6,301.6,2067
VGUARD,2026-03-02 09:18:00,301.75,302.6,301.15,302.2,1040
VGUARD,2026-03-02 09:19:00,302.35,302.4,301.5,302.2,1930
VGUARD,2026-03-02 09:20:00,301.5,302.65,301.5,301.75,2912
VGUARD,2026-03-02 09:21:00,301.75,301.75,300.5,301.15,4041
VGUARD,2026-03-02 09:22:00,300.1,300.7,298.3,298.3,3186
VGUARD,2026-03-02 09:23:00,299.2,301.15,298.45,301.15,5075
VGUARD,2026-03-02 09:24:00,301.2,301.65,300.3,301.25,2876
VGUARD,2026-03-02 09:25:00,301.3,302.75,301.25,302.25,3158
VGUARD,2026-03-02 09:26:00,301.9,302.15,301.25,301.7,4462
VGUARD,2026-03-02 09:27:00,301.8,302.8,301.45,302.2,1391
VGUARD,2026-03-02 09:28:00,302.3,304.4,302.3,303.7,1916
VGUARD,2026-03-02 09:29:00,303.95,304.55,303.15,303.15,1123
VGUARD,2026-03-02 09:30:00,303.15,303.45,302.6,302.85,1169
VGUARD,2026-03-02 09:31:00,302.8,304.05,302.55,303.4,816
VGUARD,2026-03-02 09:32:00,303.75,303.75,302.55,302.55,1254
VGUARD,2026-03-02 09:33:00,302.55,304.5,302.55,303.55,3310
VGUARD,2026-03-02 09:34:00,303.7,303.7,302.8,303.2,834
VGUARD,2026-03-02 09:35:00,303.55,304.1,303.45,303.45,518
VGUARD,2026-03-02 09:36:00,303.45,303.85,303.1,303.1,759
VGUARD,2026-03-02 09:37:00,303.1,303.35,303.0,303.0,2368
VGUARD,2026-03-02 09:38:00,303.0,303.65,302.75,303.3,1357
VGUARD,2026-03-02 09:39:00,303.5,303.95,303.0,303.0,1203
VGUARD,2026-03-02 09:40:00,303.5,304.15,303.2,303.6,507
VGUARD,2026-03-02 09:41:00,303.6,305.35,303.2,303.6,1989
VGUARD,2026-03-02 09:42:00,303.6,304.55,303.0,304.5,2643
VGUARD,2026-03-02 09:43:00,304.5,304.95,304.1,304.95,820
VGUARD,2026-03-02 09:44:00,304.65,305.25,304.35,304.85,1367
VGUARD,2026-03-02 09:45:00,304.6,304.75,304.05,304.2,821
VGUARD,2026-03-02 09:46:00,304.05,304.3,303.45,303.8,708
VGUARD,2026-03-02 09:47:00,303.8,305.0,303.65,304.75,1178
