datetime,open,high,low,close,volume
2026-03-02 09:15:00,442.05,451.1,442.05,449.1,8268
2026-03-02 09:16:00,449.5,452.0,449.2,449.2,22659
2026-03-02 09:17:00,449.4,450.45,449.0,449.45,9130
2026-03-02 09:18:00,449.4,450.9,449.4,450.9,11091
2026-03-02 09:19:00,451.35,452.1,451.35,452.1,4250
2026-03-02 09:20:00,451.55,452.95,451.55,452.25,11697
2026-03-02 09:21:00,452.0,454.2,452.0,454.2,32022
2026-03-02 09:22:00,454.05,454.05,453.0,453.0,3651
2026-03-02 09:23:00,453.0,453.0,452.0,452.15,5769
2026-03-02 09:24:00,452.15,453.15,452.15,453.15,1442
2026-03-02 09:25:00,453.0,453.65,452.3,453.4,12611
2026-03-02 09:26:00,453.45,453.9,453.05,453.9,4117
2026-03-02 09:27:00,453.85,454.8,453.85,454.55,4067
2026-03-02 09:28:00,454.5,455.0,454.15,454.15,5743
2026-03-02 09:29:00,454.35,454.4,453.4,453.85,2106
2026-03-02 09:30:00,453.85,454.15,452.75,453.5,3336
2026-03-02 09:31:00,453.5,453.5,452.35,452.6,2335
2026-03-02 09:32:00,452.35,452.9,452.0,452.65,3233
2026-03-02 09:33:00,452.65,454.05,452.65,453.9,5378
2026-03-02 09:34:00,453.9,454.85,453.4,454.5,7301
2026-03-02 09:35:00,454.5,454.75,454.5,454.55,3151
2026-03-02 09:36:00,454.15,454.65,454.0,454.3,3148
2026-03-02 09:37:00,454.3,454.75,453.95,454.5,9206
2026-03-02 09:38:00,455.6,456.0,455.15,455.25,16645
2026-03-02 09:39:00,455.25,455.25,454.45,455.1,789
2026-03-02 09:40:00,454.95,455.95,454.95,455.5,3781
2026-03-02 09:41:00,455.5,455.95,454.85,455.65,2590
2026-03-02 09:42:00,455.95,455.95,455.2,455.45,1072
2026-03-02 09:43:00,455.6,456.7,455.6,456.7,2045
2026-03-02 09:44:00,455.7,456.65,455.7,456.25,2886
2026-03-02 09:45:00,456.25,456.35,455.7,455.95,2200
2026-03-02 09:46:00,455.85,456.6,455.85,456.6,1178
2026-03-02 09:47:00,456.6,457.0,456.3,456.45,5808
2026-03-02 09:48:00,456.8,457.7,456.8,456.85,4310
2026-03-02 09:49:00,456.85,456.85,456.25,456.35,2624
2026-03-02 09:50:00,456.25,457.0,456.15,456.55,4371
2026-03-02 09:51:00,456.65,456.7,456.1,456.3,489
2026-03-02 09:52:00,456.3,456.75,456.1,456.1,489
2026-03-02 09:53:00,455.5,455.5,455.2,455.45,1125
2026-03-02 09:54:00,455.45,455.45,455.45,455.45,796
2026-03-02 09:55:00,455.45,455.45,455.1,455.4,2918
2026-03-02 09:56:00,455.1,456.0,455.1,455.4,2040
2026-03-02 09:57:00,455.7,456.2,455.25,455.6,2866
2026-03-02 09:58:00,456.05,456.4,455.45,455.45,791
2026-03-02 09:59:00,455.45,455.7,455.4,455.5,440
2026-03-02 10:00:00,455.6,456.85,455.6,456.15,1234
2026-03-02 10:01:00,456.1,456.1,455.25,455.25,1713
2026-03-02 10:02:00,455.25,455.5,455.1,455.3,4487
2026-03-02 10:03:00,455.55,456.45,455.55,455.75,9542
2026-03-02 10:04:00,455.8,456.0,455.45,455.45,974
2026-03-02 10:05:00,455.8,456.0,455.5,455.6,1509
2026-03-02 10:06:00,455.6,455.6,454.8,454.8,2861
2026-03-02 10:07:00,454.8,455.2,454.45,454.45,5487
2026-03-02 10:08:00,454.45,454.8,454.4,454.6,3140
2026-03-02 10:09:00,454.85,455.0,454.4,455.0,1159
2026-03-02 10:10:00,455.0,455.0,454.45,454.55,349
2026-03-02 10:11:00,454.55,454.85,454.35,454.7,6657
2026-03-02 10:12:00,454.7,454.95,454.45,454.75,1526
2026-03-02 10:13:00,454.75,456.0,454.75,455.55,3440
2026-03-02 10:14:00,456.0,456.15,455.6,456.15,6360
2026-03-02 10:15:00,456.45,457.85,455.8,455.85,8722
2026-03-02 10:16:00,456.25,456.55,455.8,455.8,4008
2026-03-02 10:17:00,455.8,455.85,455.3,455.4,1694
2026-03-02 10:18:00,455.4,456.0,455.4,455.7,1632
2026-03-02 10:19:00,455.65,456.0,455.6,456.0,873
2026-03-02 10:20:00,456.0,456.45,455.8,456.15,1799
2026-03-02 10:21:00,456.1,456.65,456.1,456.5,958
2026-03-02 10:22:00,456.6,456.65,456.2,456.4,444
2026-03-02 10:23:00,456.75,457.05,456.55,456.6,646
2026-03-02 10:24:00,456.6,456.6,456.05,456.05,487
2026-03-02 10:25:00,456.05,456.05,455.5,455.65,407
2026-03-02 10:26:00,455.65,456.0,455.4,456.0,2106
2026-03-02 10:27:00,455.85,455.85,454.55,454.55,5962
2026-03-02 10:28:00,454.55,454.75,454.1,454.2,386
2026-03-02 10:29:00,454.1,454.4,454.0,454.0,850
2026-03-02 10:30:00,454.0,454.2,454.0,454.2,1314
2026-03-02 10:31:00,454.0,454.55,454.0,454.55,1451
2026-03-02 10:32:00,454.55,455.0,454.55,454.7,443
2026-03-02 10:33:00,454.7,455.1,454.55,455.1,869
2026-03-02 10:34:00,454.95,455.3,454.55,454.55,162
2026-03-02 10:35:00,454.55,455.15,454.5,455.15,524
2026-03-02 10:36:00,454.9,455.1,454.55,454.6,292
2026-03-02 10:37:00,454.55,455.35,454.45,455.25,1259
2026-03-02 10:38:00,455.25,455.25,455.25,455.25,111
2026-03-02 10:39:00,455.25,455.25,454.5,454.6,443
2026-03-02 10:40:00,454.6,454.9,454.5,454.9,787
2026-03-02 10:41:00,454.9,455.0,454.7,454.75,256
2026-03-02 10:42:00,454.7,455.0,454.5,454.5,265
2026-03-02 10:43:00,454.8,455.0,454.45,455.0,683
2026-03-02 10:44:00,454.95,455.15,454.9,454.9,255
2026-03-02 10:45:00,454.95,454.95,454.7,454.75,541
2026-03-02 10:46:00,454.8,454.8,454.55,454.65,252
2026-03-02 10:47:00,454.45,454.5,454.4,454.4,690
2026-03-02 10:48:00,454.4,454.4,454.0,454.0,4555
2026-03-02 10:49:00,454.0,454.2,454.0,454.0,807
2026-03-02 10:50:00,454.0,454.25,454.0,454.05,772
2026-03-02 10:51:00,454.0,454.25,454.0,454.0,1866
2026-03-02 10:52:00,454.0,454.35,453.8,454.3,5514
2026-03-02 10:53:00,454.6,454.6,453.8,454.25,5684
2026-03-02 10:54:00,454.25,454.55,454.0,454.05,5788
2026-03-02 10:55:00,454.45,454.45,453.95,454.0,1850
2026-03-02 10:56:00,454.0,454.0,453.8,454.0,869
2026-03-02 10:57:00,454.0,454.0,453.25,453.25,7039
2026-03-02 10:58:00,453.25,454.05,453.2,454.05,6601
2026-03-02 10:59:00,454.05,454.05,453.5,453.55,192
2026-03-02 11:00:00,453.55,453.95,453.55,453.55,192
2026-03-02 11:01:00,453.6,453.6,453.5,453.5,428
2026-03-02 11:02:00,453.25,453.75,453.25,453.6,2776
2026-03-02 11:03:00,453.6,454.0,453.6,453.75,168
2026-03-02 11:04:00,453.75,454.0,453.75,453.75,226
2026-03-02 11:05:00,453.75,453.75,453.25,453.3,3006
2026-03-02 11:06:00,453.3,453.55,453.25,453.35,1222
2026-03-02 11:07:00,453.35,453.55,453.25,453.3,471
2026-03-02 11:08:00,453.3,453.45,453.0,453.0,5899
2026-03-02 11:09:00,453.0,453.25,453.0,453.0,314
2026-03-02 11:10:00,453.0,453.0,453.0,453.0,462
2026-03-02 11:11:00,453.0,453.0,452.8,452.8,312
2026-03-02 11:12:00,452.8,452.95,452.8,452.8,663
2026-03-02 11:13:00,452.8,452.95,452.8,452.8,332
2026-03-02 11:14:00,452.8,452.8,452.15,452.5,10761
2026-03-02 11:15:00,452.5,452.55,452.0,452.05,13174
2026-03-02 11:16:00,452.05,452.3,451.95,451.95,6960
2026-03-02 11:17:00,451.8,452.0,451.8,451.8,600
2026-03-02 11:18:00,451.8,452.0,451.6,451.65,265
2026-03-02 11:19:00,451.65,451.8,451.6,451.6,2163
2026-03-02 11:20:00,451.6,451.6,451.0,451.05,4735
2026-03-02 11:21:00,451.05,451.05,450.0,450.05,20747
2026-03-02 11:22:00,450.05,450.6,450.0,450.6,3643
2026-03-02 11:23:00,450.6,450.65,450.4,450.4,1766
2026-03-02 11:24:00,450.4,451.0,450.0,450.3,16059
2026-03-02 11:25:00,450.3,450.8,450.15,450.65,1022
2026-03-02 11:26:00,450.6,450.8,450.6,450.6,146
2026-03-02 11:27:00,450.6,450.85,450.6,450.85,292
2026-03-02 11:28:00,450.65,451.9,450.6,451.9,3830
2026-03-02 11:29:00,451.9,451.9,451.05,451.05,767
