datetime,open,high,low,close,volume
2026-03-02 09:15:00,70.5,72.44,70.31,72.36,823956
2026-03-02 09:16:00,72.43,72.59,72.26,72.31,401629
2026-03-02 09:17:00,72.37,72.44,72.3,72.32,104301
2026-03-02 09:18:00,72.4,72.46,72.34,72.44,271543
2026-03-02 09:19:00,72.58,72.65,72.5,72.63,280857
2026-03-02 09:20:00,72.65,72.75,72.6,72.75,245178
2026-03-02 09:21:00,72.75,72.9,72.72,72.79,465828
2026-03-02 09:22:00,72.82,72.94,72.77,72.89,389658
2026-03-02 09:23:00,72.94,73.0,72.89,72.89,421620
2026-03-02 09:24:00,72.87,72.9,72.8,72.9,534337
2026-03-02 09:25:00,72.9,72.9,72.76,72.84,441296
2026-03-02 09:26:00,72.79,72.96,72.79,72.94,587836
2026-03-02 09:27:00,72.91,73.1,72.91,73.02,646105
2026-03-02 09:28:00,73.07,73.12,72.96,73.12,262214
2026-03-02 09:29:00,73.09,73.16,73.05,73.16,299334
2026-03-02 09:30:00,73.16,73.25,73.12,73.12,149362
2026-03-02 09:31:00,73.16,73.21,73.06,73.21,187030
2026-03-02 09:32:00,73.22,73.22,72.94,72.97,213815
2026-03-02 09:33:00,72.91,73.04,72.91,73.03,132188
2026-03-02 09:34:00,73.09,73.09,72.91,72.95,243626
2026-03-02 09:35:00,72.92,72.95,72.8,72.81,277920
2026-03-02 09:36:00,72.81,72.81,72.65,72.67,263021
2026-03-02 09:37:00,72.77,72.9,72.72,72.9,309935
2026-03-02 09:38:00,72.87,73.07,72.87,72.98,134070
2026-03-02 09:39:00,72.96,73.05,72.96,72.98,475265
2026-03-02 09:40:00,72.97,73.04,72.89,72.89,101615
2026-03-02 09:41:00,72.85,72.98,72.85,72.94,108008
2026-03-02 09:42:00,72.94,72.94,72.82,72.86,178361
2026-03-02 09:43:00,72.89,72.9,72.83,72.9,80780
2026-03-02 09:44:00,72.9,72.93,72.87,72.9,71994
2026-03-02 09:45:00,72.91,72.91,72.68,72.69,202315
2026-03-02 09:46:00,72.65,72.69,72.6,72.67,116129
2026-03-02 09:47:00,72.66,72.7,72.6,72.7,163146
2026-03-02 09:48:00,72.66,72.75,72.66,72.7,156082
2026-03-02 09:49:00,72.69,72.69,72.55,72.61,180508
2026-03-02 09:50:00,72.61,72.61,72.51,72.53,149703
2026-03-02 09:51:00,72.51,72.65,72.5,72.65,114422
2026-03-02 09:52:00,72.7,72.7,72.65,72.68,54665
2026-03-02 09:53:00,72.68,72.68,72.58,72.66,100002
2026-03-02 09:54:00,72.65,72.68,72.58,72.63,79783
2026-03-02 09:55:00,72.6,72.65,72.59,72.65,74885
2026-03-02 09:56:00,72.63,72.69,72.58,72.68,202204
2026-03-02 09:57:00,72.65,72.65,72.59,72.63,89390
2026-03-02 09:58:00,72.6,72.67,72.6,72.63,130056
2026-03-02 09:59:00,72.59,72.64,72.59,72.63,42701
2026-03-02 10:00:00,72.59,72.66,72.59,72.59,109610
2026-03-02 10:01:00,72.59,72.62,72.56,72.6,72718
2026-03-02 10:02:00,72.59,72.6,72.56,72.6,80757
2026-03-02 10:03:00,72.6,72.65,72.59,72.63,79826
