datetime,open,high,low,close,volume
2026-03-02 09:15:00,97.5,101.15,97.2,100.75,441486
2026-03-02 09:16:00,100.64,100.64,99.65,99.65,169075
2026-03-02 09:17:00,99.53,99.67,99.27,99.27,71722
2026-03-02 09:18:00,99.49,99.61,99.2,99.34,165961
2026-03-02 09:19:00,99.39,99.86,99.39,99.76,130965
2026-03-02 09:20:00,99.94,100.1,99.8,99.87,188397
2026-03-02 09:21:00,99.87,99.99,99.74,99.9,156239
2026-03-02 09:22:00,99.83,99.95,99.81,99.9,85512
2026-03-02 09:23:00,99.92,99.92,99.52,99.7,464636
2026-03-02 09:24:00,99.72,100.14,99.71,100.09,287198
2026-03-02 09:25:00,100.09,100.15,99.91,99.95,199392
2026-03-02 09:26:00,99.95,100.18,99.95,100.11,159218
2026-03-02 09:27:00,100.1,100.16,100.04,100.07,84945
2026-03-02 09:28:00,100.1,100.2,99.99,100.19,188030
2026-03-02 09:29:00,100.15,100.24,100.05,100.11,199978
2026-03-02 09:30:00,100.12,100.45,100.1,100.38,72156
2026-03-02 09:31:00,100.38,100.56,100.33,100.53,46884
2026-03-02 09:32:00,100.53,100.75,100.49,100.65,175398
2026-03-02 09:33:00,100.65,100.97,100.64,100.87,169167
2026-03-02 09:34:00,100.98,100.99,100.72,100.74,164699
2026-03-02 09:35:00,100.79,100.79,100.47,100.56,140613
2026-03-02 09:36:00,100.48,100.55,100.31,100.37,295194
2026-03-02 09:37:00,100.36,100.48,100.32,100.39,121512
2026-03-02 09:38:00,100.44,100.61,100.36,100.38,107346
2026-03-02 09:39:00,100.4,100.48,100.3,100.39,59980
2026-03-02 09:40:00,100.38,100.58,100.35,100.35,46185
2026-03-02 09:41:00,100.35,100.7,100.35,100.56,89009
2026-03-02 09:42:00,100.51,100.6,100.4,100.6,45329
2026-03-02 09:43:00,100.57,100.78,100.5,100.77,62380
2026-03-02 09:44:00,100.77,100.99,100.72,100.9,188338
2026-03-02 09:45:00,100.9,100.95,100.8,100.9,73223
2026-03-02 09:46:00,100.85,101.05,100.8,101.05,82073
2026-03-02 09:47:00,101.08,101.33,101.04,101.33,134931
2026-03-02 09:48:00,101.24,101.35,101.22,101.27,108917
2026-03-02 09:49:00,101.25,101.25,101.1,101.13,58319
2026-03-02 09:50:00,101.11,101.11,100.9,100.9,24197
2026-03-02 09:51:00,100.95,101.13,100.84,101.1,49147
2026-03-02 09:52:00,101.13,101.13,100.8,100.8,55930
2026-03-02 09:53:00,100.78,100.81,100.66,100.71,97667
2026-03-02 09:54:00,100.71,100.9,100.71,100.8,69666
2026-03-02 09:55:00,100.78,100.87,100.74,100.82,55797
2026-03-02 09:56:00,100.82,100.86,100.76,100.85,23796
2026-03-02 09:57:00,100.85,101.05,100.85,101.05,46172
2026-03-02 09:58:00,101.07,101.1,100.97,101.01,51324
2026-03-02 09:59:00,101.05,101.09,100.97,101.09,52589
2026-03-02 10:00:00,101.09,101.18,100.98,101.06,57854
2026-03-02 10:01:00,101.01,101.09,100.94,100.98,51914
2026-03-02 10:02:00,100.93,100.98,100.84,100.84,19733
2026-03-02 10:03:00,100.84,100.9,100.8,100.85,25489
2026-03-02 10:04:00,100.86,100.86,100.71,100.72,22881
2026-03-02 10:05:00,100.71,100.8,100.62,100.67,49502
2026-03-02 10:06:00,100.62,100.68,100.57,100.63,47876
2026-03-02 10:07:00,100.64,100.73,100.6,100.6,22254
2026-03-02 10:08:00,100.6,100.63,100.35,100.35,100127
2026-03-02 10:09:00,100.41,100.55,100.39,100.55,63358
2026-03-02 10:10:00,100.58,100.58,100.46,100.53,92321
2026-03-02 10:11:00,100.52,100.58,100.49,100.55,93592
2026-03-02 10:12:00,100.54,100.56,100.45,100.56,139278
2026-03-02 10:13:00,100.57,100.65,100.52,100.64,67955
2026-03-02 10:14:00,100.64,100.73,100.57,100.72,85429
2026-03-02 10:15:00,100.75,100.75,100.63,100.63,24523
2026-03-02 10:16:00,100.65,100.68,100.5,100.53,32379
2026-03-02 10:17:00,100.45,100.5,100.42,100.45,106156
2026-03-02 10:18:00,100.46,100.55,100.42,100.55,75777
2026-03-02 10:19:00,100.54,100.6,100.48,100.57,14480
2026-03-02 10:20:00,100.54,100.54,100.42,100.47,24602
2026-03-02 10:21:00,100.47,100.53,100.43,100.5,21734
2026-03-02 10:22:00,100.5,100.59,100.44,100.59,36224
2026-03-02 10:23:00,100.59,100.65,100.5,100.55,32455
2026-03-02 10:24:00,100.54,100.59,100.49,100.53,12954
2026-03-02 10:25:00,100.58,100.6,100.51,100.59,14255
2026-03-02 10:26:00,100.58,100.6,100.52,100.58,34348
2026-03-02 10:27:00,100.6,100.68,100.46,100.5,54874
2026-03-02 10:28:00,100.52,100.52,100.45,100.49,13029
2026-03-02 10:29:00,100.46,100.49,100.42,100.47,13060
2026-03-02 10:30:00,100.46,100.47,100.32,100.36,58561
2026-03-02 10:31:00,100.41,100.55,100.36,100.55,16164
2026-03-02 10:32:00,100.55,100.55,100.45,100.49,16413
2026-03-02 10:33:00,100.49,100.6,100.45,100.6,45154
2026-03-02 10:34:00,100.6,100.64,100.5,100.55,31474
2026-03-02 10:35:00,100.51,100.63,100.5,100.5,26036
2026-03-02 10:36:00,100.53,100.58,100.51,100.53,9059
2026-03-02 10:37:00,100.53,100.68,100.5,100.63,27524
2026-03-02 10:38:00,100.58,100.62,100.5,100.5,34057
2026-03-02 10:39:00,100.5,100.5,100.4,100.5,44748
2026-03-02 10:40:00,100.5,100.51,100.46,100.48,17707
2026-03-02 10:41:00,100.47,100.51,100.47,100.49,16952
2026-03-02 10:42:00,100.49,100.53,100.4,100.41,49587
2026-03-02 10:43:00,100.41,100.41,100.15,100.15,58292
2026-03-02 10:44:00,100.13,100.18,100.11,100.15,20494
2026-03-02 10:45:00,100.14,100.24,100.11,100.19,39800
2026-03-02 10:46:00,100.17,100.21,100.15,100.15,34813
2026-03-02 10:47:00,100.17,100.17,100.1,100.11,64141
2026-03-02 10:48:00,100.11,100.14,100.1,100.12,22014
