datetime,open,high,low,close,volume
2026-03-02 09:15:00,172.88,174.0,172.43,172.9,17506
2026-03-02 09:16:00,172.71,173.07,172.51,173.07,51941
2026-03-02 09:17:00,172.69,172.98,172.32,172.7,38449
2026-03-02 09:18:00,172.82,172.88,172.5,172.76,29620
2026-03-02 09:19:00,172.86,173.0,172.7,172.99,15824
2026-03-02 09:20:00,172.93,173.18,172.8,172.8,24467
2026-03-02 09:21:00,172.87,172.97,172.8,172.9,9490
2026-03-02 09:22:00,172.88,173.03,172.85,172.98,27793
2026-03-02 09:23:00,173.0,173.09,172.82,172.82,26610
2026-03-02 09:24:00,172.97,173.09,172.78,172.82,13382
2026-03-02 09:25:00,172.96,173.0,172.8,172.85,12783
2026-03-02 09:26:00,172.99,173.1,172.9,173.1,10233
2026-03-02 09:27:00,173.19,173.3,173.08,173.3,9447
2026-03-02 09:28:00,173.2,173.29,173.04,173.14,19223
2026-03-02 09:29:00,173.12,173.19,172.95,173.09,25614
2026-03-02 09:30:00,173.09,173.3,173.02,173.29,3610
2026-03-02 09:31:00,173.3,173.35,173.13,173.19,6335
2026-03-02 09:32:00,173.27,173.29,173.11,173.2,3658
2026-03-02 09:33:00,173.11,173.43,173.11,173.41,9942
2026-03-02 09:34:00,173.49,173.49,173.4,173.47,3808
2026-03-02 09:35:00,173.48,173.49,173.25,173.35,16714
2026-03-02 09:36:00,173.18,173.44,173.18,173.25,6095
2026-03-02 09:37:00,173.25,173.4,173.1,173.15,31011
2026-03-02 09:38:00,173.25,173.62,173.2,173.5,11033
2026-03-02 09:39:00,173.45,173.73,173.45,173.62,14261
2026-03-02 09:40:00,173.62,173.92,173.62,173.65,16167
2026-03-02 09:41:00,173.65,173.79,173.54,173.75,8074
2026-03-02 09:42:00,173.75,173.87,173.75,173.84,5485
2026-03-02 09:43:00,173.84,174.13,173.84,173.88,24418
2026-03-02 09:44:00,173.8,173.94,173.69,173.69,30252
2026-03-02 09:45:00,173.57,173.81,173.53,173.8,8067
2026-03-02 09:46:00,173.8,173.95,173.76,173.95,6098
2026-03-02 09:47:00,173.95,174.19,173.83,174.13,10004
2026-03-02 09:48:00,174.13,174.39,174.13,174.34,2912
2026-03-02 09:49:00,174.3,174.4,174.05,174.05,10199
2026-03-02 09:50:00,174.13,174.3,174.1,174.22,23425
2026-03-02 09:51:00,174.3,174.38,174.06,174.37,9415
2026-03-02 09:52:00,174.37,174.43,174.15,174.28,3999
2026-03-02 09:53:00,174.24,174.24,174.05,174.05,2911
2026-03-02 09:54:00,174.18,174.3,174.07,174.19,2900
2026-03-02 09:55:00,174.19,174.25,174.13,174.15,2106
2026-03-02 09:56:00,174.37,174.44,174.2,174.28,6997
2026-03-02 09:57:00,174.44,174.5,174.34,174.36,4628
2026-03-02 09:58:00,174.5,174.65,174.45,174.45,15108
