datetime,open,high,low,close,volume
2026-03-02 09:15:00,72.76,74.9,72.54,74.13,424191
2026-03-02 09:16:00,74.5,74.6,74.5,74.54,416100
2026-03-02 09:17:00,74.52,74.55,74.5,74.5,360719
2026-03-02 09:18:00,74.57,75.03,74.5,75.0,1678207
2026-03-02 09:19:00,75.0,75.19,75.0,75.1,346159
2026-03-02 09:20:00,75.13,75.28,75.08,75.12,143688
2026-03-02 09:21:00,75.09,75.24,75.09,75.1,172632
2026-03-02 09:22:00,75.17,75.17,75.0,75.03,46504
2026-03-02 09:23:00,75.0,75.03,74.53,74.57,214058
2026-03-02 09:24:00,74.55,74.71,74.55,74.66,38847
2026-03-02 09:25:00,74.7,74.73,74.48,74.6,154936
2026-03-02 09:26:00,74.66,74.84,74.66,74.75,79277
2026-03-02 09:27:00,74.76,74.87,74.73,74.87,70020
2026-03-02 09:28:00,74.77,74.86,74.77,74.86,37069
2026-03-02 09:29:00,74.87,74.87,74.73,74.81,43640
2026-03-02 09:30:00,74.81,74.86,74.78,74.86,38321
2026-03-02 09:31:00,74.83,75.04,74.83,74.95,45279
2026-03-02 09:32:00,74.92,75.32,74.9,75.28,243502
2026-03-02 09:33:00,75.23,75.4,75.23,75.38,188016
2026-03-02 09:34:00,75.38,75.38,75.27,75.3,49933
2026-03-02 09:35:00,75.32,75.32,75.12,75.16,46672
2026-03-02 09:36:00,75.16,75.16,75.01,75.1,56619
2026-03-02 09:37:00,75.06,75.14,75.06,75.12,58597
2026-03-02 09:38:00,75.11,75.29,75.11,75.21,48951
2026-03-02 09:39:00,75.26,75.3,75.25,75.27,30235
2026-03-02 09:40:00,75.27,75.34,75.22,75.24,22258
2026-03-02 09:41:00,75.19,75.3,75.18,75.22,20503
2026-03-02 09:42:00,75.23,75.27,75.16,75.2,27391
2026-03-02 09:43:00,75.24,75.35,75.19,75.21,51059
2026-03-02 09:44:00,75.21,75.31,75.21,75.25,29695
2026-03-02 09:45:00,75.22,75.22,75.18,75.22,9078
2026-03-02 09:46:00,75.18,75.23,75.11,75.19,33129
2026-03-02 09:47:00,75.19,75.23,75.19,75.22,7414
2026-03-02 09:48:00,75.23,75.32,75.23,75.3,55843
2026-03-02 09:49:00,75.27,75.3,75.25,75.25,13900
2026-03-02 09:50:00,75.27,75.27,75.17,75.21,20808
2026-03-02 09:51:00,75.19,75.21,75.11,75.21,13518
2026-03-02 09:52:00,75.21,75.21,75.09,75.09,9019
2026-03-02 09:53:00,75.08,75.11,75.04,75.09,10932
2026-03-02 09:54:00,75.09,75.13,75.06,75.08,24492
2026-03-02 09:55:00,75.08,75.08,75.03,75.05,14068
2026-03-02 09:56:00,75.04,75.1,75.03,75.06,28585
2026-03-02 09:57:00,75.06,75.08,75.0,75.05,59509
2026-03-02 09:58:00,75.03,75.07,75.0,75.03,33417
2026-03-02 09:59:00,75.0,75.03,75.0,75.03,34199
2026-03-02 10:00:00,75.02,75.04,75.0,75.01,62085
2026-03-02 10:01:00,75.0,75.03,75.0,75.0,58803
2026-03-02 10:02:00,75.0,75.12,75.0,75.03,625724
2026-03-02 10:03:00,75.03,75.04,75.0,75.0,39810
2026-03-02 10:04:00,75.0,75.07,74.99,75.0,95789
2026-03-02 10:05:00,75.0,75.01,74.97,75.01,49382
2026-03-02 10:06:00,75.01,75.01,75.0,75.01,154218
2026-03-02 10:07:00,75.0,75.01,74.82,74.82,89675
2026-03-02 10:08:00,74.84,74.84,74.7,74.71,22944
2026-03-02 10:09:00,74.71,74.75,74.68,74.7,27221
2026-03-02 10:10:00,74.7,74.92,74.69,74.92,101355
2026-03-02 10:11:00,74.92,75.1,74.87,75.0,104553
2026-03-02 10:12:00,75.0,75.03,75.0,75.0,57046
2026-03-02 10:13:00,75.0,75.02,75.0,75.01,14527
2026-03-02 10:14:00,75.0,75.01,75.0,75.0,56766
2026-03-02 10:15:00,75.0,75.03,74.98,75.01,82852
2026-03-02 10:16:00,75.0,75.03,74.99,75.0,508133
2026-03-02 10:17:00,75.0,75.02,74.95,75.01,104157
2026-03-02 10:18:00,75.01,75.09,75.0,75.06,30656
2026-03-02 10:19:00,75.03,75.08,75.0,75.0,17564
2026-03-02 10:20:00,75.0,75.01,75.0,75.0,100191
2026-03-02 10:21:00,75.0,75.07,74.84,74.84,86191
2026-03-02 10:22:00,74.8,74.92,74.8,74.92,36097
2026-03-02 10:23:00,74.92,74.95,74.88,74.88,2685
2026-03-02 10:24:00,74.88,74.9,74.85,74.85,3666
2026-03-02 10:25:00,74.85,74.85,74.8,74.81,5843
2026-03-02 10:26:00,74.81,74.81,74.78,74.81,4508
2026-03-02 10:27:00,74.88,74.91,74.84,74.84,17113
2026-03-02 10:28:00,74.8,74.82,74.77,74.79,13472
2026-03-02 10:29:00,74.79,74.8,74.75,74.77,20997
2026-03-02 10:30:00,74.77,74.8,74.74,74.77,16054
2026-03-02 10:31:00,74.77,74.89,74.77,74.88,14237
2026-03-02 10:32:00,74.88,74.88,74.78,74.81,12776
2026-03-02 10:33:00,74.83,74.95,74.8,74.95,28066
2026-03-02 10:34:00,74.93,74.95,74.91,74.91,11987
2026-03-02 10:35:00,74.91,74.99,74.91,74.96,9189
2026-03-02 10:36:00,74.98,74.98,74.87,74.87,8562
2026-03-02 10:37:00,74.87,74.96,74.87,74.94,970
2026-03-02 10:38:00,74.94,74.94,74.7,74.7,112908
2026-03-02 10:39:00,74.75,74.78,74.71,74.78,9543
2026-03-02 10:40:00,74.78,74.82,74.75,74.79,17558
2026-03-02 10:41:00,74.79,74.86,74.79,74.85,6972
2026-03-02 10:42:00,74.85,74.85,74.8,74.81,17085
2026-03-02 10:43:00,74.81,74.83,74.7,74.75,12625
2026-03-02 10:44:00,74.71,74.75,74.55,74.55,49682
2026-03-02 10:45:00,74.58,74.6,74.53,74.55,25384
2026-03-02 10:46:00,74.58,74.59,74.53,74.58,34049
2026-03-02 10:47:00,74.58,74.65,74.58,74.63,7388
2026-03-02 10:48:00,74.63,74.63,74.58,74.59,10065
2026-03-02 10:49:00,74.62,74.85,74.56,74.85,157074
2026-03-02 10:50:00,74.88,74.9,74.85,74.88,22917
2026-03-02 10:51:00,74.88,74.94,74.85,74.91,41883
2026-03-02 10:52:00,74.91,74.95,74.91,74.95,7242
2026-03-02 10:53:00,74.95,74.95,74.74,74.77,23283
2026-03-02 10:54:00,74.77,74.77,74.67,74.69,9517
2026-03-02 10:55:00,74.67,74.82,74.65,74.75,56490
2026-03-02 10:56:00,74.81,74.93,74.76,74.88,83504
2026-03-02 10:57:00,74.89,75.02,74.89,75.02,50859
2026-03-02 10:58:00,74.99,75.0,74.95,74.99,47351
2026-03-02 10:59:00,74.99,75.02,74.98,75.02,26279
2026-03-02 11:00:00,75.0,75.09,75.0,75.03,34081
2026-03-02 11:01:00,75.03,75.03,75.0,75.02,34244
2026-03-02 11:02:00,75.02,75.02,75.0,75.01,63683
2026-03-02 11:03:00,75.01,75.01,75.0,75.01,23694
2026-03-02 11:04:00,75.01,75.05,75.0,75.0,48889
2026-03-02 11:05:00,75.0,75.03,74.93,75.03,232751
2026-03-02 11:06:00,75.03,75.03,74.99,74.99,9262
2026-03-02 11:07:00,75.0,75.02,74.94,74.94,27084
2026-03-02 11:08:00,74.93,75.03,74.93,75.0,89894
2026-03-02 11:09:00,75.02,75.02,75.0,75.02,35739
2026-03-02 11:10:00,75.02,75.02,75.0,75.01,19742
2026-03-02 11:11:00,75.0,75.01,75.0,75.0,86644
2026-03-02 11:12:00,75.01,75.05,74.96,75.04,115281
2026-03-02 11:13:00,75.04,75.04,74.99,75.0,16315
2026-03-02 11:14:00,75.03,75.03,74.99,75.01,108054
2026-03-02 11:15:00,74.96,74.97,74.9,74.96,65918
2026-03-02 11:16:00,74.96,74.96,74.89,74.9,12295
2026-03-02 11:17:00,74.91,74.91,74.84,74.88,35146
2026-03-02 11:18:00,74.88,74.88,74.82,74.85,8440
2026-03-02 11:19:00,74.82,74.82,74.78,74.8,5696
2026-03-02 11:20:00,74.8,74.8,74.71,74.75,17928
2026-03-02 11:21:00,74.75,74.8,74.72,74.77,82384
2026-03-02 11:22:00,74.77,74.8,74.75,74.76,20578
2026-03-02 11:23:00,74.76,74.84,74.74,74.81,39602
2026-03-02 11:24:00,74.78,74.85,74.78,74.83,18931
2026-03-02 11:25:00,74.83,74.85,74.76,74.76,18332
2026-03-02 11:26:00,74.76,74.8,74.62,74.69,79842
2026-03-02 11:27:00,74.69,74.71,74.6,74.6,14541
2026-03-02 11:28:00,74.6,74.65,74.57,74.63,27003
2026-03-02 11:29:00,74.63,74.65,74.58,74.63,38275
2026-03-02 11:30:00,74.63,74.63,74.51,74.52,22212
2026-03-02 11:31:00,74.55,74.57,74.51,74.52,21907
2026-03-02 11:32:00,74.52,74.57,74.52,74.53,19687
2026-03-02 11:33:00,74.53,74.56,74.51,74.56,24194
2026-03-02 11:34:00,74.56,74.56,74.51,74.56,15762
2026-03-02 11:35:00,74.52,74.56,74.5,74.5,74564
2026-03-02 11:36:00,74.49,74.5,74.46,74.5,15733
2026-03-02 11:37:00,74.49,74.5,74.41,74.46,14688
2026-03-02 11:38:00,74.46,74.48,74.41,74.45,10908
2026-03-02 11:39:00,74.45,74.45,74.41,74.45,16352
2026-03-02 11:40:00,74.4,74.45,74.4,74.42,10007
2026-03-02 11:41:00,74.42,74.45,74.4,74.44,14546
2026-03-02 11:42:00,74.44,74.48,74.42,74.48,10070
2026-03-02 11:43:00,74.48,74.48,74.46,74.46,3873
2026-03-02 11:44:00,74.53,74.58,74.42,74.46,49610
2026-03-02 11:45:00,74.42,74.46,74.38,74.42,11759
2026-03-02 11:46:00,74.42,74.45,74.38,74.42,3807
2026-03-02 11:47:00,74.42,74.47,74.42,74.43,13710
2026-03-02 11:48:00,74.45,74.45,74.35,74.35,16413
2026-03-02 11:49:00,74.39,74.39,74.24,74.3,41249
2026-03-02 11:50:00,74.3,74.3,74.2,74.2,34263
2026-03-02 11:51:00,74.22,74.22,74.14,74.16,10454
2026-03-02 11:52:00,74.16,74.2,74.16,74.16,16330
2026-03-02 11:53:00,74.19,74.19,74.07,74.11,41171
2026-03-02 11:54:00,74.11,74.15,74.07,74.15,63122
2026-03-02 11:55:00,74.15,74.18,74.13,74.17,4596
2026-03-02 11:56:00,74.17,74.19,74.16,74.18,5980
2026-03-02 11:57:00,74.2,74.21,74.18,74.19,6961
2026-03-02 11:58:00,74.19,74.2,74.15,74.16,47013
2026-03-02 11:59:00,74.15,74.16,74.1,74.1,16319
2026-03-02 12:00:00,74.1,74.1,73.95,74.04,92086
2026-03-02 12:01:00,74.04,74.06,73.93,73.93,42009
2026-03-02 12:02:00,73.93,73.99,73.93,73.96,37429
2026-03-02 12:03:00,73.96,73.98,73.93,73.93,6485
2026-03-02 12:04:00,73.93,73.99,73.93,73.96,6663
2026-03-02 12:05:00,73.96,73.99,73.94,73.99,13923
2026-03-02 12:06:00,73.99,73.99,73.8,73.82,110738
2026-03-02 12:07:00,73.79,73.89,73.78,73.85,43274
2026-03-02 12:08:00,73.89,73.94,73.88,73.91,9988
2026-03-02 12:09:00,73.91,73.91,73.87,73.9,14733
2026-03-02 12:10:00,73.9,73.9,73.84,73.84,17170
2026-03-02 12:11:00,73.86,73.86,73.77,73.77,10985
2026-03-02 12:12:00,73.77,73.84,73.77,73.81,11626
2026-03-02 12:13:00,73.84,73.84,73.8,73.8,10668
2026-03-02 12:14:00,73.79,73.8,73.7,73.7,50538
2026-03-02 12:15:00,73.72,73.73,73.61,73.62,50791
2026-03-02 12:16:00,73.61,73.71,73.61,73.66,16334
2026-03-02 12:17:00,73.66,73.69,73.65,73.68,5850
2026-03-02 12:18:00,73.68,73.68,73.55,73.58,40108
2026-03-02 12:19:00,73.6,73.68,73.59,73.65,44322
2026-03-02 12:20:00,73.65,73.65,73.58,73.58,17795
2026-03-02 12:21:00,73.58,73.58,73.55,73.56,9460
2026-03-02 12:22:00,73.55,73.61,73.55,73.59,9792
2026-03-02 12:23:00,73.59,73.61,73.55,73.56,9628
2026-03-02 12:24:00,73.56,73.59,73.45,73.51,76342
2026-03-02 12:25:00,73.5,73.53,73.47,73.5,26069
2026-03-02 12:26:00,73.53,73.53,73.44,73.47,2309
2026-03-02 12:27:00,73.42,73.48,73.41,73.46,8496
2026-03-02 12:28:00,73.46,73.46,73.4,73.42,22535
2026-03-02 12:29:00,73.42,73.45,73.36,73.45,34998
2026-03-02 12:30:00,73.45,73.54,73.4,73.52,31819
2026-03-02 12:31:00,73.52,73.52,73.47,73.48,11975
2026-03-02 12:32:00,73.51,73.59,73.5,73.59,12072
2026-03-02 12:33:00,73.59,73.61,73.56,73.61,14701
2026-03-02 12:34:00,73.61,73.61,73.48,73.5,18576
2026-03-02 12:35:00,73.5,73.55,73.44,73.46,20067
2026-03-02 12:36:00,73.46,73.5,73.44,73.5,35761
2026-03-02 12:37:00,73.5,73.5,73.39,73.43,39517
2026-03-02 12:38:00,73.43,73.5,73.36,73.37,30508
2026-03-02 12:39:00,73.36,73.41,73.32,73.32,14146
2026-03-02 12:40:00,73.37,73.41,73.32,73.39,9306
2026-03-02 12:41:00,73.35,73.41,73.35,73.38,17624
2026-03-02 12:42:00,73.38,73.38,73.35,73.35,11632
2026-03-02 12:43:00,73.35,73.45,73.35,73.42,29960
2026-03-02 12:44:00,73.39,73.42,73.35,73.39,11763
2026-03-02 12:45:00,73.39,73.39,73.35,73.37,11683
2026-03-02 12:46:00,73.36,73.39,73.33,73.38,17683
2026-03-02 12:47:00,73.35,73.38,73.33,73.34,8495
2026-03-02 12:48:00,73.33,73.38,73.33,73.36,25775
2026-03-02 12:49:00,73.36,73.36,73.32,73.35,11462
2026-03-02 12:50:00,73.34,73.35,73.3,73.35,25940
2026-03-02 12:51:00,73.35,73.38,73.3,73.37,57707
2026-03-02 12:52:00,73.37,73.42,73.34,73.42,26155
2026-03-02 12:53:00,73.42,73.44,73.38,73.42,12957
2026-03-02 12:54:00,73.4,73.44,73.4,73.44,10014
2026-03-02 12:55:00,73.44,73.48,73.43,73.47,14064
2026-03-02 12:56:00,73.45,73.46,73.3,73.37,62525
