datetime,open,high,low,close,volume
2026-03-02 09:15:00,622.25,629.75,622.25,624.55,33651
2026-03-02 09:16:00,624.3,625.3,623.4,625.1,30419
2026-03-02 09:17:00,625.1,627.2,624.75,627.2,22110
2026-03-02 09:18:00,627.7,629.15,627.7,628.15,24373
2026-03-02 09:19:00,628.7,630.0,628.7,629.4,23921
2026-03-02 09:20:00,629.8,630.95,629.55,630.05,7589
2026-03-02 09:21:00,630.35,630.75,628.4,628.4,18505
2026-03-02 09:22:00,628.35,629.15,627.3,629.15,15676
2026-03-02 09:23:00,629.15,630.5,629.15,629.7,13731
2026-03-02 09:24:00,629.55,630.9,629.25,630.45,21581
2026-03-02 09:25:00,631.05,631.8,629.4,629.5,17549
2026-03-02 09:26:00,629.5,629.95,629.15,629.45,9477
2026-03-02 09:27:00,629.45,630.9,629.35,630.65,24089
2026-03-02 09:28:00,630.9,631.3,630.75,630.95,5233
2026-03-02 09:29:00,631.0,631.15,629.9,630.85,13326
2026-03-02 09:30:00,630.7,632.3,630.65,631.6,5431
2026-03-02 09:31:00,631.6,635.0,631.6,635.0,15699
2026-03-02 09:32:00,634.95,635.25,633.5,633.9,9459
2026-03-02 09:33:00,633.7,634.7,633.6,634.7,4090
2026-03-02 09:34:00,634.7,634.7,633.95,634.3,12505
2026-03-02 09:35:00,634.3,634.3,633.65,634.1,7964
2026-03-02 09:36:00,633.7,634.15,633.3,633.3,4905
2026-03-02 09:37:00,633.25,634.35,633.2,634.25,12164
2026-03-02 09:38:00,634.85,636.7,634.85,636.6,10150
2026-03-02 09:39:00,636.4,636.8,635.9,635.9,7430
2026-03-02 09:40:00,635.8,637.3,635.8,636.0,13514
2026-03-02 09:41:00,636.35,637.25,636.2,637.25,8056
2026-03-02 09:42:00,636.7,636.7,635.5,635.7,10839
2026-03-02 09:43:00,635.55,635.9,635.4,635.7,5712
2026-03-02 09:44:00,635.45,635.45,634.7,635.1,7712
2026-03-02 09:45:00,635.1,636.2,634.9,635.2,8551
2026-03-02 09:46:00,635.25,635.7,634.95,635.6,3205
2026-03-02 09:47:00,635.75,636.0,633.75,634.2,14524
2026-03-02 09:48:00,634.2,634.7,633.95,633.95,4797
2026-03-02 09:49:00,633.75,633.85,633.5,633.6,3298
2026-03-02 09:50:00,633.6,633.7,633.45,633.65,5752
2026-03-02 09:51:00,633.6,633.7,633.3,633.6,4878
2026-03-02 09:52:00,633.45,633.6,633.05,633.1,5294
2026-03-02 09:53:00,633.1,633.25,632.7,633.1,3944
2026-03-02 09:54:00,633.1,633.95,633.1,633.45,3539
2026-03-02 09:55:00,633.45,633.75,633.45,633.75,4304
2026-03-02 09:56:00,633.75,633.85,633.75,633.85,2642
2026-03-02 09:57:00,634.3,634.3,633.9,634.1,3160
2026-03-02 09:58:00,634.1,634.5,633.8,633.8,3604
2026-03-02 09:59:00,633.8,634.3,633.7,634.3,3168
2026-03-02 10:00:00,634.3,634.7,633.85,634.0,4147
2026-03-02 10:01:00,633.75,634.0,633.3,633.4,3804
2026-03-02 10:02:00,633.4,633.6,632.85,633.2,6620
2026-03-02 10:03:00,634.7,634.7,634.25,634.4,8717
2026-03-02 10:04:00,634.5,634.55,634.4,634.55,2565
2026-03-02 10:05:00,634.55,634.8,634.45,634.8,2786
2026-03-02 10:06:00,634.8,634.95,634.5,634.9,3646
2026-03-02 10:07:00,634.8,634.9,634.15,634.5,3045
2026-03-02 10:08:00,634.5,634.5,633.85,633.85,2218
2026-03-02 10:09:00,633.6,633.6,632.8,633.0,4619
2026-03-02 10:10:00,632.8,633.3,632.65,632.75,3708
2026-03-02 10:11:00,632.7,633.5,632.1,632.7,4367
2026-03-02 10:12:00,632.7,633.2,632.4,632.9,3041
2026-03-02 10:13:00,632.9,633.3,632.9,633.3,2273
2026-03-02 10:14:00,633.45,633.7,632.8,633.5,7262
2026-03-02 10:15:00,633.45,633.45,632.95,633.05,14124
2026-03-02 10:16:00,633.05,633.65,632.8,633.45,8082
2026-03-02 10:17:00,633.45,633.55,633.1,633.55,4207
2026-03-02 10:18:00,633.55,634.7,633.55,634.5,11304
2026-03-02 10:19:00,634.5,634.95,634.15,634.25,16214
2026-03-02 10:20:00,634.45,634.95,634.45,634.7,9082
2026-03-02 10:21:00,634.7,635.55,634.55,635.05,7654
