tradingsymbol,datetime,open,high,low,close,volume
AAVAS,2026-04-09 09:15:00,1219.0,1219.0,1203.9,1207.9,1566
AAVAS,2026-04-09 09:16:00,1211.0,1213.5,1205.8,1205.8,1940
AAVAS,2026-04-09 09:17:00,1205.8,1208.9,1205.8,1208.9,449
AAVAS,2026-04-09 09:18:00,1210.8,1213.0,1209.4,1211.3,286
AAVAS,2026-04-09 09:19:00,1211.3,1217.9,1211.3,1216.2,801
AAVAS,2026-04-09 09:20:00,1219.1,1224.9,1219.1,1220.0,3825
AAVAS,2026-04-09 09:21:00,1222.4,1225.0,1222.4,1224.5,1178
AAVAS,2026-04-09 09:22:00,1225.6,1225.6,1223.0,1224.9,1801
AAVAS,2026-04-09 09:23:00,1224.2,1224.2,1224.0,1224.2,267
AAVAS,2026-04-09 09:24:00,1226.0,1227.0,1221.0,1223.1,1225
AAVAS,2026-04-09 09:25:00,1224.3,1225.5,1224.1,1225.2,1236
AAVAS,2026-04-09 09:26:00,1225.2,1225.2,1223.9,1223.9,512
AAVAS,2026-04-09 09:27:00,1223.9,1225.0,1223.6,1223.6,486
AAVAS,2026-04-09 09:28:00,1223.6,1224.7,1223.6,1224.7,82
AAVAS,2026-04-09 09:29:00,1223.7,1223.8,1220.5,1220.5,442
AAVAS,2026-04-09 09:30:00,1221.2,1221.7,1220.2,1220.7,450
AAVAS,2026-04-09 09:31:00,1220.0,1220.0,1216.1,1216.1,67
AAVAS,2026-04-09 09:32:00,1216.1,1216.1,1213.4,1214.0,81
AAVAS,2026-04-09 09:33:00,1212.8,1212.8,1209.3,1209.6,288
AAVAS,2026-04-09 09:34:00,1209.0,1209.9,1205.6,1206.3,1445
AAVAS,2026-04-09 09:35:00,1207.5,1209.0,1207.5,1209.0,371
AAVAS,2026-04-09 09:36:00,1209.0,1211.7,1209.0,1211.7,328
AAVAS,2026-04-09 09:37:00,1211.7,1211.7,1209.7,1210.8,222
AAVAS,2026-04-09 09:38:00,1209.0,1209.5,1208.1,1209.5,124
AAVAS,2026-04-09 09:39:00,1209.5,1209.5,1206.0,1206.0,384
AAVAS,2026-04-09 09:40:00,1206.0,1206.8,1206.0,1206.7,106
AAVAS,2026-04-09 09:41:00,1206.7,1206.7,1204.8,1204.8,355
AAVAS,2026-04-09 09:42:00,1204.0,1204.0,1201.5,1202.0,503
AAVAS,2026-04-09 09:43:00,1202.0,1203.0,1201.5,1202.4,487
AAVAS,2026-04-09 09:44:00,1201.5,1201.5,1200.6,1200.6,132
AAVAS,2026-04-09 09:45:00,1201.5,1201.5,1200.6,1200.9,43
AAVAS,2026-04-09 09:46:00,1200.6,1201.0,1200.6,1201.0,81
AAVAS,2026-04-09 09:47:00,1201.0,1201.0,1200.0,1200.0,329
AAVAS,2026-04-09 09:48:00,1200.0,1200.0,1200.0,1200.0,87
AAVAS,2026-04-09 09:49:00,1200.0,1200.5,1196.4,1197.0,409
AAVAS,2026-04-09 09:50:00,1197.0,1197.0,1195.2,1195.2,133
AAVAS,2026-04-09 09:51:00,1195.0,1195.9,1195.0,1195.8,37
AAVAS,2026-04-09 09:52:00,1195.8,1196.8,1195.1,1196.3,518
AAVAS,2026-04-09 09:53:00,1195.3,1196.4,1195.2,1195.8,124
AAVAS,2026-04-09 09:54:00,1195.8,1195.9,1195.0,1195.0,57
AAVAS,2026-04-09 09:55:00,1195.9,1195.9,1195.1,1195.1,158
AAVAS,2026-04-09 09:56:00,1195.1,1195.1,1195.0,1195.0,15
AAVAS,2026-04-09 09:57:00,1195.7,1195.7,1194.0,1194.7,954
AAVAS,2026-04-09 09:58:00,1194.0,1198.5,1194.0,1197.4,258
AAVAS,2026-04-09 09:59:00,1197.4,1197.4,1196.3,1196.5,173
AAVAS,2026-04-09 10:00:00,1196.5,1197.4,1196.5,1197.4,1182
AAVAS,2026-04-09 10:01:00,1198.4,1198.6,1198.4,1198.6,60
AAVAS,2026-04-09 10:02:00,1198.8,1200.6,1198.8,1199.7,268
AAVAS,2026-04-09 10:03:00,1199.0,1199.7,1199.0,1199.3,29
AAVAS,2026-04-09 10:04:00,1199.3,1199.9,1199.3,1199.3,47
AAVAS,2026-04-09 10:05:00,1199.9,1199.9,1199.9,1199.9,1
AAVAS,2026-04-09 10:06:00,1199.9,1199.9,1199.0,1199.0,133
