tradingsymbol,datetime,open,high,low,close,volume
ABDL,2026-04-09 09:15:00,451.6,461.5,451.6,458.45,15769
ABDL,2026-04-09 09:16:00,461.1,464.4,459.4,463.3,22512
ABDL,2026-04-09 09:17:00,463.35,467.9,463.35,467.9,10313
ABDL,2026-04-09 09:18:00,468.1,470.0,468.1,469.25,11042
ABDL,2026-04-09 09:19:00,469.2,475.0,469.2,472.55,29267
ABDL,2026-04-09 09:20:00,471.1,471.1,466.6,466.8,15160
ABDL,2026-04-09 09:21:00,469.55,473.3,469.45,471.85,30946
ABDL,2026-04-09 09:22:00,469.45,469.9,468.65,468.65,18313
ABDL,2026-04-09 09:23:00,469.2,469.25,468.3,468.4,437
ABDL,2026-04-09 09:24:00,468.4,473.7,468.4,473.6,39613
ABDL,2026-04-09 09:25:00,474.05,476.8,474.05,475.4,12110
ABDL,2026-04-09 09:26:00,475.15,476.8,475.0,475.95,5095
ABDL,2026-04-09 09:27:00,475.8,475.8,474.05,474.05,4666
ABDL,2026-04-09 09:28:00,474.35,476.4,474.25,475.95,8677
ABDL,2026-04-09 09:29:00,476.2,476.2,472.35,472.35,4275
ABDL,2026-04-09 09:30:00,472.35,473.2,472.35,473.1,3489
ABDL,2026-04-09 09:31:00,472.7,473.45,471.15,471.45,6970
ABDL,2026-04-09 09:32:00,471.75,472.55,471.0,471.75,3889
ABDL,2026-04-09 09:33:00,471.75,473.75,471.7,473.0,7012
ABDL,2026-04-09 09:34:00,472.95,473.7,472.45,473.7,4017
ABDL,2026-04-09 09:35:00,473.6,473.6,471.1,471.1,4422
ABDL,2026-04-09 09:36:00,472.0,473.0,471.55,472.3,2274
ABDL,2026-04-09 09:37:00,471.75,472.4,471.55,471.6,2066
ABDL,2026-04-09 09:38:00,471.55,471.85,471.45,471.45,738
ABDL,2026-04-09 09:39:00,471.45,471.5,469.35,469.35,5306
ABDL,2026-04-09 09:40:00,470.3,470.3,469.05,469.55,4695
ABDL,2026-04-09 09:41:00,470.1,470.15,469.05,469.05,2235
ABDL,2026-04-09 09:42:00,469.6,469.6,469.05,469.15,5744
ABDL,2026-04-09 09:43:00,469.15,469.35,468.1,468.5,3393
ABDL,2026-04-09 09:44:00,468.15,468.75,468.15,468.55,1340
ABDL,2026-04-09 09:45:00,468.55,468.85,468.4,468.5,705
ABDL,2026-04-09 09:46:00,468.85,468.85,468.5,468.75,190
ABDL,2026-04-09 09:47:00,468.75,468.75,468.4,468.75,173
ABDL,2026-04-09 09:48:00,468.9,468.9,467.7,468.0,2540
ABDL,2026-04-09 09:49:00,468.0,468.45,467.7,468.35,394
ABDL,2026-04-09 09:50:00,468.45,468.45,466.55,467.7,3523
ABDL,2026-04-09 09:51:00,467.1,467.1,465.85,465.85,2122
ABDL,2026-04-09 09:52:00,465.85,466.85,465.85,466.65,2782
ABDL,2026-04-09 09:53:00,467.25,467.25,467.0,467.0,939
ABDL,2026-04-09 09:54:00,467.25,467.25,463.2,463.5,19540
ABDL,2026-04-09 09:55:00,463.5,463.55,462.2,462.85,4323
ABDL,2026-04-09 09:56:00,462.85,463.1,462.85,463.1,919
ABDL,2026-04-09 09:57:00,463.1,463.3,462.65,463.3,698
ABDL,2026-04-09 09:58:00,463.3,463.6,463.15,463.15,1512
ABDL,2026-04-09 09:59:00,463.15,463.6,463.15,463.15,211
ABDL,2026-04-09 10:00:00,463.15,464.7,462.2,464.7,8837
ABDL,2026-04-09 10:01:00,464.7,464.95,464.25,464.6,4029
ABDL,2026-04-09 10:02:00,464.6,464.7,464.25,464.7,940
ABDL,2026-04-09 10:03:00,464.65,464.7,464.3,464.7,412
ABDL,2026-04-09 10:04:00,464.35,464.35,463.2,463.6,5599
ABDL,2026-04-09 10:05:00,463.6,464.1,463.3,464.1,402
ABDL,2026-04-09 10:06:00,464.1,464.1,463.25,463.95,1075
ABDL,2026-04-09 10:07:00,463.95,463.95,463.35,463.8,837
ABDL,2026-04-09 10:08:00,463.05,464.25,463.05,464.15,1850
ABDL,2026-04-09 10:09:00,464.15,464.15,463.65,464.0,231
ABDL,2026-04-09 10:10:00,464.15,464.35,463.9,464.35,575
ABDL,2026-04-09 10:11:00,464.4,464.45,464.0,464.0,163
ABDL,2026-04-09 10:12:00,464.0,464.6,464.0,464.5,321
ABDL,2026-04-09 10:13:00,464.5,464.7,464.25,464.65,1655
ABDL,2026-04-09 10:14:00,464.65,464.65,464.1,464.45,929
ABDL,2026-04-09 10:15:00,464.45,464.45,463.2,463.35,320
ABDL,2026-04-09 10:16:00,463.3,464.1,463.3,464.1,176
ABDL,2026-04-09 10:17:00,464.1,464.1,463.75,464.1,144
ABDL,2026-04-09 10:18:00,463.75,464.7,463.75,463.75,3603
ABDL,2026-04-09 10:19:00,464.25,464.45,464.0,464.0,231
ABDL,2026-04-09 10:20:00,464.0,464.25,463.3,463.8,476
ABDL,2026-04-09 10:21:00,463.0,464.05,463.0,464.05,4599
ABDL,2026-04-09 10:22:00,464.05,464.35,463.65,463.9,1916
ABDL,2026-04-09 10:23:00,463.9,464.3,463.9,464.3,248
ABDL,2026-04-09 10:24:00,464.3,464.3,463.75,463.8,144
ABDL,2026-04-09 10:25:00,463.8,465.35,463.45,465.35,4670
ABDL,2026-04-09 10:26:00,466.2,468.05,466.2,466.55,8492
ABDL,2026-04-09 10:27:00,466.7,467.2,466.2,466.75,378
ABDL,2026-04-09 10:28:00,466.75,467.55,466.75,467.55,393
ABDL,2026-04-09 10:29:00,467.15,468.5,467.15,468.15,656
ABDL,2026-04-09 10:30:00,467.75,469.0,467.75,468.8,2897
ABDL,2026-04-09 10:31:00,468.8,469.2,468.3,469.15,1365
ABDL,2026-04-09 10:32:00,469.15,469.35,468.3,468.9,1593
ABDL,2026-04-09 10:33:00,468.9,468.9,468.25,468.6,1215
ABDL,2026-04-09 10:34:00,468.6,468.6,468.25,468.5,702
ABDL,2026-04-09 10:35:00,468.5,469.25,468.1,469.25,6397
ABDL,2026-04-09 10:36:00,470.8,471.7,469.3,470.95,14914
ABDL,2026-04-09 10:37:00,471.9,471.9,470.55,470.85,5361
ABDL,2026-04-09 10:38:00,470.85,471.15,470.4,471.15,1493
ABDL,2026-04-09 10:39:00,471.15,471.2,470.7,470.7,624
ABDL,2026-04-09 10:40:00,470.7,470.85,470.2,470.2,108
ABDL,2026-04-09 10:41:00,470.2,470.6,470.1,470.5,342
ABDL,2026-04-09 10:42:00,470.5,470.5,470.05,470.15,213
ABDL,2026-04-09 10:43:00,470.15,470.45,470.15,470.25,409
ABDL,2026-04-09 10:44:00,470.25,470.4,469.8,470.35,973
ABDL,2026-04-09 10:45:00,470.35,470.6,470.0,470.2,1153
ABDL,2026-04-09 10:46:00,470.15,470.55,470.1,470.55,231
ABDL,2026-04-09 10:47:00,470.15,470.55,470.1,470.35,1791
ABDL,2026-04-09 10:48:00,470.35,470.35,470.35,470.35,153
ABDL,2026-04-09 10:49:00,470.35,470.35,470.2,470.2,192
ABDL,2026-04-09 10:50:00,470.0,470.25,470.0,470.15,1507
ABDL,2026-04-09 10:51:00,470.25,470.6,470.15,470.6,325
ABDL,2026-04-09 10:52:00,470.6,470.6,470.15,470.2,41
