tradingsymbol,datetime,open,high,low,close,volume
ABFRL,2026-04-09 09:15:00,59.84,59.84,59.2,59.39,83944
ABFRL,2026-04-09 09:16:00,59.5,59.5,59.19,59.25,58863
ABFRL,2026-04-09 09:17:00,59.25,59.59,59.25,59.59,53394
ABFRL,2026-04-09 09:18:00,59.57,59.94,59.57,59.94,41207
ABFRL,2026-04-09 09:19:00,59.93,59.93,59.76,59.8,27100
ABFRL,2026-04-09 09:20:00,59.8,59.9,59.72,59.72,69909
ABFRL,2026-04-09 09:21:00,59.78,59.94,59.77,59.87,28469
ABFRL,2026-04-09 09:22:00,59.85,59.96,59.85,59.96,180319
ABFRL,2026-04-09 09:23:00,59.96,59.98,59.79,59.82,102116
ABFRL,2026-04-09 09:24:00,59.82,59.82,59.8,59.82,22443
ABFRL,2026-04-09 09:25:00,59.8,59.87,59.8,59.86,28288
ABFRL,2026-04-09 09:26:00,59.86,59.86,59.83,59.85,5302
ABFRL,2026-04-09 09:27:00,59.83,59.9,59.8,59.85,31644
ABFRL,2026-04-09 09:28:00,59.91,60.08,59.91,60.08,198442
ABFRL,2026-04-09 09:29:00,60.08,60.08,59.95,60.04,16057
ABFRL,2026-04-09 09:30:00,60.05,60.05,59.97,59.97,27247
ABFRL,2026-04-09 09:31:00,59.88,59.89,59.8,59.8,62192
ABFRL,2026-04-09 09:32:00,59.75,59.82,59.73,59.82,1093
ABFRL,2026-04-09 09:33:00,59.75,59.75,59.6,59.62,22155
ABFRL,2026-04-09 09:34:00,59.62,59.62,59.43,59.5,18393
ABFRL,2026-04-09 09:35:00,59.43,59.5,59.35,59.49,22282
ABFRL,2026-04-09 09:36:00,59.49,59.6,59.49,59.59,4217
ABFRL,2026-04-09 09:37:00,59.59,59.62,59.59,59.6,5811
ABFRL,2026-04-09 09:38:00,59.51,59.6,59.51,59.55,12820
ABFRL,2026-04-09 09:39:00,59.56,59.56,59.28,59.36,30181
ABFRL,2026-04-09 09:40:00,59.36,59.38,59.31,59.36,15370
ABFRL,2026-04-09 09:41:00,59.4,59.4,59.25,59.27,13892
ABFRL,2026-04-09 09:42:00,59.23,59.24,59.11,59.18,28560
ABFRL,2026-04-09 09:43:00,59.14,59.16,59.09,59.16,24674
ABFRL,2026-04-09 09:44:00,59.16,59.16,59.1,59.1,8055
ABFRL,2026-04-09 09:45:00,59.1,59.23,59.06,59.1,12353
ABFRL,2026-04-09 09:46:00,59.1,59.17,59.06,59.17,15068
ABFRL,2026-04-09 09:47:00,59.17,59.17,59.1,59.1,11647
ABFRL,2026-04-09 09:48:00,59.14,59.14,59.02,59.02,15584
ABFRL,2026-04-09 09:49:00,59.05,59.05,58.88,58.89,62938
ABFRL,2026-04-09 09:50:00,58.81,58.85,58.67,58.67,54431
