tradingsymbol,datetime,open,high,low,close,volume
AIIL,2026-04-09 09:15:00,442.0,442.0,436.05,437.55,8061
AIIL,2026-04-09 09:16:00,439.75,441.0,438.85,441.0,3160
AIIL,2026-04-09 09:17:00,439.8,440.5,438.75,440.0,4679
AIIL,2026-04-09 09:18:00,440.75,440.75,438.25,439.7,5468
AIIL,2026-04-09 09:19:00,439.65,439.9,439.65,439.85,56
AIIL,2026-04-09 09:20:00,439.45,440.5,439.45,440.5,1482
AIIL,2026-04-09 09:21:00,440.5,441.35,440.25,441.1,3161
AIIL,2026-04-09 09:22:00,441.1,442.6,441.1,442.6,1808
AIIL,2026-04-09 09:23:00,442.8,443.85,442.75,443.85,2599
AIIL,2026-04-09 09:24:00,444.0,444.7,443.6,444.65,2010
AIIL,2026-04-09 09:25:00,444.65,444.65,444.25,444.65,1031
AIIL,2026-04-09 09:26:00,445.9,446.0,445.35,446.0,4416
AIIL,2026-04-09 09:27:00,444.0,444.45,443.45,443.7,6179
AIIL,2026-04-09 09:28:00,444.0,444.0,442.3,442.7,467
AIIL,2026-04-09 09:29:00,442.7,442.7,441.15,441.15,1119
AIIL,2026-04-09 09:30:00,441.15,441.55,441.15,441.3,387
AIIL,2026-04-09 09:31:00,441.15,441.15,440.2,440.2,130
AIIL,2026-04-09 09:32:00,440.75,440.75,439.5,439.5,2302
AIIL,2026-04-09 09:33:00,439.7,439.7,439.1,439.1,946
AIIL,2026-04-09 09:34:00,439.1,439.1,438.1,438.55,3441
AIIL,2026-04-09 09:35:00,438.55,439.7,437.65,439.7,873
AIIL,2026-04-09 09:36:00,439.7,440.55,439.6,440.55,645
AIIL,2026-04-09 09:37:00,440.45,440.5,439.65,439.95,324
AIIL,2026-04-09 09:38:00,439.95,440.15,439.95,440.0,129
AIIL,2026-04-09 09:39:00,440.0,440.0,439.0,439.0,500
AIIL,2026-04-09 09:40:00,439.3,439.4,438.25,438.5,1099
AIIL,2026-04-09 09:41:00,438.6,438.6,437.55,437.75,1590
AIIL,2026-04-09 09:42:00,437.8,438.0,437.0,437.0,1516
AIIL,2026-04-09 09:43:00,437.0,437.0,436.4,436.85,42
AIIL,2026-04-09 09:44:00,436.85,436.95,436.15,436.8,1387
AIIL,2026-04-09 09:45:00,436.8,436.85,436.3,436.3,135
AIIL,2026-04-09 09:46:00,436.3,436.7,435.5,435.75,1682
AIIL,2026-04-09 09:47:00,435.75,436.0,435.45,435.45,710
AIIL,2026-04-09 09:48:00,435.45,435.45,435.0,435.0,1772
AIIL,2026-04-09 09:49:00,435.0,435.15,434.2,434.2,875
AIIL,2026-04-09 09:50:00,434.2,434.2,432.85,432.85,2894
AIIL,2026-04-09 09:51:00,433.3,433.55,432.5,432.75,2377
AIIL,2026-04-09 09:52:00,432.5,433.5,432.0,433.0,2369
AIIL,2026-04-09 09:53:00,433.05,433.05,432.1,432.75,1054
AIIL,2026-04-09 09:54:00,432.75,432.75,432.25,432.7,196
AIIL,2026-04-09 09:55:00,432.5,432.5,431.85,431.85,711
AIIL,2026-04-09 09:56:00,431.85,431.85,430.95,431.15,2635
AIIL,2026-04-09 09:57:00,431.65,431.95,431.4,431.8,1033
AIIL,2026-04-09 09:58:00,431.8,431.9,430.95,431.05,686
AIIL,2026-04-09 09:59:00,430.8,431.75,430.8,431.35,828
AIIL,2026-04-09 10:00:00,431.35,431.35,430.3,431.0,2870
AIIL,2026-04-09 10:01:00,431.75,432.05,431.7,432.0,3537
