tradingsymbol,datetime,open,high,low,close,volume
ANTHEM,2026-04-09 09:15:00,688.05,695.35,688.05,695.35,2579
ANTHEM,2026-04-09 09:16:00,695.95,699.0,695.9,699.0,2185
ANTHEM,2026-04-09 09:17:00,698.45,702.0,698.45,700.3,5775
ANTHEM,2026-04-09 09:18:00,701.5,705.0,701.3,704.65,2522
ANTHEM,2026-04-09 09:19:00,704.65,705.95,704.45,704.65,3423
ANTHEM,2026-04-09 09:20:00,704.65,705.0,704.25,704.75,330
ANTHEM,2026-04-09 09:21:00,704.7,705.25,704.3,705.25,739
ANTHEM,2026-04-09 09:22:00,705.0,707.2,705.0,705.5,2538
ANTHEM,2026-04-09 09:23:00,705.95,707.5,705.8,707.05,3153
ANTHEM,2026-04-09 09:24:00,706.5,708.85,706.5,708.85,2506
ANTHEM,2026-04-09 09:25:00,708.45,709.0,708.4,709.0,2192
ANTHEM,2026-04-09 09:26:00,708.95,708.95,707.45,707.45,3780
ANTHEM,2026-04-09 09:27:00,707.45,707.95,706.55,707.8,2433
ANTHEM,2026-04-09 09:28:00,707.55,707.8,707.25,707.25,359
ANTHEM,2026-04-09 09:29:00,707.8,707.8,707.05,707.05,447
ANTHEM,2026-04-09 09:30:00,707.05,707.7,707.05,707.7,396
ANTHEM,2026-04-09 09:31:00,707.7,707.75,706.55,706.55,226
ANTHEM,2026-04-09 09:32:00,706.45,706.5,705.6,705.6,2337
ANTHEM,2026-04-09 09:33:00,705.95,706.0,704.35,704.35,1272
ANTHEM,2026-04-09 09:34:00,704.7,705.4,704.45,705.4,1380
ANTHEM,2026-04-09 09:35:00,705.15,707.1,705.0,707.1,3142
ANTHEM,2026-04-09 09:36:00,706.7,709.8,706.7,709.8,2012
ANTHEM,2026-04-09 09:37:00,709.8,709.8,708.95,709.45,1060
ANTHEM,2026-04-09 09:38:00,709.45,709.9,709.0,709.45,4072
ANTHEM,2026-04-09 09:39:00,709.95,712.5,709.95,710.95,6321
ANTHEM,2026-04-09 09:40:00,711.3,712.05,711.0,712.05,1084
ANTHEM,2026-04-09 09:41:00,712.0,712.1,708.95,709.65,1813
ANTHEM,2026-04-09 09:42:00,709.6,710.0,708.65,709.65,1752
ANTHEM,2026-04-09 09:43:00,709.4,714.0,709.4,713.5,4347
ANTHEM,2026-04-09 09:44:00,714.0,719.9,712.95,719.75,22484
ANTHEM,2026-04-09 09:45:00,720.25,722.95,719.9,722.05,14985
ANTHEM,2026-04-09 09:46:00,722.55,722.55,715.95,716.35,8568
ANTHEM,2026-04-09 09:47:00,716.1,717.0,715.05,715.95,4948
ANTHEM,2026-04-09 09:48:00,715.65,716.55,715.4,716.4,1183
ANTHEM,2026-04-09 09:49:00,716.2,716.9,715.65,716.9,1659
ANTHEM,2026-04-09 09:50:00,716.95,718.25,716.95,717.5,6352
ANTHEM,2026-04-09 09:51:00,717.5,717.85,716.5,716.8,1311
ANTHEM,2026-04-09 09:52:00,716.2,717.0,714.0,714.55,7857
ANTHEM,2026-04-09 09:53:00,714.2,714.8,713.7,714.1,2525
ANTHEM,2026-04-09 09:54:00,714.6,714.6,714.0,714.15,591
ANTHEM,2026-04-09 09:55:00,714.0,714.0,712.95,713.55,984
ANTHEM,2026-04-09 09:56:00,713.55,716.6,713.55,715.05,7807
ANTHEM,2026-04-09 09:57:00,715.95,716.9,714.75,716.15,5087
ANTHEM,2026-04-09 09:58:00,716.25,716.3,714.65,714.75,5544
ANTHEM,2026-04-09 09:59:00,714.75,715.65,714.0,715.0,4768
ANTHEM,2026-04-09 10:00:00,715.25,715.4,714.65,715.1,1284
ANTHEM,2026-04-09 10:01:00,714.95,715.4,714.6,715.25,2006
ANTHEM,2026-04-09 10:02:00,715.25,715.25,714.55,715.05,864
ANTHEM,2026-04-09 10:03:00,715.15,715.15,714.55,715.0,784
ANTHEM,2026-04-09 10:04:00,715.0,715.0,714.8,714.8,469
ANTHEM,2026-04-09 10:05:00,714.8,715.25,714.8,715.15,1310
ANTHEM,2026-04-09 10:06:00,714.8,715.3,714.2,714.2,1172
ANTHEM,2026-04-09 10:07:00,715.0,715.35,714.85,715.0,1582
ANTHEM,2026-04-09 10:08:00,715.0,715.0,713.95,714.15,1316
ANTHEM,2026-04-09 10:09:00,714.05,714.95,713.75,714.3,594
ANTHEM,2026-04-09 10:10:00,714.3,714.95,714.15,714.55,382
ANTHEM,2026-04-09 10:11:00,714.95,715.0,714.0,715.0,1971
ANTHEM,2026-04-09 10:12:00,715.0,715.7,714.2,715.7,956
ANTHEM,2026-04-09 10:13:00,715.7,718.85,715.05,718.85,2876
ANTHEM,2026-04-09 10:14:00,719.0,720.0,719.0,719.5,4837
ANTHEM,2026-04-09 10:15:00,719.8,719.95,719.65,719.95,1145
ANTHEM,2026-04-09 10:16:00,719.6,721.65,719.35,721.65,1619
ANTHEM,2026-04-09 10:17:00,721.6,721.8,718.2,718.45,16183
ANTHEM,2026-04-09 10:18:00,718.45,719.0,718.0,718.1,2426
ANTHEM,2026-04-09 10:19:00,718.65,718.65,718.0,718.4,721
ANTHEM,2026-04-09 10:20:00,718.4,718.4,716.9,717.15,15132
ANTHEM,2026-04-09 10:21:00,717.35,718.35,717.35,717.8,1087
ANTHEM,2026-04-09 10:22:00,717.8,718.0,717.0,717.15,363
ANTHEM,2026-04-09 10:23:00,717.0,717.4,716.15,717.4,3769
ANTHEM,2026-04-09 10:24:00,716.5,717.0,716.5,716.55,330
ANTHEM,2026-04-09 10:25:00,716.55,716.55,716.0,716.4,1163
