tradingsymbol,datetime,open,high,low,close,volume
ATHERENERG,2026-04-09 09:15:00,774.0,776.75,772.0,776.75,20557
ATHERENERG,2026-04-09 09:16:00,775.85,782.4,775.85,779.95,32574
ATHERENERG,2026-04-09 09:17:00,779.15,782.6,779.15,781.4,19997
ATHERENERG,2026-04-09 09:18:00,780.05,785.0,780.05,784.5,20460
ATHERENERG,2026-04-09 09:19:00,784.9,784.9,784.05,784.35,19179
ATHERENERG,2026-04-09 09:20:00,783.75,785.9,775.45,775.8,51766
ATHERENERG,2026-04-09 09:21:00,777.3,779.55,777.0,779.3,11562
ATHERENERG,2026-04-09 09:22:00,779.45,780.0,779.15,779.15,13391
ATHERENERG,2026-04-09 09:23:00,779.5,779.6,778.9,779.6,3591
ATHERENERG,2026-04-09 09:24:00,779.65,780.35,779.5,780.35,34682
ATHERENERG,2026-04-09 09:25:00,780.75,781.0,780.5,781.0,9064
ATHERENERG,2026-04-09 09:26:00,781.0,781.55,780.6,780.6,38726
ATHERENERG,2026-04-09 09:27:00,780.8,780.8,780.25,780.25,9385
ATHERENERG,2026-04-09 09:28:00,780.65,780.9,779.5,780.0,8988
ATHERENERG,2026-04-09 09:29:00,779.15,779.9,779.15,779.15,2945
ATHERENERG,2026-04-09 09:30:00,779.6,779.6,778.4,778.4,3443
ATHERENERG,2026-04-09 09:31:00,778.3,778.3,776.45,777.3,12418
ATHERENERG,2026-04-09 09:32:00,777.25,777.55,776.55,776.8,2856
ATHERENERG,2026-04-09 09:33:00,776.7,776.7,775.45,775.6,8530
ATHERENERG,2026-04-09 09:34:00,775.7,777.15,775.7,777.15,8968
ATHERENERG,2026-04-09 09:35:00,776.8,777.6,776.8,777.15,2152
ATHERENERG,2026-04-09 09:36:00,777.0,777.6,776.5,776.55,2202
ATHERENERG,2026-04-09 09:37:00,776.95,777.6,776.55,777.6,2711
ATHERENERG,2026-04-09 09:38:00,777.95,778.75,777.5,778.0,6259
ATHERENERG,2026-04-09 09:39:00,778.45,778.65,778.0,778.05,3003
ATHERENERG,2026-04-09 09:40:00,778.2,779.0,778.15,778.6,8023
ATHERENERG,2026-04-09 09:41:00,778.6,778.85,777.55,777.75,3016
ATHERENERG,2026-04-09 09:42:00,777.8,777.8,776.15,776.6,5057
ATHERENERG,2026-04-09 09:43:00,776.8,777.85,776.0,777.85,16835
ATHERENERG,2026-04-09 09:44:00,777.85,778.3,777.55,778.3,3148
ATHERENERG,2026-04-09 09:45:00,777.8,779.95,777.8,779.4,7547
ATHERENERG,2026-04-09 09:46:00,779.5,779.5,778.8,779.05,3600
ATHERENERG,2026-04-09 09:47:00,778.45,779.2,778.45,779.2,3994
ATHERENERG,2026-04-09 09:48:00,779.0,779.3,778.6,779.2,2913
ATHERENERG,2026-04-09 09:49:00,779.2,779.2,776.0,776.55,4510
ATHERENERG,2026-04-09 09:50:00,776.0,776.0,775.45,775.6,2988
ATHERENERG,2026-04-09 09:51:00,775.6,775.75,775.1,775.2,4489
ATHERENERG,2026-04-09 09:52:00,775.2,775.8,775.05,775.4,4068
ATHERENERG,2026-04-09 09:53:00,775.8,776.65,775.8,776.65,888
ATHERENERG,2026-04-09 09:54:00,776.25,776.7,776.25,776.7,440
ATHERENERG,2026-04-09 09:55:00,776.7,776.7,775.65,775.65,3048
ATHERENERG,2026-04-09 09:56:00,776.1,776.1,775.0,775.2,3945
ATHERENERG,2026-04-09 09:57:00,775.2,775.8,775.0,775.55,1323
ATHERENERG,2026-04-09 09:58:00,775.55,775.55,775.05,775.05,1085
ATHERENERG,2026-04-09 09:59:00,775.05,775.5,774.65,775.5,13969
ATHERENERG,2026-04-09 10:00:00,774.85,774.85,773.3,774.0,12922
ATHERENERG,2026-04-09 10:01:00,774.2,776.0,774.2,776.0,3654
ATHERENERG,2026-04-09 10:02:00,776.15,776.7,775.75,776.7,496
ATHERENERG,2026-04-09 10:03:00,776.55,777.3,776.55,777.3,3733
ATHERENERG,2026-04-09 10:04:00,777.15,777.6,777.0,777.5,926
ATHERENERG,2026-04-09 10:05:00,777.5,777.55,777.15,777.55,1778
ATHERENERG,2026-04-09 10:06:00,777.6,778.0,777.6,777.6,2510
ATHERENERG,2026-04-09 10:07:00,777.6,778.0,777.4,777.4,1021
ATHERENERG,2026-04-09 10:08:00,777.15,777.55,777.1,777.55,869
ATHERENERG,2026-04-09 10:09:00,777.55,778.0,777.55,777.55,2755
ATHERENERG,2026-04-09 10:10:00,777.85,777.95,777.8,777.95,585
ATHERENERG,2026-04-09 10:11:00,777.95,778.5,777.55,778.1,3414
ATHERENERG,2026-04-09 10:12:00,778.1,778.75,777.6,778.0,2632
ATHERENERG,2026-04-09 10:13:00,778.0,778.75,777.7,778.0,3126
ATHERENERG,2026-04-09 10:14:00,778.0,778.7,777.3,777.65,950
ATHERENERG,2026-04-09 10:15:00,777.65,777.65,777.0,777.0,296
ATHERENERG,2026-04-09 10:16:00,777.4,777.45,776.65,777.35,1633
ATHERENERG,2026-04-09 10:17:00,777.35,778.0,777.1,777.4,2987
ATHERENERG,2026-04-09 10:18:00,777.4,778.95,777.4,778.35,7340
ATHERENERG,2026-04-09 10:19:00,778.95,779.0,777.85,777.85,6514
ATHERENERG,2026-04-09 10:20:00,778.55,778.6,778.3,778.6,1464
ATHERENERG,2026-04-09 10:21:00,778.6,779.05,778.3,778.4,1508
ATHERENERG,2026-04-09 10:22:00,778.4,779.1,778.4,779.1,820
ATHERENERG,2026-04-09 10:23:00,779.1,779.1,778.7,778.8,1161
ATHERENERG,2026-04-09 10:24:00,778.95,778.95,778.55,778.9,1640
ATHERENERG,2026-04-09 10:25:00,778.9,780.15,778.4,780.15,5034
ATHERENERG,2026-04-09 10:26:00,781.4,781.4,778.3,779.0,18805
ATHERENERG,2026-04-09 10:27:00,779.6,779.6,779.0,779.55,3843
ATHERENERG,2026-04-09 10:28:00,779.55,779.85,779.0,779.35,1947
ATHERENERG,2026-04-09 10:29:00,779.35,780.75,779.35,780.35,11972
ATHERENERG,2026-04-09 10:30:00,781.0,781.25,779.5,780.0,10638
ATHERENERG,2026-04-09 10:31:00,780.0,780.15,779.0,779.3,6188
ATHERENERG,2026-04-09 10:32:00,779.15,779.7,779.15,779.5,752
ATHERENERG,2026-04-09 10:33:00,779.45,780.1,779.45,780.0,2329
ATHERENERG,2026-04-09 10:34:00,779.75,780.05,779.75,779.95,929
ATHERENERG,2026-04-09 10:35:00,780.0,780.0,779.55,779.8,1703
ATHERENERG,2026-04-09 10:36:00,779.8,779.95,779.55,779.6,1655
ATHERENERG,2026-04-09 10:37:00,779.6,779.95,779.6,779.6,914
ATHERENERG,2026-04-09 10:38:00,780.0,780.0,779.55,779.65,1399
ATHERENERG,2026-04-09 10:39:00,779.8,780.4,779.8,780.4,2056
ATHERENERG,2026-04-09 10:40:00,780.4,780.75,780.0,780.55,1817
ATHERENERG,2026-04-09 10:41:00,780.9,781.35,780.35,781.05,4745
ATHERENERG,2026-04-09 10:42:00,781.05,781.4,780.2,781.4,5851
ATHERENERG,2026-04-09 10:43:00,780.7,781.4,780.55,781.0,16999
ATHERENERG,2026-04-09 10:44:00,781.3,781.3,779.5,780.1,7187
ATHERENERG,2026-04-09 10:45:00,780.1,780.8,779.65,779.65,4052
ATHERENERG,2026-04-09 10:46:00,779.65,782.8,779.65,782.7,51801
ATHERENERG,2026-04-09 10:47:00,782.25,782.8,781.7,782.35,6140
ATHERENERG,2026-04-09 10:48:00,782.35,782.35,782.25,782.35,3091
ATHERENERG,2026-04-09 10:49:00,782.3,783.8,782.3,783.25,52521
ATHERENERG,2026-04-09 10:50:00,783.15,783.4,781.75,781.75,8792
ATHERENERG,2026-04-09 10:51:00,781.75,782.95,781.0,782.3,5529
ATHERENERG,2026-04-09 10:52:00,782.3,782.5,781.9,782.25,1337
ATHERENERG,2026-04-09 10:53:00,782.65,782.65,782.0,782.6,5930
ATHERENERG,2026-04-09 10:54:00,782.6,782.6,781.4,781.65,4305
ATHERENERG,2026-04-09 10:55:00,781.65,782.5,781.65,782.3,1237
ATHERENERG,2026-04-09 10:56:00,782.55,783.3,782.55,783.0,6443
ATHERENERG,2026-04-09 10:57:00,783.2,783.2,782.4,782.95,1945
ATHERENERG,2026-04-09 10:58:00,782.95,783.45,782.55,782.6,3831
ATHERENERG,2026-04-09 10:59:00,782.6,782.65,781.7,781.7,2506
ATHERENERG,2026-04-09 11:00:00,782.55,782.75,782.1,782.5,2015
ATHERENERG,2026-04-09 11:01:00,782.5,783.2,782.2,783.2,3332
ATHERENERG,2026-04-09 11:02:00,783.2,783.45,782.45,783.4,2496
ATHERENERG,2026-04-09 11:03:00,783.2,783.2,782.2,782.5,2424
ATHERENERG,2026-04-09 11:04:00,782.5,783.5,782.5,783.0,2077
