tradingsymbol,datetime,open,high,low,close,volume
BERGEPAINT,2026-04-09 09:15:00,437.75,437.75,431.7,432.45,4847
BERGEPAINT,2026-04-09 09:16:00,433.5,435.85,433.5,434.45,2071
BERGEPAINT,2026-04-09 09:17:00,434.45,438.6,434.45,437.45,2410
BERGEPAINT,2026-04-09 09:18:00,436.6,439.05,436.6,438.45,1582
BERGEPAINT,2026-04-09 09:19:00,437.85,439.75,437.85,439.75,1406
BERGEPAINT,2026-04-09 09:20:00,439.95,440.8,439.55,440.25,1768
BERGEPAINT,2026-04-09 09:21:00,439.3,440.0,439.3,440.0,924
BERGEPAINT,2026-04-09 09:22:00,439.75,440.7,439.75,440.7,693
BERGEPAINT,2026-04-09 09:23:00,440.7,440.95,440.0,440.7,2773
BERGEPAINT,2026-04-09 09:24:00,440.8,440.8,439.6,439.9,1256
BERGEPAINT,2026-04-09 09:25:00,439.9,440.0,439.85,439.85,188
BERGEPAINT,2026-04-09 09:26:00,439.85,440.0,439.0,439.55,1426
BERGEPAINT,2026-04-09 09:27:00,439.55,439.55,439.0,439.0,146
BERGEPAINT,2026-04-09 09:28:00,439.5,440.0,439.45,440.0,550
BERGEPAINT,2026-04-09 09:29:00,440.0,440.0,439.95,439.95,101
BERGEPAINT,2026-04-09 09:30:00,439.95,439.95,439.3,439.3,2011
BERGEPAINT,2026-04-09 09:31:00,439.45,439.5,439.05,439.3,190
BERGEPAINT,2026-04-09 09:32:00,439.3,439.3,438.85,438.9,193
BERGEPAINT,2026-04-09 09:33:00,438.4,438.6,438.0,438.0,639
BERGEPAINT,2026-04-09 09:34:00,438.0,438.1,437.9,438.0,528
BERGEPAINT,2026-04-09 09:35:00,436.9,437.75,436.65,437.7,1261
BERGEPAINT,2026-04-09 09:36:00,437.8,439.0,437.8,438.7,1061
BERGEPAINT,2026-04-09 09:37:00,438.7,439.0,438.3,438.65,422
BERGEPAINT,2026-04-09 09:38:00,438.95,439.0,438.35,438.85,464
BERGEPAINT,2026-04-09 09:39:00,438.4,438.5,437.65,438.25,613
BERGEPAINT,2026-04-09 09:40:00,438.25,438.5,438.1,438.1,480
BERGEPAINT,2026-04-09 09:41:00,438.1,438.3,438.0,438.2,595
