tradingsymbol,datetime,open,high,low,close,volume
BLUEJET,2026-04-09 09:15:00,372.0,373.85,371.45,373.25,13029
BLUEJET,2026-04-09 09:16:00,375.3,376.85,373.5,375.35,6808
BLUEJET,2026-04-09 09:17:00,374.55,377.55,374.15,377.0,5223
BLUEJET,2026-04-09 09:18:00,378.6,379.35,377.25,379.35,4029
BLUEJET,2026-04-09 09:19:00,379.35,381.2,379.0,379.5,9018
BLUEJET,2026-04-09 09:20:00,379.25,381.7,379.25,380.0,5031
BLUEJET,2026-04-09 09:21:00,380.0,380.55,379.7,379.95,4269
BLUEJET,2026-04-09 09:22:00,379.8,380.5,379.8,380.45,2500
BLUEJET,2026-04-09 09:23:00,380.95,380.95,380.15,380.4,407
BLUEJET,2026-04-09 09:24:00,380.4,380.4,379.6,379.6,4890
BLUEJET,2026-04-09 09:25:00,379.6,379.6,378.6,379.05,235
BLUEJET,2026-04-09 09:26:00,379.05,379.15,378.3,378.3,1300
BLUEJET,2026-04-09 09:27:00,378.3,379.35,378.1,379.25,466
BLUEJET,2026-04-09 09:28:00,379.25,379.25,378.3,378.3,1887
BLUEJET,2026-04-09 09:29:00,378.3,378.9,378.1,378.1,2258
BLUEJET,2026-04-09 09:30:00,378.1,378.1,377.6,377.6,583
BLUEJET,2026-04-09 09:31:00,376.85,376.85,376.0,376.25,773
BLUEJET,2026-04-09 09:32:00,376.25,376.25,375.0,375.0,2206
BLUEJET,2026-04-09 09:33:00,375.0,375.45,373.7,373.7,620
BLUEJET,2026-04-09 09:34:00,374.1,374.1,372.9,373.95,1369
BLUEJET,2026-04-09 09:35:00,373.1,373.9,372.75,373.3,3062
BLUEJET,2026-04-09 09:36:00,373.5,375.05,373.5,375.05,3425
BLUEJET,2026-04-09 09:37:00,375.05,375.7,374.0,374.0,2530
BLUEJET,2026-04-09 09:38:00,374.15,375.1,374.1,375.1,1155
BLUEJET,2026-04-09 09:39:00,374.65,374.65,372.65,373.55,3848
BLUEJET,2026-04-09 09:40:00,373.15,373.3,372.9,373.0,187
BLUEJET,2026-04-09 09:41:00,373.25,373.25,372.15,372.3,2819
BLUEJET,2026-04-09 09:42:00,372.3,372.3,371.55,372.05,1135
BLUEJET,2026-04-09 09:43:00,371.85,371.95,371.5,371.95,337
BLUEJET,2026-04-09 09:44:00,371.95,371.95,371.45,371.95,157
BLUEJET,2026-04-09 09:45:00,371.95,372.4,371.95,372.15,367
BLUEJET,2026-04-09 09:46:00,372.15,372.4,372.0,372.05,3044
BLUEJET,2026-04-09 09:47:00,372.05,372.4,371.95,371.95,366
BLUEJET,2026-04-09 09:48:00,371.95,372.35,371.8,371.8,123
BLUEJET,2026-04-09 09:49:00,372.2,372.2,370.55,370.8,896
BLUEJET,2026-04-09 09:50:00,370.5,370.5,369.45,369.45,1436
BLUEJET,2026-04-09 09:51:00,369.05,369.85,369.05,369.85,1291
BLUEJET,2026-04-09 09:52:00,369.85,370.15,369.85,370.15,100
BLUEJET,2026-04-09 09:53:00,370.15,370.15,370.15,370.15,19
BLUEJET,2026-04-09 09:54:00,370.15,370.65,369.8,369.8,689
BLUEJET,2026-04-09 09:55:00,369.8,369.8,369.4,369.4,815
BLUEJET,2026-04-09 09:56:00,369.45,369.45,368.35,368.35,484
BLUEJET,2026-04-09 09:57:00,368.35,368.8,367.85,368.1,3080
BLUEJET,2026-04-09 09:58:00,368.1,368.4,368.1,368.35,58
BLUEJET,2026-04-09 09:59:00,368.35,368.4,368.0,368.4,1213
BLUEJET,2026-04-09 10:00:00,368.4,368.4,367.05,367.05,112
BLUEJET,2026-04-09 10:01:00,367.05,367.75,367.05,367.75,24
BLUEJET,2026-04-09 10:02:00,367.75,368.4,367.75,368.4,346
BLUEJET,2026-04-09 10:03:00,368.4,369.5,368.4,368.8,2678
BLUEJET,2026-04-09 10:04:00,368.7,368.85,367.5,367.5,3458
BLUEJET,2026-04-09 10:05:00,367.4,367.5,366.55,366.55,1905
BLUEJET,2026-04-09 10:06:00,366.55,367.0,366.0,366.0,1587
BLUEJET,2026-04-09 10:07:00,366.0,366.45,365.8,366.0,856
BLUEJET,2026-04-09 10:08:00,366.0,366.05,365.1,365.1,4102
BLUEJET,2026-04-09 10:09:00,365.1,367.55,363.3,367.55,43812
BLUEJET,2026-04-09 10:10:00,368.05,369.45,368.0,369.45,7616
BLUEJET,2026-04-09 10:11:00,369.35,369.35,368.85,369.0,629
BLUEJET,2026-04-09 10:12:00,369.0,369.2,369.0,369.15,567
BLUEJET,2026-04-09 10:13:00,369.0,369.3,368.35,369.1,1282
BLUEJET,2026-04-09 10:14:00,369.1,369.3,369.1,369.15,1522
BLUEJET,2026-04-09 10:15:00,369.0,369.05,368.5,368.5,362
BLUEJET,2026-04-09 10:16:00,368.7,369.0,368.5,368.9,3224
BLUEJET,2026-04-09 10:17:00,368.9,369.25,368.6,369.25,559
BLUEJET,2026-04-09 10:18:00,369.25,369.5,368.85,368.85,408
BLUEJET,2026-04-09 10:19:00,368.95,369.0,368.95,369.0,105
BLUEJET,2026-04-09 10:20:00,369.0,369.15,368.85,369.05,461
BLUEJET,2026-04-09 10:21:00,369.0,369.4,368.95,368.95,597
BLUEJET,2026-04-09 10:22:00,368.95,369.4,368.95,368.95,195
BLUEJET,2026-04-09 10:23:00,369.15,369.15,368.75,368.75,614
BLUEJET,2026-04-09 10:24:00,368.75,369.25,368.75,369.25,293
BLUEJET,2026-04-09 10:25:00,369.3,369.85,369.3,369.85,3094
BLUEJET,2026-04-09 10:26:00,369.85,369.95,369.15,369.15,698
BLUEJET,2026-04-09 10:27:00,369.15,369.35,369.15,369.35,1
BLUEJET,2026-04-09 10:28:00,369.35,369.4,369.35,369.4,82
BLUEJET,2026-04-09 10:29:00,369.4,370.95,369.4,370.65,2105
BLUEJET,2026-04-09 10:30:00,370.95,371.75,370.95,371.75,967
BLUEJET,2026-04-09 10:31:00,371.4,371.4,371.05,371.15,1149
BLUEJET,2026-04-09 10:32:00,371.15,371.4,371.1,371.4,180
BLUEJET,2026-04-09 10:33:00,371.4,371.4,371.25,371.4,357
