tradingsymbol,datetime,open,high,low,close,volume
BLUESTARCO,2026-04-09 09:15:00,1619.4,1619.4,1598.6,1601.0,6473
BLUESTARCO,2026-04-09 09:16:00,1601.0,1604.2,1594.6,1604.2,6993
BLUESTARCO,2026-04-09 09:17:00,1606.0,1617.4,1606.0,1614.8,5332
BLUESTARCO,2026-04-09 09:18:00,1615.9,1626.8,1615.9,1626.8,5895
BLUESTARCO,2026-04-09 09:19:00,1625.2,1636.1,1625.2,1633.0,7185
BLUESTARCO,2026-04-09 09:20:00,1631.6,1638.9,1629.2,1632.9,5662
BLUESTARCO,2026-04-09 09:21:00,1630.1,1636.6,1630.1,1634.4,8096
BLUESTARCO,2026-04-09 09:22:00,1635.6,1639.4,1634.4,1637.2,3749
BLUESTARCO,2026-04-09 09:23:00,1636.2,1637.3,1632.7,1634.0,3462
BLUESTARCO,2026-04-09 09:24:00,1634.0,1634.0,1629.6,1632.9,2100
BLUESTARCO,2026-04-09 09:25:00,1632.9,1632.9,1629.3,1630.8,732
BLUESTARCO,2026-04-09 09:26:00,1631.8,1632.9,1627.4,1627.4,2602
BLUESTARCO,2026-04-09 09:27:00,1628.1,1633.8,1627.8,1633.8,3810
BLUESTARCO,2026-04-09 09:28:00,1633.8,1635.0,1633.8,1635.0,799
BLUESTARCO,2026-04-09 09:29:00,1635.0,1636.2,1633.3,1636.2,347
BLUESTARCO,2026-04-09 09:30:00,1636.2,1637.0,1634.4,1634.4,3023
BLUESTARCO,2026-04-09 09:31:00,1634.9,1634.9,1629.6,1631.4,770
BLUESTARCO,2026-04-09 09:32:00,1631.4,1633.0,1628.5,1630.0,906
BLUESTARCO,2026-04-09 09:33:00,1630.0,1632.1,1629.2,1630.9,811
BLUESTARCO,2026-04-09 09:34:00,1630.9,1633.2,1630.0,1631.5,1376
BLUESTARCO,2026-04-09 09:35:00,1631.5,1632.7,1629.0,1631.7,2347
BLUESTARCO,2026-04-09 09:36:00,1632.0,1636.0,1631.0,1635.4,1735
BLUESTARCO,2026-04-09 09:37:00,1635.4,1637.4,1634.0,1634.0,1165
BLUESTARCO,2026-04-09 09:38:00,1634.3,1635.0,1634.0,1634.9,563
BLUESTARCO,2026-04-09 09:39:00,1633.9,1633.9,1630.8,1631.4,365
BLUESTARCO,2026-04-09 09:40:00,1631.4,1631.5,1630.5,1631.1,260
BLUESTARCO,2026-04-09 09:41:00,1631.1,1631.8,1628.5,1628.5,713
BLUESTARCO,2026-04-09 09:42:00,1628.5,1630.5,1628.4,1629.7,301
BLUESTARCO,2026-04-09 09:43:00,1629.7,1629.7,1624.0,1625.0,2480
BLUESTARCO,2026-04-09 09:44:00,1625.0,1626.4,1621.0,1622.3,2874
BLUESTARCO,2026-04-09 09:45:00,1622.3,1623.2,1620.8,1621.0,1278
BLUESTARCO,2026-04-09 09:46:00,1621.0,1623.9,1621.0,1621.0,1122
BLUESTARCO,2026-04-09 09:47:00,1622.1,1624.3,1622.1,1623.5,458
BLUESTARCO,2026-04-09 09:48:00,1624.1,1624.1,1619.5,1619.5,742
BLUESTARCO,2026-04-09 09:49:00,1619.5,1620.8,1614.8,1615.8,3570
BLUESTARCO,2026-04-09 09:50:00,1615.8,1615.8,1612.2,1612.4,2567
BLUESTARCO,2026-04-09 09:51:00,1612.4,1613.1,1610.0,1610.9,1183
BLUESTARCO,2026-04-09 09:52:00,1611.1,1612.1,1610.6,1611.8,3152
BLUESTARCO,2026-04-09 09:53:00,1611.8,1612.5,1610.2,1611.9,1491
BLUESTARCO,2026-04-09 09:54:00,1611.9,1612.8,1611.6,1612.0,406
BLUESTARCO,2026-04-09 09:55:00,1612.0,1612.0,1610.1,1611.7,803
BLUESTARCO,2026-04-09 09:56:00,1609.5,1610.0,1608.1,1610.0,2250
BLUESTARCO,2026-04-09 09:57:00,1610.0,1612.0,1609.0,1610.4,1684
BLUESTARCO,2026-04-09 09:58:00,1610.4,1611.0,1609.1,1609.1,117
BLUESTARCO,2026-04-09 09:59:00,1609.1,1609.1,1605.1,1605.3,1454
BLUESTARCO,2026-04-09 10:00:00,1605.2,1606.1,1603.6,1605.4,2145
BLUESTARCO,2026-04-09 10:01:00,1605.4,1610.5,1605.4,1610.5,946
BLUESTARCO,2026-04-09 10:02:00,1610.0,1614.2,1608.5,1613.6,1278
BLUESTARCO,2026-04-09 10:03:00,1613.6,1618.3,1613.3,1615.5,926
BLUESTARCO,2026-04-09 10:04:00,1615.5,1617.9,1615.5,1617.2,693
BLUESTARCO,2026-04-09 10:05:00,1617.2,1619.0,1616.0,1618.3,310
BLUESTARCO,2026-04-09 10:06:00,1618.3,1619.0,1617.5,1618.0,633
BLUESTARCO,2026-04-09 10:07:00,1618.0,1619.0,1616.0,1616.0,211
BLUESTARCO,2026-04-09 10:08:00,1616.0,1618.4,1615.0,1617.0,723
