tradingsymbol,datetime,open,high,low,close,volume
BRIGADE,2026-04-09 09:15:00,721.45,721.45,711.95,713.35,2859
BRIGADE,2026-04-09 09:16:00,712.5,713.35,711.25,711.3,1240
BRIGADE,2026-04-09 09:17:00,710.45,710.45,708.8,709.4,2323
BRIGADE,2026-04-09 09:18:00,709.6,710.35,709.4,710.35,215
BRIGADE,2026-04-09 09:19:00,710.35,712.15,710.35,712.15,2387
BRIGADE,2026-04-09 09:20:00,713.0,713.2,712.1,712.1,911
BRIGADE,2026-04-09 09:21:00,711.8,712.6,711.65,712.45,1351
BRIGADE,2026-04-09 09:22:00,712.45,713.9,712.45,713.05,1037
BRIGADE,2026-04-09 09:23:00,712.5,712.5,711.2,711.85,1043
BRIGADE,2026-04-09 09:24:00,711.85,711.95,711.5,711.9,311
BRIGADE,2026-04-09 09:25:00,711.9,712.05,711.5,712.05,180
BRIGADE,2026-04-09 09:26:00,711.55,711.55,710.1,710.3,1956
BRIGADE,2026-04-09 09:27:00,709.55,710.45,709.4,710.45,2039
BRIGADE,2026-04-09 09:28:00,710.45,710.8,710.3,710.8,124
BRIGADE,2026-04-09 09:29:00,710.4,710.8,710.25,710.75,720
BRIGADE,2026-04-09 09:30:00,710.25,710.95,709.75,709.75,347
BRIGADE,2026-04-09 09:31:00,709.75,709.75,706.3,706.3,3118
BRIGADE,2026-04-09 09:32:00,706.3,707.4,706.3,706.5,481
BRIGADE,2026-04-09 09:33:00,706.5,707.25,705.0,705.0,2220
BRIGADE,2026-04-09 09:34:00,705.9,706.4,705.15,706.4,600
BRIGADE,2026-04-09 09:35:00,706.4,707.4,705.85,707.2,306
BRIGADE,2026-04-09 09:36:00,707.0,708.15,707.0,708.05,246
BRIGADE,2026-04-09 09:37:00,708.15,708.7,707.2,707.2,125
BRIGADE,2026-04-09 09:38:00,706.65,707.55,706.3,706.35,2584
BRIGADE,2026-04-09 09:39:00,706.35,706.35,705.15,705.2,1342
BRIGADE,2026-04-09 09:40:00,705.2,705.6,705.0,705.15,922
BRIGADE,2026-04-09 09:41:00,705.15,705.9,705.0,705.0,572
BRIGADE,2026-04-09 09:42:00,705.0,705.0,703.25,704.1,2585
BRIGADE,2026-04-09 09:43:00,704.1,704.8,703.15,703.75,1278
BRIGADE,2026-04-09 09:44:00,703.65,703.65,703.15,703.15,654
BRIGADE,2026-04-09 09:45:00,703.15,703.65,703.05,703.65,453
BRIGADE,2026-04-09 09:46:00,703.65,704.3,703.5,703.5,696
BRIGADE,2026-04-09 09:47:00,703.5,704.75,703.5,704.75,303
BRIGADE,2026-04-09 09:48:00,705.25,705.25,702.1,702.1,2324
BRIGADE,2026-04-09 09:49:00,702.1,702.9,700.6,700.6,1239
BRIGADE,2026-04-09 09:50:00,700.0,701.45,700.0,700.75,2139
BRIGADE,2026-04-09 09:51:00,701.45,701.45,700.05,700.15,2640
BRIGADE,2026-04-09 09:52:00,700.5,701.5,700.15,701.5,796
BRIGADE,2026-04-09 09:53:00,701.5,701.65,700.7,701.5,155
BRIGADE,2026-04-09 09:54:00,700.85,701.4,700.55,701.35,678
BRIGADE,2026-04-09 09:55:00,701.35,701.4,700.5,700.5,400
BRIGADE,2026-04-09 09:56:00,700.5,701.4,700.5,701.4,212
BRIGADE,2026-04-09 09:57:00,701.0,701.5,700.55,701.5,619
BRIGADE,2026-04-09 09:58:00,701.5,701.55,700.7,700.7,61
BRIGADE,2026-04-09 09:59:00,700.7,701.2,699.65,699.65,3407
BRIGADE,2026-04-09 10:00:00,699.5,700.0,699.0,699.95,213
BRIGADE,2026-04-09 10:01:00,699.95,700.0,699.85,700.0,76
BRIGADE,2026-04-09 10:02:00,700.0,700.7,699.85,700.0,470
BRIGADE,2026-04-09 10:03:00,700.0,700.05,699.7,700.05,149
BRIGADE,2026-04-09 10:04:00,700.1,701.0,699.8,700.0,797
BRIGADE,2026-04-09 10:05:00,699.8,700.3,699.7,699.9,725
BRIGADE,2026-04-09 10:06:00,699.9,700.7,698.4,698.8,6539
BRIGADE,2026-04-09 10:07:00,698.8,699.8,698.7,698.7,638
BRIGADE,2026-04-09 10:08:00,699.3,699.3,698.0,698.7,1245
BRIGADE,2026-04-09 10:09:00,698.7,698.85,698.0,698.7,593
BRIGADE,2026-04-09 10:10:00,698.7,698.95,698.7,698.95,251
BRIGADE,2026-04-09 10:11:00,698.95,699.75,698.95,699.0,537
BRIGADE,2026-04-09 10:12:00,700.05,700.05,699.7,699.7,120
BRIGADE,2026-04-09 10:13:00,699.7,700.35,699.3,699.95,1969
BRIGADE,2026-04-09 10:14:00,699.85,700.05,699.25,699.25,390
BRIGADE,2026-04-09 10:15:00,699.25,700.1,699.25,700.1,117
BRIGADE,2026-04-09 10:16:00,699.95,700.4,699.4,700.0,395
BRIGADE,2026-04-09 10:17:00,700.0,700.85,700.0,700.85,376
BRIGADE,2026-04-09 10:18:00,700.85,702.1,700.2,700.55,1313
BRIGADE,2026-04-09 10:19:00,700.55,700.65,700.45,700.55,376
BRIGADE,2026-04-09 10:20:00,700.55,700.55,700.45,700.5,211
BRIGADE,2026-04-09 10:21:00,700.5,701.35,700.5,701.2,523
BRIGADE,2026-04-09 10:22:00,701.2,704.85,700.55,702.9,3989
BRIGADE,2026-04-09 10:23:00,703.7,705.7,703.7,704.75,1301
BRIGADE,2026-04-09 10:24:00,704.85,707.6,704.85,706.8,1460
BRIGADE,2026-04-09 10:25:00,706.95,707.75,705.45,705.8,3298
BRIGADE,2026-04-09 10:26:00,705.8,705.85,704.0,704.55,2455
BRIGADE,2026-04-09 10:27:00,704.55,705.8,704.55,705.15,349
BRIGADE,2026-04-09 10:28:00,705.15,706.45,705.15,705.55,749
BRIGADE,2026-04-09 10:29:00,706.0,706.65,705.5,706.6,342
BRIGADE,2026-04-09 10:30:00,706.6,707.15,705.7,706.1,1493
BRIGADE,2026-04-09 10:31:00,705.05,705.75,704.9,705.35,554
BRIGADE,2026-04-09 10:32:00,705.35,705.95,705.2,705.2,676
BRIGADE,2026-04-09 10:33:00,705.2,706.05,705.2,706.05,1141
BRIGADE,2026-04-09 10:34:00,705.6,706.85,705.5,706.45,1900
BRIGADE,2026-04-09 10:35:00,706.45,706.45,705.6,705.95,1336
BRIGADE,2026-04-09 10:36:00,705.95,706.6,705.45,705.45,934
BRIGADE,2026-04-09 10:37:00,705.45,705.95,705.45,705.65,602
BRIGADE,2026-04-09 10:38:00,705.65,706.2,705.0,705.5,639
BRIGADE,2026-04-09 10:39:00,705.2,705.8,705.2,705.45,133
BRIGADE,2026-04-09 10:40:00,706.05,706.05,705.45,705.85,5
BRIGADE,2026-04-09 10:41:00,705.85,706.05,705.05,705.3,318
BRIGADE,2026-04-09 10:42:00,705.8,706.3,705.55,705.65,2075
BRIGADE,2026-04-09 10:43:00,706.3,707.4,705.75,706.1,5558
BRIGADE,2026-04-09 10:44:00,706.1,706.8,706.0,706.0,1763
BRIGADE,2026-04-09 10:45:00,706.0,706.75,705.4,706.0,1110
BRIGADE,2026-04-09 10:46:00,706.0,706.65,705.45,706.45,1762
BRIGADE,2026-04-09 10:47:00,706.6,706.75,706.0,706.5,159071
BRIGADE,2026-04-09 10:48:00,706.6,706.6,705.9,706.5,864
BRIGADE,2026-04-09 10:49:00,706.45,706.45,706.0,706.2,431
BRIGADE,2026-04-09 10:50:00,706.3,706.3,705.8,706.3,344
BRIGADE,2026-04-09 10:51:00,706.3,706.5,705.5,706.0,841
BRIGADE,2026-04-09 10:52:00,706.0,706.7,705.6,705.75,2396
BRIGADE,2026-04-09 10:53:00,706.0,706.7,705.0,705.0,19364
BRIGADE,2026-04-09 10:54:00,705.65,713.0,705.15,713.0,67307
BRIGADE,2026-04-09 10:55:00,713.0,714.85,711.35,711.35,3390
BRIGADE,2026-04-09 10:56:00,710.9,711.5,709.95,709.95,848
BRIGADE,2026-04-09 10:57:00,709.95,710.05,707.0,707.0,1797
BRIGADE,2026-04-09 10:58:00,707.4,707.75,706.85,707.75,308
BRIGADE,2026-04-09 10:59:00,707.8,708.75,707.7,708.75,374
BRIGADE,2026-04-09 11:00:00,708.75,710.5,708.15,710.1,860
BRIGADE,2026-04-09 11:01:00,710.3,710.4,709.5,709.5,413
BRIGADE,2026-04-09 11:02:00,709.5,709.95,709.2,709.9,201
BRIGADE,2026-04-09 11:03:00,709.85,710.25,709.5,710.05,348
BRIGADE,2026-04-09 11:04:00,710.05,710.35,709.8,710.0,249
BRIGADE,2026-04-09 11:05:00,710.0,710.2,709.5,709.95,751
BRIGADE,2026-04-09 11:06:00,709.9,710.05,709.65,709.7,305
BRIGADE,2026-04-09 11:07:00,709.7,710.3,709.7,710.3,206
BRIGADE,2026-04-09 11:08:00,709.8,710.0,709.1,709.5,722
BRIGADE,2026-04-09 11:09:00,709.5,709.85,708.4,708.4,1218
BRIGADE,2026-04-09 11:10:00,708.4,708.85,707.55,708.85,1663
BRIGADE,2026-04-09 11:11:00,708.85,709.4,708.85,709.4,367
BRIGADE,2026-04-09 11:12:00,709.0,709.0,708.45,708.45,492
BRIGADE,2026-04-09 11:13:00,708.5,708.9,708.0,708.85,304
BRIGADE,2026-04-09 11:14:00,708.85,709.1,708.2,708.85,311
BRIGADE,2026-04-09 11:15:00,708.85,709.1,708.85,709.0,1512
BRIGADE,2026-04-09 11:16:00,709.05,709.05,708.55,708.75,744
BRIGADE,2026-04-09 11:17:00,708.85,708.85,708.0,708.5,464
BRIGADE,2026-04-09 11:18:00,708.55,709.1,708.4,708.4,349
BRIGADE,2026-04-09 11:19:00,708.0,708.85,708.0,708.85,421
BRIGADE,2026-04-09 11:20:00,708.85,708.85,708.85,708.85,638
BRIGADE,2026-04-09 11:21:00,709.0,709.0,708.4,708.85,337
BRIGADE,2026-04-09 11:22:00,708.85,709.05,708.1,709.05,338
BRIGADE,2026-04-09 11:23:00,709.0,709.05,709.0,709.0,246
BRIGADE,2026-04-09 11:24:00,709.0,709.05,709.0,709.05,270
BRIGADE,2026-04-09 11:25:00,709.0,709.1,709.0,709.0,379
BRIGADE,2026-04-09 11:26:00,709.0,709.05,708.6,709.05,302
BRIGADE,2026-04-09 11:27:00,709.05,709.1,708.5,708.95,465
BRIGADE,2026-04-09 11:28:00,708.8,709.05,708.7,709.0,219
BRIGADE,2026-04-09 11:29:00,709.0,709.1,709.0,709.1,268
BRIGADE,2026-04-09 11:30:00,709.0,709.05,708.95,709.05,219
BRIGADE,2026-04-09 11:31:00,709.0,709.05,708.95,709.0,311
BRIGADE,2026-04-09 11:32:00,709.0,709.05,709.0,709.0,273
BRIGADE,2026-04-09 11:33:00,709.0,709.0,708.95,709.0,259
BRIGADE,2026-04-09 11:34:00,709.0,709.0,708.0,708.9,469
BRIGADE,2026-04-09 11:35:00,708.9,709.0,708.9,709.0,284
BRIGADE,2026-04-09 11:36:00,709.0,709.0,708.6,709.0,336
BRIGADE,2026-04-09 11:37:00,709.0,709.05,709.0,709.0,326
BRIGADE,2026-04-09 11:38:00,709.0,709.1,709.0,709.0,291
BRIGADE,2026-04-09 11:39:00,709.0,709.0,708.5,708.5,355
BRIGADE,2026-04-09 11:40:00,708.5,708.5,708.05,708.5,379
BRIGADE,2026-04-09 11:41:00,708.5,709.0,708.3,709.0,231
